джим	jim
структурні	estructurales
структурні	estructural
брюс	bruce
брюс	bruno
соціалістична	socialistas
соціалістична	socialista
вирок	sentencia
вирок	sentencias
вирок	frase
вирок	sentencia
гітлер	hitler
інспектор	inspector
інспектор	inspectora
інспектор	comisario
інспектор	supervisora
інспектор	supervisor
друзями	friends
друзями	amigos
друзями	amigas
підтримали	respaldado
підтримали	apoyado
підтримали	soportado
підтримали	apoyó
довкола	alrededor
довкола	around
унікальний	únicos
унікальний	único
унікальний	unica
унікальний	única
унікальний	únicas
всесвіт	universe
всесвіт	universo
довга	largos
довга	largo
довга	larga
довга	long
алжир	argel
алжир	argelia
алжир	argelia
маріо	mario
експеримент	experimentar
експеримент	experimentación
експеримент	experimento
реакцій	reacciones
їде	paseos
водій	controlador
водій	driver
водій	chofer
водій	conductor
водій	chófer
пров	prov
націонал	nacionales
націонал	national
націонал	nacional
обрав	eligió
обрав	elegí
малайзії	malasia
запрошений	iniciador
рядків	hileras
рядків	filas
рядків	líneas
рядків	lines
рядків	lineas
рядків	cuerdas
рядків	cadenas
певна	ciertos
певна	ciertas
певна	determinados
тарн	tarn
чисто	claro
чисто	despejado
запровадження	reformado
запровадження	renovados
запровадження	renovado
запровадження	renovada
користується	utiliza
користується	usos
податки	fiscalidad
податки	impuesto
податки	tributación
податки	impuestos
податки	impuesto
податки	impuestos
театрів	teatros
театрів	cines
театрів	teatros
експлуатація	explotación
турніри	torneos
традиційний	tradicionales
традиційний	tradicional
людвіг	ludvig
людвіг	luis
людвіг	ludwig
нападів	ofensa
спостерігати	observar
спостерігати	observe
спостерігати	observen
спостерігати	observa
спостерігати	watch
спостерігати	mirar
спостерігати	mira
спостерігати	reloj
спостерігати	monitorear
спостерігати	monitor
спостерігати	supervisar
принципово	esencialmente
принципово	básicamente
принципово	fundamentalmente
принципово	fundamentalmente
відмову	negativa
відмову	denegación
відмову	rechazo
пенсію	retirarse
пенсію	jubilarse
біо	biot
тримає	sostiene
тримає	mantiene
заперечення	negación
заперечення	denegación
заперечення	negar
заперечення	negando
розвивати	desarrolle
розвивати	desarrollarse
розвивати	desarrollar
розвивати	desarrolla
експертів	expertas
експертів	peritos
експертів	expertos
блоки	ladrillos
блоки	bastidores
блоки	marcos
блоки	casillas
блоки	cajas
блоки	bloques
блоки	cuadras
майстерність	habilidades
майстерність	habilidad
майстерність	destreza
майстерність	excelencia
кеннеді	kennedy
мед	honey
мед	miel
мед	cariño
мед	med
переконання	creencias
переконання	creencia
переконання	creencias
рига	riga
статтями	articulos
статтями	artículos
хворобу	enfermedades
хворобу	enfermedad
середнє	promedio
середнє	media
середнє	mean
синагога	sinagoga
співпрацює	coopera
співпрацює	colaborador
співпрацює	colaborar
співпрацює	colaborando
містити	contener
містити	contengan
містити	contienen
містити	contenga
біт	beat
біт	mordió
біт	bit
біт	mordido
біт	bits
біт	bits
годинник	reloj
процесор	procesador
процесор	transformador
процесор	cpu
люк	luke
люк	lucas
люк	luc
шарант	charente
прогрес	progress
прогрес	avances
прогрес	progreso
прогрес	progresos
складно	complicados
складно	complicado
складно	complicadas
складно	complicada
складно	dificil
складно	difícil
складно	difíciles
цивілізація	civilización
цивілізація	civilización
буковина	bucovina
монпельє	montpellier
табори	bandos
табори	campos
табори	campamentos
дордонь	dordoña
казахстані	kazajistán
казахстані	kazajstán
рядки	hileras
рядки	filas
рядки	líneas
рядки	lines
рядки	lineas
рядки	cuerdas
рядки	cadenas
інвестицій	inversiones
взято	tomado
взято	tomadas
взято	tomados
взято	tomada
екранізації	adaptaciones
бузеу	buzău
сутність	esencia
сутність	entidad
личинки	larvas
личинки	larva
документа	documentar
документа	documento
професії	profesiones
морів	mares
чернігова	chernihiv
довкілля	ambientales
довкілля	medioambiente
довкілля	medioambiental
довкілля	ambiental
компонент	componente
єврейський	judías
єврейський	judio
єврейський	judía
єврейський	judío
єврейський	judíos
інформатики	informática
печінки	hígados
печінки	hígado
напади	ataca
напади	atentados
напади	ataques
напади	convulsiones
напади	incautación
напади	incautaciones
напади	ataques
напади	asaltos
напади	agresiones
кларк	clarke
кларк	clark
квартал	trimestre
математичний	mates
математичний	matemáticas
математичний	matemático
математичний	matemáticas
математичний	matemática
математичний	mates
математичний	matemáticas
математичний	matemática
маленька	poco
маленька	little
маленька	pequeño
маленька	pequeña
маленька	poquito
ювілейна	jubileo
ювілейна	júbilo
контакт	contacto
контакт	contactar
контакт	contactos
контакт	contacta
лад	modalidad
лад	mode
лад	modo
хмари	nubes
популярна	popular
популярна	populares
півкулі	hemisferios
півкулі	hemisferio
запобігти	previene
запобігти	prevenir
запобігти	impedir
глядачі	audiencias
глядачі	público
глядачі	públicos
глядачі	público
глядачі	publico
глядачі	audiencia
глядачі	auditorio
глядачі	espectadores
глядачі	espectador
глядачі	espectadores
глядачі	televidentes
перемогли	vencido
перемогли	derrotada
перемогли	derrotado
перемогли	vencidos
перемогли	derrotados
провідний	liderando
провідний	liderar
хліба	pan
продано	vendida
продано	vendido
продано	vendidos
продано	vendidas
описано	describe
описано	descrito
описано	descrita
описано	descritos
створенню	participativo
створенню	participativos
створенню	participativa
акція	compartan
акція	comparte
акція	share
акція	compartir
акція	comparta
акція	caldo
акція	stock
акція	acciones
акція	existencias
зведена	reducido
зведена	reducida
зведена	reducidas
зведена	reducidos
ізер	isère
єжи	jerzy
істоти	criaturas
домі	domi
угорська	húngaros
угорська	húngaro
угорська	hungría
угорська	húngara
оздоблення	decoración
виверження	erupción
болівії	bolivia
ризику	arriesgando
ризику	arriesgar
відвідування	visite
відвідування	visitar
відвідування	visita
відвідування	visitas
дванадцять	twelve
дванадцять	doce
окупація	ocupación
окупація	profesión
патрулювання	patrullar
патрулювання	patrulla
патрулювання	patrullaje
патрулювання	patrullas
патрулювання	patrullar
патрулювання	patrullas
патрулювання	patrullaje
патрулювання	patrullando
друк	huella
друк	impresión
друк	imprime
друк	impresos
друк	imprimir
друк	imprenta
друк	imprimir
друк	imprimiendo
друк	impresión
нуля	arañazo
нуля	rasguño
нуля	rasca
особистість	identidad
особистість	personalidad
лоренцо	lorenzo
люксембургу	luxemburgo
дністер	dniéster
помітив	notado
помітив	notó
націоналістів	nacionalistas
бретань	bretagne
закінчили	hecho
мажор	comandante
мажор	major
мажор	mayor
аналог	análoga
старим	viejo
старим	antiguo
старим	viejos
старим	antigua
старим	vieja
пуерто	puerto
використана	utilizada
використана	usada
використана	usado
використана	utilizado
використана	utilizados
використана	usados
звичаї	aduana
звичаї	aduanera
звичаї	aduanas
звичаї	costumbres
травми	perturbación
травми	disturbio
травми	disturbios
травми	lesión
травми	lesiones
травми	herida
травми	perjuicio
травми	traumatismo
травми	traumas
травми	trauma
травми	traumatismos
адмін	admin
адмін	administrador
адмін	administradora
адмін	administración
типові	omisión
типові	incumplimiento
типові	predeterminados
типові	defecto
типові	predeterminado
типові	predeterminadas
типові	predeterminados
типові	incumplimientos
типові	impagos
типові	típico
типові	típicas
типові	típica
типові	típicos
співака	singer
співака	cantor
співака	cantante
стрілець	sagitario
золоте	oro
золоте	dorada
золоте	golden
золоте	dorado
золоте	dorados
латвія	letonia
вождь	jefa
вождь	chief
вождь	jefe
серйозні	serios
серйозні	seria
серйозні	seriedad
серйозні	serio
серйозні	grave
спрямування	delegación
спрямування	delegaciones
начебто	aparentemente
присутня	presente
померлих	fallecida
померлих	fallecidos
померлих	difuntos
померлих	fallecido
старт	empezar
старт	start
старт	inicio
старт	comienzo
згадував	mencionado
згадував	mencionó
згадував	mencionada
згадував	mencionados
тіні	sombras
тіні	sombra
тіні	sombreado
тіні	tini
тан	tang
тан	tan
тан	bronceado
шекспіра	sonetos
іде	helo
змінено	cambiado
змінено	cambiada
змінено	cambió
змінено	modificada
змінено	modificados
змінено	modificadas
змінено	modificado
рейх	reich
есе	ensayo
італійською	italiana
італійською	italianos
італійською	italiano
казка	cuento
казка	relato
подати	presentar
подати	someter
подати	enviar
зруйновано	destruida
зруйновано	destruidas
зруйновано	destruidos
зруйновано	destruido
зруйновано	destruyó
вказати	especifica
вказати	especifique
вказати	precisar
вказати	especificar
вказати	definir
вказати	defina
вказати	define
папір	paper
папір	ponencia
папір	papel
знаменитий	famosa
знаменитий	famosas
знаменитий	famosos
знаменитий	famoso
залізо	plancha
залізо	hierro
відходів	desechos
відходів	residuos
трофей	trofeo
денні	danny
денні	dany
денні	denny
тунісу	túnez
знищили	destruida
знищили	destruidas
знищили	destruidos
знищили	destruido
знищили	destruyó
родичі	hermanos
родичі	parientes
родичі	familiares
рідний	nativas
рідний	nativa
рідний	autóctona
рідний	nativo
рідний	nativos
бачення	visión
бачення	vision
олеся	olesya
іллінойс	illinois
раси	razas
раси	carreras
казимир	kazimierz
казимир	casimir
білка	ardilla
білка	ardillas
чоловіча	macho
чоловіча	masculino
чоловіча	varón
чоловіча	machos
аудіо	audio
розділена	divididas
розділена	dividida
розділена	dividido
розділена	divididos
розділена	dividir
розділена	dividida
розділена	split
розділена	divididos
дорослі	adultos
дорослі	adulto
дорослі	adulta
дорослі	adultos
перевага	favor
перевага	provecho
перевага	ventaja
ширину	anchura
ширину	ancho
ширину	amplitud
ширину	anchura
отримано	recibidas
отримано	recibida
отримано	recibidos
отримано	recibido
отримано	recuperado
отримано	recuperadas
отримано	recuperada
експонатів	exposiciones
експонатів	exhibiciones
джонні	johnny
джонні	jonny
сосна	pinus
сосна	pinus
сосна	pino
сосна	pinos
танець	baile
танець	bailes
танець	bailar
танець	baila
танець	danza
орн	orne
барабани	batería
барабани	bidones
барабани	tambores
наведення	flotar
палата	recámara
палата	cámara
знищені	destruida
знищені	destruidas
знищені	destruidos
знищені	destruido
знищені	destruyó
знищені	aniquilado
симфонія	sinfonía
симфонія	symphony
симфонія	sinfónica
цікавий	interesante
цікавий	interesantes
трагедія	trágica
трагедія	trágicos
трагедія	trágicas
трагедія	trágico
трагедія	tragedia
трагедія	tragedia
бачили	visto
пацієнтів	pacientes
маргарита	margarita
маргарита	margarita
творець	creadora
творець	creador
вигнання	exiliado
вигнання	exilio
вигнання	destierro
докази	evidencia
докази	evidencias
докази	pruebas
балки	vigas
балки	maderos
побачили	vi
побачили	vio
побачили	vieron
ендр	indre
священики	sacerdotes
священики	curas
священики	clérigos
священики	clero
закрита	cerrada
закрита	cerrado
закрита	cerrados
кейт	kate
складність	dificultad
складність	dificultades
складність	complejidad
марс	marte
марс	mars
бтр	btr
зеландія	zelandia
зеландія	zelanda
промінь	haz
промінь	viga
промінь	vigas
промінь	rayo
зима	invierno
вирішувати	decidir
вирішувати	decida
вирішувати	decidan
вирішувати	decide
вирішувати	deciden
гельсінкі	helsinki
біографічний	biográfica
душ	ducha
душ	almas
литві	lituania
вагітності	embarazadas
вагітності	embarazada
вагітності	embarazo
професійні	profesional
професійні	professional
професійні	profesionalidad
професійні	profesionales
спільне	articulación
спільне	joint
спільне	porro
спільне	articulaciones
спільне	conjunta
спільне	comunes
спільне	frecuente
спільне	común
спільне	frecuentes
спільне	common
можлива	posible
можлива	posibles
йосиф	iosif
ярмарки	ferias
меншин	minoría
меншин	minorías
бондаренко	bondarenko
міцність	fortaleza
міцність	fuerza
товщина	anchura
товщина	ancho
товщина	espesor
товщина	grosor
атак	atacantes
атак	agresores
атак	piratería
атак	hackear
атак	hacking
піч	estufa
піч	caldera
піч	horno
піч	horno
піч	estanterías
пряма	línea
пряма	line
пряма	linea
пряма	directa
пряма	directo
пряма	directamente
пряма	direct
пряма	directos
пряма	directas
боки	lados
боки	laterales
боки	bandos
боки	costados
вказана	señalado
вказана	apuntado
вказана	señaló
вказана	especificó
вказана	especificada
вказана	especificado
вказана	especificados
валюти	divisa
валюти	moneda
валюти	divisas
валюти	monedas
валюти	moneda
валюти	divisas
вагу	pesas
вагу	pesos
вагу	pesaje
вагу	peso
випустили	liberados
випустили	liberada
випустили	lanzado
випустили	liberado
відмовилися	abandonadas
відмовилися	abandonada
відмовилися	abandonado
відмовилися	abandonados
відмовилися	hermandad
відмовилися	declinó
відмовилися	rechazada
відмовилися	disminuido
відмовилися	rechazado
відмовилися	denegada
відмовилися	denegado
відмовилися	rechazada
відмовилися	rechazó
мостів	bridges
мостів	puentes
зелене	verde
зелене	green
зелене	verdes
гнізда	tragamonedas
гнізда	slots
гнізда	tragaperras
гнізда	ranuras
гнізда	nidos
гнізда	enchufes
гнізда	zócalo
гнізда	enchufe
гнізда	socket
дистриб	distribuidores
експозиція	exposición
американців	americanas
американців	americanos
американців	estadounidenses
американців	norteamericanos
повстанці	rebeldes
седан	sedán
седан	sedan
низька	baja
низька	bajos
низька	bajas
низька	low
низька	bajo
марш	marche
марш	marismas
марш	pantano
марш	marsh
розробники	desarrolladores
розробники	promotores
лицар	caballero
лицар	knight
розвиватися	evolucionar
розвиватися	evoluciona
порода	raza
порода	razas
порода	reproducirse
порода	mestizo
порода	ganado
порода	bovino
порода	bovinos
порти	puertos
додає	agrega
додає	añade
вілсон	wilson
нав	obsesión
зафіксовано	cerrada
зафіксовано	cerrado
зафіксовано	bloqueado
екземплярів	instancias
недавно	recientemente
раптом	repentinamente
раптом	súbitamente
кравченко	kravchenko
ефективно	eficazmente
ефективно	efectivamente
ефективно	eficaz
ефективно	efectivos
ефективно	efectiva
потоки	arroyos
учасника	miembro
більшовики	bolchevique
більшовики	bolcheviques
вокаліст	vocalista
дозволено	permitida
дозволено	permitidos
дозволено	permitido
дозволено	permitida
дозволено	permitidos
дозволено	permitido
виділено	destacado
виділено	resaltado
виділено	destacó
виділено	destacados
виділено	subrayado
виділено	asignado
виділено	asignada
виділено	asignados
додано	añadido
додано	agregados
додано	añadida
додано	añadió
додано	agregó
додано	agregado
датою	cita
датою	fecha
датою	date
рабів	esclavas
рабів	esclavos
постійної	repetitivo
постійної	repetitivos
злочин	delito
злочин	delincuencia
злочин	crimen
злочин	criminalidad
полотно	lona
полотно	canvas
полотно	lienzo
пуатьє	poitier
скорочено	corta
скорочено	short
скорочено	cortos
скорочено	corto
скорочено	breve
переворот	golpe
допомагають	ayudando
