δικηγόροι	वकील
κατάλοιπα	अवशेष
κατάλοιπα	अवशिष्ट
κατάλοιπα	बाकी
κατάλοιπα	अवशेष
σπουδαστές	छात्रों
σπουδαστές	विद्यार्थी
παύση	ठहरें
παύση	रोकें
παύση	ठहराना
λετονία	लातविया
λετονία	लातवियाई
αργίες	छुट्टियों
αργίες	छुट्टियां
αργίες	अवकाश
αργίες	छुट्टियाँ
εισαγγελέας	अभियोजक
νταβίντ	डेविड
νταβίντ	दाउद
περιστάσεις	हालात
περιστάσεις	हालातों
γραφική	ग्राफ़
γραφική	ग्राफ
γραφική	आलेख
κάρολ	कैरल
κάρολ	कैरोल
κάρολ	कैरल
χωρισμένη	तलाकशुदा
χωρισμένη	तलाक
μπαρμπούντα	बारबूडा
διαφορετικοί	भिन्न
διαφορετικοί	अलग
χένρυ	हेनरी
συμβολική	प्रतीकात्मक
συμβολική	सांकेतिक
κλειστά	बन्द
κλειστά	बंद
ρύζι	चावल
ρύζι	राइस
χαβάη	हवाई
αποζημίωση	मुआवज़ा
αποζημίωση	क्षतिपूर्ति
αποζημίωση	मुआवजा
αποζημίωση	मुआवजे
πρόσφατο	हालिया
πρόσφατο	हाल
κόμβος	नोड
κόμβος	हब
επιθυμητό	वांछनीय
πρίγκηπας	राजकुमार
πρίγκηπας	प्रिन्स
πρίγκηπας	प्रिंस
κωμικός	कॉमिक
κωμικός	हास्य
καλησπέρα	शाम
καλησπέρα	सायंकाल
καλησπέρα	संध्या
μάη	मई
μάη	may
χάγη	हेग
υποδομές	अवसंरचना
καθοριστικό	निर्णायक
ρέιντζερς	रेंजर्स
ρέιντζερς	रेंजरों
σκι	स्की
σκι	स्कीइंग
εβδομαδιαία	साप्ताहिक
μίτσελ	मिशेल
πλούσιος	रिच
πλούσιος	अमीर
πλούσιος	समृद्ध
πλούσιος	धनवान
αναχώρησε	रजि
παρακολούθησης	निगरानी
ευημερία	समृद्धि
φυματίωση	तपेदिक
αυστραλός	ऑस्ट्रेलियाई
βρυξελλών	ब्रुसेल्स
βρυξελλών	ब्रसेल्स
υποκατηγορίες	उपश्रेणियाँ
ανάσταση	क़यामत
μπαρμπάντος	बारबाडोस
τρινιντάντ	त्रिनिदाद
απασχόληση	रोज़गार
απασχόληση	रोजगार
απασχόληση	नियुक्ति
τζόναθαν	जोनाथन
αδελφότητα	बिरादरी
αδελφότητα	भाईचारा
αδελφότητα	भाईचारे
συντηρητικό	रूढ़िवादी
βορειοδυτικό	उत्तरपश्चिम
περιορισμός	प्रतिबंध
αψίδα	चाप
αψίδα	मेहराब
κράμα	मिश्रधातु
πανεπιστημίων	विश्वविद्यालय
πανεπιστημίων	विश्वविद्यालयों
τόγκο	टोगो
κατώτερο	अवर
γάτες	बिल्लियां
γάτες	बिल्लियाँ
γάτες	बिल्लियों
ριντ	रीड
νόμιμη	लीगल
νόμιμη	कानूनी
νόμιμη	विधिक
χρήσιμα	उपयोगी
γυμναστική	कसरत
γυμναστική	जिमनास्टिक्स
ανάβαση	आरोहण
ανάβαση	चढ़ाई
ανάβαση	चढ़ाई
λιμένες	पोर्ट
κόμβους	नोड
παρθένος	कन्या
παρθένος	वर्जिन
λίβανο	लेबनान
δεξαμενές	टंकी
δεξαμενές	टैंक
εγκρίνει	स्वीकृति
οσμή	गंध
οσμή	सूंघ
οσμή	गंध
οσμή	महकते
καίσαρ	सीज़र
εμποδίζει	बाधक
εμποδίζει	रोकता
συμπλήρωση	समाप्ति
συμπλήρωση	पूर्णता
συμπλήρωση	पूरक
συμπλήρωση	अनुपूरक
συμπλήρωση	संपूरक
στίχος	आयत
στίχος	श्लोक
πρόσληψη	भर्ती
πρόσληψη	भर्ती
κυβερνήτες	राज्यपालों
κυβερνήτες	शासकों
μπιπ	बीप
επισκέψεις	विज़िट
γενέτειρα	गृहनगर
γενέτειρα	जन्मस्थान
επέζησε	जीवित
επέζησε	बच
σοσιαλιστικής	समाजवादी
θύρα	गेट
θύρα	द्वार
θύρα	फाटक
θύρα	पोर्ट
θύρα	बंदरगाह
θύρα	बंदरगाहों
ζημιά	क्षतिग्रस्त
ζημιά	नुक्सान
ζημιά	नुकसान
ζημιά	क्षति
γιούρι	यूरी
γιούρι	यूआरआई
γιούρι	उड़ी
γιούρι	uri
γιούρι	यूआरआइ
λίρα	लीरा
λίρα	पाउण्ड
λίρα	पाउंड
σκοτεινό	गहरा
σκοτεινό	अंधेरा
λεωφορεία	बसों
λεωφορεία	बसें
πρόσθετα	एडिटिव
πρόσθετα	प्लगइन
πλούτωνα	यम
πλούτωνα	प्लूटो
τζέι	जय
τζέι	jay
αμοιβαία	पारस्परिक
αμοιβαία	आपसी
αμοιβαία	परस्पर
αναλόγως	तदनुसार
καταιγίδα	आंधी
καταιγίδα	तूफान
καταιγίδα	तूफ़ान
λιβάδια	वादियों
αλγεβρική	बीजीय
τρίτες	मंगलवार
τόξου	आर्क
τόξου	चाप
ενδιαφέρουσα	रोचक
ενδιαφέρουσα	दिलचस्प
διαφάνεια	पारदर्शिता
αντιρρήσεις	आपत्ति
δημιουργοί	रचयिता
δημιουργοί	लेखक
μπουτάν	भूटान
αιώνια	सनातन
αιώνια	अनन्त
ενθουσιασμό	उत्तेजना
λοατ	lgbt
γιοχάνες	योहानेस
ανακατασκευή	पुनर्निर्माण
νύφη	दुल्हन
νύφη	बहू
βασανιστήρια	टॉर्चर
καλημέρα	सुबह
καλημέρα	सवेरा
καλημέρα	morning
κάλτσιο	calcio
κρατούμενοι	कैदियों
κρατούμενοι	कैदी
κρατούμενοι	बंदियों
κρατούμενοι	बंदियों
διερεύνηση	जांच
διερεύνηση	छानबीन
σύνθετο	घटक
σύνθετο	कम्पोजिट
σύνθετο	परिसर
σύνθετο	जटिल
μειονότητα	अल्पसंख्यक
ήπια	पीया
ήπια	पिया
προσωρινός	अंतरिम
προσωρινός	अस्थायी
προσωρινός	अस्थाई
προσωρινός	अस्थायी
προσωρινός	अस्थायी
χειμώνας	सर्दियों
χειμώνας	सर्दियाँ
χειμώνας	सर्दी
χειμώνας	शीत
ανέβασε	अपलोड
προκήρυξη	उदघोषणा
όνειρα	ड्रीम
όνειρα	सपने
όνειρα	ख्वाब
όνειρα	स्वप्न
όνειρα	सपना
όνειρα	सपने
όνειρα	सपनो
συμμαχικές	अलाइड
βασικού	मूल
βασικού	मूलभूत
βασικού	बेसिक
βασικού	मौलिक
κρατουμένων	बंदियों
αποκαταστάθηκε	लौटी
σιβηρία	साइबेरिया
σιβηρία	साइबेरियाई
απορρόφηση	अवशोषण
αναβάθμιση	उन्नयन
μογγολία	मंगोलिया
μογγολία	अंगोला
μογγολία	मंगोल
διαλύεται	भंग
διαλύεται	विलीन
τελικοί	फाइनल
χωριστά	जुदा
χωριστά	अलग
χωριστά	पृथक
φίσερ	फिशर
συσχέτιση	सहसंबंध
πολωνικά	पालिश
πολωνικά	पोलिश
πολωνικά	पॉलिश
κέιν	कैन
κέιν	केन
ορθογώνιο	आयत
ορθογώνιο	चतुर्भुज
ορθογώνιο	आयताकार
ορθογώνιο	आयताकार
λάος	लाओस
πανοραμική	परिदृश्य
κοινωνιολογία	समाजवाद
κοινωνιολογία	समाजशास्त्र
φτώχεια	निर्धनता
φτώχεια	गरीबी
φτωχή	बेचारी
φτωχή	बेचारे
φτωχή	गरीब
φτωχή	बेचारा
φτωχή	ग़रीब
στίχο	आयत
στίχο	श्लोक
φρανκφούρτη	फ्रैंकफर्ट
ιουστινιανού	जुस्तिनियन
κύριε	sir
κύριε	श्रीमान
κύριε	साहब
κύριε	महोदय
κύριε	सर
μυστήρια	रहस्यों
θάλαμο	चैंबर
θάλαμο	कक्ष
περιφερειακά	क्षेत्रीय
κάμερα	कैमरा
βαβυλώνα	बाबुल
δίκης	मुकदमा
δίκης	ट्रायल
δίκης	विचारण
ανθρωπότητα	इंसानियत
ανθρωπότητα	मानवता
παπά	उपदेशक
παπά	पुजारी
αντιπρόσωποι	प्रतिनिधियों
αντιπρόσωποι	प्रतिनिधि
ναυάγιο	रेक
επιβεβαιώνεται	पुष्टि
παράγωγο	डेरिवेटिव
ζυρίχη	ज़्यूरिख़
ζυρίχη	ज्यूरिख
σχετικότητας	आपेक्षिकता
στέψη	राज्याभिषेक
στέψη	राजतिलक
λουκ	ल्यूक
απαίτησε	मांगे
βομβαρδισμό	गोलाबारी
βομβαρδισμό	बमबारी
βίαιη	हिंसक
τρένα	ट्रेन
τρένα	ट्रेनों
τρένα	रेल
ιονίου	आयोनियन
κέπλερ	कॅप्लर
καπετάνιος	कैप्टन
καπετάνιος	क्षेत्ररक्षण
καπετάνιος	कप्तान
κυκλικό	चक्रीय
κυκλικό	परिपत्र
κυκλικό	वृत्ताकार
κυκλικό	गोलाकार
φίλε	यार
φίλε	पुरुष
φίλε	मनुष्य
φίλε	मैन
φίλε	आदमी
φίλε	इन्सान
φίλε	man
παπούτσια	जूते
χόφμαν	हॉफमन
οντάριο	ओंटारियो
πρωτεύουσες	शीर्षों
πρωτεύουσες	कैपिटल
πρωτεύουσες	राजधानी
βατικανό	वेटिकन
χρησιμότητα	उपयोगिता
χρησιμότητα	उपयोगी
χρησιμότητα	सुविधा
χρησιμότητα	उपयोगिता
χρησιμότητα	यूटिलिटी
ακούσει	सुना
παρουσιάζοντας	पेश
φυλάσσεται	पहरे
γουίλσον	विल्सन
ηρώδη	हेरोदेस
υποψηφίων	उम्मीदवार
στηβ	स्टीव
πολύτιμα	अनमोल
πράκτορες	एजेंटों
ομοιότητα	समानता
ομοιότητα	साम्य
ομοιότητα	प्रतिरूप
ομοιότητα	समानता
διαφημίσεις	विज्ञापन
οπλισμό	armament
φυσιολογική	सामान्य
δεκαετιών	दशकों
γουόλτερ	वाल्टर
άνετα	सहज
άνετα	आरामदायक
τζούλια	जूलिया
οξφόρδη	ऑक्सफोर्ड
ατλάντα	अटलांटा
μον	मोंट
μον	मोन
μον	सोम
γνωριμία	परिचित
γνωριμία	परिचितों
προσωρινό	अस्थायी
προσωρινό	अस्थाई
προσωρινό	अस्थायी
λιοντάρια	शेर
μαρίνο	मारिनो
έντυπο	फ़ॉर्म
έντυπο	प्रपत्र
έντυπο	फॉर्म
έντυπο	फार्म
έντυπο	रूप
τριλογία	त्रयी
μεταλλική	धात्विक
μονοπάτια	पथ
μονοπάτια	राहें
πακέτα	संकुल
πακέτα	पैकेज
πακέτα	पैकेट्स
πακέτα	पैक
συνεχές	निरंतर
συνεχές	लगातार
συνεχές	सतत
συνεχές	निरन्तर
συνεχές	सातत्यक
επιφανειακή	सतही
πνεύματα	स्पिरिट
πνεύματα	आत्माओं
αντουάν	एंटोनी
λοίμωξη	संक्रमण
εμίλ	एमिल
απόπειρες	प्रयास
απόπειρες	कोशिशें
τηλέφωνο	फ़ोन
τηλέφωνο	फोन
τηλέφωνο	टेलिफोन
τηλέφωνο	टेलीफ़ोन
τηλέφωνο	दूरभाष
τηλέφωνο	टेलीफोन
επαρκή	पर्याप्त
εβραϊκά	हिब्रू
εβραϊκά	यहूदी
ασυνήθιστο	असामान्य
έγκυος	गर्भवती
κριμαία	क्रीमिया
καθίσματα	सीटें
καθίσματα	सीटों
καθίσματα	सीटे
χαρτοφυλακίου	पोर्टफोलियो
διανέμεται	वितरित
διασποράς	गुच्छ
διασποράς	क्लस्टर
άρνολντ	अर्नोल्ड
άρνολντ	अर्नाल्ड
σπόρους	बीज
αρχιεπισκοπή	archdiocese
μπέιζμπολ	बेसबॉल
επεκτάσεις	विस्तार
επεκτάσεις	एक्सटेंशन्स
επεκτάσεις	एक्सटेंशन
τζιμπουτί	जिबूती
επίτευγμα	उपलब्धियाँ
επίτευγμα	उपलब्धि
αντιτορπιλικό	ध्वनिक
αντιτορπιλικό	विनाशक
όψεις	किनारा
όψεις	पहलू
τζούνιορ	जूनियर
φεγγάρι	चन्द्रमा
φεγγάρι	चाँद
φεγγάρι	चन्द्र
φεγγάρι	चांद
φεγγάρι	चंद्रमा
τηλεπικοινωνιών	दूरसंचार
δημιουργική	क्रिएटिव
δημιουργική	रचनात्मक
μπενφίκα	बेनफिका
στεφάνι	हूप
κουν	कुन
κουν	कुहन
σκληρότητα	क्रूरता
σκληρότητα	कठोरता
ανοικοδόμηση	पुनर्निर्माण
ανοικοδόμηση	पुनर्निर्माण
μότσαρτ	मोजार्ट
στρατηγούς	सेनापतियों
εξηγήσεις	स्पष्टीकरण
αλμπέρτο	अल्बर्टो
πληρωμή	अदा
πληρωμή	भुगतान
υπόσχεση	वादा
υπόσχεση	प्रतिज्ञा
τουβαλού	तुवालू
τόνγκα	टोंगा
μπροστινό	अग्र
μπροστινό	सामने
φόρου	कर
βερόνα	वेरोना
πάρκερ	पार्कर
γερουσιαστές	सीनेटरों
ενωμένη	यूनाइटेड
ενωμένη	संयुक्त
κινητά	मोबाइल
κινητά	मोबाईल
λίθιο	लिथियम
διάβασε	पढ़ें
διάβασε	पढ़े
διάβασε	पढ़ा
στάλθηκαν	भेजी
στάλθηκαν	प्रेषित
στάλθηκαν	भेजा
ανάρτηση	निलंबन
ανάρτηση	बर्खास्तगी
μετράει	रिश्तो
μετράει	गिनती
ελπίδες	आशाओं
ελπίδες	आशाएं
ελπίδες	उम्मीदें
φάλαγγα	व्यूह
φάλαγγα	काफिले
φάλαγγα	काफिला
δέσμη	बंडल
εξερευνητής	explorer
εξερευνητής	एक्सप्लोरर
άντον	एंटोन
λισαβόνας	लिस्बन
αστικές	अर्बन
αστικές	नगरीय
αστικές	शहरी
ορατή	दृष्टिगोचर
ορατή	दृश्यमान
ορατή	दृश्य
συναισθηματική	भावुक
συναισθηματική	भावनात्मक
συναισθηματική	इमोशनल
συναισθηματική	emotional
συναισθηματική	भावुक
πείνα	अकाल
πείνα	भुखमरी
πείνα	भूख
πιθανότητας	संभावना
πιθανότητας	संभाव्यता
ενδιαφέρονται	रुचि
ενδιαφέρονται	रुचिकर
ενδιαφέρονται	दिलचस्पी
χειρισμό	हैंडलिंग
χέρμπερτ	हर्बर्ट
ύψη	ऊंचाइयों
ύψη	हाइट्स
μπόμπι	बॉबी
μπόμπι	bobby
ομάρ	उमर
ομάρ	ओमर
μπορντό	bordeaux
μπορντό	बरगंडी
απόφοιτος	स्नातक
απόφοιτος	ग्रेजुएट
απόφοιτος	ग्रैजुएट
τζέισον	जेसन
καταλανικά	कैटलन
αιτιολογία	औचित्य
μεθάνιο	मिथेन
ανάμειξη	सम्मिश्रण
απόρριψη	अस्वीकृति
απόρριψη	निपटान
απόρριψη	छोड़ें
απόρριψη	अस्वीकृत
απόρριψη	छोड़ें
ζητήθηκε	निवेदित
ζητήθηκε	अनुरोधित
παράδοξο	विरोधाभास
οχτώ	आठ
βαλτική	बाल्टिक
αγοράστηκε	खरीदी
αγοράστηκε	ख़रीदा
αγοράστηκε	खरीदा
αγοράστηκε	खरीदी
αγοράστηκε	खरीदा
κέιμπριτζ	कैम्ब्रिज
μεταλλικά	धातु
μεταλλικά	मेटल
μεταλλικά	धात्विक
εστιατόρια	रेस्टोरेंट
εστιατόρια	रेस्तरां
προτείνεται	अनुशंसित
εφαρμόστηκε	लागू
σύντροφος	साथी
σύντροφος	पार्टनर
σύντροφος	साझेदार
σύντροφος	संगी
σύντροφος	कॉमरेड
σύντροφος	साथी
γονίδια	जीनों
ακραίες	चरम
έτοιμο	तैयार
μπερνάρ	बर्नार्ड
ψυχική	मानसिक
ψυχική	मानसिक
ψυχική	दिमागी
πρόωρα	असामयिक
συνθέτουν	लिखें
ενήλικα	प्रौढ़
ενήλικα	बालिग
ενήλικα	वयस्क
λογότυπα	लोगो
καταστρέφει	नष्ट
γαμπρός	दूल्हा
γαμπρός	दूल्हे
σομαλία	सोमालिया
σεμπάστιαν	सेबेस्टियन
χορηγός	प्रायोजित
χορηγός	प्रायोजक
αντιστοιχία	माचिस
αντιστοιχία	मिलाएँ
αντιστοιχία	मिलान
αντιστοιχία	मैच
ντόπιοι	स्थानीय
διέλευση	क्रासिंग
διέλευση	ट्रांज़िट
διέλευση	पारगमन
ουγκάντα	कैंडल
ουγκάντα	युगांडा
σχεδιάσει	नियोजित
πυρετό	बुखार
πυρετό	ज्वर
αποκαλύψει	प्रकट
αποκαλύψει	खुलासा
ζάχαρη	शक्कर
ζάχαρη	शुगर
παράγραφο	पैराग्राफ
παράγραφο	अनुच्छेद
διευθέτηση	अधिवास
διευθέτηση	निपटान
διευθέτηση	उपनिवेश
χρησιμοποίηση	उपयोग
βέρνερ	वर्नर
αντίστροφη	विपरीत
αντίστροφη	उल्टा
αντίστροφη	उलटा
αντίστροφη	रिवर्स
μάνο	मनो
μάνο	mano
ενέπνευσε	प्रेरित
δικαστές	न्यायाधीशों
ράλι	रैली
συγγένεια	अपनापन
συγγένεια	रिश्तेदारी
τζουζέπε	ग्यूसेप
μπρούνο	ब्रूनो
δημόσιος	सार्वजनिक
δημόσιος	जनता
δημόσιος	लोक
δημόσιος	पब्लिक
αυτόχθονες	स्वदेशी
άλλως	वरना
ποινικό	आपराधिक
ποινικό	अपराधी
ποινικό	क्रिमिनल
ποινικό	मुजरिम
ποινικό	दण्ड
όγδοη	आठवां
όγδοη	आठवीं
δημιουργίες	रचनाओं
δημιουργίες	रचनाएं
υποδιαίρεση	उपखंड
αντιπροσωπεία	प्रतिनिधिमंडल
συναδέλφους	साथियों
συναδέλφους	सहयोगियों
συναδέλφους	सहकर्मियों
συναδέλφους	सहकर्मी
λεφτά	मुद्रा
λεφτά	मनी
λεφτά	पैसा
λεφτά	पैसे
λεφτά	धन
υπολογισμός	गणना
υπολογισμός	गणना
κουρτ	कर्ट
πελάτη	ग्राहक
πελάτη	ग्राहक
πελάτη	क्लाइंट
πελάτη	क्लाएंट
δείχνοντας	प्रर्दशित
δείχνοντας	इंगित
έκκληση	अपील
