디랙	דיראק
호환성	תאימות
수마트라	סומטרה
전망	פרוספקט
메콩	המקונג
앨릭스	אלכס
보나파르트	בונפרטה
선덜랜드	סנדרלנד
동정	סימפטיה
동정	אהדה
동정	חמלה
칼리아리	קליארי
전자공학	אלקטרוניקה
수익	הכנסות
수익	הכנסה
수익	נכנע
수익	רווחים
수익	רווחים
검토하기	ביקורת
검토하기	סקירה
랠프	ראלף
아이오딘	יוד
돌연변이	מוטנט
돌연변이	מוטציה
돌연변이	מוטציה
데이지	דייזי
토리	טורי
토리	טורי
무신론	אתאיזם
무신론	אתאיסט
무신론	אתאיסטים
실험실	מעבדה
실험실	מעבדות
실험실	מעבדה
홈즈	הולמס
플랑드르	פלמית
지우	ברור
지우	נקה
지우	נקי
지우	מחק
반대편	ההפך
반대편	ההיפך
수렴	ההתכנסות
수렴	התכנסות
프로그래머	מתכנתים
프로그래머	מתכנת
관광객	תייר
관광객	תיירת
관광객	תיירים
관광객	תיירות
관광객	תיירים
관광객	תיירות
습작	לח
습작	לחות
습작	לחה
도끼	גרזן
도끼	אקס
도끼	גרזן
월리스	וואלאס
월리스	וואלס
월리스	וולאס
재판소	משפט
둘레	היקפי
둘레	המתחם
둘레	היקף
둘레	היקף
상업용	מסחרית
상업용	מסחרי
상업용	פרסומת
수영장	בריכות
수영장	בריכה
수영장	ביליארד
수영장	סנוקר
수영장	בריכת
이민자	מהגר
환영	מוזמנים
환영	בברכה
데이먼	דמון
데이먼	דיימון
자발적	בהתנדבות
자발적	מרצון
황소	שור
황소	בול
안달루시아	אנדלוסי
음악원	הקונסרבטוריון
화랑	גלריה
화랑	הגלריה
스택	סטאק
스택	מחסנית
스택	ערימות
큐슈	קיושו
에픽	אפיק
에픽	אפי
블로거	בלוגר
블로거	בלוגרים
친구들이	ידידים
친구들이	חברים
파인	פיין
파인	אורן
재무	פיננסי
재무	מימון
치과	שיניים
치과	דנטלי
알렌	אלן
인코딩	לקודד
인코딩	קידוד
몰리	מולי
몰리	מולי
몰리	מורלי
트루	טרו
화살	חצים
화살	חץ
화살	החצים
화살	חיצים
화살	חץ
심리학자	פסיכולוגית
심리학자	פסיכולוג
섹션	מקטע
섹션	סעיף
섹션	מחלקה
섹션	מחלקות
섹션	חלקים
햄릿	המלט
구문	ביטוי
구문	תחביר
그린란드	גרינלנד
루브르	הלובר
초원	מדו
무시	תתעלם
무시	להתעלם
무시	התעלם
무시	התעלמות
무시	התעלם
땅콩	בוטן
땅콩	אגוז
땅콩	אגוזים
땅콩	בוטנים
땅콩	בוטן
닐스	נילס
대표자	הנציג
대표자	נציג
가끔은	לפעמים
가끔은	לעתים
미러	מראות
미러	מראה
미러	ראי
미러	המראה
결제	שלם
결제	שלמי
결제	תשלום
결제	התשלום
결제	תשלומים
결제	התשלומים
트럼프	טראמפ
갈릴레이	גליליי
브룩	ברוק
브룩	ברוק
카이사르	קיסר
아름답다	יפה
아름답다	יפים
아름답다	יפות
역설	פרדוקס
역설	הפרדוקסים
불행한	אומללה
불행한	אומלל
불행한	מצערת
불행한	מצער
안도라	אנדורה
마리야	מרי
마리야	מארי
띄어쓰기	מרווחים
띄어쓰기	ריווח
폐기물	פסולת
폐기물	לבזבז
폐기물	בזבוז
허가서	רישיון
허가서	הרישיון
호위함	פריגטה
어린시절	ילדות
어메이징	מדהים
어메이징	מדהימות
어메이징	מדהימה
어메이징	מדהימים
브렛	ברט
브렛	בראט
알토	אלטו
올리비아	אוליביה
브라질리아	ברזיליה
칼데라	קלדרה
켄타	קנטה
급한	בהול
급한	דחוף
급한	דחופה
솔리드	מוצק
솔리드	מוצקה
외할아버지	סב
외할아버지	סבא
캐머런	קמרון
눈물이	הדמעות
눈물이	דמעות
의사소통	תקשורת
충전	חיוב
충전	להטעין
넓이	רחבה
넓이	רחב
베스	בת
임상	קליני
임상	קלינית
몽키	קוף
몽키	קופיף
터빈	טורבינת
터빈	טורבינות
사슴	צבי
사슴	אייל
시에라	סיירה
로건	לוגן
로건	לוגאן
기독교인	נוצרים
기독교인	הנוצרים
소원	מאחל
소원	משאלה
소원	הלוואי
소원	מאחלת
소원	מאחלים
소원	משאלות
수다	פטפטן
존경하는	מכובדת
존경하는	מכובד
비례	פרופורציונלי
비례	פרופורציה
런타임	runtime
반박	להפריך
모니터링	במעקב
모니터링	ניטור
모니터링	צג
모니터링	מוניטור
오크	אורק
엣지	הקצה
엣지	קצה
하모니카	המפוחית
파이썬	פיתון
난이도	קשיים
난이도	הקושי
난이도	קושי
브룩스	ברוק
브룩스	ברוקס
나뭇잎	משאיר
나뭇잎	עלים
나뭇잎	עלה
나뭇잎	העלה
현관	מרפסת
미니애폴리스	מיניאפוליס
스바루	סובארו
사담	סדאם
팟캐스트	פודקאסט
팟캐스트	פודקאסטים
파라	פארה
아이디어	רעיונות
아이디어	רעיון
아이디어	מושג
관습	מכס
관습	המכס
관습	נהוג
캐롤라이나	קרוליינה
인터랙티브	אינטראקטיבי
부상당한	פצועה
부상당한	נפצע
부상당한	פצועים
부상당한	פצוע
페널티	עונשין
페널티	קנס
페널티	עונש
합금	סגסוגת
합금	סגסוגת
케이시	קייסי
기꺼이	בשמחה
퍼거슨	פרגוסון
수사관	חוקרים
우회	מעקף
우회	עיקוף
우회	מעקף
우회	עוקף
우회	מעקפים
드레이크	דרייק
애니멀	בהמה
애니멀	חיה
죄수	שבויים
죄수	אסירים
기증	תרומה
기증	לתרומה
훔볼트	הומבולדט
맬컴	מלקולם
푸틴	פוטין
패킷	חבילות
패킷	חפיסות
패킷	חבילה
아카기	אקאגי
공학자	מהנדס
프리덤	חופש
프리덤	החופש
프리덤	חירות
메이슨	מייסון
결정하기	להחליט
결정하기	תחליט
침묵	שותקת
침묵	דומם
침묵	שקטה
침묵	דממה
침묵	שתיקה
침묵	דומיה
침묵	הדממה
침묵	שקט
중성	נייטרלי
헌트	האנט
괴산	נחטפה
괴산	נחטף
괴산	נחטפו
벵골	בנגלי
벵골	בנגלי
여자들	נשים
융합	היתוך
비틀즈	הביטלס
비틀즈	החיפושיות
니코	ניקו
니코	ניקו
장화	מגפיים
장화	המגפיים
스나이퍼	צלף
버팔로	באפלו
버팔로	תאו
버팔로	בופאלו
커리어	קריירה
커리어	הקריירה
커리어	קריירה
커리어	קריירות
공구	כלי
공구	הכלי
일자리	עבודות
일자리	משרות
프로스트	כפור
프로스트	פרוסט
셰인	שיין
크릭	קריק
둥지	קן
둥지	הקן
둥지	קנים
아바타	אווטאר
일시적	זמנית
일시적	זמנית
일시적	זמני
맥도널드	מקדונלד
맥도널드	מקדונלד
마늘	שום
마늘	השום
절벽	הצוקים
절벽	קליף
절벽	צוק
유머	הומור
유머	הומור
박쥐	המחבט
박쥐	עטלפים
박쥐	באט
박쥐	עטלף
박쥐	מחבט
박쥐	עטלפים
올림푸스	אולימפוס
빙하	קרחונים
푸앵카레	פואנקרה
듀엣	דואט
듀엣	הדואט
스타킹	גרב
스타킹	הגרב
콤플렉스	מורכבים
콤플렉스	מורכב
콤플렉스	מורכבת
콤플렉스	מתחם
콤플렉스	תסביך
빈곤	עוני
럭셔리	מותרות
럭셔리	יוקרה
보츠와나	בוטסואנה
물결	אדוות
물결	גל
스트레이트	סטרייט
스트레이트	ישר
이탈리아인	איטלקים
이탈리아인	האיטלקים
이탈리아인	איטלקית
이탈리아인	איטלקי
생태계	האקולוגית
듀티	חובה
홀리	הולי
무작위	אקראיות
무작위	מקרי
무작위	אקראי
무작위	אקראית
무작위	אקראיות
발렌타인	ולנטין
발렌타인	ולנטיין
랜스	לאנס
랜스	לנס
엑셀	מצטיינת
엑셀	מצטיין
엑셀	אקסל
엑셀	excel
서스펜션	השעיה
투자가	המשקיע
투자가	משקיעים
투자가	משקיעה
투자가	משקיע
스킨	העור
스킨	עור
지배자	דומיננטי
헬레나	הלנה
이사벨라	איזבלה
각도	זוית
각도	זווית
도망자	הנמלט
도망자	נמלט
파이트	ריבים
파이트	קטטות
파이트	קרבות
토네이도	טורנדו
습지	מארש
습지	ביצות
열쇠	המפתחות
열쇠	מפתחות
봄바디어	בומברדיה
아들들	בנים
구두	נעל
시리얼	סדרתי
시리얼	סידורי
시리얼	דגנים
예언	נבואות
예언	נביאים
예언	הנבואה
예언	נבואה
점화	הצתה
프레스	עיתונות
마스터스	מאסטרס
마스터스	אדונים
마스터스	מאסטר
마스터스	אדון
마스터스	מסטר
토양	אדמה
토양	קרקע
레이첼	רחל
아론	אהרון
아론	ארון
아론	אהרן
아론	אהרון
신념	האמונה
신념	פיית
신념	אמונה
신념	אמונות
신념	האמונות
신념	האמונה
신념	אמונה
얼티밋	האולטימטיבי
얼티밋	האולטימטיבית
변조	אפנון
플라즈마	פלזמה
플라즈마	פלסמה
복음	הבשורה
