din	dari
care	siapa
care	who
fost	been
mai	mai
mai	selengkapnya
mai	lebih
mai	lainnya
mai	lagi
pentru	untuk
lui	lui
lui	his
lui	nya
sunt	adalah
sunt	are
sit	situs
sit	site
dupa	sesudah
dupa	after
dupa	setelah
dupa	sesudah
dupa	after
dupa	setelah
ale	ale
lea	lea
prin	through
prin	melalui
regiunea	daerah
regiunea	wilayah
regiunea	provinsi
regiunea	region
regiunea	kawasan
mare	besar
mare	hebat
mare	agung
mare	big
mare	besar
mare	laut
anul	tahun
anul	year
comuna	common
comuna	kotamadya
comuna	munisipalitas
comuna	common
are	telah
are	has
are	memiliki
externe	eksternal
locuitori	penghuninya
locuitori	penduduk
locuitori	warga
locuitori	penghuni
legaturi	taut
legaturi	pranala
legaturi	link
legaturi	tautan
legaturi	links
legaturi	koneksi
legaturi	taut
legaturi	pranala
legaturi	link
legaturi	tautan
legaturi	links
vezi	lihat
dar	tapi
dar	tetapi
cod	code
cod	kode
cod	cod
populatie	penduduk
populatie	populasi
bucuresti	bucharest
bucuresti	bukares
bucuresti	bucuresti
bucuresti	bucharest
bucuresti	bukares
bucuresti	bucharest
bucuresti	bukares
fiind	being
fiind	menjadi
romania	rumania
romania	romania
romania	rumania
romania	romania
jpg	jpg
lista	daftar
lista	list
lista	daftar
lista	list
ucraina	ukraina
nume	munawar
nume	nama
ani	ani
ani	tahun
intre	antara
intre	diantara
intre	antara
intre	diantara
pana	till
pana	hingga
pana	sampai
pana	bulu
poate	mungkin
poate	maybe
poate	mungkin
poate	barangkali
doua	dua
doua	two
doua	dua
doua	two
rege	raja
rege	king
sub	under
sub	dibawah
alte	lain
alte	lainnya
cand	kapan
cand	saat
cand	apabila
cand	ketika
cand	kapan
cand	saat
cand	apabila
cand	ketika
regiune	daerah
regiune	wilayah
regiune	provinsi
regiune	region
regiune	kawasan
anii	tahun
parte	part
parte	bagian
judetul	kabupaten
judetul	county
judetul	daerah
judetul	powiat
judetul	kabupaten
judetul	county
judetul	daerah
judetul	powiat
centura	belt
centura	sabuk
centura	belt
centura	sabuk
dinastia	wangsa
dinastia	dinasti
septembrie	september
timp	kali
timp	waktu
timp	waktunya
timp	time
despre	tentang
despre	ttg
despre	perihal
despre	sekitar
unde	mana
unde	dimana
majoritatea	kebanyakan
majoritatea	paling
majoritatea	mayoritas
densitate	kepadatan
limba	lidah
limba	bahasa
limba	lidah
limba	bahasa
iunie	juni
multe	banyak
socorro	socorro
prima	pertama
prima	duluan
prima	dulu
prima	first
prima	premi
prima	premium
octombrie	oktober
august	august
august	agustus
sat	kampung
sat	dusun
sat	desa
sat	village
sat	sab
sat	sabtu
sat	sat
martie	march
martie	maret
biserica	gereja
biserica	church
biserica	gereja
biserica	church
fisier	berkas
fisier	file
fisier	berkas
fisier	file
decembrie	desember
decembrie	december
toate	all
toate	aii
toate	semua
ianuarie	januari
latns	latns
latd	latd
longd	longd
adresa	alamat
adresa	alamat
noiembrie	november
noiembrie	nopember
cum	bagaimana
cum	how
imagine	picture
imagine	gambar
imagine	gambar
imagine	image
imagine	citra
statul	negara
statul	keadaan
statul	state
familia	keluarga
familia	family
familia	famili
numele	nama
timpul	kali
timpul	waktu
timpul	waktunya
timpul	time
nord	utara
nord	north
nord	nord
principala	utama
principala	utama
sud	selatan
sud	south
aprilie	april
erau	were
loc	tempatkan
loc	place
loc	tempat
primul	pertama
primul	duluan
primul	dulu
primul	first
iulie	juli
doar	only
doar	saja
doar	hanya
doar	cuma
doar	hanya
editura	penerbit
asteroid	asteroid
februarie	februari
februarie	pebruari
recensamantului	sensus
trei	tiga
trei	three
asteroizi	asteroid
longm	longm
latm	latm
discutie	diskusi
discutie	diskusi
discutie	diskusi
franta	prancis
franta	france
franta	perancis
franta	prancis
franta	france
franta	perancis
franta	prancis
franta	france
franta	perancis
partea	part
partea	bagian
mult	much
mult	banyak
fara	tanpa
fara	tanpa
departamentul	departemen
foarte	sangat
data	tanggal
data	tgl
data	data
data	tanggal
data	tgl
departament	departemen
unul	satu
unul	one
apoi	lalu
apoi	maka
apoi	kemudian
grup	group
grup	kelompokkan
grup	grup
grup	kelompok
locul	tempatkan
locul	place
locul	tempat
oras	kotamadya
oras	town
oras	kota
oras	city
oras	kota
oras	kotamadya
oras	town
oras	kota
oras	city
oras	kota
oras	kotamadya
oras	town
oras	kota
oras	city
oras	kota
pot	dapat
pot	can
pot	bisa
camp	kemah
camp	perkemahan
camp	kamp
camp	camp
camp	bidang
camp	lapangan
camp	field
camp	medan
camp	kolom
