טרומן	ट्रूमैन
אינסוף	अनगिनत
אינסוף	अनंत
אינסוף	असीमित
אינסוף	अनन्त
אינסוף	अनंत
שוד	डकैती
יוהנס	योहानेस
שליטי	शासकों
זן	ज़ेन
זן	प्रजातियां
זן	प्रजाति
הריין	राइन
הידרו	हाइड्रो
ניירות	papers
שנאה	घृणा
שנאה	द्वेष
שנאה	हेट
שנאה	घृणा
שנאה	नफरत
שנאה	नफ़रत
שנאה	घृणित
אפריקאי	अफ्रीकी
אפריקאי	अफ़्रीकी
פרדי	फ्रेडी
פרדי	फ्रेडी
טלסקופ	दूरदर्शी
אסי	asi
אסי	अस्सी
קרניים	किरणें
עומס	लोड
המחוקקת	विधान
המחוקקת	विधायिका
המחוקקת	विधानमंडल
מסכימים	सहमत
מעבורת	शटल
מעבורת	फेरी
מעבורת	फैरी
אדיר	अदभुत
אדיר	कमाल
אדיר	गजब
האר	हर
טומי	टॉमी
אום	umm
עותק	कॉपी
עותק	नक़ल
קיסרי	इंपीरियल
קיסרי	इम्पीरियल
תקפה	वैध
תקפה	मान्य
גופה	जिस्म
גופה	बॉडी
גופה	शरीर
גופה	देह
גופה	लाश
אוהדי	फ़ैन
אוהדי	प्रशंसकों
אוהדי	प्रशंसक
פיוטר	प्यूटर
משקה	ड्रिंक
משקה	पीना
משקה	पेय
משקה	पेय
עממי	लोक
דיר	deir
תהילה	प्रसिद्धि
תהילה	शोहरत
תהילה	ख्याति
תהילה	कीर्ति
תהילה	महिमा
אחורה	पीछे
אחורה	बैक
אחורה	पिछे
אחורה	वापस
תעסוקה	रोज़गार
תעסוקה	रोजगार
תעסוקה	नियुक्ति
הסוגים	प्रकार
משלים	पूरक
משלים	पूरक
אחרונים	अंतिम
אחרונים	आखरी
אחרונים	आखिरी
אחרונים	पिछला
אחרונים	हालिया
אחרונים	हाल
הדנובה	डेन्यूब
דרשה	उपदेश
דרשה	मांगे
ראשונית	प्राथमिक
ראשונית	प्रारंभिक
ספנסר	स्पेंसर
נור	नूर
נור	noor
דנים	डेनिश
דנים	दानिश
דנים	डैनिश
דנים	डेनिम
בוגרת	प्रौढ़
בוגרת	बालिग
בוגרת	वयस्क
בוגרת	परिपक्व
בוגרת	वयस्क
אחיינו	भांजा
אחיינו	भतीजा
אחיינו	भतीजे
שייכות	प्रासंगिक
שייכות	प्रासंगिकता
הגלריה	गैलरी
הגלריה	गलियारा
הגלריה	दीर्घा
פאן	पैन
פאן	पण
עונשין	पेनल्टी
עונשין	दंड
קון	कॉन
קני	केनी
סעיפים	रिश्तो
הפער	अंतर
הפער	गैप
שהתגלה	खोजा
להביס	हार
להביס	शिकस्त
אנטוניוס	एंटोनी
חוט	तार
חוט	थ्रेड
חוט	लड़ी
עיתונאית	पत्रकार
מסוק	हेलीकॉप्टर
מסוק	हैलीकॉप्टर
מסוק	हेलीकाप्टर
הרצועה	डोरी
הרישיון	लाइसेंस
הרישיון	अनुज्ञा
דשא	घास
דשא	ग्रास
פרידה	ब्रेकअप
פרידה	विदाई
פרידה	बिछड़
טונות	टन
התמקד	केंद्रित
התמקד	केन्द्रित
מעצב	डिज़ाइनर
מעצב	डिजाइनर
מעצב	पंक्तियां
סטטיסטיקה	आंकड़े
סטטיסטיקה	आँकड़े
סטטיסטיקה	सांख्यिकी
סטטיסטיקה	आंकडे
סטטיסטיקה	आँकड़े
סטטיסטיקה	आंकड़े
חתך	कट
חתך	काटें
דטרויט	डेट्रॉयट
גלוי	दृष्टिगोचर
גלוי	दृश्यमान
גלוי	दृश्य
הקוונטים	क्वांटम
הסוחר	मर्चेंट
הסוחר	व्यापारी
נה	नेह
דיגיטלי	डिजीटल
דיגיטלי	डिजिटल
אסטרטגית	सामरिक
אסטרטגית	रणनीतिक
צירים	श्रमिक
צירים	श्रम
צירים	मजदूर
לכפות	थोपने
עוזרת	सहायक
הוקי	हॉकी
בפנים	अन्दर
בפנים	भीतर
בפנים	अंदर
חרדה	चिंतित
חרדה	बेचैन
חרדה	चिंता
פער	अंतर
פער	गैप
טורים	स्तंभ
טורים	कॉलम
טורים	स्तम्भ
טורים	कालम
סבב	परिक्रमण
סבב	घुमाव
סבב	घूर्णन
סבב	रोटेशन
שמור	सहेजें
שמור	रखें
שמור	रखना
עמותה	सम्बद्धता
עמותה	एसोसिएशन
עמותה	संघ
הדלת	दरवाजे
הדלת	दरवाजा
הדלת	दरवाज़ा
הדלת	द्वार
טכניקה	तकनीक
חוקרת	शोधकर्ता
ארטילריה	तोपखाने
עמיתים	साथियों
עמיתים	सहयोगियों
עמיתים	सहकर्मियों
עמיתים	सहकर्मी
הי	अरे
