and	un
was	bija
was	tika
for	par
for	priekš
for	for
that	ka
that	tas
with	ar
from	no
this	šī
this	šo
this	šis
this	tas
utc	utc
his	viņa
not	nav
not	ne
are	ir
talk	runāt
which	kas
which	kuras
which	kura
also	arī
but	bet
but	taču
one	viens
one	viena
one	vienu
new	jauna
new	jaunums
new	jauni
new	jauns
new	jaunais
new	jaunas
first	pirmais
first	pirmā
first	pirmās
first	pirmie
first	pirma
first	vispirms
page	lappuse
page	lapa
you	tu
you	tevi
you	jums
you	tev
you	jūs
they	viņi
they	tie
they	tās
had	bija
article	raksts
article	izstrādājums
article	pants
who	kas
who	pvo
who	kurš
all	visiem
all	visu
all	visas
all	visi
all	visa
their	viņu
there	tur
made	izgatavots
made	made
its	tās
people	cilveki
people	cilvēki
people	tauta
people	cilvēkiem
may	var
may	drīkst
may	maijs
after	pēc
other	pārējie
other	citi
other	cits
other	citādi
other	citas
should	būtu
should	vajadzētu
two	divas
two	divus
two	divi
score	score
her	viņai
her	viņas
can	var
can	varam
would	būtu
more	vairāk
more	vairak
she	viņa
she	vina
about	par
when	kad
time	laiks
time	laika
team	komanda
team	team
american	american
american	amerikāņu
american	amerikas
such	tādi
such	tāda
such	tāds
discussion	pārrunas
discussion	apspriešana
discussion	diskusijas
discussion	diskusija
links	saites
links	links
only	tikai
some	dažas
some	dažiem
some	daži
see	redz
see	skatīt
united	united
united	apvienotā
united	apvienoto
united	vienoti
years	gadus
years	gadi
years	gadiem
school	skola
school	skolas
school	skolu
school	skolā
world	pasaule
world	pasaulē
university	universitātē
university	universitāte
university	universitātes
during	laikā
out	ārā
out	out
state	valsts
state	štats
states	valstis
national	nacionālais
wikipedia	wikipedia
year	gadu
year	gads
most	vairums
most	visvairāk
city	pilsēta
used	izmanto
used	lietots
used	izmantotais
used	izmantots
used	lietoti
used	lietota
then	tad
than	than
than	nekā
county	apriņķis
county	apgabals
external	ārējais
external	ārējs
external	ārējā
where	kur
where	ja
will	būs
what	kas
what	kāda
what	kāds
what	ko
delete	izdzēst
delete	dzēst
any	jebkuru
any	jebkura
any	jebkurš
these	šīs
these	šie
january	janvāris
january	janvāra
january	janvārī
march	marta
march	martā
march	marts
august	augusts
august	augustā
july	jūlija
july	jūlijs
july	jūlijā
being	tiek
film	plēve
film	filma
film	plēves
him	viņam
him	viņu
many	daudziem
many	daudz
many	daudzi
many	daudzus
many	daudzas
south	dienvidu
south	dienvidos
south	dienvidi
september	septembris
september	septembrī
september	septembri
like	patīk
like	like
between	starp
october	oktobris
october	oktobrī
three	trim
three	trīs
june	jūnijs
june	jūnija
june	jūnijā
well	labi
well	nu
use	lietošana
use	lietojums
use	lietot
use	izlietot
use	izmantošana
war	karu
war	karš
war	kara
war	karā
under	zem
them	viņiem
april	aprīlis
april	aprīlī
april	aprīļa
born	dzimuši
born	dzimis
born	dzimusi
december	decembrī
december	decembris
december	decembra
december	decembrim
link	saikne
link	saite
while	kamēr
later	vēlāk
later	vēlākā
part	daļa
november	novembra
november	novembrī
november	novembris
players	spēlētāji
players	atskaņotāji
list	sarakstu
list	saraksta
list	uzskaitījums
list	saraksts
please	lūdzu
please	ludzu
february	februārī
february	februāra
february	februāris
known	zināma
known	zināmi
known	zināms
known	pazīstama
second	otrais
second	otrs
second	otrie
second	otrā
name	vārds
name	nosaukums
group	grupu
group	grupa
group	grupas
history	vēsture
history	vēstures
history	vēsturi
history	vēsturē
series	sērija
series	sērijas
just	tikai
north	ziemeļi
north	ziemeļos
north	ziemeļu
work	darbs
before	pirms
since	kopš
season	sezonai
season	sezonu
season	sezonas
season	sezonā
season	sezona
both	abas
both	abus
both	gan
both	abi
high	augstā
high	augstu
high	augsts
high	augsta
through	caur
through	cauri
district	rajons
district	apgabals
now	tagad
comments	piezīmes
comments	komentāri
comments	apsvērumi
comments	atsauksmes
because	jo
football	futbols
music	mūzika
music	music
music	mūzikā
diff	diff
diff	atšķirības
century	gadsimts
league	līgas
league	līga
edits	edits
debate	debates
title	virsraksts
title	tituls
articles	raksti
articles	izstrādājumi
articles	panti
john	džons
same	pašas
same	pašu
including	tostarp
including	ieskaitot
could	varēja
could	varētu
english	angļu
album	albuma
album	albums
album	albumu
number	numuru
number	numurs
number	skaitlis
number	skaits
against	pret
family	saime
family	ģimene
family	ģimenē
family	ģimenes
user	lietotājs
user	lietotāja
user	lietotājam
based	balstīts
area	teritorija
area	platība
area	apgabals
area	laukums
life	life
life	dzīve
life	dzīvi
life	dzīvība
british	britu
british	briti
british	british
british	lielbritānijas
international	international
international	starptautiskā
international	starptautiski
game	spēle
above	virs
above	augstāk
club	klubā
club	club
club	klubs
club	kluba
your	tavas
your	tavu
your	tavs
your	jūsu
your	tava
until	līdz
early	agrīna
early	agri
best	labākie
best	vislabāk
best	labākās
best	labākais
west	rietumu
west	rietumos
west	rietumi
west	west
house	māja
house	mājā
company	sabiedrība
company	uzņēmums
company	kompānija
general	vispārējā
general	vispārējais
general	vispārīgi
general	vispārēji
left	palicis
left	kreisais
left	kreisā
left	palikusi
very	ļoti
very	loti
here	šeit
here	te
don	dons
don	don
living	dzīvošana
living	dzīvo
day	dienu
day	dienā
day	diena
several	vairākas
several	vairāki
place	vieta
party	ballīte
party	party
party	partija
party	puse
college	koledža
college	kolēģija
college	koledžā
college	kolēģijas
college	koledžas
result	rezultāts
keep	turēt
keep	paturēt
appropriate	piemērota
appropriate	piemērotas
appropriate	atbilstoša
appropriate	piemēroti
appropriate	piemērots
four	četri
four	četras
four	četriem
four	četrus
even	pat
class	šķira
class	klase
government	valdība
government	valdības
how	kā
called	saucās
called	saukts
did	did
each	katrs
each	katru
each	katra
found	atrasta
found	atrastas
found	atrasts
center	centrs
center	centrā
per	per
style	stils
com	kom
com	com
long	ilgi
long	garais
long	gara
long	garas
long	garš
country	valsts
back	muguru
back	atpakaļ
back	mugura
www	www
modify	mainīt
modify	pārveidot
modify	izmaina
modify	izmainīt
end	beigas
make	padarīt
make	padarītu
make	make
make	marka
public	publiski
public	publiskais
public	publiska
played	spēlējis
played	spēlēja
won	uzvarēja
won	uzvarējis
won	ieguva
released	atbrīvota
released	atbrīvots
released	atbrīvoti
added	pievienoti
added	pievienots
added	pievienota
support	atbalstīt
support	atbalstu
support	atbalsts
support	atbalsta
games	spēles
former	bijusī
former	bijušie
former	bijušais
films	filmas
church	baznīca
church	baznīcas
church	baznīcā
east	austrumos
east	austrumu
east	austrumi
line	līnija
members	locekļi
members	dalībnieki
members	deputāti
members	biedri
good	laba
good	labas
good	labi
good	labs
good	labais
much	daudz
image	attēla
image	attēls
image	attēlu
show	rādīt
show	parādīt
still	vēl
still	vēljoprojām
still	joprojām
think	domājat
think	domā
think	domāju
think	domāt
think	domājam
think	padomā
below	zemāk
below	zem
town	pilsēta
last	pēdējo
last	pēdējais
last	pēdējā
last	pēdējās
last	pēdējoreiz
system	sistēmu
system	sistēma
system	sistēmas
right	tiesības
right	labās
right	pareizi
song	dziesma
non	non
section	iedaļa
section	sadaļa
section	sekcija
single	vienotā
