strasbourg	strasbourg
sportivi	idrottare
sportivi	idrottsmän
tulburari	störningar
chateau	chateau
chateau	chateau
adaugarea	tillägg
adaugarea	tillsats
adaugarea	addera
bois	bois
formularul	blankett
formularul	formulär
formularul	form
formularul	bilda
grupate	grupperas
grupate	grupperade
crima	mörda
crima	mord
crima	kriminalitet
crima	brottslighet
crima	brott
crima	crime
crima	mörda
crima	mord
crima	kriminalitet
crima	brottslighet
crima	brott
crima	crime
gotic	gotiska
tre	tre
roz	rosa
ahmed	ahmed
latine	latinska
latine	latin
frunzele	löv
frunzele	löven
frunzele	blad
compozitii	sammansättningar
moscovei	moskva
kashmir	kashmir
belgian	belgiska
belgian	belgare
belgian	belgisk
belgian	belgiskt
parohiala	provinsiell
orange	orange
orange	apelsin
pierderile	förlust
pierderile	förluster
naviga	segla
naviga	segel
echipament	utrustning
includerea	inkludering
includerea	integration
simona	simona
joachim	joachim
formal	formellt
formal	formella
formal	formell
formal	formellt
austin	austin
filozofia	filosofin
filozofia	filosofi
aedes	aedes
implicarea	delaktighet
implicarea	engagemang
implicarea	inblandning
wall	logg
wall	väggen
wall	vägg
wall	mur
harald	harald
autonome	självständig
autonome	autonoma
autonome	självstyrande
autonome	autonom
village	byn
village	by
village	village
raspandirea	spridning
raspandirea	sprider
raspandirea	sprida
raspandirea	sprida
raspandirea	spridning
raspandirea	spridit
raspandirea	sprid
intensa	intensivt
intensa	intensiv
intensa	intensiva
intensa	intensivt
intensa	intensiv
intensa	intensiva
mutata	flyttade
mutata	flyttat
mutata	rörd
mutata	flyttad
stramtoarea	sundet
stramtoarea	sund
refugiat	flykting
ungara	ungerska
ungara	ungrare
ungara	ungersk
scazuta	låga
scazuta	lågt
scazuta	low
scazuta	låg
compune	komponera
exterioara	utvändigt
exterioara	yttre
exterioara	utvändig
interventie	interventioner
interventie	ingripande
interventie	intervention
galilor	gallien
galilor	galler
fenomene	fenomen
fenomene	företeelser
austrieci	österrikare
austrieci	österrikiska
austrieci	österrikisk
austrieci	österrikare
costume	kostymer
costume	dräkter
costume	kostymer
costume	passar
costume	dräkter
muban	muban
grija	omsorg
grija	omtanke
grija	omtänksam
grija	skötsel
grija	bryr
grija	omsorg
grija	vård
grija	care
corul	kören
modelele	modeller
modelele	modellerna
modelele	förlagor
indeplini	uppfylla
reich	riket
reich	rikets
józsef	józsef
originile	ursprung
khan	khan
mutarea	rörliga
mutarea	flytta
mutarea	flytt
mutarea	flyttar
moscheea	moské
moscheea	moskén
latimea	bredd
ladislau	ladislaus
cooper	coopers
cooper	cooper
invazie	invasion
invazie	invasionen
ehf	ehf
brabant	brabant
dealuri	kullarna
dealuri	kullar
dealuri	hills
danny	danny
determinata	beslutsam
determinata	fastställd
determinata	bestämd
tag	taggen
tag	tagga
tag	tagg
perete	logg
perete	väggen
perete	vägg
perete	mur
amenajare	montering
amenajare	passande
nicholas	nikolaj
nicholas	nicholas
ixodes	ixodes
istoricii	historiker
straina	utrikes
straina	utländska
straina	utländsk
straina	utländskt
straina	främmande
iubit	älskade
iubit	älskad
iubit	älskade
iubit	älskad
iubit	pojkvän
iubit	pojkvännen
entitate	väsen
entitate	enhet
platina	platina
rezolva	löser
rezolva	lösa
rezolva	lös
rezolva	löser
rezolva	lösa
rezolva	lös
indivizi	privatpersoner
indivizi	individer
continental	continental
continental	kontinental
continental	kontinentala
caesar	caesar
cruci	kryss
cruci	korsar
cruci	korsningar
cruci	kors
pierdute	förlorat
pierdute	förlorad
pierdute	vilse
pierdute	lost
pierdute	förlorade
ctenus	ctenus
perioadele	perioder
bianco	bianco
ilustreaza	åskådliggör
ilustreaza	illustrerar
ilustreaza	illustrerar
ilustreaza	illustrera
cardinal	kardinal
cardinal	kardinalen
clare	clare
vulcan	vulkan
vulcan	vulcan
mostenit	ärvde
mostenit	ärvt
mostenit	ärvde
mostenit	ärvt
curentului	aktuell
curentului	nuvarande
curentului	aktuellt
curentului	aktuella
destinatie	destination
destinatie	destinationen
destinatie	resmål
destinatie	destination
