से	od
है	hai
एक	jedan
एक	jedna
श्रेणी	kategoriju
श्रेणी	kategorija
श्रेणी	serija
श्रेणी	seriji
श्रेणी	kategorije
श्रेणी	kategorija
भी	čak
भी	također
भी	takođe
भी	također
भी	takođe
भी	too
यह	ove
किया	jeste
किया	uradio
किया	urađen
किया	završeno
किया	urađeno
इस	ove
हैं	su
कि	toga
भारत	indija
जो	joe
जो	ko
जो	koji
ही	hee
रूप	oblik
रूप	formirati
रूप	forma
रूप	formi
रूप	formiraju
रूप	izgled
कर	porez
कर	porezi
कर	poreze
नहीं	nisu
गया	otišla
गया	prošao
गया	otišao
साथ	duž
साथ	sa
साथ	zajedno
पूर्व	istok
पूर्व	bivši
होता	bi
बाद	kasnije
बाद	nakon
तक	do
तक	tak
अपने	own
अपने	vlastiti
अपने	sopstvenog
अपने	sopstvene
अपने	sopstveni
अपने	posjeduju
अपने	vaš
अपने	tvoje
अपने	your
जिले	okruzi
जिले	okruga
था	imao
था	bio
राज्य	države
राज्य	država
राज्य	država
बाहरी	spoljne
बाहरी	vanjski
बाहरी	spoljnoj
बाहरी	spoljašnje
बाहरी	spoljašnja
बाहरी	vanjska
बाहरी	vanjski
कुछ	neki
कुछ	nešto
ईसा	isus
गाँव	selo
सरकार	datiraju
सरकार	vlast
कड़ियाँ	lanaca
कड़ियाँ	lancima
कड़ियाँ	veza
प्रदेश	regija
इसके	its
दिया	dat
दिया	dala
दिया	dao
दिया	dali
अन्य	ostala
अन्य	ostale
अन्य	drugim
अन्य	drugi
अन्य	ostali
अन्य	drugi
वर्ष	godina
वर्ष	godina
समय	vrijeme
नाम	ime
वे	oni
प्रकार	vrsta
प्रकार	vrste
प्रकार	nekako
प्रकार	tip
प्रकार	type
प्रकार	tipovi
प्रकार	vrste
भारतीय	indijska
भारतीय	indijanac
भारतीय	indijski
किसी	neko
क्षेत्र	regija
क्षेत्र	područja
क्षेत्र	oblasti
अधिक	više
कई	mnoge
कई	mnogi
कई	nekoliko
