категорія	категорија
від	oд
від	од
від	vid
для	за
про	околу
про	за
його	негова
його	негово
його	неговите
його	неговиот
його	неговата
його	негов
його	нејзините
його	своите
його	својата
його	нејзини
його	него
його	го
був	била
був	беше
був	бил
був	била
був	беше
населення	демографија
населення	популација
населення	население
було	била
було	беше
було	бил
було	била
було	беше
він	wien
він	вин
під	одоздола
під	под
під	испод
під	одоздола
під	под
під	испод
під	под
після	откако
після	по
після	после
або	или
час	пати
час	времето
час	време
але	но
але	ама
області	подрачја
області	области
які	кои
які	која
які	кое
при	pri
який	кои
який	која
який	кое
була	била
була	беше
були	бил
були	била
були	беше
були	беа
були	биле
осіб	личности
осіб	лица
міста	градови
міста	каприц
див	види
див	гледаш
див	видете
село	село
село	selo
село	село
село	селски
район	реон
район	округ
через	виа
через	преку
через	via
через	низ
через	преку
села	села
так	да
так	да
тому	аго
тому	затоа
рік	рик
рік	година
рік	year
відстань	оддалеченост
відстань	растојание
відстань	далечина
ради	совет
сша	уса
сша	usa
сша	сад
має	има
має	мора
має	must
область	област
область	област
область	подрачје
того	того
яка	што
яка	кои
яка	која
яка	кое
вони	тие
вони	они
близько	блиску
близько	затвори
близько	близу
близько	блиску
війни	војни
файл	датотека
між	помеѓу
між	помегу
між	измеѓу
між	меѓу
роки	години
обговорення	расправа
обговорення	дискусии
обговорення	дискусија
обговорення	дискусии
обговорення	разговараат
коли	кога
вона	таа
вона	она
лише	само
список	листа
список	список
вересня	септември
цей	ова
цей	оваа
цей	овој
березня	марш
березня	март
місце	место
місце	место
місце	локација
місце	седиште
місце	седишта
муніципалітет	општина
україні	украина
серпня	август
серпня	аугуст
січня	јануари
став	станав
став	станаа
став	постана
став	стана
став	станала
травня	мајски
травня	мај
грудня	декември
інших	macedonian
інших	други
інших	друѓи
інших	други
жовтня	октомври
серед	меѓу
серед	меѓу
один	една
один	едната
один	еден
один	едно
липня	јули
участь	учеснички
участь	вклученост
участь	вмешаност
участь	учество
участь	учествува
вид	љубезна
вид	љубезен
вид	вид
вид	врсти
вид	видови
вид	поглед
можна	може
можна	можи
можна	можат
червня	јуни
червня	џун
місто	град
місто	градче
місто	град
місто	градско
місто	градот
місто	градски
вже	веке
вже	веќе
життя	живот
життя	life
життя	животот
срср	ссср
квітня	април
листопада	ноември
лютого	фебруари
лютого	февруари
опис	опис
центр	средина
