apie	について
kaip	how
taip	はい
pat	パット
vieta	会場
vieta	所在地
kaimas	村落
kaimas	ヴィレッジ
šiaurės	ノルディック
tik	のみ
tik	ちょうど
tik	ジャスト
tik	ただ
vilniaus	ヴィリニュス
mirties	デス
bet	でも
bet	しかし
miesto	アーバン
dar	スティル
dar	それでも
dar	まだ
dalis	パート
dalis	部分
vilnius	ヴィリニュス
kalba	言語
karo	戦争
kultūros	文化
kultūros	カルチャー
birželio	六月
kurie	who
kur	どこ
daug	多数
rytų	イースト
rytų	東部
rytų	東部
mokykla	学校
mokykla	流派
mokykla	学校
mokykla	スクール
čia	ここ
kuri	庫裏
vakarų	ウエスト
vakarų	西部
vakarų	ウェスト
vakarų	ウェスタン
vakarų	ウエスタン
muzikos	ミュージカル
nors	だけれども
futbolo	サッカー
futbolo	フットボール
pietų	昼食
pietų	ランチ
daugiau	もっと
kaimo	村落
kaimo	ヴィレッジ
todėl	ゆえに
jau	すでに
jau	既に
and	カモ
and	アヒル
and	ダック
dalyvavo	連座
kalbos	言語
kalbos	言語
mokyklos	学校
mokyklos	スクール
šeimos	家族
upės	河川
upės	河川
šiaulių	シャウレイ
xix	xix
dabar	now
dabar	ナウ
rajonas	地区
rajonas	ディストリクト
dainų	ソング
darbo	働く
darbo	作業
isbn	isbn
vaikai	子供
oro	空気
oro	航空
oro	エア
tekstas	テキスト
anglų	イングリッシュ
anglų	英語
meno	arts
meno	芸術
svetainė	ウェブサイト
istorijos	記事
istorijos	ストーリー
istorijos	物語
istorijos	履歴
istorijos	由緒
istorijos	歴史
istorijos	沿革
bažnyčios	教会
jūros	sea
kas	who
universitetas	大学
apskritis	カウンティ
šio	この
šio	これ
romos	ローマン
romos	ロマン
romos	ローマ
beveik	ほぼ
mokslo	サイエンス
mokslo	科学
antanas	アンソニー
kartais	時々
kartais	ときどき
kartais	時折
kartais	たまに
kaime	村落
kaime	ヴィレッジ
šių	これらの
šių	これら
herbas	ハーブ
herbas	エンブレム
tėvas	父親
sporto	スポーツ
gavo	got
karalius	king
karalius	国王
karalius	キング
muziejus	美術館
muziejus	博物館
šeima	家族
laimėjo	ウォン
laimėjo	won
upė	河川
istorija	記事
istorija	ストーリー
istorija	物語
istorija	履歴
istorija	由緒
istorija	歴史
istorija	沿革
com	com
sūnus	息子
tsrs	ソビエト
kelio	道路
amerikos	アメリカン
amerikos	アメリカ
klubas	クラブ
klubas	棍棒
klubas	股関節
klubas	ヒップ
teatro	劇場
teatro	シアター
teatro	演劇
teatro	演劇
teatro	劇場
giminės	親族
giminės	親戚
laiko	タイム
laiko	時間
teka	流れる
veikia	ワークス
veikia	作品
gyvenimo	リビング
gyvenimo	living
gyvenimo	生活
gyvenimo	生命
gyvenimo	人生
gyvenimo	ライフ
kelias	道路
panevėžio	パネヴェジース
pietus	昼食
pietus	ランチ
žmogaus	ヒト
žmogaus	ヒューマン
žmogaus	人間
netoli	付近
netoli	近く
užsienio	外国
apibūdinimas	説明
apibūdinimas	解説
moterų	女性
amžiaus	age
amžiaus	年齢
amžiaus	年齢
auga	栽培
auga	成長
klubo	股関節
klubo	ヒップ
lietuva	リトアニア
inžinierius	エンジニア
balstogės	ビャウィストク
prūsijos	プロイセン
aktorius	俳優
institutas	研究所
raj	ラジ
pavasarį	地下
pavasarį	地下鉄
senovės	古代
xiv	xiv
direktorius	監督
direktorius	ディレクター
direktorius	取締役
kartus	タイムズ
motina	母親
motina	おかあさん
motina	母親
filmas	映画
filmas	ムービー
filmas	映画
filmas	フィルム
didysis	大きな
didysis	大きい
didysis	ビッグ
augalų	プラント
augalų	植物
parkas	パーク
parkas	公園
daina	歌曲
daina	ソング
katalikų	カトリック
tada	それから
šachmatų	チェス
miestai	タウンズ
miestai	都市
kelių	道路
kalnų	マウンテン
profesorius	教授
apsaugos	保護
dalies	パート
dalies	部分
komanda	チーム
kūno	本文
kūno	身体
kūno	本体
kūno	ボディ
bus	ウィル
bus	遺言
radijo	ラジオ
komandos	チーム
afrikos	アフリカ
colspan	colspan
jaunimo	青年
jaunimo	若者
jaunimo	ユース
jaunimo	青春
vyksta	ハプニング
prekybos	マーケティング
aleksandras	アレクサンドル
aleksandras	アレクサンドロス
aleksandras	アレクサンダー
aleksandras	アレキサンダー
žinoma	コース
televizijos	テレビ
jūrų	マリン
premija	ボーナス
politikas	政治家
statybos	構築
choro	合唱
