الليثيوم	litiu
بنين	benin
هدم	demolarea
هدم	demolare
هدم	demolari
اغنية	cantec
اغنية	song
اغنية	melodie
اغنية	cantec
مصرف	banca
مصرف	banca
مصرف	bank
قياسي	standardul
قياسي	standard
مذكرة	memoriu
مذكرة	memo
مذكرة	memorandumul
مذكرة	memorandum
الكلاسيكي	clasica
الكلاسيكي	clasic
الكلاسيكي	clasica
تلقائي	automata
تلقائي	automatic
تلقائي	automate
تلقائي	automat
المنتدى	forum
المنتدى	forumul
خزان	tank
خزان	rezervor
خزان	tanc
خزان	rezervor
صممت	proiectat
صممت	proiectata
صممت	conceput
صممت	proiectate
صممت	concepute
مجلد	dosar
مجلد	dosarul
وليم	william
وليم	wilhelm
قبله	pup
السكن	locuinte
السكن	locuinte
السكن	cazare
السكن	carcasa
السكن	cazare
حائز	holder
حائز	titular
حائز	titularul
التنقيب	excavare
التنقيب	prospectare
كيان	entitate
كيان	entitatea
البعيد	distant
البعيد	telecomanda
البعيد	distant
البعيد	telecomanda
البعيد	distanta
صعوبات	dificultatile
صعوبات	dificultati
جدل	controverse
جدل	controversa
جدل	controversa
شون	shawn
اسطنبول	istanbul
باتمان	batman
الفلم	film
يولد	nascut
يولد	nascuta
يولد	nascut
حرق	ard
حرق	arsura
حرق	burn
حرق	arde
حرق	ard
حرق	ardere
حرق	arzand
النيجر	niger
نقش	gravura
نقش	inscriptie
فلورنسا	florenta
فلورنسا	florenta
فلورنسا	florence
فلورنسا	florenta
بورت	burt
بورت	portul
بورت	port
مترجم	translator
مترجم	traducator
مترجم	interpret
مترجم	subtitrate
جلسات	sesiuni
جلسات	sesiunile
تام	tam
القراءات	lecturi
عال	high
عال	inalta
عال	inalta
عال	tare
مريض	pacienta
مريض	pacientul
مريض	pacienta
مريض	pacient
مريض	bolnav
مريض	bolnava
مريض	bolnavi
مريض	bolnava
بطريق	pinguin
بطريق	pinguinul
جرعة	doza
جرعة	doza
مناورات	manevre
مناورات	manevre
مثيرة	sexy
مثيرة	sexi
مثيرة	interesant
مثيرة	incitant
المقيمين	locuitori
المقيمين	locuitorii
المقيمين	rezidenti
المثالية	idealismul
الشفاء	vindecare
الشفاء	vindecarea
شتاء	iarna
شتاء	iarna
شرب	baut
شرب	bea
شرب	bautura
اكتساب	dobandi
اكتساب	achizitia
اكتساب	achizitie
ليوناردو	leonardo
المتاحف	muzeele
المتاحف	muzee
بورما	burma
بورما	birmania
بورما	birmanez
سين	sen
النزاعات	conflictele
النزاعات	conflicte
النزاعات	disputele
النزاعات	litigii
النزاعات	litigiile
النزاعات	dispute
منتظم	regulata
منتظم	regulate
منتظم	regulat
منتظم	obisnuit
الزكاة	zakat
الجيولوجية	geologica
الجيولوجية	geologic
الجيولوجية	geologice
رمزي	ramzi
رمزي	simbolic
رمزي	simbolica
استكشاف	explorarea
استكشاف	explorare
استكشاف	exploreaza
استكشاف	explora
درعا	armura
درعا	armura
درعا	armuri
درعا	scut
درعا	scutul
درعا	shield
درعا	daraa
الصانع	producator
الصانع	producatorul
الصانع	producator
الصانع	producatorului
فرس	iapa
فرس	iapa
الذئاب	lupii
الذئاب	lupi
المواصفات	specificatiile
المواصفات	specificatii
المواصفات	specificatie
المواصفات	specificatia
المواصفات	specificatii
المواصفات	specificarea
كيب	kip
زر	nasture
زر	buton
زر	button
زر	butonul
القبلية	tribal
القبلية	tribale
الطيبة	bunatate
الطيبة	bunatatea
جوقة	cor
جوقة	corul
موانئ	porturile
موانئ	porturi
شعور	senzatie
شعور	sentimentul
شعور	sentiment
شعور	simt
العملاق	gigant
العملاق	urias
ريفية	rurala
ريفية	rurale
ريفية	rural
الصهيوني	sionist
ليلا	laila
ليلا	noapte
ليلا	noaptea
العجز	handicap
العجز	invaliditate
العجز	incapacitate
العجز	deficitului
العجز	deficitul
العجز	deficit
الانتقام	razbunarea
الانتقام	razbunare
الانتقام	razbunare
جرام	gram
بولونيا	bologna
نيكولا	nicola
الضابط	ofiter
الضابط	ofiter
الضابط	ofiter
الفاكهة	fructul
الفاكهة	fructe
الفاكهة	fructele
الفاكهة	fruct
الكود	codul
الكود	cod
حريق	focul
حريق	incendiu
حريق	foc
شواطئ	plajele
شواطئ	plaje
الخلط	amestecarea
الخلط	amestecare
الخلط	confuzia
الخلط	confuzie
الخلط	confuzii
الخلط	derutat
الخلط	confuzi
الخلط	confuz
الخلط	confuza
الزهراء	zahra
زمان	zaman
المقابر	cimitirul
المقابر	cimitir
تصريح	autorizare
تصريح	permisiune
تصريح	permisiunea
دلالة	semnificatie
دلالة	semnificatia
دلالة	semnificatie
منفصل	separat
منفصل	separate
منفصل	separat
منفصل	separa
منفصل	separata
منفصل	separate
هود	gluga
هود	gluga
هود	capota
هود	hood
بديلة	alternative
بديلة	alternativa
بديلة	alternativ
بديلة	alternativa
بديلة	supleant
بديلة	alternativ
ذروة	varf
الشهادات	certificat
الشهادات	certificatul
الشهادات	marturii
الشهادات	certificatele
الشهادات	certificate
المشرف	moderator
المشرف	supervizorul
المشرف	supraveghetor
المشرف	supervizor
المشرف	responsabilul
المشرف	responsabil
المشرف	administrator
المشرف	administratorul
ترميز	codare
ترميز	codificare
ترميز	codare
ترميز	codificare
هيلين	helen
مثبطات	inhibitori
مثبطات	inhibitorii
الحمد	lauda
الحمد	lauda
الحمد	laude
الصيانة	intretinerea
الصيانة	intretinere
الصيانة	intretinere
الانتقالية	tranzitorie
الانتقالية	tranzitoriu
الانتقالية	tranzitorii
التبغ	tutun
التبغ	tutunul
اصدار	editia
اصدار	editie
اصدار	editie
اصدار	editie
اصدار	editia
اصدار	versiunea
اصدار	versiune
اصدار	emitere
اصدار	emiterea
اصدار	problema
ليلي	crin
ليلي	lily
فيشر	fisher
كول	cole
صغار	tanara
صغار	tanar
صغار	tinere
صغار	young
صغار	tineri
راسل	russel
راسل	russell
صديقة	iubita
صديقة	iubita
صديقة	prietena
صديقة	prietena
شتات	diaspora
الجمجمة	craniu
الجمجمة	skull
الجمجمة	craniul
الكبريت	sulf
الكبريت	sulf
الظل	umbrele
الظل	umbre
الظل	shadow
الظل	umbra
الظل	umbra
الظل	umbra
الظل	umbra
كارتر	carter
نيفادا	nevada
القلم	pen
القلم	stilou
التقديرات	estimeaza
التقديرات	estimarea
التقديرات	estimare
التقديرات	estimarile
التقديرات	estimari
تدرج	gradient
تدرج	insereaza
مواصلة	continuarea
مواصلة	continuare
مواصلة	continuati
مواصلة	continua
مواصلة	continua
كاي	kai
كاي	kay
التنين	balaur
التنين	dragonul
التنين	dragon
تغيرت	schimbat
تغيرت	schimbata
تتويج	incoronarea
القيروان	kairouan
اريد	vrei
اريد	vreau
هول	hall
هول	urlet
هول	howl
مشارك	participantul
مشارك	participant
الطقوس	ritualul
الطقوس	ritual
الطقوس	ritualuri
الطقوس	ritualurile
الفطر	ciupercile
الفطر	ciuperci
المعتقدات	convingerile
المعتقدات	convingeri
دل	del
جرذ	sobolan
جرذ	rat
سكاي	cerul
سكاي	sky
سكاي	cer
