mecanismos	mehanizmi
acreditar	vjeruj
acreditar	vjerovanje
acreditar	vjerujući
concluída	dovršeno
concluída	završena
concluída	završio
concluída	završeno
eleitores	birača
eleitores	glasači
eleitores	birači
australiana	australski
august	kolovoz
august	kolovoza
august	august
bizantinos	bizantskog
bizantinos	bizantinaca
qualificação	kvalifikacije
qualificação	kvalifikacije
qualificação	kvalifikacija
luke	luke
deep	duboka
deep	duboko
concluído	dovršeno
concluído	završena
concluído	završio
concluído	završeno
concluído	završeno
robinson	robinson
pátio	dvorište
pátio	yard
pátio	dvorištu
pátio	dvorište
pátio	terasu
fortificações	utvrde
western	zapadna
western	zapadni
western	western
culpa	krivnja
holmes	holmes
kurt	kurt
emancipação	emancipaciju
mina	mina
mina	moj
mina	moja
mina	moje
pietro	pietro
circunstâncias	okolnosti
circunstâncias	okolnost
circunstâncias	okolnosti
orange	narančasta
orange	orange
orange	narančasto
orange	naranče
xxi	xxi
abastecimento	opskrba
abastecimento	zaliha
residentes	stanovnik
residentes	stanovnici
residentes	stanovnika
residentes	stanari
derrotas	poraz
derrotas	porazi
derrotas	poraza
derrotas	porazi
derrotas	poraza
tanque	tenk
tanque	spremnik
tanque	tank
tito	tito
tito	tita
tito	titus
museus	muzeje
museus	muzeji
museus	muzej
ferido	ozlijeđeni
ferido	ozlijeđen
ferido	ranjena
ferido	ranjeni
ferido	ranjen
ferido	ranjeno
ferido	povrijediti
ferido	povrijeđen
dallas	dallas
plástico	plastika
plástico	plastične
plástico	plastika
malásia	maleziji
malásia	malezijski
card	karticu
card	kartica
positivas	pozitivni
positivas	pozitivna
positivas	pozitivno
positivas	pozitivan
cartão	kartona
cartão	karton
cartão	karticu
cartão	kartica
violação	kršenje
violação	silovanje
violação	silovanja
violação	proboj
violação	kršenje
fort	tvrđava
fort	utvrda
fort	fort
diretores	direktori
susan	suzan
susan	susan
sex	seks
sex	seksa
sex	sex
alcançando	postizanje
cerâmica	lončarstvo
cerâmica	keramičke
cerâmica	keramike
falsa	lažni
falsa	lažno
cinematografia	kinematografija
idéias	ideje
manifestação	demonstracija
manifestação	demonstracije
manifestação	manifestacija
pianista	pijanist
postura	stajalište
postura	držanje
melbourne	melbourne
edwards	edwards
prof	prof
melhorias	poboljšanja
melhorias	poboljšanje
melhorias	poboljšanja
melhorias	poboljšanje
exige	zahtijeva
java	jave
java	java
controlo	nadzor
controlo	kontrola
eficiência	učinkovitosti
eficiência	učinkovitost
eficiência	efikasnost
eficiência	učinkovitost
eficiência	efikasnost
rebelde	buntovnik
rebelde	pobunjenika
rebelde	pobunjenik
rebelde	buntovna
proibido	zabranjena
proibido	zabranjeno
proibido	zabranjeni
proibido	zabranjen
proibido	zabranjena
proibido	zabranjeno
proibido	zabranjena
proibido	zabranjen
voivodia	vojvodstvo
marine	marine
marine	marinac
grace	grace
grace	milost
culinária	kuhanje
culinária	kuha
culinária	kulinarski
arizona	arizona
charlotte	charlotte
mito	mitu
mito	mit
químicos	kemikalija
químicos	kemijski
químicos	kemikalije
químicos	kemijska
químicos	kemičari
químicos	kemikalije
uhf	uhf
avó	baka
avó	bakica
avó	bako
avó	baki
avó	bakica
avó	baka
ênfase	naglasak
usava	nosili
usava	nosio
usava	nosila
consulta	upita
consulta	upit
consulta	konzultacije
consulta	konzultacija
análises	analizira
análises	analize
análises	analiza
reverter	obrnuto
aula	razred
aula	klase
aula	klasa
dramática	dramatična
dramática	dramatičan
dramática	dramatično
filmado	snimio
filmado	snimljeno
matando	ubijanje
matando	ubijanje
giro	slatke
giro	sladak
giro	slatko
giro	slatki
giro	slatka
giro	giro
padres	svećenike
padres	svećenici
ferrovia	željeznica
ferrovia	željeznica
ferrovia	pruga
fique	ostani
segmentos	segmentima
aplica	primjenjuje
elias	elijah
elias	ilija
elias	elias
arábia	arabiji
arábia	arabije
traços	osobine
traços	tragovi
soberano	suverena
colocadas	stavljena
colocadas	stavljen
judeu	židovski
judeu	židov
judeu	židove
judeu	židov
bruxelas	brussels
bank	banka
bank	banke
vegetais	povrće
vegetais	biljka
vegetais	povrće
vegetais	povrća
alimento	hrane
alimento	hrana
elétrons	elektrona
elétrons	elektrona
observatório	opservatoriju
esboços	skice
regresso	povratak
regresso	povratak
automóvel	auto
automóvel	automobil
automóvel	kola
automóvel	automobil
cana	reed
cana	rod
cana	rode
cana	cana
emma	ema
emma	emma
asiático	azijske
asiático	azijski
cinquenta	pedeset
cinquenta	fifty
estética	estetika
estética	estetske
gradualmente	postupno
gradualmente	postepeno
dores	boli
dores	bol
dores	bolovi
dores	bolovi
centre	centar
centre	središte
centre	sredina
augusta	augusta
multi	multi
massas	pasta
massas	tjestenina
massas	tjesteninu
massas	mase
massas	rezance
massas	noodles
marta	marta
marta	marta
marta	martha
reduzido	smanjene
reduzido	smanjen
reduzido	smanjena
gospel	evanđelja
gospel	evanđelje
lorenzo	lorenzo
assegurar	osigurati
legais	pravni
legais	pravna
legais	pravno
legais	legalno
mineira	rudarske
lúcia	lucy
lúcia	lusi
lúcia	lucija
lúcia	lucia
naturalmente	prirodno
gustav	gustav
horta	vrta
horta	garden
horta	vrt
horta	horta
madrugada	zore
madrugada	zoru
madrugada	svitanje
madrugada	zora
amostra	uzorak
amostra	uzorci
cbs	cbs
vegetal	povrće
vegetal	biljka
exibidos	prikazani
exibidos	prikazano
exibidos	prikazana
exibidos	prikazane
exibidos	prikazan
conteúdos	sadržaj
conteúdos	sadržaj
georges	georges
empregado	zaposlenik
empregado	zaposlenica
empregado	zaposlenika
empregado	konobar
empregado	zaposlen
empregado	zaposleni
empregado	zaposleno
sexuais	seksualna
sexuais	seksualno
reduzida	smanjene
reduzida	smanjen
reduzida	smanjena
keith	keith
funk	funk
entrando	ulazimo
entrando	ulazim
costume	uobičajeno
costume	običaj
costume	prilagođena
ronald	ronald
ronald	ronalda
estabilidade	stabilnost
estabilidade	stabilnosti
escultor	kipar
horizontal	vodoravno
magic	magic
magic	čarolija
magic	magija
sensação	osjećaj
sensação	senzacija
convidada	pozvan
convidada	pozvana
convidada	pozvani
convidada	gost
permanecendo	ostanak
permanecendo	ostajem
permanecendo	preostali
permanecendo	preostala
permanecendo	preostalo
poetas	pjesnici
poetas	pjesnika
efetivamente	učinkovito
ludwig	ludwig
samurai	samuraj
samurai	samuraja
samurai	samuraji
pretendia	namjeravao
pretendia	namijenjen
ron	ron
espectro	spektra
espectro	spectre
espectro	spektar
anunciada	najavio
anunciada	objavio
anunciada	najavili
fósseis	fosila
fósseis	fosil
catalunha	kataloniji
puro	uredno
puro	uredan
puro	uredna
puro	čista
puro	cista
puro	čisto
iugoslávia	jugoslaviji
iugoslávia	jugoslavija
iugoslávia	jugoslaviju
iugoslávia	jugoslavije
lloyd	lloyd
visuais	vizualna
visuais	vizualno
visuais	vizualni
warren	warrena
warren	warren
conquistado	osvojio
barras	rešetaka
barras	rešetke
barras	barovi
premio	nagrada
slam	slam
tive	imao
tive	imali
tive	imala
núcleos	jezgre
núcleos	jezgre
mudando	mijenjanje
mudando	mijenjam
arsenal	arsenal
arsenal	arsenala
mirim	mirim
turcos	turaka
turcos	turci
turcos	turcima
turcos	tursko
turcos	turski
colina	brdo
colina	brijeg
colina	hill
farol	svjetionik
farol	svjetionika
farol	beacon
conselhos	vijeća
conselhos	savet
conselhos	savjet
marítima	pomorski
parou	zaustavio
parou	prestalo
parou	zaustavljen
parou	stao
bombas	crpke
bombas	pumpe
bombas	bombe
visa	vizu
visa	vize
visa	visa
visa	viza
equipas	timovi
equipas	ekipe
equipas	momčadi
escocês	škotska
escocês	škot
escocês	škotski
debates	debate
acusação	optužnica
acusação	optužnicu
acusação	optužba
acusação	tužiteljstva
acusação	tužiteljstvo
investigações	istrage
adequada	pravilno
adequada	propisno
adequada	pravilan
adequada	adekvatno
adequada	adekvatan
adequada	pogodno
adequada	pogodan
adequada	prikladno
cerebral	cerebralni
misericórdia	mercy
misericórdia	milosrđe
misericórdia	milost
mínimos	minima
mínimos	minimalno
mínimos	minimum
mínimos	minimalna
mínimos	minimalno
mínimos	minimalne
mínimos	minimalni
mínimos	minimalna
válidos	valjan
válidos	valjano
guiana	gvajana
make	make
make	napraviti
make	napravi
esquadrão	eskadrila
esquadrão	odred
esquadrão	desetina
esquadrão	momčad
registo	registar
registo	registrirati
registo	registar
registo	registracija
registo	registraciju
registo	registracije
governante	vladara
governante	vladar
piratas	gusari
piratas	pirati
piratas	gusarski
piratas	gusar
piratas	pirate
piratas	pirat
kids	djeco
kids	deca
kids	djeca
corredor	bjegunac
corredor	trkač
corredor	hodnik
corredor	koridor
corredor	hodnik
corredor	prolaz
kingdom	kraljevina
kingdom	kraljevstvo
vizinho	susjed
vizinho	susjeda
vizinho	susjed
vizinho	susjeda
vestígios	tragovi
vestígios	trag
sandra	sandra
profundo	duboka
profundo	duboko
clipes	klipove
tanques	tenk
tanques	spremnik
tanques	tank
tanques	tenkovi
tanques	tenkove
ideologia	ideologija
arnold	arnold
implica	implicira
implica	podrazumijeva
gerente	upravitelj
gerente	menadžer
gerente	voditelj
urss	sssr
reconhecer	prepoznati
reconhecer	prepoznati
atrações	atrakcija
adotou	usvojen
adotou	usvojena
adotou	usvojila
imposto	poreza
imposto	porez
prazer	užitak
prazer	zadovoljstvo
avisado	upozoren
avisado	upozoreni
avisado	upozorio
rené	rené
rené	rené
rené	rene
actor	glumac
actor	glumca
assinar	subscribe
assinar	potpisujem
assinar	potpisivanje
ofereceu	ponuđena
ofereceu	ponuđen
ofereceu	ponudio
ofereceu	ponuđeno
intelectuais	intelektualci
intelectuais	intelektualno
caridade	dobrotvorne
caridade	milosrđe
caridade	dobrotvorni
integrada	integrirani
carvão	ugljen
carvão	ugljena
carvão	ugljen
pistas	piste
pistas	padinama
pistas	tragove
cordilheira	doseg
cordilheira	raspon
cordilheira	daljina
cordilheira	dometu
cordilheira	cordillera
presa	zapela
presa	zaglavljen
presa	zaglavio
presa	uhićeni
presa	uhićen
presa	plijen
internacionalmente	međunarodno
noites	noci
noites	noći
noites	noćima
noites	večeri
departamentos	odjela
amaro	amaro
barcos	brodove
barcos	brodovi
barcos	čamci
arredores	okruženju
arredores	okruženje
malta	malta
oponente	protivnik
oponente	protivnika
básicos	osnovno
básicos	osnovne
básicos	osnove
básicos	osnovni
raymond	raymond
hunter	lovac
hunter	hunter
iniciando	početku
iniciando	pocetak
iniciando	početak
iniciando	počinje
forest	šuma
forest	šume
forest	forest
consideração	razmatranje
consideração	obzir
consideração	razmatranja
episcopal	episkopalna
visitou	posjetili
visitou	posjetio
salva	spašava
salva	štedi
salva	mudrac
salva	sage
salva	spremi
salva	spašen
salva	spasio
salva	spremljena
extensa	opsežna
her	joj
her	nju
justo	pravedna
justo	pravedni
justo	pravedno
justo	pravedan
justo	pošteno
justo	sajam
anéis	prstenje
humberto	humbert
humberto	humberto
humberto	umberto
humberto	hubert
átomos	atoma
átomos	atom
átomos	atomi
átomos	atoma
ernst	ernst
vanessa	vanessa
comunistas	komunisti
comunistas	komunističke
comunistas	komunist
comunistas	komunistički
comunistas	komunisti
comunistas	komunista
rodovias	autoceste
rodovias	autocesta
sepultado	zakopano
sepultado	sahranjen
sepultado	pokopan
sepultado	zakopan
inspirada	inspiriran
inspirada	inspirirala
joan	joan
absurdo	apsurdno
frankfurt	frankfurt
lara	lara
inovação	inovacije
inovação	inovacija
florida	floridu
florida	floridi
florida	florida
falhas	neuspjehe
falhas	mane
nbc	nbc
meridional	južni
meridional	južna
meridional	južnoj
montana	montana
montana	montanu
fundir	spoji
fundir	spajanje
dum	dum
felicidade	sreća
felicidade	sreću
performances	nastupe
performances	nastupi
performances	izvedbe
triunfo	trijumf
telescópio	teleskop
canada	kanada
canada	kanadi
canada	kanade
canada	kanadu
canada	kanadska
norman	norman
tronco	torzo
tronco	prtljažnik
tronco	prtljažniku
caverna	pećina
caverna	pećini
caverna	spilja
caverna	špilja
promessa	zakletva
promessa	zalog
historicamente	povijesno
liverpool	liverpool
alternativas	alternativni
alternativas	alternativa
alternativas	alternative
dourado	zlatni
dourado	zlatna
dourado	zlatne
dourado	zlatno
dourado	zlatna
dourado	zlato
dourado	zlatni
dourado	gold
dourado	zlata
bebê	beba
bebê	dušo
bebê	mala
harold	harold
comparado	usporedio
propõe	predlaže
propõe	predložiti
propõe	predloži
propõe	zaprosi
virginia	virginiji
virginia	virginia
virginia	virginiju
resultante	rezultirajuće
portos	lukama
fixa	popravio
fixa	fiksna
fixa	fiksne
fixa	fiksni
fixa	popravljen
adversários	protivnik
adversários	protivnici
minuto	minuta
minuto	minut
minuto	minutu
reitor	dekan
reitor	din
reitor	dean
reitor	rektor
edge	rub
edge	rubu
contemporâneo	suvremena
contemporâneo	suvremene
contemporâneo	suvremeni
noiva	zaručnica
noiva	mlada
noiva	nevjesta
noiva	mladu
noiva	mladenka
noiva	zaručnice
noiva	zaručnica
noiva	zaručeni
noiva	zaručen
emi	emi
associadas	suradnike
associadas	suradnici
coletiva	kolektiv
pavilhão	zastava
pavilhão	paviljon
spin	spin
spin	okret
proximidade	blizina
proximidade	blizine
proximidade	blizina
proximidade	bliskost
inserir	ubaci
insiste	inzistira
insiste	inzistirati
wii	wii
borda	rub
borda	obruč
borda	rub
borda	rubu
borda	granice
borda	granica
funcionário	zaposlenik
funcionário	zaposlenica
funcionário	zaposlenika
funcionário	službeno
funcionário	službeni
funcionário	zvanično
percepção	percepcije
percepção	percepcija
ganho	dobitak
loire	loire
acadêmica	akademske
acadêmica	akademski
frequentes	česte
frequentes	zajednički
frequentes	zajedničko
frequentes	zajednička
fechada	zatvoreno
fechada	zatvorena
fechada	zatvoren
infra	infra
cinza	sivo
cinza	siva
cinza	gray
cinza	sivi
cinza	pepeo
cinza	ash
cinza	pepela
cinza	sivo
cinza	siva
cinza	grey
cinza	sivi
oxigênio	kisika
oxigênio	kisik
serie	serie
corrêa	corrêa
frequente	zajednički
frequente	zajedničko
frequente	zajednička
frequente	česte
phoenix	feniks
phoenix	phoenix
enviada	poslana
enviada	poslano
muralha	zid
muralha	zida
mercedes	mercedes
machos	mužjaci
difíceis	tesko
difíceis	teško
sargento	narednik
rachel	rachel
renovação	renoviranje
renovação	obnova
renovação	obnavljanje
renovação	obnova
renovação	obnovu
fragmentos	fragmenti
exclusivo	ekskluzivni
exclusivo	ekskluzivno
geometria	geometrija
crônica	kronična
crônica	kronika
telecomunicações	telekomunikacije
apoiado	podržavao
apoiado	podržava
eficaz	efikasno
eficaz	učinkovit
eficaz	učinkovito
sweet	slatki
sweet	slatko
sweet	slatka
sweet	milina
hopkins	hopkins
prestígio	prestižnu
prestígio	prestiž
coletivo	kolektiv
centímetros	inča
centímetros	centimetra
centímetros	centimetara
leipzig	leipzigu
say	reci
secundárias	sekundarni
fenômenos	fenomen
fenômenos	fenomen
fenômenos	pojava
enterrado	zakopano
enterrado	sahranjen
enterrado	pokopan
enterrado	zakopan
líbia	libijski
líbia	libiji
embarcações	plovila
embarcações	žile
pouso	slijetanja
pouso	iskrcavanje
pouso	slijetanje
issn	issn
confrontos	sukobi
confrontos	sukobima
criaturas	stvorenja
criaturas	bića
euro	eura
euro	euro
colapso	kolaps
parágrafo	paragraf
parágrafo	odlomak
marx	marx
matheus	matheus
pátria	domovina
pátria	domovine
pátria	domovinska
pátria	domovinu
pátria	domovina
pátria	domovinu
tigre	tiger
tigre	tigrica
tigre	tigar
tigre	tigre
pescoço	vrat
competir	natjecati
competir	natjecati
operar	operirati
operar	operativni
semestre	semestra
semestre	semestar
ring	prsten
temática	tematske
temática	tema
derivados	derivata
oficina	radionica
oficina	radionice
oficina	radionicu
estêvão	stephen
estêvão	stjepan
estêvão	stefana
estêvão	stefan
estêvão	stefanu
dinamarquês	danske
dinamarquês	danski
invenção	izum
invenção	izmišljen
invenção	izmislio
invenção	izumio
hidrogênio	vodik
perdida	izgubljeni
perdida	izgubljena
perdida	izgubljeno
perdida	izgubljen
almas	duse
almas	duše
timor	timor
hebraico	hebrejski
jurisdição	nadležnosti
jurisdição	nadležnost
adolfo	adolfo
adolfo	adolf
adolfo	adolfa
bactérias	bakterijski
bactérias	bakterija
bactérias	bakterije
progressivo	napredna
colaborou	surađivao
colaborou	surađivao
requer	zahtijeva
alfa	alpha
alfa	alfa
alfa	alfa
tentaram	probala
tentaram	probali
tentaram	probao
tentaram	pokušao
verso	stih
harrison	harrisona
harrison	harrison
ligeiramente	neznatno
futuros	budućnosti
futuros	budućnost
impróprio	neprikladna
impróprio	neprikladno
impróprio	neprimjereno
inferiores	inferiorni
fiéis	vjernici
fiéis	vjerna
fiéis	vjeran
fiéis	vjerni
potências	moći
potências	ovlasti
potências	powers
potências	sile
toque	dodirni
toque	dodir
toque	dodirom
encontros	sastanke
encontros	susreti
encontros	sastanci
encontros	izlasci
encontros	susreti
encontros	susrete
encontros	susreta
votado	glasao
votado	glasali
votado	glasovao
viajar	putovanja
viajar	putovanje
viajar	putujem
viajar	putuje
viajar	putujući
viajar	putuje
viajar	putovanja
viajar	putujem
viajar	putujemo
turner	turner
incorporada	incorporated
incorporada	ugrađen
incorporada	ugrađeni
primárias	predizborima
primárias	primarno
primárias	primarna
primárias	primarni
bombeiros	vatrogasci
meninos	momci
meninos	dečki
observado	promatrao
pertencem	pripadam
pertencem	pripadaju
pecuária	stoka
maneiras	načine
maneiras	načini
maneiras	maniri
maneiras	manire
hills	brda
hills	hills
absoluto	apsolutna
supercopa	supercopa
money	novac
money	lova
money	pare
money	love
crenças	uvjerenja
crenças	vjerovanja
crenças	vjerovanje
crenças	uvjerenje
moreno	moreno
compreender	razumijem
compreender	shvati
compreender	shvaćanje
compreender	razumijevanje
lobos	vukova
lobos	vukovi
lobos	lobos
denis	denis
patinação	klizanje
airlines	airlines
monstros	čudovišta
sobrevivência	opstanak
sobrevivência	preživljavanje
acidentes	nesreće
acidentes	nezgode
silvio	silvio
vermelhas	crveno
vermelhas	crvena
vermelhas	crven
vermelhas	crveni
negativa	negativan
negativa	negativna
negativa	negativno
negativa	negativni
parentes	rodbina
parentes	rodbini
parentes	rođaci
julia	julia
orgânica	organsko
orgânica	organska
orgânica	organski
realizando	obavljanje
realizando	nastupa
realizando	izvođenje
significativamente	značajno
raro	rijetka
raro	rijetki
raro	rijetko
raro	retko
raro	rijetke
caracterizado	prikazano
caracterizado	izdvojene
mariposa	moljac
perfeita	savršen
perfeita	savršeno
bush	bush
bush	grm
redonda	okrugli
redonda	okruglo
redonda	okrugla
redonda	runda
sociologia	sociologije
gótico	goth
gótico	gotički
quadrado	trgu
quadrado	trg
quadrado	kvadrat
quadrado	kvadrat
rodríguez	rodriguez
rodríguez	rodríguez
atacou	napadnuti
atacou	napadnut
atacou	napadnuta
sin	grijeha
sin	grijeh
sin	greh
normais	normalno
normais	normalan
normais	normalna
normais	normalni
amistoso	prijateljski
amistoso	prijateljska
amistoso	prijateljske
coragem	hrabrosti
coragem	hrabrost
atitudes	stavovi
atitudes	stavove
obtidos	dobivena
medeiros	medeiros
vantagens	beneficije
vantagens	prednosti
vantagens	povlastice
vantagens	pogodnosti
vantagens	prednosti
eyes	oci
eyes	oči
básicas	osnove
básicas	osnovno
básicas	osnovne
básicas	osnove
básicas	osnovni
directamente	direktno
directamente	izravno
ilegal	nezakonito
ilegal	nelegalno
ilegal	protuzakonito
ilegal	ilegalno
ilegal	nezakonito
mansão	manor
vítor	viktora
vítor	viktor
vítor	viktor
vítor	victor
sugeriu	predložio
sugeriu	predloženi
submarino	podmornice
submarino	podmornica
mudado	promijenjen
intenso	intenzivne
intenso	intenzivno
intenso	intenzivna
intenso	intenzivno
intenso	napeto
intenso	intenzivna
intenso	intenzivan
ferrari	ferrari
peixoto	peixoto
trilhas	staze
trilhas	stazama
trilhas	tragove
trilhas	tragovi
gerando	generiranje
assistir	pazi
espelho	zrcalo
espelho	ogledalo
expandir	proširi
existiu	postojala
existiu	postojao
fritz	fritz
area	područje
area	oblast
impede	spriječava
impede	sprječava
impede	sprečava
allan	allan
boeing	boeing
assalto	napad
assalto	pljačka
assalto	pljačke
favoráveis	povoljne
