прогрес	napredak
изпратена	poslata
изпратена	poslali
изпратена	poslao
изпратена	poslan
цветни	obojena
човешко	čovjek
процесите	procesi
галерии	galerijama
изпълнен	ispunio
леля	tetka
леля	tetka
контузия	povrede
контузия	povreda
скок	jump
скок	skok
цикъла	ciklus
частична	djelimična
частична	djelimični
люк	luke
люк	luk
съпротивление	otpor
ресторант	restoran
дева	djevica
дева	deva
андреас	andreas
казан	kotao
казан	kazanj
слънчеви	sunčan
слънчеви	sani
слънчеви	solarni
слънчеви	sunčev
слънчеви	solarne
лусия	lucije
лусия	lucija
лусия	lucia
победителите	pobjednici
въздушно	vazdušna
въздушно	vazduh
арагон	aragón
азиатски	azijsko
азиатски	azijski
азиатски	azijske
азиатски	azijska
умерено	umjerene
умерено	umjereno
анатомия	anatomija
истинска	real
истинска	pravi
стан	stan
журито	žirija
журито	žiri
задвижване	pogon
образователни	obrazovna
формиране	formiranje
формиране	formiranja
формиране	formacija
агенцията	agencija
добави	dodaju
добави	dodati
добави	dodajte
разработени	razvijao
разработени	razvijene
разработени	razvio
сиво	gray
сиво	siva
сиво	sive
сиво	sivi
сиво	siva
хордови	hordati
условно	uslovnu
условно	uslovne
условно	uslovna
условно	uslovno
сфери	sfere
установка	pokretač
календара	kalendar
археолог	arheolog
археолог	arheolog
сфорца	sforza
тъмна	tamne
тъмна	dark
тъмна	mraku
тъмна	tamna
тъмна	mračna
костите	kosti
пръст	prst
параметър	parameter
единна	ujedinjene
модена	modena
астрономия	astronomija
президентските	predsjednički
сокол	soko
изкуствен	vještačko
изкуствен	vještačka
великден	vaskrs
великден	uskrs
неочаквано	neočekivano
пациенти	pacijenti
пациенти	pacijentima
пациенти	pacijenata
пациенти	pacijente
сейшели	sejšela
морско	pomorski
морско	maritime
агенти	agenti
организирано	organizirani
организирано	organizirano
организирано	organizirana
организирано	organizovana
организирано	organizovane
организирано	organizovani
организирано	organizovano
организирано	organizovan
дебър	debar
донякъде	donekle
нормандия	normandija
построено	sagrađena
построено	izgrađena
построено	izgrađeno
построено	izgradio
спортно	sporting
спортно	sportskim
спортно	sportski
спортно	sportskom
спортно	sportska
спортно	sportsko
остро	oštrim
остро	oštre
остро	oštru
остро	oštrog
остро	akutni
остро	akutne
стихотворение	sevdalinka
руините	ruševina
руините	ruševine
руините	ruševinama
финландски	finski
дистанция	udaljenost
клеопатра	kleopatra
пирамида	piramida
психологията	psihologija
магнус	magnus
роналд	ronald
катар	katar
създателите	kreatori
тясна	uski
тясна	uske
доминика	dominika
брабант	brabant
бонус	bonus
кеймбридж	cambridge
гренландия	grenland
аргумент	argument
спиране	zaustavljanje
спиране	prekid
синтез	fusion
синтез	sinteza
синтез	sintezu
