din	mula
care	sino
care	aling
care	alin
mai	mai
mai	pa
mai	pang
lui	lui
lui	kanyang
sit	site
ale	ale
lea	lea
prin	through
regiunea	rehiyon
mare	sarap
mare	magaling
mare	big
mare	malaking
mare	malaki
mare	dagat
anul	taon
comună	karaniwan
comună	karaniwang
are	has
externe	panlabas
locuitori	naninirahan
locuitori	residente
legături	links
vezi	makita
vezi	see
vezi	makakita
vezi	tingnan
dar	ngunit
dar	pero
cod	code
cod	kodigo
cod	cod
populație	populasyong
populație	populasyon
bucurești	bucharest
fiind	pagiging
românia	romania
jpg	jpg
lista	listahang
lista	listahan
ucraina	ukraine
nume	pangalan
nume	pong
ani	taon
avea	ay
avea	had
avea	nagkaroon
între	pagitan
până	till
până	hanggang
comuna	munisipalidad
comuna	munisipyo
comuna	karaniwan
comuna	karaniwang
poate	siguro
poate	baka
poate	marahil
două	dalawang
două	dalawa
două	two
rege	king
rege	hari
rege	haring
când	kapag
când	kailan
regiune	rehiyon
anii	taon
parte	bahagi
parte	part
parte	parte
județul	county
județul	kondado
centura	sinturon
centura	belt
dinastia	awan
septembrie	setyembre
timp	panahon
timp	oras
timp	time
despre	tungkol
unde	saan
unde	asan
majoritatea	pinaka
majoritatea	karamihan
majoritatea	majority
majoritatea	karamihan
majoritatea	nakararami
densitate	density
limbă	dila
limbă	wika
limbă	alangan
limbă	wikang
limbă	tausug
iunie	june
iunie	hunyo
multe	maraming
multe	marami
socorro	socorro
prima	unang
prima	muna
octombrie	oktubre
august	august
august	agosto
sat	nayon
sat	umupo
martie	marso
biserica	iglesia
biserica	simbahan
biserica	church
fișier	tipunan
fișier	magsampa
fișier	talaksan
fișier	file
decembrie	december
decembrie	disyembre
toate	all
toate	puro
toate	lahat
ianuarie	january
ianuarie	enero
latns	latns
latd	latd
longd	longd
adresă	tirahan
adresă	address
noiembrie	nobyembre
noiembrie	november
cum	paano
cum	pano
imagine	picture
imagine	larawan
imagine	larawan
imagine	imahe
statul	state
statul	estado
lor	kanilang
fie	alinman
fie	either
avut	ay
avut	had
avut	nagkaroon
familia	kapamilya
familia	pamilya
numele	pangalan
numele	pong
timpul	panahon
timpul	oras
timpul	time
nord	north
nord	hilagang
nord	hilaga
nord	nord
principală	pangunahing
principală	pangunahin
sud	timog
aprilie	april
aprilie	abril
loc	lugar
loc	pook
primul	unang
primul	muna
iulie	hulyo
doar	lang
doar	lamang
doar	lng
doar	nalang
doar	basta
editura	publisher
asteroid	asteroid
februarie	february
februarie	pebrero
recensământului	census
listă	listahang
listă	listahan
trei	tatlong
trei	tatlo
asteroizi	asteroids
limba	dila
limba	wika
limba	alangan
limba	wikang
limba	tausug
lats	lats
longm	longm
latm	latm
discuție	talakayan
franța	pransiya
franța	france
partea	bahagi
partea	part
partea	parte
mult	magkano
mult	marami
departamentul	kagawaran
departamentul	departamento
foarte	napaka
raionul	pasilyo
data	date
data	petsa
data	datos
data	data
departament	kagawaran
departament	departamento
unul	isa
unul	one
apoi	then
apoi	pagkatapos
grup	grupo
grup	pangkat
grup	group
locul	lugar
locul	pook
oraș	bayan
oraș	lungsod
oraș	siyudad
oraș	city
pot	pwede
pot	maari
camp	kampo
germania	germany
germania	alemanya
germania	mikrobyo
face	gumawa
face	gawing
satul	nayon
național	national
național	pambansa
național	pambansang
național	nasyonal
note	notes
note	tala
perioada	panahon
ucraineană	ukranyano
general	pangkalahatan
general	heneral
general	pangkalahatang
general	general
război	digmaan
război	digmaang
peste	mahigit
română	romanian
