restant	남음
contractes	계약
contractes	계약서
pantalons	바지
tinta	잉크
tibet	티베트
hassan	hassan
plànols	평평한
plànols	플랫
dot	dot
culpable	유죄
greix	뚱뚱한
greix	지방
greix	살찐
saqueig	전리품
saqueig	자루
anunciat	발표
lloguer	임대료
lloguer	월세
lloguer	임대
lloguer	렌트
compensació	보상
tel	tel
apèndix	부록
detectiu	형사
detectiu	탐정
trompeta	트럼펫
trompeta	나팔
corint	코린토스
ruth	루스
rodalies	부근
five	다섯
five	파이브
funcionalitat	기능
roi	roi
enter	정수형
enter	정수
fractura	골절
chopin	쇼팽
entreteniment	엔터테인먼트
entreteniment	오락
eritrea	에리트레아
patins	스케이트
agulles	바늘
inscrits	등기
inscrits	등록
pronunciar	발음
llicenciatura	총각
llicenciatura	학사
treballador	노동자
treballador	근로자
plaer	즐거움
plaer	기쁨
plaer	쾌락
gene	유전자
navegant	항해
navegant	요트
aritmètica	산술
planteja	포즈
monopoli	독점
jay	제이
guies	가이드
perfecció	완벽
mantell	맨틀
mantell	망토
lituà	리투아니아어
lituà	리투아니아
indians	인디언스
indians	인디언
electric	전기
stefan	스테판
stefan	슈테판
elefant	코끼리
absent	결석
hostal	inn
hostal	여관
powell	파월
zimbabwe	짐바브웨
atzar	무작위
atzar	무작위로
atzar	랜덤
mitchell	미첼
guardiola	과르디올라
intel	인텔
mobiliari	가구
orientat	지향
constructor	빌더
convenient	편리하다
convenient	편리
terry	테리
agricultors	농부
pub	술집
aprova	승인
mausoleu	영묘
experimentat	경험
berna	베른
myanmar	미얀마어
myanmar	미얀마
tàctica	전술
discriminació	차별
despatx	사무소
despatx	사무실
despatx	오피스
haydn	하이든
botí	전리품
atur	실업
six	여섯
esportista	운동선수
esportista	육상선수
esportista	스포츠맨
màgic	마법
neboda	조카
docència	교육
docència	교사
docència	가르침
pràctic	실무
pràctic	실용적
pràctic	실용
prioritat	우선순위
romeu	로미오
romeu	romeo
junior	주니어
consecutius	연속
demòcrates	민주당
complicat	복잡한
laboratoris	연구소
laboratoris	실험실
distribueix	배포
distribueix	분배
connectat	연결됨
jordà	조던
jordà	조르당
intersecció	교차
intersecció	교차점
intersecció	교차로
suïcidi	자살
boxa	복싱
lleials	충성
lleials	충실
magnus	매그너스
magnus	마누스
magnus	마그누스
austin	오스틴
tramvia	트램
rajoles	벽돌
riscos	위험
riscos	리스크
biològic	생물학
anuncis	광고
rondes	라운드
musell	주둥이
kate	kate
kate	케이트
edmund	에드먼드
coordinador	코디네이터
clarke	클라크
roosevelt	루스벨트
roosevelt	루즈벨트
coeficient	계수
clarinet	클라리넷
màlik	말리크
admet	인정
tommy	토미
edwards	에드워즈
kenneth	케네스
linda	린다
llegit	읽음
llegit	읽어보기
llegit	읽기
llegit	읽는다
llegit	읽고
secà	건조
secà	드라이
neutralitat	중립성
neutralitat	중립
chelsea	첼시
chelsea	chelsea
peculiar	특이
nutrients	영양소
prefereix	선호
alçària	높이
alçària	키는
brooks	브룩스
bremen	브레멘
marea	조수
tempestes	폭풍
vulgar	저속한
antenes	안테나
cameron	캐머런
cameron	카메론
seattle	시애틀
nuremberg	뉘른베르크
justificar	정당화
visconti	비스콘티
reed	리드
tambor	드럼
diamant	다이아몬드
mensual	월간
mensual	매달
mensual	매월
cometes	혜성
collita	수확
preferència	선호
cid	cid
pantalles	화면
pantalles	스크린
armadura	갑옷
armadura	기갑
armadura	갑옷
implementar	구현
sac	자루
trajecte	여행
inclús	심지어
inclús	조차도
malauradament	불행히도
cleveland	클리블랜드
parcials	편향
parcials	부분적
parcials	부분
rogers	로저스
monja	수녀
rumb	코스
rumb	과정
emocional	감정
clergues	성직자
fai	fai
motocicleta	오토바이
motocicleta	모터사이클
ferida	상처
ferida	부상
bricolatge	diy
integritat	무결성
novè	아홉번째
supermercat	슈퍼마켓
esperits	스피리츠
empresaris	사업가
empresaris	기업가
dna	dna
fosa	캐스팅
honorari	명예
porcs	돼지
jennifer	제니퍼
euler	오일러
monstre	괴물
monstre	몬스터
monstre	괴물이
robot	로봇
perry	페리
dinasties	왕조
polzades	인치
lotari	로타르
lotari	로테르
rugby	럭비
kurds	쿠르드족
murcia	무르시아
invasors	침략자
apache	아파치
fletxes	화살
fletxes	화살표
inestabilitat	불안정성
inestabilitat	불안정
moisès	모세스
moisès	모세
moisès	모스
matrius	행렬
andrews	앤드루스
mecenes	후원자
estadis	경기장
luca	루카
distribuïda	분산
curiositat	호기심
funcionals	함수형
evacuació	철수
preparats	준비
compacte	컴팩트
compacte	콤팩트
terminologia	용어
holmes	홈즈
holmes	홈스
saviesa	지혜
lleons	라이온스
lleons	라이언스
lleons	사자
instant	즉석
instant	인스턴트
instant	즉시
incursió	침공
hitchcock	히치콕
cristòfor	크리스토퍼
buida	비어
brill	brill
corals	산호
simfonies	교향곡
hongaresos	헝가리인
voluntari	자원봉사자
voluntari	자원봉사
àliga	독수리
àliga	이글
wyoming	와이오밍
head	헤드
head	머리
balanç	균형
balanç	밸런스
balanç	잔액
cintes	테이프
rubio	루비오
multiplicació	곱셈
pistola	권총
pistola	피스톨
gustau	구스타프
trek	트렉
setmanal	주간
setmanal	매주
ariel	아리엘
conclusions	결론
guadalupe	과달루페
guadalupe	과들루프
guadalupe	과달루페
cera	왁스
catalan	카탈루냐
catalan	카탈루냐어
singles	singles
singles	싱글
renault	르노
esquelet	뼈대
mèrits	장점
sidney	시드니
ted	테드
ted	ted
dinosaure	공룡
aïllades	고립
protons	양성자
cadàver	시체
gnu	gnu
adreces	주소
mortalitat	사망률
xat	채팅
etiquetes	레이블
etiquetes	라벨
etiquetes	태그
regals	선물
necròpolis	네크로폴리스
droga	마약
droga	약물
droga	의약품
còdex	코덱스
càpsula	캡슐
pacífica	평화로운
pacífica	평화롭고
sands	샌드
sands	샌즈
acompanyant	동반자
acompanyant	동행자
simbòlic	심볼릭
recipient	용기
recipient	컨테이너
blake	블레이크
prestigiós	명문
cables	와이어
cables	케이블
enquesta	설문
enquesta	설문조사
hindú	힌두교
legalment	법적으로
mat	짝꿍
mat	메이트
baralla	갑판
operadors	연산자
operadors	운영자
birmingham	버밍엄
cometre	커밋
gustavo	구스타보
industrialització	산업화
bukharà	부하라
uss	uss
manipulació	조작
pètals	꽃잎
mann	mann
activació	활성화
batman	배트맨
abbas	압바스
abbas	아바스
tàctiques	전략
tàctiques	전술
carol	캐럴
carol	캐롤
mhz	mhz
comprat	샀다
historiografia	역사학
hindús	힌두교
inventat	발명
guineu	폭스
guineu	여우
wta	wta
adolescents	십대
adolescents	청소년
adolescents	십대
colón	콜론
pertinença	멤버십
pertinença	멤버
mínims	최소
deutes	채무
deutes	부채
tecla	키키
disponibilitat	가용성
exclusiu	독점
exclusiu	단독
owen	오웬
panells	패널
divorci	이혼
instàncies	인스턴스
obediència	순종
bertrand	베르트랑
bertrand	버트런드
michele	미셸
ibèria	이베리아
estricte	엄격한
zàmbia	잠비아
reflectir	반영
cresta	크레스트
motos	자전거
auckland	오클랜드
clinton	클린턴
geomètrica	기하학
hispànica	히스패닉
defectes	결점
potencials	잠재력
potencials	퍼텐셜
potencials	잠재
potencials	잠재적
sufix	접미사
editorials	출판사
respiració	호흡
implicació	개입
tortugues	거북
tortugues	거북이
franciscà	프란치스코회
gest	몸짓
gest	제스처
vàlida	유효합니다
vàlida	유효
vàlida	유효한
her	그녀
her	그녀의
magnesi	마그네슘
