सोन	아들
नीलामी	경매
नीलामी	옥션
नीलामी	경매
पट्टे	임대
पट्टे	임대
नाटो	nato
ब्रह्मचर्य	순결
ग्लेन	글렌
ग्लेन	글렌
विरल	희귀한
विरल	귀한
विरल	희귀
विरल	드문
पिया	마셨다
आयामी	차원
पोर्टफोलियो	포트폴리오
नवाचार	혁신
डायमंड	다이아몬드
महंगी	비싼
महंगी	비싸다
तर्कसंगत	합리적
पीना	음주
पीना	마시기
पीना	음료
पीना	음료수
संलयन	융합
संलयन	핵융합
संलयन	퓨전
अब्दुल्ला	압둘라
वर्जिन	버진
वर्जिन	처녀
चक्रों	샤크라
मानकीकृत	표준화
प्रोसेसिंग	프로세싱
प्रोसेसिंग	처리
अवस्थिति	배치
अवस्थिति	위치
अवस्थिति	위치
वार्मिंग	온난화
मार्गदर्शक	안내서
मार्गदर्शक	가이드
मार्गदर्शक	안내
विभिन्नता	변동
विभिन्नता	변동이
विभिन्नता	변이
ढोल	드럼
क्वार्क	쿼크
अवकल	미분
राजसी	마제스틱
क्रोमियम	크로미엄
क्रोमियम	크로뮴
कूप	쿠페
कीन	킨텍스
कीन	지킨
स्टेनली	스탠리
लेखनी	pen
अखबारों	신문
मध्यस्थता	중재
सोल	sol
धड़कन	beat
धड़कन	이겨
धड़कन	비트
धड़कन	박동
धड़कन	뛰고
छल्ले	반지
छल्ले	고리
क्रेन	두루미
क्रेन	크레인
आखरी	마지막
आखरी	라스트
क्षेत्ररक्षण	캡틴
क्षेत्ररक्षण	대위
क्षेत्ररक्षण	선장
लिली	릴리
लिली	릴리
बेली	베일리
मॉनिटर	모니터
मॉनिटर	모니터링
कोक	코카콜라
कोक	콜라
कोक	콜라보
मेलबोर्न	멜버른
मेलबोर्न	멜번
करुणा	친절
मुठभेड़	조우
मुठभेड़	만남
अकसर	자주
मशरूम	버섯
मशरूम	버섯
शांतिपूर्ण	평화로운
शांतिपूर्ण	평화롭고
फ्लू	감기
फ्लू	인플루엔자
फ्लू	독감
नरक	지옥
ट्री	트리
ट्री	나무
बेलन	실린더
बोलना	말하기
अवरोधित	차단
अवरोधित	차단됨
