exteriorul	外側
orleans	オルレアン
duncan	ダンカン
legume	野菜
legume	野菜
conflictele	紛争
conflictele	コンフリクト
etiopia	エチオピア
rex	レックス
delhi	デリー
destinul	運命
simptome	症状
simptome	徴候
helen	エレーヌ
helen	ヘレン
baku	バクー
prestigiu	プレステージ
potasiu	カリウム
avantajul	利点
avantajul	アドバンテージ
armstrong	アームストロング
caucaz	コーカサス
browser	ブラウザー
browser	ブラウザ
wessex	ウェセックス
aburi	スチーム
aburi	蒸気
hussein	フセイン
client	カスタマー
client	顧客
client	クライアント
olimpiada	オリンピック
olimpiada	オリンピック
gregory	グレゴリー
omega	オメガ
inchiderea	閉包
inchiderea	閉鎖
realizand	気づき
fibre	繊維
fibre	ファイバ
fibre	繊維
fibre	繊維
fibre	繊維
prescott	プレスコット
reia	再開
ritmul	リズム
relevante	関連
virus	ウィルス
virus	ウイルス
calciu	カルシウム
luptatori	レスラー
luptatori	ファイターズ
luptatori	ファイターズ
vizitatori	ビジター
aripile	ウイングス
dor	あこがれ
dor	ミス
poreclit	愛称
devil	悪魔
savant	学者
sep	sep
martor	証人
atletism	アスレチックス
individuala	個人
individuala	個別
cutremurul	地震
angkor	アンコール
impresionat	感動
impresionat	感心
locatia	所在地
locatia	ロケーション
locatia	場所
locatia	所在地
locatia	ロケーション
locatia	場所
celula	セル
celula	セル
kazan	カザン
vegetale	野菜
imbracaminte	被服
qui	qui
hoarda	大群
hoarda	horde
hoarda	大群
hoarda	horde
explozie	爆発
gala	ガーラ
gala	ガーラ
insarcinata	妊娠
insarcinata	妊娠
cristal	crystal
cristal	結晶
cristal	クリスタル
pretioase	尊い
pretioase	precious
pretioase	貴重
jung	ユング
umor	ユーモア
umor	ユーモア
greg	グレッグ
quebec	ケベック
ravenna	ラヴェンナ
argumentul	論証
bundesliga	ブンデスリーガ
criminal	キラー
criminal	殺人犯
criminal	人殺し
unitar	ユニタリ
orizont	地平線
orizont	ホライズン
orizont	水平線
heteropoda	heteropoda
triunghi	トライアングル
triunghi	三角形
pesta	ペスト
usl	usl
uite	ルック
uite	外観
compact	コンパクト
nicola	ニコラ
pink	ピンク
pink	ナデシコ
progresiv	プログレッシブ
bai	浴室
bai	風呂
finalizarea	修了
finalizarea	補完
finalizarea	竣工
finalizarea	完成
carbune	石炭
carbune	木炭
carbune	石炭
carbune	木炭
cabinet	内閣
cabinet	キャビネット
andrews	アンドリュース
happy	ハッピー
happy	幸せ
glob	グローブ
glob	オーブ
clermont	クレルモン
descoperire	ディスカバリー
descoperire	発見
emily	エミリー
gat	咽喉
gat	ネック
gat	咽喉
gat	ネック
foster	フォスター
amatori	アマチュア
amatori	アマチュア
balet	バレエ
dura	タフ
dura	厳しい
neoficial	非公式
acelea	それら
controleaza	コントロール
inaugurarea	発足
intelectuale	知識人
redir	redir
ulrich	ウルリッヒ
incalzire	暖房
incalzire	暖房
afacerea	営業
afacerea	事業
afacerea	ビジネス
utah	ユタ
catarina	カタリナ
baranya	バラニャ
maximum	最大
maximum	maximum
canto	歌う
bunicii	祖父母
ceremonie	セレモニー
ceremonie	儀式
ceremonie	式典
cupe	cups
cupe	カップ
porumb	トウモロコシ
porumb	コーン
porumb	トウモロコシ
porumb	とうもろこし
ascensiune	アセンション
edwin	エドウィン
buddha	ブッダ
buddha	仏陀
omar	オマール
standardul	基準
standardul	スタンダード
standardul	標準
lambert	ランバート
respinge	拒否
dansul	ダンス
dansul	ダンシング
dansul	踊り
dansul	踊る
agentul	エージェント
agentul	代理人
hughes	ヒューズ
module	モジュール
descendent	降順
descendent	子孫
scriind	執筆
scriind	書き込み
scriind	筆記
musulmanii	イスラム教
musulmanii	ムスリム
atingerea	感動
pearl	真珠
libia	リビア
ambasadorul	大使
ambasadorul	アンバサダー
luptator	ファイター
luptator	レスラー
luptator	ファイター
masurarea	測定
masurarea	測定
aprovizionare	サプライ
aprovizionare	供給
patrunde	貫通
litri	リットル
calcar	石灰岩
jin	jin
jin	ジン
arborele	ツリー
porecla	愛称
porecla	ニックネーム
porecla	愛称
porecla	ニックネーム
holocaustului	ホロコースト
submarine	潜水艦
genetic	遺伝
cole	コール
ascunse	隠し
berkeley	バークリー
dieta	ダイエット
dieta	献立
dieta	国会
dieta	ダイエット
