regency	리젠시
vos	vos
texture	텍스처
texture	질감
lcc	lcc
ota	ota
boomerang	boomerang
stephan	슈테판
somethin	somethin
ksc	ksc
jeju	제주
clr	clr
iguaçu	이구아수
mls	mls
ดุค	공작
ดุค	듀크
malayan	말레이
asm	asm
onsen	온천
tres	tres
dod	dod
ces	ces
cheers	힘내
roode	루드
sergio	세르지오
markus	마르쿠스
chanel	샤넬
eazy	eazy
hermes	헤르메스
mappings	매핑
sven	스벤
อาลิ	알리
อาลิ	ali
kirov	키로프
ลอตเตอรี่	복권
astrakhan	아스트라한
บริกส์	브릭스
ฟรอสท์	프로스트
ฟรอสท์	서리
koala	코알라
naver	네이버
shiki	시키
forte	포르테
ทะนุถนอม	소중히
grape	포도
docomo	docomo
photoshop	포토샵
msx	msx
ebook	전자책
leno	레노
antwerp	앤트워프
iis	iis
tui	tui
ว่างๆ	비어
ontology	온톨로지
mentor	멘토
ยกนิ้ว	엄지손가락
ยกนิ้ว	엄지
สเต็ก	스테이크
สเต็ก	스테이크
nep	nep
selena	셀레나
pauling	폴링
ses	ses
tyrol	티롤
pam	pam
swat	swat
swat	스와트
cns	cns
psg	psg
แม็ต	매트
catalunya	카탈루냐
tmp	tmp
rhineland	라인란트
coating	코팅
avi	avi
shima	시마
ริงโทน	벨소리
dap	dap
csf	csf
glee	글리
concacaf	concacaf
icc	icc
masato	마사토
aix	aix
github	github
turbofan	터보팬
ยูนิฟอร์ม	유니폼
fnc	fnc
crs	crs
wav	wav
megan	메건
megan	메간
icu	icu
gmp	gmp
atx	atx
hasbro	해즈브로
pyotr	표트르
diaz	디아즈
diaz	디아스
implementations	구현
แอ๊ปเปิ้ล	사과
เทพพยากรณ์	오라클
acp	acp
presto	프레스토
mrc	mrc
cnet	cnet
พิมพ์เขียว	blueprint
ddf	ddf
rebels	반군
rebels	반란군
reds	레즈
xxi	xxi
gonzo	gonzo
ทรัมพ์	트럼프
shy	부끄러워
shy	부끄러움
shy	부끄러운
gerry	제리
pty	pty
alstom	알스톰
pata	파타고니아
pata	파타
galleria	갤러리아
fns	fns
taiping	타이핑
taiping	태평
chf	chf
polaris	폴라리스
ciao	ciao
zin	팩터
esc	esc
smp	smp
hmg	hmg
athlon	애슬론
swf	swf
lexical	낱말
mips	mips
ktx	ktx
tos	tos
crm	crm
prada	프라다
abba	abba
dll	dll
cpa	cpa
กระเพื่อม	곡선
เซสชั่น	세션
เซสชั่น	세션
mubarak	무바라크
saitō	사이토
ics	ics
ubisoft	유비소프트
afa	afa
gareth	개러스
cnc	cnc
msc	msc
หนาๆ	두껍게
หนาๆ	두꺼운
cindy	신디
phenol	페놀
ดรูว	드류
ดรูว	드루
bgm	bgm
recombination	재결합
อัลม่า	alma
อัลม่า	알마
ลอว์เรน	로렌
cowboys	카우보이
คาร์เนชั่น	카네이션
hype	과장
vorbis	vorbis
higgins	히긴스
verizon	버라이즌
cdm	cdm
kiki	키키
pdu	pdu
tetsuya	테츠야
jal	일본항공
jal	jal
ฟอลส์	폭포
activision	액티비전
tampere	탐페레
แอพพลิเคชัน	애플리케이션
แอพพลิเคชัน	프로그램
แอพพลิเคชัน	어플리케이션
fifteen	열다섯
นูร	노아
comcast	컴캐스트
ปิกนิก	피크닉
ปิกนิก	소풍
brigitte	브리짓
gib	gib
ftv	ftv
angie	앤지
ผ้าดิบ	직물
dunlop	던롭
jbl	jbl
bernoulli	베르누이
dope	쩔어
sheldon	셸던
physique	체격
beatrix	베아트릭스
tiff	tiff
dts	dts
sncf	sncf
qualcomm	퀄컴
ไพธอน	python
ไพธอน	파이썬
tsr	tsr
ดุ๊ค	공작
ดุ๊ค	듀크
esprit	esprit
