джим	jim
структурні	structural
брюс	bruce
соціалістична	socialist
вирок	sentencing
вирок	sentence
гітлер	hitler
інспектор	inspector
інспектор	supervisor
кіровоград	kirovohrad
друзями	friends
підтримали	supported
довкола	around
унікальний	unique
всесвіт	universe
довга	long
алжир	algiers
алжир	algeria
маріо	mario
експеримент	experiment
реакцій	reactions
їде	rides
водій	driver
пров	prov
націонал	national
обрав	chose
малайзії	malaysia
запрошений	originator
рядків	rows
рядків	lines
рядків	strings
певна	certain
тарн	tarn
чисто	clear
запровадження	renovated
користується	uses
податки	tax
податки	taxes
театрів	theatres
театрів	theaters
експлуатація	exploitation
турніри	tournaments
традиційний	traditional
людвіг	ludwig
нападів	offense
спостерігати	observe
спостерігати	watch
спостерігати	monitor
принципово	essentially
принципово	fundamentally
відмову	refusal
пенсію	retire
біо	biot
тримає	holds
тримає	keeps
заперечення	denial
заперечення	denying
розвивати	develop
експертів	experts
блоки	bricks
блоки	frames
блоки	boxes
блоки	blocks
майстерність	skill
майстерність	excellence
кеннеді	kennedy
мед	honey
мед	med
переконання	belief
переконання	beliefs
рига	riga
статтями	articles
хворобу	illness
середнє	average
синагога	synagogue
співпрацює	cooperates
співпрацює	collaborating
містити	contain
біт	beat
біт	bit
біт	bits
годинник	clock
процесор	processor
процесор	cpu
люк	luke
люк	luc
шарант	charente
прогрес	progress
складно	complicated
складно	difficult
цивілізація	civilization
цивілізація	civilisation
буковина	bukovina
монпельє	montpellier
табори	camps
дордонь	dordogne
казахстані	kazakhstan
рядки	rows
рядки	lines
рядки	strings
інвестицій	investments
взято	taken
екранізації	adaptations
бузеу	buzău
сутність	essence
сутність	entity
личинки	larvae
документа	document
професії	professions
морів	seas
чернігова	chernihiv
довкілля	environmental
компонент	component
єврейський	jewish
інформатики	informatics
печінки	liver
напади	attacks
напади	seizures
напади	assaults
кларк	clarke
кларк	clark
квартал	quarter
математичний	maths
математичний	mathematical
математичний	math
маленька	little
ювілейна	jubilee
контакт	contact
лад	mode
хмари	clouds
популярна	popular
півкулі	hemispheres
півкулі	hemisphere
запобігти	prevent
глядачі	audiences
глядачі	audience
глядачі	spectators
глядачі	viewers
перемогли	defeated
провідний	leading
хліба	bread
продано	sold
описано	describes
описано	described
створенню	participatory
акція	share
акція	stock
