பெல்லா	벨라
அற்புதம்	대박
அற்புதம்	맛있는
அற்புதம்	맛있다
பெர்க்லி	버클리
மொழிபெயர்க்க	번역하기
மொழிபெயர்க்க	번역
அதிசயம்	기적
அதிசயம்	원더
அதிசயம்	궁금해
எபிசோட்	에피소드
கியோட்டோ	교토
ஊக்கிகள்	선발
கச்சேரிகள்	연주회
கச்சேரிகள்	콘서트
எடி	에디
எடி	에디
இஸ்லாமியர்கள்	무슬림
ஆப்கான்	아프가니스탄
அப்துல்லாஹ்	압둘라
அல்பேனியா	알바니아
மறுவாழ்வு	재활
மகிமை	영광
மகிமை	글로리
பாத்	목욕탕
பாத்	바스
பாத்	목욕
பாத்	욕조
போதகர்	설교
போதகர்	설교자
கோபா	코파
நரகம்	지옥
சிரிப்பு	웃음
சிரிப்பு	웃어라
சிரிப்பு	웃음
சிரிப்பு	웃어
டைட்டானிக்	타이타닉
கேஸ்	대소문자
கேஸ்	케이스
கேஸ்	사례
கேஸ்	가스
என்றென்றும்	영원
என்றென்றும்	영원히
என்றென்றும்	forever
என்றென்றும்	영원한
கேல்	강풍
படுகை	분지
வாழைப்பழம்	바나나
பவுண்டுகள்	파운드
நிச்சயமற்ற	불확실
நிச்சயமற்ற	불확정성
மாறு	스위치
மாறு	switch
மாறு	전환
மாறு	바꾸기
சேர்க்கவும்	추가하기
சேர்க்கவும்	추가
சேர்க்கவும்	포함
வடம்	케이블
சாரணர்	스카웃
சாரணர்	스카우트
வெள்ளப்பெருக்கு	홍수
அழகை	아름다움
அழகை	미녀
அழகை	미용
அழகை	미모
அழகை	미인
குள்ள	난쟁이
குள்ள	왜소은하
குவியம்	집중
குவியம்	초점
குவியம்	집중하기
குவியம்	포커스
இரிடியம்	이리듐
அங்கோலா	앙골라
நார்மன்	노르만
நார்மன்	노먼
பீனிக்ஸ்	피닉스
லேன்	레인
லேன்	차로
குமட்டல்	메스꺼움
குமட்டல்	구역질
நிமிர்ந்து	강제
நிமிர்ந்து	강제로
மாண்டரின்	만다린
மாண்டரின்	중국어
ஆரியன்	아리아인
பராகுவே	파라과이
கடுகு	겨자
கடுகு	머스터드
குத்திக்	피어싱
காசோலை	수표
ரகசியமாக	기밀
பலேடியம்	팔라듐
தூண்டில்	미끼
கருத்தைப்	댓글
கருத்தைப்	코멘트
ஹரோல்ட்	해롤드
ஹரோல்ட்	해럴드
உலோகவியல்	금속공학
உலோகவியல்	금속
ஹாமில்டன்	해밀턴
விகுதி	분자
பிரதிபலிக்கிறது	나타냅니다
ஈறு	잇몸
ஆமாம்	예스
தன்னார்வலர்கள்	자원봉사자
தன்னார்வலர்கள்	자원봉사
தன்னார்வலர்கள்	봉사자
மடகாஸ்கர்	마다가스카
மடகாஸ்கர்	마다가스카르
கேள்	듣기
துணிகளை	옷이
உதவுவது	돕기
மறதி	기억상실
உடம்பு	아파
உடம்பு	아픈
உடம்பு	아프다
கண்களால்	눈빛
மாத்திரைகள்	알약
கோல்ஃப்	골프
கோல்ஃப்	골프
அரக்கு	maroon
அரக்கு	마룬
வாட்ச்மென்	왓치맨
நாற்று	스프라우트
நாற்று	새싹
மாதாந்திர	월간
மாதாந்திர	매달
மாதாந்திர	매월
எழுது	쓰기
எழுது	글쓰기
எழுது	작성
எழுது	쓰기
எழுது	작성하기
எழுது	굽기
எழுது	화상
பிரயன்	브라이언
பிரயன்	브라이언
ராஜினாமா	사직
பவள	산호
நைஜல்	나이젤
ஆதாயம்	이득
அறிவிப்புகள்	알림
ஓரம்	국경
ஓரம்	경계
ஓரம்	경계선
ஓரம்	테두리
பிளேர்	블레어
பிளேர்	blair
ஐன்ஸ்டீன்	아인슈타인
சந்தர்ப்பத்தில்	행사
தொண்டர்கள்	자원봉사자
தொண்டர்கள்	자원봉사
தொண்டர்கள்	봉사자
அரட்டை	채팅
அரட்டை	채팅
நடத்தல்	걷고
நடத்தல்	워킹
