курган	מאמייב
стояла	עמד
временной	הטמפורלית
запретить	האיסור
запретить	איסור
запретить	באן
крыша	גג
крыша	גג
промышленный	תעשייתית
промышленный	תעשייתי
продюсеры	מפיקים
продюсеры	מפיק
продюсеры	המפיקים
объяснение	הסבר
уэст	המערב
уэст	ווסט
уэст	מערבה
уэст	מערב
уэст	וסט
атмосферу	אווירה
добавления	תוספות
прорыв	פריצת
сложный	מורכבים
сложный	מורכב
сложный	מורכבת
сложный	מתחם
сложный	תסביך
сложный	מסובך
сложный	מורכב
сложный	מסובכת
мастерство	מיומנות
сущность	מהות
сущность	המהות
сущность	תמצית
дизель	דיזל
приоритет	עדיפות
приоритет	בעדיפות
кратко	בקצרה
кратко	קצר
кратко	תקציר
боли	כאב
боли	כאבים
секс	מין
секс	סקס
уолтер	ולטר
уолтер	וולטר
инцидент	תקרית
посредничества	תיווך
посредничества	גישור
серый	אפורה
серый	גריי
серый	אפור
серый	אפורה
серый	גריי
серый	אפור
филармонии	הפילהרמונית
точность	דיוק
точность	הדיוק
точность	דיוק
просмотра	צפיה
просмотра	צפייה
политбюро	הפוליטביורו
альянс	הברית
альянс	ברית
проза	פרוזה
упорно	בעקשנות
белки	חלבון
белки	פרוטאין
белки	חלבונים
белки	סנאים
мяса	בשר
скандал	סקנדל
скандал	שערוריה
скандал	שערורייה
петровский	פטרובסקי
разницы	שוליים
свадьбы	חתונות
свадьбы	החתונות
свадьбы	חתונה
свадьбы	החתונה
ранение	פציעה
ранение	פצע
подразумевает	מרמז
подразумевает	מרמזת
пенсильвания	פנסילבניה
арбитра	בורר
цепь	שרשרת
видна	גלויה
видна	גלוי
пруд	אגם
пруд	בריכה
пруд	פונד
звёздный	כוכבי
пятой	החמישי
пятой	חמישית
пятой	חמישי
волгоград	וולגוגרד
умершего	נפטר
умершего	מנוח
умершего	נפטרה
умершего	המנוח
заменены	החליף
заменены	הוחלף
заменены	הוחלפו
процессор	מעבד
процессор	מעבד
эксперименты	ניסויים
эксперименты	ניסויים
монах	מונק
монах	נזיר
гражданина	האזרח
гражданина	אזרחית
гражданина	אזרח
флоренции	פלורנס
флоренции	פירנצה
занят	עמוס
занят	עסוק
занят	עסוקה
занят	עסוקים
баз	בסיסים
добровольцев	מתנדבים
добровольцев	מתנדבת
добровольцев	מתנדב
добровольцев	התנדבות
добровольцев	להתנדב
добровольцев	מתנדבת
добровольцев	מתנדב
рождение	לידות
рождение	הלידה
рождение	לידת
рождение	לידה
отменить	ביטול
отменить	לבטל
отменить	בטל
отменить	בטל
винтовки	רובים
самостоятельный	האוטונומית
доски	לוחות
доски	קרשים
отступить	לסגת
отступить	נסיגה
вступление	מבוא
вступление	הקדמה
существо	יצור
открытая	לפתוח
открытая	פתח
открытая	פתוחים
открытая	פתחי
открытая	פתוחה
открытая	פתוח
знати	אצילים
знати	האצילים
принесли	הובא
принесли	הביאו
принесли	הביא
принесли	הביאה
единство	אחדות
единство	האחדות
восьмой	שמונה
восьмой	שמינית
восьмой	שמיני
восьмой	השמינית
столкновение	התנגשות
столкновение	התנגשות
батарея	מצבר
батарея	סוללה
оценил	מדורג
оценил	מוערך
оценил	מוערכת
топливо	הדלק
топливо	דלק
зенит	זניט
зенит	זנית
педагогических	הפדגוגית
рико	ריקו
снятие	משיכות
снятие	הרמת
снятие	מרימה
снятие	גמילה
снятие	נסיגה
купил	רכשו
купил	רכש
купил	נרכש
купил	נקנה
купил	קנה
купил	קנתה
купил	קנית
купил	נקנתה
купил	נקנה
срочно	בהול
срочно	דחוף
срочно	דחופה
срочно	בדחיפות
петрозаводск	פטרוזבודסק
похожие	דומות
похожие	דומה
похожие	דומים
врачи	רופאים
врачи	רופאים
глубину	עומק
галактики	גלקסיות
галактики	גלקסיה
собирать	לאסוף
собирать	אסוף
уникальный	ייחודיים
уникальный	ייחודיות
уникальный	ייחודית
уникальный	ייחודי
мюллер	מיולר
мюллер	מיולר
мюллер	מולר
мостов	גשרים
мостов	הגשרים
миллион	מיליון
миллион	מליון
комнаты	חדרים
ралли	ראלי
сократить	להפחית
сократить	קאט
сократить	לחתוך
сократить	חתך
сократить	חתוך
стрельба	ירי
стрельба	ירי
раскопки	חפירות
корпорация	תאגיד
австрийская	אוסטרי
перестал	הפסיק
перестал	נעצרה
перестал	עצר
стрелок	יורה
стрелок	האקדוחן
стрелок	אקדוחן
региональный	אזורי
региональный	איזורי
резиденция	מגורים
катание	החלקה
католицизм	קתוליות
изготовление	ייצור
изготовление	ייצור
изготовление	ביצוע
изготовление	מכין
изготовление	מכינה
победителей	זוכים
победителей	הזוכים
победителей	מנצחים
пользователи	משתמשים
полу	חצי
борисов	בוריסוב
колоний	מושבות
колоний	המושבות
христиане	כריסטיאן
христиане	נוצרי
христиане	נצרות
христиане	נוצרים
христиане	הנוצרים
рнк	rna
тыл	אחורי
тыл	אחורית
тыл	אחוריים
кипр	בקפריסין
кипр	קפריסין
мифы	מיתוסים
судьбу	גורל
судьбу	דסטיני
судьбу	ייעוד
судьбу	הגורל
судьбу	גורל
судьбу	הגורל
глубины	עומק
ногу	פוט
ногу	רגל
ногу	רגל
страх	פחד
страх	הפחד
страх	חשש
страх	יראת
интересная	מענין
интересная	מעניינות
интересная	מעניינת
интересная	מעניינים
интересная	מעניין
заседания	פגישות
заседания	מפגשים
заседания	ישיבות
побеждает	נצחונות
побеждает	זוכה
побеждает	מנצח
побеждает	מנצחת
побеждает	ניצחונות
разработчик	יזם
разработчик	מפתח
разработчик	מפתחים
статуи	פסלים
активная	פעיל
активная	פעילה
активная	פעילים
оперативной	מבצעית
оперативной	מבצעי
начальное	ראשוני
начальное	עיקרי
начальное	ראשי
начальное	העיקרי
растворяется	מתמוסס
вмешательства	הפרעות
вмешательства	התערבות
корона	הכתר
корона	כתר
корона	קראון
корона	קורונה
политиков	פוליטיקאים
посла	השגריר
посла	שגריר
регулярного	רגילה
регулярного	סדיר
регулярного	רגיל
регулярного	קבוע
нова	נובה
разногласия	הבדלים
разногласия	ההבדלים
разногласия	מחלוקת
операторы	מפעילים
производственного	פורה
производственного	יצרני
эмигрировал	היגר
риа	ריה
традиционный	מסורתית
традиционный	מסורתי
традиционный	מסורתיים
генералов	הגנרלים
генералов	גנרלים
фонтан	מזרקה
фонтан	מעיין
ресторан	מסעדת
ресторан	מסעדה
присутствовали	השתתף
присутствовали	השתתפו
присутствовали	נכח
углы	פינות
партизаны	פרטיזנים
настоящим	בזאת
отчет	דווח
отчет	דוח
отчет	דיווח
экспорт	יצוא
экспорт	היצוא
экспорт	ייצוא
экспорт	ייצא
экспорт	יצוא
экспорт	יצוא
антония	אנטוניה
целое	שלם
целое	שלמה
фёдоровна	פיודורובנה
вещь	דבר
вещь	קטע
подтверждено	מאושר
подтверждено	אישר
подтверждено	אושר
подтверждено	אושרה
шведская	שוודי
враг	האויב
враг	אוייב
враг	אויב
изменилось	שינה
изменилось	השתנה
изменилось	השתנו
изменилось	השתנתה
наследник	יורש
коммунистическая	הקומוניסטית
коммунистическая	קומוניסטית
коммунистическая	קומוניסט
широкая	רחבה
широкая	רחבות
широкая	רחב
широкая	רחבה
широкая	רחב
мюзикл	מחזמר
мюзикл	מוזיקלי
мюзикл	מוסיקלי
резерв	מילואים
резерв	במילואים
резерв	מילואים
репрессий	דיכוי
репрессий	תגמול
прозвища	כינויים
поняли	הבין
поняли	מובן
интересный	מענין
интересный	מעניינות
интересный	מעניינת
интересный	מעניינים
интересный	מעניין
реальные	ריאל
реальные	אמיתי
реальные	אמיתית
реальные	אמיתיים
реальные	אמיתיות
теннис	טניס
ключи	המפתחות
ключи	מפתחות
сделанные	עשה
сделанные	הכין
восприятия	תפיסות
банды	כנופיות
татарский	טטרית
духовное	רוחנית
духовное	רוחני
духовное	רוחניות
славу	תהילה
славу	תפארת
славу	תהילה
славу	גלורי
таиланд	תאילנד
финансирование	מימון
финансирование	מימון
финансирование	מימון
младшая	הצעיר
глазго	גלזגו
соперников	יריבים
пакистан	פקיסטן
робин	רובין
робин	רובין
библиотек	ספריות
угроза	איום
