din	จาก
care	ผู้
care	ใคร
care	ซึ่ง
fost	ถูก
mai	เชียงใหม่
mai	อื่นๆ
mai	มากกว่า
pentru	สำหรับ
pentru	เพื่อ
sunt	กำลัง
sunt	คือ
sit	ไซต์
dupa	after
dupa	หลัง
dupa	after
dupa	หลัง
lea	lea
prin	ผ่าน
regiunea	แคว้น
regiunea	ภูมิภาค
mare	เยี่ยม
mare	ยอด
mare	บิ๊ก
mare	ใหญ่
mare	big
mare	ทะเล
anul	ปี
comuna	สามัญ
comuna	ทั่วไป
comuna	เทศบาล
comuna	สามัญ
comuna	ทั่วไป
are	ทรง
externe	ภายนอก
legaturi	ลิงก์
legaturi	ลิงก์
vezi	เห็น
vezi	ดู
dar	แต่
cod	รหัส
cod	โค้ด
cod	คอด
cod	cod
populatie	ประชากร
bucuresti	บูคาเรสต์
bucuresti	บูคาเรสต์
bucuresti	บูคาเรสต์
fiind	การ
romania	โรมาเนีย
romania	โรมาเนีย
jpg	jpg
lista	รายการ
lista	รายการ
ucraina	ยูเครน
nume	ชื่อ
ani	ปี
intre	ระหว่าง
intre	ระหว่าง
pana	จนถึง
pana	จนกว่า
pana	จนถึง
pana	จน
pana	จนกว่า
pana	ขน
poate	บางที
poate	บางที
doua	สอง
doua	two
doua	สอง
doua	two
rege	กษัตริย์
rege	king
rege	ราชา
rege	คิง
sub	ใต้
alte	อื่นๆ
cand	เมื่อไร
cand	เมื่อ
cand	ตอน
cand	เมื่อไร
cand	เมื่อ
cand	ตอน
regiune	แคว้น
regiune	ภูมิภาค
anii	ปี
parte	ภาค
parte	ส่วน
parte	part
judetul	มณฑล
judetul	เปรม
judetul	มณฑล
judetul	เปรม
centura	เข็มขัด
centura	สายพาน
centura	เข็มขัด
centura	สายพาน
dinastia	ราชวงศ์
septembrie	กันยา
septembrie	กันยายน
timp	เวลา
despre	เรื่อง
despre	ประมาณ
unde	ที่ไหน
majoritatea	ที่สุด
limba	ลิ้น
limba	ภาษา
limba	ลิ้น
limba	ภาษา
iunie	จูน
iunie	มิถุนายน
multe	มากมาย
multe	หลาย
prima	ก่อน
prima	แรก
prima	premium
prima	พรีเมียม
octombrie	ตุลาคม
sat	หมู่บ้าน
sat	นั่ง
martie	มีนาคม
martie	มาร์ช
martie	march
biserica	ศาสนจักร
biserica	โบสถ์
biserica	ศาสนจักร
biserica	โบสถ์
fisier	แฟ้ม
fisier	แฟ้ม
decembrie	ธันวาคม
decembrie	ธันวา
toate	ทั้งหมด
toate	ทุก
ianuarie	มกราคม
latns	latns
latd	latd
longd	longd
noiembrie	พฤศจิกายน
cum	วิธี
imagine	รูป
imagine	ภาพ
imagine	ภาพ
imagine	รูปภาพ
imagine	อิมเมจ
statul	สภาพ
statul	รัฐ
familia	ตระกูล
familia	ครอบครัว
familia	family
numele	ชื่อ
timpul	เวลา
nord	อุดร
nord	เหนือ
principala	หลัก
principala	หลัก
sud	south
sud	ใต้
aprilie	april
aprilie	เมษายน
primul	ก่อน
primul	แรก
iulie	กรกฎาคม
doar	เท่านั้น
doar	เฉพาะ
doar	แค่
februarie	กุมภาพันธ์
trei	three
trei	สาม
lats	lats
longm	longm
latm	latm
discutie	อภิปราย
discutie	อภิปราย
discutie	อภิปราย
franta	ฝรั่งเศส
franta	ฝรั่งเศส
franta	ฝรั่งเศส
partea	ภาค
partea	ส่วน
partea	part
mult	มาก
mult	มากมาย
departamentul	แผนก
departamentul	กรม
foarte	มาก
data	เดท
data	อินเทอร์เน็ต
data	ข้อมูล
data	เดท
departament	แผนก
departament	กรม
unul	เดียว
unul	หนึ่ง
apoi	งั้น
grup	กลุ่ม
oras	town
oras	เมือง
oras	ทาวน์
oras	เมือง
oras	ซิตี้
oras	city
oras	town
oras	เมือง
oras	ทาวน์
oras	เมือง
oras	ซิตี้
oras	city
oras	town
oras	เมือง
oras	ทาวน์
oras	เมือง
oras	ซิตี้
oras	city
pot	สามารถ
pot	สา
camp	ค่าย
camp	สนาม
camp	ฟิลด์
camp	สาขา
camp	ทุ่ง
camp	ช่อง
germania	เยอรมนี
face	ทำให้
satul	หมู่บ้าน
national	national
national	ชาติ
national	national
national	ชาติ
national	national
national	ชาติ
note	หมายเหตุ
note	บันทึก
note	โน้ต
ucraineana	ยูเครน
general	ทั่วไป
general	แม่ทัพ
razboi	สงคราม
razboi	สงคราม
peste	จบ
peste	โอเวอร์
peste	เหนือ
peste	ฟิช
peste	ปลา
romana	โรมาเนีย
romana	roman
romana	โรมัน
inceput	เริ่ม
iii	iii
duce	ดุ๊ค
duce	ดุค
duce	ดุก
duce	ดุ๊ก
duce	duce
roman	โรมาเนีย
roman	roman
roman	โรมัน
roman	นิยาย
roman	นวนิยาย
provincia	จังหวัด
vedere	ดู
punct	ดอท
punct	dot
punct	จุด
punct	point
punct	ชี้
punct	จุด
punct	ประเด็น
stat	สภาพ
stat	รัฐ
unite	สามัคคี
unite	ยูไนเต็ด
unite	united
file	แท็บ
atunci	งั้น
secolul	ศตวรรษ
una	เดียว
una	หนึ่ง
aceasta	นี้
aceasta	นี่
