και	ve
από	from
με	with
με	ile
που	hangi
που	hangisi
για	icin
για	için
κατηγορία	kategori
κατηγορία	kategorisi
τους	onlar
τους	onları
ένα	biri
ένα	bir
ότι	bu
ότι	bunu
μια	biri
μια	bir
θα	will
αλλά	ama
αλλά	fakat
μετά	öyleyse
μετά	ozaman
μετά	sonra
μετά	sonrası
μετά	ardından
μετά	sonrasında
μετά	sonra
επίσης	ayrica
επίσης	ayrıca
όπως	like
όπως	beğen
όπως	gibi
είχε	vardı
δύο	iki
αυτό	bu
αυτό	bunu
αυτό	bu
αυτό	bunu
όπου	nereye
όπου	nerde
όπου	nere
όπου	nerede
μία	biri
μία	bir
μπορεί	can
ομάδα	kadro
ομάδα	ekip
ομάδα	manga
ομάδα	bölük
ομάδα	takım
ομάδα	gurup
ομάδα	grup
ομάδα	grubu
ομάδα	team
ομάδα	ekip
ομάδα	takım
θέση	konum
θέση	mevki
θέση	pozisyon
μεταξύ	arasında
μεταξύ	arasına
μεταξύ	arası
μεταξύ	arasındaki
χρόνια	kronik
χρόνια	yıllarca
χρόνια	yıllardır
χρόνια	yıllar
χρόνια	yılların
χρόνια	seneler
πρώτη	öncelikle
πρώτη	önce
πρώτη	ilk
πρώτη	once
πιο	daha
πιο	devamı
πιο	more
ένας	biri
ένας	bir
πόλη	town
πόλη	kasaba
πόλη	şehir
πόλη	sehir
πόλη	city
πόλη	şehir
σύνδεσμοι	bağlantılar
σύνδεσμοι	bağlar
σύνδεσμοι	bağlantıları
μόνο	yalnızca
μόνο	sadece
έγινε	bitti
έγινε	yapıldı
πολύ	cok
πολύ	çok
κάθε	her
κάθε	herbiri
περιοχή	bölge
περιοχή	bölgede
περιοχή	bölgesi
περιοχή	bölge
περιοχή	alanı
περιοχή	alan
αιώνα	yüzyıl
αιώνα	asır
αθήνα	atina
περίοδο	adet
περίοδο	nokta
περίοδο	dönem
τότε	öyleyse
τότε	ozaman
τότε	sonra
όνομα	adınız
όνομα	isim
όνομα	ad
όνομα	adın
όνομα	adı
ελλάδα	yunanistan
μέρος	kısım
μέρος	parçası
μέρος	bölüm
μέρος	part
μέρος	kısmen
μέρος	yer
σήμερα	bugün
σήμερα	bugünde
σήμερα	bügün
σήμερα	bugun
μέσα	içi
μέσα	içeride
μέσα	içinde
μέσα	içerde
πως	nasil
πως	nası
πως	nasıl
μαζί	beraber
μαζί	beraberce
μαζί	birlikte
διάρκεια	süresi
διάρκεια	süre
ιστορία	hikâye
ιστορία	hikaye
ιστορία	öykü
ιστορία	masal
ιστορία	tarihi
ιστορία	geçmiş
ιστορία	tarih
πρωτάθλημα	league
πρωτάθλημα	birlik
πρωτάθλημα	lig
πρωτάθλημα	ligi
πρωτάθλημα	şampiyonası
πρωτάθλημα	şampiyonluk
πρωτάθλημα	şampiyona
αργότερα	sonradan
αργότερα	sonra
νέα	yeni
νέα	haberler
νέα	haberleri
νέα	haber
περίπου	hakkında
περίπου	yaklaşık
περίπου	yaklaşık
αυτά	bunlar
αυτά	bunları
αυτά	şunlar
πριν	önceki
πριν	önceden
πριν	önce
πριν	öncesi
πριν	öncesinde
χωρίς	olmadan
χωρίς	onsuz
εθνική	millî
εθνική	national
εθνική	milli
εθνική	ulusal
συζήτηση	muhabbet
συζήτηση	sohbet
συζήτηση	tartışma
συζήτηση	münazara
συζήτηση	tartışma
συζήτηση	müzakere
αρχείο	arşivi
αρχείο	arşiv
αρχείο	dosya
αρχείο	dosyası
φορά	zaman
φορά	vakit
φορά	süre
φορά	time
πάνω	yukarıda
έλληνες	yunanlılar
ομάδες	gruplar
ομάδες	grupları
ομάδες	ekipler
ομάδες	takımlar
πρώτο	öncelikle
πρώτο	önce
πρώτο	ilk
πρώτο	once
έργο	proje
έργο	projesi
έργο	çalış
έργο	çalışma
έργο	iş
έργο	çalışmak
κυρίως	çoğunlukla
κυρίως	genellikle
όχι	olmaz
όχι	değil
ελληνική	yunanlı
ελληνική	yunan
ελληνική	yunanca
μεγάλη	big
μεγάλη	buyuk
μεγάλη	büyük
μεγάλη	kocaman
υπό	altında
υπό	altinda
υπό	altına
ποδοσφαιριστές	futbolcular
ταινία	film
ταινία	sinema
ταινία	bant
ταινία	teyp
ταινία	kaset
ταινία	filim
ταινία	film
άλλα	diğer
άλλα	diğeri
άλλα	öteki
άλλα	diger
άλλα	diger
άλλα	diğerleri
άλλα	diğerlerini
άλλα	başkaları
τμήμα	bölümü
τμήμα	departman
τμήμα	bölüm
τμήμα	departmanı
τμήμα	bölüm
τμήμα	kısım
τμήμα	bölümü
σαν	like
σαν	beğen
σαν	gibi
εκεί	orada
εκεί	orda
ωστόσο	ancak
άλλες	diğer
άλλες	diğeri
άλλες	öteki
άλλες	diger
τέλος	nihayet
τέλος	sonunda
τέλος	bitir
τέλος	son
τέλος	sonu
τέλος	bitiş
σειρά	serisi
σειρά	dizi
σειρά	seri
σειρά	düzen
σειρά	emir
σειρά	sipariş
σειρά	satır
σειρά	kürek
σειρά	sıra
στοιχεία	unsurlar
στοιχεία	elementler
στοιχεία	elemanlar
στοιχεία	element
στοιχεία	veri
στοιχεία	veriler
στοιχεία	data
εκτός	hariç
εκτός	dışında
συνέχεια	devamlılık
συνέχεια	devam
κάτω	down
κάτω	aşağıya
κάτω	aşağı
κάτω	alt
κάτω	aşağı
κάτω	aşağıda
κάτω	aşağı
κάτω	aşağıya
κάτω	aşağıdan
πολλές	birçok
όλα	herşey
όλα	herşeyi
όλα	hersey
όλα	all
όλα	hepsini
όλα	tamamı
όλα	hepsi
όλα	tümü
σύστημα	sistem
σύστημα	sistemi
ακόμα	hala
ακόμα	hâlâ
ακόμα	halen
φορές	kez
φορές	times
φορές	zamanlar
ίδια	aynısından
ίδια	aynen
ίδια	ayni
ίδια	aynı
ίδια	aynısı
ιουλίου	temmuz
χώρα	ülke
χώρα	vatan
αποτέλεσμα	sonuç
αποτέλεσμα	efekt
αποτέλεσμα	etki
αποτέλεσμα	etkisi
οκτωβρίου	ekim
ιανουαρίου	ocak
σεπτεμβρίου	eylül
νοεμβρίου	kasım
αγώνες	eşleşme
αγώνες	maçlar
αγώνες	kibrit
αγώνες	oyun
αγώνες	maçlar
αγώνες	oyunlar
αγώνες	oyunları
ταινίες	filmleri
ταινίες	filmler
ταινίες	film
ταινίες	filmler
ταινίες	film
ταινίες	sinema
μέσω	aracılığıyla
μέσω	via
μέσω	yoluyla
μέσω	üzerinden
μέσω	aracılığıyla
μέσω	yoluyla
μέσω	geçerek
μαρτίου	mart
μαρτίου	marş
μαρτίου	yürüyüş
γεννήθηκε	doğan
γεννήθηκε	doğuştan
γεννήθηκε	doğdu
γεννήθηκε	doğmuş
γεννήθηκε	doğdum
ιουνίου	june
ιουνίου	haziran
αυτές	bunlar
αυτές	bunları
αυτές	şunlar
πολλά	birçok
απριλίου	nişan
απριλίου	nisan
τρεις	üç
τρεις	three
αυγούστου	ağustos
αυγούστου	august
έργα	çalışır
έργα	çalışıyor
έργα	projelerin
έργα	proje
έργα	projeleri
έργα	projeler
δεκεμβρίου	aralık
χρήση	kullanın
χρήση	kullanımı
χρήση	kullanım
χρήση	kullanmak
χρήση	kullan
πρόεδρος	başkan
πρόεδρος	cumhurbaşkanı
πρόεδρος	baskan
πολιτική	ilke
πολιτική	politika
πολιτική	poliçe
πολιτική	politikası
πολιτική	politikamız
πολιτική	politika
πολιτική	siyaset
ακόμη	hala
ακόμη	hâlâ
ακόμη	halen
ίδιο	aynısından
ίδιο	aynen
ίδιο	ayni
ίδιο	aynı
ίδιο	aynısı
μας	bizim
εκλογές	seçim
εκλογές	seçimler
εκλογές	seçim
εκλογές	seçimler
μέλη	üye
μέλη	üyeler
μέλη	üyeleri
τελικά	nihayet
τελικά	sonunda
μέλος	üye
εποχή	sezonu
εποχή	mevsim
εποχή	sezon
εποχή	çağ
χωριό	köyü
χωριό	köy
αρχικά	başlangıçta
αρχικά	aslen
αρχικά	başlangıçta
περίοδος	adet
περίοδος	nokta
περίοδος	dönem
δήμος	belediye
δήμος	belediyesi
δήμος	belediyeye
κύπελλο	kupa
κύπελλο	kupası
κύπελλο	cup
κύπελλο	fincan
κύπελλο	bardak
ζωή	life
ζωή	hayat
ζωή	yaşam
ζωή	ömür
ζωή	zoe
έδρα	merkez
έδρα	karargah
έδρα	koltuk
περιλαμβάνει	içerir
περιλαμβάνει	dahil
μεγάλο	geniş
μεγάλο	büyük
μεγάλο	big
μεγάλο	buyuk
μεγάλο	büyük
μεγάλο	kocaman
βάση	üs
βάση	baz
βάση	üssü
βάση	taban
κέντρο	merkezi
κέντρο	merkez
κέντρο	center
κέντρο	orta
κέντρο	merkezi
κέντρο	merkez
κέντρο	orta
κέντρο	centre
φεβρουαρίου	şubat
κάτι	birşeyler
κάτι	birşey
κοντά	yakın
κοντά	yakınında
κοντά	yakınındaki
κοντά	yakın
κοντά	kapat
κοντά	yakına
κοντά	yakin
κοντά	yakındaki
κοντά	yakınlardaki
κοντά	yakınında
κοντά	yakınlarda
κοντά	yakın
μορφή	formu
μορφή	biçim
μορφή	form
μορφή	format
μορφή	biçim
μορφή	biçimi
μορφή	formatı
χρόνο	zaman
χρόνο	vakit
χρόνο	süre
χρόνο	time
ιστοσελίδα	site
κόμμα	parti
κόμμα	party
κόμμα	virgül
γιατί	cünkü
γιατί	çünkü
γιατί	neden
γιατί	niçin
γιατί	niye
ρόλο	rollo
ρόλο	rolün
ρόλο	rol
άλμπουμ	albüm
άλμπουμ	albüm
άλμπουμ	albümleri
επειδή	cünkü
επειδή	çünkü
έκδοση	baskı
έκδοση	sürüm
έκδοση	versiyon
έκδοση	sürümü
γκολ	gol
γκολ	hedefler
γκολ	amaçlar
γκολ	hedefleri
γκολ	hedefi
γκολ	gol
γκολ	amaç
γκολ	hedef
αρχές	makamlar
αρχές	yetkililer
αρχές	yetkililere
αρχές	ilkeleri
αρχές	ilke
γύρω	çevresinde
γύρω	çevrede
γύρω	etrafta
γύρω	etrafında
συνήθως	genellikle
συνήθως	genelde
ονομασία	adınız
ονομασία	isim
ονομασία	ad
ονομασία	adın
ονομασία	adı
κοινότητα	topluluk
κοινότητα	toplum
κοινότητα	ümmet
κοινότητα	cemaat
τελευταία	sonuncusu
τελευταία	last
τελευταία	sonuncu
τελευταία	son
έκανε	yapılmış
έκανε	yapıldı
ξεκίνησε	başladık
ξεκίνησε	başladı
ξεκίνησε	başladım
κυβέρνηση	devlet
κυβέρνηση	hükümet
πρώτος	öncelikle
πρώτος	önce
πρώτος	ilk
πρώτος	once
πήρε	aldı
κάνει	bitti
κάνει	yapıldı
ηπα	amerika
ηπα	abd
ηπα	usa
ανάμεσα	arasında
ανάμεσα	arasına
ανάμεσα	arası
ανάμεσα	arasındaki
δεύτερη	ikinci
δεύτερη	ikincisi
γλώσσα	dil
γλώσσα	dili
γλώσσα	dil
γλώσσα	dile
γλώσσα	dili
γλώσσα	lisan
γιος	oğul
γιος	evlat
γιος	oğlum
μάχη	savaş
μάχη	muharebe
μάχη	savas
μάχη	savaş
μάχη	muharebe
μάχη	kavga
μάχη	savaş
μάχη	dövüşün
μάχη	dövüş
μάχη	mücadele
πανεπιστήμιο	üniversite
πανεπιστήμιο	university
πανεπιστήμιο	üniversitesi
όλες	all
όλες	hepsini
όλες	tamamı
όλες	hepsi
όλες	tümü
κάποια	bazı
κάποια	bazıları
κάποια	bazılarını
κάποια	kimisi
δείτε	gör
δείτε	görün
δείτε	görmek
δείτε	izle
δείτε	izleyin
πόλεμο	savaş
πόλεμο	war
πόλεμο	savas
συχνά	sıklıkla
συχνά	sıkça
συχνά	sıklıkla
συχνά	sıkça
περιοχές	bölgeler
περιοχές	bölgeleri
περιοχές	alanlar
περιοχές	alanları
περιοχές	bölgeler
παράδειγμα	örneği
παράδειγμα	örnek
παράδειγμα	örneğin
άρθρο	yazı
άρθρο	madde
άρθρο	makale
εικόνα	fotoğraf
εικόνα	resim
εικόνα	resmi
εικόνα	görsel
εικόνα	resim
εικόνα	görüntü
εικόνα	imaj
έλαβε	alındı
έλαβε	alınan
έλαβε	aldı
επίσημη	resmî
επίσημη	official
επίσημη	resmi
επίσημη	resmi
κατοίκους	sakinleri
πηγές	kaynakları
πηγές	kaynaklar
βόρεια	kuzey
βόρεια	kuzeyde
βόρεια	north
βόρεια	kuzeye
βόρεια	kuzey
πόλεις	şehirler
πόλεις	kasabalar
πόλεις	kentler
πόλεις	şehirler
πόλεις	şehirleri
ιδιαίτερα	özellikle
ιδιαίτερα	bilhassa
ιδιαίτερα	özellikle
ιδιαίτερα	özelliklede
ιδιαίτερα	bilhassa
αγώνα	irk
αγώνα	yarış
αγώνα	eşleşme
αγώνα	karşılaşma
αγώνα	kibrit
αγώνα	maç
αγώνα	kavga
αγώνα	savaş
αγώνα	dövüşün
αγώνα	dövüş
αγώνα	mücadele
γεγονός	etkinlik
γεγονός	olay
γεγονός	etkinliği
γεγονός	gerçek
σελίδα	sayfaya
σελίδα	sayfa
σελίδα	sayfada
σελίδα	sayfası
σελίδα	sayfayı
θέμα	tema
θέμα	denek
θέμα	şahıs
θέμα	konusu
θέμα	konu
ηλικία	age
ηλικία	yaş
ηλικία	yaşı
χρησιμοποιείται	kullanılan
χρησιμοποιείται	kullanılmış
χρησιμοποιείται	kullanıldı
χρησιμοποιείται	kullanılır
πρώτα	öncelikle
πρώτα	önce
πρώτα	ilk
πρώτα	once
μέγεθος	boyut
μέγεθος	boy
μέγεθος	büyüklük
μέγεθος	beden
μέγεθος	boyu
εδώ	burada
εδώ	burda
νότια	güney
νότια	güneyli
νότια	güney
νότια	güneye
σημείο	puan
σημείο	point
σημείο	nokta
σχέση	ilişki
σχέση	ilişkisi
περίπτωση	case
περίπτωση	vaka
περίπτωση	dava
νέο	yeni
ήδη	çoktan
ήδη	zaten
ήδη	şimdiden
έτος	yıl
έτος	yılı
έτος	sene
σχεδόν	nerdeyse
σχεδόν	neredeyse
σχεδόν	nerdeyse
σχεδόν	neredeyse
ένωση	sendika
ένωση	birlik
ένωση	birliği
ένωση	dernek
ένωση	derneği
περισσότερο	daha
περισσότερο	devamı
περισσότερο	more
βασιλιά	kral
βασιλιά	king
εκκλησία	church
εκκλησία	kiliseye
εκκλησία	kilise
εκδόσεις	yayınları
εκδόσεις	yayınlar
μουσείο	müze
μουσείο	müzesi
μουσείο	museum
πολιτικός	siyasetçi
πολιτικός	politikacı
συμμετοχή	katılım
συμμετοχή	katılımı
δυο	iki
μεγαλύτερη	yaşlı
πέθανε	öl
πέθανε	geber
πέθανε	öldü
πέθανε	öldüm
ανά	per
μουσική	music
μουσική	müzik
κόσμο	cosmo
κόσμο	world
κόσμο	dünya
κόσμο	dunya
άτομα	kişiler
άτομα	şahıslar
άτομα	bireyler
άτομα	halk
άτομα	kişiler
άτομα	insanlar
άτομα	millet
δεύτερο	ikinci
δεύτερο	ikincisi
είδος	tipi
είδος	tip
είδος	türü
είδος	tür
είδος	type
είδος	tür
είδος	türler
αρκετά	yeter
μεγαλύτερο	yaşlı
χώρες	ülkeler
χώρες	ülkelere
χώρες	ülkeleri
χώρο	boşluk
χώρο	space
χώρο	uzayı
χώρο	uzay
σχολή	okula
σχολή	okulumuz
σχολή	okulu
σχολή	okul
σχολή	school
εναντίον	karsi
εναντίον	aleyhinde
εναντίον	karşı
τρία	üç
τρία	three
χαρακτηριστικά	özellikler
χαρακτηριστικά	özellikleri
χαρακτηριστικά	özellikler
χαρακτηριστικά	özellikleri
χαρακτηριστικά	özellikler
χαρακτηριστικά	özellikleri
όρος	terimi
όρος	vade
όρος	terim
όρος	dönem
όρος	mount
όρος	dağı
όρος	durum
όρος	condition
όρος	şart
όρος	durumu
όρος	koşul
ιδρύθηκε	kurulmuş
ιδρύθηκε	kurulan
ιδρύθηκε	kuruldu
βασιλιάς	kral
βασιλιάς	king
παιδιά	oğlanlar
παιδιά	gençler
παιδιά	çocuklar
παιδιά	cocuklar
παιδιά	çocuklar
παιδιά	cocuklar
παιδιά	erkekler
παιδιά	millet
παιδιά	çocuklar
παιδιά	beyler
παιδιά	çocuk
παιδιά	çocuklar
βραβείο	ödül
βραβείο	ödülü
βραβείο	ödül
βραβείο	ödülü
άρχισε	başladık
άρχισε	başladı
άρχισε	başladım
φαίνεται	görünüyor
φαίνεται	bakışlar
αρχαία	eskiler
αρχαία	antik
αρχαία	kadim
μήκος	uzunluğu
μήκος	boyu
μήκος	uzunlukta
μήκος	uzunluk
κυκλοφόρησε	serbest
τι	ne
χρονιά	yıl
χρονιά	yılı
χρονιά	sene
παραγωγή	imalat
παραγωγή	yapım
παραγωγή	üretim
