抱怨	queixant
窮	pobre
窮	pobres
投球	pitch
銀色	plata
訪談	entrevista
訪談	entrevistes
口味	sabors
宗派	sectària
揚州	yangzhou
人性	humanitat
噴發	erupció
饒	rao
失誤	errors
溶解	dissoldre
主觀	subjectiu
主觀	subjectivitat
天平	barems
天平	escales
天平	escates
天平	bàscula
外國人	aliens
外國人	estrangeria
外國人	estranger
外國人	estrangers
反感	fastiguejat
神仙	fada
李子	prunera
李子	pruna
李子	pruneres
腸	salsitxa
腸	botifarra
腸	intestí
腸	intestins
鹼	alcalina
石板	pissarra
石板	tauleta
石板	comprimit
秋山	akiyama
液晶	lcd
福爾摩斯	holmes
君主制	monarquia
野心	ambicions
野心	ambiciós
野心	ambiciosos
野心	ambició
別墅	villa
別墅	villas
幅度	intervals
印地安人	indians
印地安人	indis
籠	gàbia
監管	supervisió
顯示器	monitors
有害	nocius
有害	nocives
有害	nociu
銀河系	galàxia
罰款	multes
葡萄糖	glucosa
鋰	liti
千秋	chiaki
劍橋	cambridge
詛咒	maledicció
達拉斯	dallas
徒步	caminada
草莓	maduixa
草莓	maduixes
蚊	mosquit
補償	compensació
補償	indemnització
補償	compensatori
教父	padrí
蝙蝠俠	batman
輕微	lleuger
廁所	vàter
廁所	bany
葉子	fulls
葉子	fulles
葉子	fulla
葉子	yoko
激進	radical
乙醇	etanol
有罪	culpable
大塚	otsuka
禮拜	culte
樣式	estils
樣式	estil
遷徙	migrant
遷徙	migració
遷徙	migracions
交響樂團	simfonia
抄襲	plagi
海倫	helen
螢	ying
讀音	pronunciació
聖殿	basílica
聖殿	temple
空格	espais
郵票	segell
郵票	segells
多瑙河	danubi
阿爾及利亞	algèria
冷卻	refrigeració
冷卻	refredament
攝影機	càmera
拜訪	visitant
法老	faraó
出版商	editorial
出版商	editorials
精美	exquisida
精美	exquisit
溫和	gentil
溫和	moderació
溫和	moderat
溫和	lleus
溫和	lleu
公升	litre
公升	litre
相對論	relativisme
相對論	relativitat
對面	oposat
對面	contrari
悼念	homenatge
悼念	tributs
辣椒	pebrot
辣椒	pebre
賭場	casino
國徽	emblema
悲劇	tràgic
悲劇	tragèdia
鎖定	bloqueig
鎖定	bloqueja
租金	lloguers
租金	lloguer
租金	renda
喀麥隆	camerun
誤解	malentès
誤解	malentesos
誤解	malentès
彎曲	doblegar
溫暖	warm
溫暖	càlid
解剖	anatomia
解剖	autòpsia
手套	guants
手套	guant
硬幣	monedes
硬幣	moneda
纜車	góndola
朝代	dinastia
你好	hola
皂	sabó
承包商	contractistes
承包商	contractista
草坪	gespa
方舟	ark
編譯	compilar
編譯	compilat
編譯	compilació
編譯	recopilatori
鉛	plom
鞭	fuet
錐	con
界定	definir
界定	defineix
界定	definint
氣溫	temperatura
氣溫	temperatures
概括	generalització
馬賽	marseille
馬賽	marsella
彈性	flexible
彈性	flexibles
彈性	flexibilitat
彈性	elasticitat
彈性	flex
長老	elder
野牛	buffalo
野牛	bison
特許	concessions
特許	concessió
盾牌	escut
盾牌	escuts
走私	contraban
紀念館	memorial
戒指	anell
戒指	anells
戒指	anelles
祭司	sacerdot
握手	encaixada
酒井	sakai
乘法	multiplicació
繪圖	mapatge
繪圖	mapping
繪圖	dibuixos
繪圖	gràfics
繪圖	dibuix
乙酸	acetat
大屠殺	massacre
大屠殺	holocaust
食堂	cantina
食堂	cafeteria
劫持	raptar
誓	jurament
基座	pedestal
損壞	danyat
損壞	malmeses
損壞	malmès
損壞	desperfectes
損壞	malmesos
損壞	danys
專長	nínxol
專長	especialitat
專長	especialitats
專長	peritatge
羅素	russell
基底	substrat
基底	soterrani
骨架	esquelet
骨架	framing
更正	correccions
更正	rectificacions
更正	correcció
特種部隊	swat
音速	sonic
叻	lat
密西西比州	mississipí
標語	consignes
標語	lemes
標語	eslògan
摩天大樓	gratacel
摩天大樓	gratacels
雙邊	bilateral
迷失	perduda
迷失	perduts
迷失	lost
迷失	perdut
警務	policia
仙女座	andromedae
仙女座	andròmeda
橘子	orange
橘子	taronja
橘子	taronges
