управниот	drejtues
бура	stuhi
бура	furtuna
бура	storm
бура	stuhia
бура	stuhi
валверде	valverde
театри	teatrot
театри	teatrot
четврто	katërti
четврто	katërt
григор	grigor
бренд	marke
бренд	markës
бренд	marka
бренд	brend
бренд	markë
верувале	besohej
верувале	besonte
верувале	besonin
верувале	besoi
признаен	njohur
сервер	presë
сервер	host
сервер	mikpritësi
сервер	pritëse
сервер	serverin
сервер	serveri
сервер	server
пирамида	piramida
пирамида	piramidë
асистенции	asistime
асистенции	ndihmon
бремен	bremen
изработена	hartuar
велигден	pashkët
опкружен	rrethuar
графика	grafika
графика	grafikë
махмуд	mahmud
махмуд	mahmut
махмуд	mahmud
платон	plato
платите	pagat
платите	rrogat
платите	pagat
платите	rrogat
оружја	armëve
оружја	armët
оружја	armet
оружја	armë
администратори	administratorët
администратори	administratorët
стандардни	standarde
стандардни	standart
стандардни	standarte
стандардни	standard
решено	zgjidhet
решено	zgjidhur
решено	zgjidhet
решено	zgjidhen
решено	zgjidhur
прсти	gishta
прсти	gishtat
прсти	gishta
рангиран	renditur
арѓеш	argeş
означи	tag
марсел	marsel
клод	klod
клод	claude
бордо	bordo
фока	vulë
фока	vula
фока	seal
парма	parma
стабилна	stabil
стабилна	qëndrueshëm
стабилна	qëndrueshme
стабилна	stabile
лекари	mjekë
лекари	mjekët
лекари	doktorë
лекари	mjekë
лекари	mjeket
лекари	mjekët
лекари	doktore
лекари	doktorët
натриум	natrium
албрехт	albrecht
поинаку	ndyshe
поинаку	ndryshe
поинаку	ndryshëm
поинаку	ndryshme
наставник	mësues
наставник	mesues
наставник	mësuesi
групирани	grupuar
атар	athar
квалитети	cilësitë
далас	dallas
картичка	kartë
картичка	letra
картичка	karta
картичка	kartën
моторот	motor
моторот	motorr
моторот	motori
моторот	motorri
мото	motoja
мото	moto
мото	moto
дрвена	druri
слободан	sllobodan
слободан	slobodan
признал	pranoi
признал	rrëfeu
колорадо	kolorado
зимбабве	zimbabve
тереза	teresa
тереза	tereza
тереза	tereza
студијата	studimi
студијата	studim
кејп	kepi
кејп	pelerinë
сегмент	strehë
сегмент	segment
патрон	patron
службеник	nëpunës
роди	lindur
роди	lindë
роди	lind
војводина	vojvodinës
војводина	vojvodina
црево	tubin
црево	zorra
темите	temat
јута	utah
јута	jutta
типична	tipik
типична	tipike
кристали	kristale
кисела	fosfataza
магазин	revista
магазин	revistë
седмиот	shtati
седмиот	shtatë
седмиот	shtata
сезонски	sezonale
сезонски	sezonal
аргумент	argument
аргумент	argumenti
колонизација	kolonizimin
