इब्राहीम	ibrahim
येन	jenų
सैक्सन	sakse
असंतुष्ट	nepatenkintas
जोवी	jovi
राक्षसों	demonai
कोरल	koralų
साम	sama
असुविधा	nepatogumų
जीना	gyventi
जीना	gyvenimo
जीना	gyvos
जीना	ans
दलितों	neliečiamieji
हंट	medžioti
कनिष्क	kaniška
रासो	raso
वेक्टर	vektorius
फीड	pašarų
फीड	pašaras
फीड	pašarai
फीड	maitina
बगदाद	bagdade
बीवी	žmona
सादगी	paprastumas
यार्ड	kiemas
यार्ड	kiemo
एमा	ema
सतर्कता	budrumo
उजाला	tamsa
संघटक	ingredientas
संघटक	ingredientų
संघटक	ingredientai
सिरका	actas
बोर	atsibodo
गेटवे	vartai
ध्वनियाँ	skamba
ध्वनियाँ	garsus
ध्वनियाँ	garsai
मंशा	ketinimus
मिलाप	sanglauda
मिलाप	sanglaudos
पात्रता	tinkamumas
अत्यावश्यक	skubus
अत्यावश्यक	skubiai
प्रतिस्पर्धात्मक	konkurencingas
प्रतिस्पर्धात्मक	konkurencinis
लहसुन	česnakų
लहसुन	česnako
रैपर	reperis
बेची	parduota
बेची	parduodami
बेची	parduotas
बेची	parduodama
नवीं	devintojo
फर	kailis
फर	kailiai
फर	kailio
फर	kailius
स्कॉच	viskio
पंजे	letenas
शावक	jauniklius
शावक	cub
व्हेल	banginis
लघुगणक	logaritmas
मुहर	ruonių
अपरिवर्तित	senovinė
अप्रभावी	neveiksmingas
आंधी	tornado
आंधी	taifūnas
आंधी	audros
आंधी	audra
कीनिया	kenijoje
कीनिया	kenija
कीनिया	kenijos
अधिसूचना	pranešimo
अधिसूचना	pranešimas
अधिसूचना	pranešimai
परवरिश	tėvystė
कोलोराडो	kolorado
पैरामीटर	parametrai
गे	gėjai
गे	gėjų
गे	gėjus
बन्दर	apa
बन्दर	beždžionė
मोटापा	nutukimas
गिलास	stiklas
गिलास	stiklinė
गिलास	stiklo
वाह	wow
वाह	oho
वाह	vau
चश्मा	akiniai
शिथिलता	techninis
एडविन	edvinas
बैंकर	bankas
वेल	vale
जेलीफ़िश	medūzos
बल्ब	lempa
बल्ब	lempa
बल्ब	žibintas
बल्ब	lempos
अस्वीकृति	atmetimas
अस्वीकृति	atmetimo
यूँ	yun
काया	kaya
लोलक	švytuoklės
आसुत	distiliuoti
आसुत	distiliuotas
नीबू	citrinų
नीबू	citrinos
अरे	ei
अरे	labas
अरे	sveikas
स्टोरेज	sandėliavimas
स्टोरेज	saugojimas
युसुफ	youssef
गैलन	litrų
असहाय	bejėgis
मुसीबत	bėda
मुसीबत	bėdos
मुसीबत	problemų
जाप	giedojimas
ख़ुशी	labui
ख़ुशी	malonumas
ख़ुशी	laimės
ख़ुशी	laime
ख़ुशी	laimė
वेव	bangos
वेव	bangų
वेव	banga
वितरक	platintojas
लाओ	įtraukti
लाओ	laoso
क्रूज	kruizinis
खाए	ganosi
स्विमिंग	plaukimo
स्विमिंग	plaukia
केबिन	salono
केबिन	kabina
पारस	filosofas
जवाबदेही	atskaitomybės
सैंकड़ों	šimtai
कैनवास	drobė
देवा	deva
हबल	hablo
बागवानी	sodininkystės
बागवानी	sodininkystės
कुकी	sausainių
कुकी	cookie
सॉकर	futbolas
सॉकर	futbolo
स्काउट	skautų
जिंदा	gyva
जिंदा	gyvi
जिंदा	gyvas
दाढ़ी	barzda
जेब	kišenės
मानवतावाद	humanizmas
छतों	stogas
छतों	stogo
प्राचीनता	antiquity
पाण्डुलिपि	rankraštis
ग्रीनलैंड	grenlandijos
ग्रीनलैंड	grenlandija
रेमंड	raimondas
शेली	shelley
एयरवेज़	airbus
एयरवेज़	airways
ट्रेनों	traukiniai
बोधिसत्व	bodhisatva
तत्र	tatrų
चकित	nustebino
चकित	nustebęs
बिट्स	bitų
सामंती	feodalinė
स्प्रे	purslų
तरक्की	skatinimas
तरक्की	propagavimas
तरक्की	skatinimo
रफ्तार	greitis
रफ्तार	greičio
स्वस्तिक	svastika
देवेन्द्र	devendra
निष्कर्षण	gavyba
उदारीकरण	liberalizavimo
उदारीकरण	liberalizavimas
खाद्यान्न	grūdų
खाद्यान्न	javai
खाद्यान्न	grūdai
बनवाई	statybų
मौलिकता	originalumo
क्रू	įgula
क्रू	įgulos
हॉलैंड	holland
हॉलैंड	olandija
अखंडता	vientisumas
अखंडता	vientisumą
एलियट	eliotas
काटना	chop
काटना	bite
माताओं	motinoms
माताओं	motinos
माताओं	motina
आदर्शवाद	idealizmas
आरोहण	žengimo
उर्वरकों	trąšos
अनाम	bevardis
शिलांग	šilongas
योगदानकर्ता	bendradarbiai
नट	riešutų
नवीनता	naujovė
नवीनता	naujovės
यूजीन	eugenijus
प्रकटीकरण	atskleidimas
प्रकटीकरण	atskleidimo
कैप्शन	antraštė
मोतियाबिंद	katarakta
मध्याह्न	meridian
सममित	simetrinis
गैसीय	dujinis
गैसीय	dujinių
मनाये	švenčiama
बोन	bon
बोन	kaulų
बोन	kaulas
बोन	kaulai
मुर्गी	višta
मुर्गी	vištiena
मुर्गी	vištos
मुर्गी	vištienos
मुर्गी	vištų
सांग	sanga
डंकन	duncan
रघुवीर	raghu
रोटर	rotoriaus
न्यूरॉन	neuronas
गंडक	gandaki
नॉकआउट	nokautas
उन्माद	manija
बैंको	bankas
रवीन्द्रनाथ	tagorė
स्टंट	triukas
रमणीय	žavinga
तालाबों	tvenkiniai
डेन	den
मास्क	kauke
मास्क	kaukė
मास्क	kaukės
टोकरी	krepšelį
टोकरी	krepšys
फैक्टरी	fabrikas
फैक्टरी	gamykloje
फैक्टरी	gamykla
राइन	reino
पैगम्बर	pranašas
ह्यूगो	hugo
रेशा	šilko
रेशा	fiber
चेकोस्लोवाकिया	čekoslovakijoje
हीर	heer
कैरोल	kerol
इष्टतम	optimali
इष्टतम	optimalus
जेनेटिक	genetinis
जेनेटिक	genetiniai
पांडव	pandavai
रश	rush
खरीदार	pirkėjai
खरीदार	pirkėjas
टूना	tunų
टूना	tunas
टूना	tunai
विली	willy
संतति	palikuonių
संतति	vaikas
संतति	vaikui
चाची	teta
फ़ील्ड	laukas
फ़ील्ड	laukai
कैटलन	katalonų
तातार	totorių
कोबाल्ट	kobalto
मेगा	mega
कौरव	kauravai
व्याख्याता	dėstytoja
डोर	dor
नवल	laivyno
भेड़िया	vilkas
इलायची	kardamono
एस्कोबार	escobar
इरविन	irvinas
ब्यूटी	gražuolė
ब्यूटी	grožis
मसालेदार	aštrus
राइफल्स	šautuvai
ग्रीनविच	grinvičo
बदनाम	liūdnai
शक्कर	cukrus
शक्कर	cukraus
सुकरात	socrates
अनधिकृत	neleistinų
रिश्तेदारों	giminaičiai
रिश्तेदारों	giminių
रिश्तेदारों	gimines
रिश्तेदारों	augo
रिश्तेदारों	giminės
सिमोन	simona
नीना	nina
थाइलैंड	tailandas
बेक	bek
सौजन्य	mandagumo
अनार	granatų
पहिये	ratai
विस्कॉन्सिन	viskonsino
सेनाएँ	legionus
रशीद	rasheed
कटरा	katra
फाल्के	falke
गुमराह	klaidinti
गुमराह	klaidinantis
गुमराह	klaidinančios
गुमराह	klaidinanti
झींगा	omarų
झींगा	krevečių
दरवाजों	durys
दरवाजों	duris
दरवाजों	durų
राज्यपालों	valdytojų
राज्यपालों	valdytojai
लसीका	limfa
क़यामत	prisikėlimo
मेस्सी	messi
दुश्मनी	priešiškumas
दुश्मनी	anime
परागण	apdulkinimo
रिया	rea
ताओ	tao
कैसीनो	kazino
समाजशास्त्री	sociologė
शर्बत	šerbetas
मनोचिकित्सा	psichoterapija
धीर	ryžtingų
गिनीज	gineso
कोबरा	kobra
ड्रग्स	narkotikai
कैंडी	saldainis
फ़ीड	pašarų
फ़ीड	pašaras
फ़ीड	pašarai
फ़ीड	maitina
माफ़ी	amnestija
बिखर	drift
हैरिसन	harisonas
हंटर	medžiotojas
सख्ती	griežtai
असम्भव	neįmanoma
भात	bhat
ज्ञानकोष	enciklopedija
लिंडा	linda
अंधा	aklas
अंधा	aklai
अंधा	akla
मनमोहक	elegantiška
नीत्शे	nyčė
बूंद	atleisti
बख्शी	bakshi
शासी	valdančioji
काव्यात्मक	poetiškas
मेहराब	arkos
कोयल	gegutės
हेरफेर	manipuliuoti
हेरफेर	manipuliavimo
आध्यात्मिकता	dvasingumas
स्टालिन	stalinas
आला	ala
गांठ	mazgas
सुनहरी	auksinis
उज्ज्वल	šviesus
उज्ज्वल	šviesi
पत्राचार	korespondencija
पत्राचार	susirašinėjimas
शिष्टाचार	etiketo
बगीचा	sode
बगीचा	sodas
कूटनीति	diplomatijos
कूटनीति	diplomatija
पाशा	paša
यूसुफ	joseph
यूसुफ	yusuf
चुपचाप	tyliai
शिल्पकार	skulptorių
शिल्पकार	meistrams
अनुमत	leidžiama
अनुमत	absoliutus
एंजाइमों	fermentai
चू	chu
मित्रा	mitra
दीना	dina
गांधार	gandhara
क्राई	verkti
जंतर	amuletas
हॉर्स	žirgas
हॉर्स	arklys
हॉर्स	arkliai
हॉर्स	arklio
राइडर्स	raiteliai
जूलियस	julius
टीना	tina
केरी	kerry
प्रतिवादी	atsakovas
प्रतिवादी	atsakovo
प्रतिवादी	antagonistas
कोटिंग	danga
कोटिंग	dengimas
घोंसला	lizdas
पल्स	pulsas
पल्स	impulso
टिम्बरलेक	timberlake
हैरान	šokiruota
हैरान	nustebęs
सरलतम	paprasčiausias
चौराहे	sankirtos
निर्बल	silpnas
निर्बल	nedideli
स्लोवाकिया	slovakija
स्लोवाकिया	slovakijos
रातों	naktys
छे	che
हैप्पी	laiminga
हैप्पी	laimingas
हैप्पी	laimingi
कूलिंग	aušinimo
गिरे	ūkininkus
मण्डप	paviljone
पिछड़ा	atgal
यूं	yun
सीरियाई	sirijos
जामुन	uogos
शेवरॉन	chevron
टर्मिनेटर	terminatorius
मिथकों	mitai
जूट	džiuto
कीमोथेरेपी	chemoterapijos
कीमोथेरेपी	chemoterapija
मिग	mikojan
उस्मान	usman
उस्मान	osman
