miestni	kohalikud
castle	loss
castle	castle
castle	lossi
zjednotenie	ühtlustamine
zjednotenie	ühendav
väzba	siduda
väzba	siduv
väzba	siduvad
väzba	hooldusõiguse
väzba	side
väzba	bond
tradícia	traditsioon
tradícia	traditsioonid
povesti	kuulujutud
povesti	kuulujutte
nástupcu	järglane
nástupcu	järeltulija
aktuálny	aktiivne
aktuálny	praeguse
aktuálny	praegune
aktuálny	aktuaalne
katalóg	kataloog
katalóg	kataloogi
nelson	nelson
rastú	kasvab
rastú	kasvavad
rastú	kasvatamine
rastú	kasvama
rastú	kasva
sčítanie	loenduse
sčítanie	loendus
výklad	tõlgendus
výklad	tõlgendamine
výklad	tõlgendada
znamenal	tähendas
výzbroje	relvastuse
pozemné	maapealse
pozemné	maapealne
pozemné	maapind
pohľady	vaatamisväärsusi
pohľady	vaated
pohľady	seisukohad
cestná	maantee
cestná	tee
cestná	road
zásah	sekkumine
zásah	sekkumine
zásah	sekkumise
warner	warner
zdravotné	meditsiinilised
zdravotné	meditsiiniline
zdravotné	tervist
zdravotné	tervishoid
zdravotné	tervis
založiť	baasi
založiť	baas
založiť	alus
jules	jules
prúdov	vood
komédia	komöödia
watanabe	watanabe
kresťanov	kristlaste
angel	angel
angel	ingel
továrne	tehased
faktor	teguri
faktor	tegur
faktor	faktor
litva	leedus
litva	leedu
zavraždený	mõrvati
zavraždený	tapetud
zavraždený	mõrvatud
phil	phil
rob	rob
zastúpené	esindas
zastúpené	esindatud
spôsobujú	põhjustades
ponúkol	pakkus
ponúkol	pakutav
ponúkol	pakutud
presun	üleviimine
presun	ülekandmine
presun	ülekanne
presun	üleandmine
presun	liigu
presun	liigutamine
presun	liigub
presun	kolimine
presun	liikumine
carter	carter
poistenie	kindlustus
finančne	rahaliselt
kroky	astmed
kroky	sammud
kroky	sammud
kroky	jälgedes
zmazať	kustuta
zmazať	kustutamine
bohatý	rikkaks
bohatý	rikkad
bohatý	rikkalik
bohatý	rich
bohatý	rikas
informatiky	informaatika
suchá	kuivaks
suchá	kuivad
suchá	kuiv
poddruh	alamliik
slnečná	päikese
slnečná	päikeseenergia
infraštruktúra	infrastruktuurid
infraštruktúra	infrastruktuur
infraštruktúra	infrastruktuuri
infraštruktúra	taristu
svetom	maailma
svetom	maailm
nahrávanie	üleslaadimine
nahrávanie	üleslaadimise
nahrávanie	üleslaadimine
nahrávanie	salvestus
nahrávanie	salvestamine
nahrávanie	registreerimine
nahrávanie	rekord
nahrávanie	kirje
čítať	loe
čítať	lugemine
čítať	loetud
záchranu	päästmine
záchranu	päästa
záchranu	pääste
wood	puidust
wood	puit
klavirista	pianist
dutiny	õõnsus
mer	mer
organické	orgaaniline
organické	orgaanilised
organické	orgaaniliste
rybníky	tiigid
portálu	portaali
portálu	portaal
orientačné	soovituslik
vyvinuli	arenenud
skutočné	reaalne
skutočné	ehtne
skutočné	tõeline
skutočné	ehtne
skutočné	tegelik
návštevy	külastajad
návštevy	külalised
návštevy	külla
návštevy	külastus
návštevy	visiit
návštevy	külastused
predstaviť	kujutle
citát	tsitaat
citát	tsitaat
odborov	ametiühingud
odborov	liidud
štvrté	neljas
štvrté	neljandaks
vzduchom	õhus
jonas	jonas
barry	barry
equus	equus
licencie	litsentside
licencie	litsentsid
licencie	litsentsid
licencie	litsents
nákladu	lasti
budovať	ehita
budovať	ehitama
budovať	ehitada
budovať	ehitamine
hlboké	sügav
hlboké	deep
hlboké	sügavale
odhad	hinnanguline
odhad	hinnanguliselt
odhad	hinnang
odhad	hinnang
vojnový	sõda
folk	rahvas
koalície	koalitsiooni
charakteristiky	omadused
charakteristiky	karakteristikud
charakteristiky	iseloomustus
charakteristiky	omadused
briti	britid
briti	briti
briti	britid
čínske	hiina
čínske	hiinlased
mama	mamma
mama	ema
mama	mama
mama	ema
mama	ema
mama	ema
zisku	kasum
zaznamenané	salvestatud
zaznamenané	märkis
prepustený	vabanenud
prepustený	vabastatud
venuša	veenus
väzení	vangla
centrálne	kesksed
centrálne	kesk
centrálne	keskosa
centrálne	keskne
centrálne	tsentraalselt
porážku	kaotus
budúci	järgmiseks
budúci	järgmisena
budúci	järgmine
budúci	next
harvard	harvard
harvard	harvardi
olympic	olympic
olympic	olümpia
nepriateľov	vaenlased
geometria	geomeetria
reprezentácia	esindus
reprezentácia	esindatus
priatelia	sõbrad
verše	värsid
socialistická	sotsialistliku
socialistická	sotsialistlik
prince	vürst
prince	prints
prince	prince
vrtuľníky	helikopterid
vrtuľníky	kopterid
titan	titaan
cook	cook
cook	kokk
diely	osi
diely	osad
charlotte	charlotte
chemicky	keemiliselt
matthew	matthew
emanuel	emanuel
oskar	oskar
oskar	oscar
predstavenie	tulemuslikkus
predstavenie	tulemuslikkuse
predstavenie	jõudlus
predstavenie	näidatakse
predstavenie	näitamine
predstavenie	näita
predstavenie	etendus
predstavenie	show
bohato	rikkalikult
vraždy	mõrv
vraždy	mõrv
vraždy	mõrvad
podvozok	šassii
zavedená	tutvustas
zavedená	tutvustati
ensign	lipnik
lisa	lisa
vybrať	valima
vybrať	vali
vybrať	vali
vybrať	valimine
vybrať	valima
činiteľ	teguri
činiteľ	tegur
činiteľ	faktor
premenné	muutuja
premenné	muutuv
premenné	muutujad
fred	fredi
fred	fred
adrian	adrian
štandardy	standardid
planéte	planet
planéte	planeet
čisté	neto
čisté	võrk
čisté	net
čisté	puhas
čisté	puhas
čisté	puhtaks
čisté	puhtad
súbežne	samaaegselt
súbežne	üheaegselt
súbežne	paralleelsed
súbežne	paralleelne
súbežne	paralleelselt
tvrdenia	nõuded
tvrdenia	väited
tvrdenia	väited
tvrdenia	argumendid
ručne	käsitöö
ručne	käsitsi
súkromný	reamees
súkromný	privaatne
súkromný	era
súkromný	erasektori
plody	puuviljad
plody	vili
plody	puuvili
plody	puuvilja
plody	viljad
plody	puuviljad
fórum	foorum
pestovanie	kasvab
pestovanie	kasvavad
pestovanie	kasvav
pestovanie	istutamine
pestovanie	kasvatamine
relácia	seanss
relácia	seansi
relácia	seos
cooper	cooper
nahradená	asendatud
nahradená	asendatud
nahradená	asendatakse
logiky	loogika
pohyby	liikumised
pohyby	liigub
pohyby	käigud
pohyby	liigutab
psychológ	psühholoog
slávnosti	festival
terminológia	terminoloogia
bytosti	olendid
bytosti	olendid
bytosti	olevused
bytosti	elukad
samice	emased
samice	naissoost
súradnice	koordineerida
súradnice	koordinaadid
senátu	senati
senátu	senat
grafický	graafiline
grafický	graafiline
plukovník	kolonel
michelangelo	michelangelo
potomkov	järglane
potomkov	järglased
potomkov	järglased
melbourne	melbourne
korunu	krooni
korunu	crown
korunu	kroon
agent	agent
tém	teemad
kapitola	peatükk
železo	raud
železo	raua
spisy	kirjutised
labe	elbe
konečný	lõplik
efektívne	efektiivne
efektívne	tõhus
efektívne	tõhusad
efektívne	efektiivselt
efektívne	tõhusalt
efektívne	efektiivne
efektívne	tulemuslik
efektívne	tõhus
efektívne	tõhusad
efektívne	efektiivselt
efektívne	tõhusalt
najnovšie	hiljutine
najnovšie	hiljutised
najnovšie	uusim
poľnohospodárske	põllumajanduslik
kaplnke	kabel
sasko	saksi
modra	sinised
modra	sinine
jadrom	core
jadrom	tuum
jadrom	tuuma
papiera	paber
platňa	plaat
platňa	taldrik
spol	partnerid
hlasovať	hääletus
hlasovať	hääleta
hlasovať	hääletamine
hlasovať	hääletus
hlasovať	hääletamine
liverpool	liverpooli
opravy	parandused
opravy	remonti
opravy	parandused
opravy	parandus
opravy	parandamine
opravy	remont
dia	dia
mačky	kassid
trestné	kurjategija
trestné	kuritegelik
trestné	kriminaalne
trestné	kriminaal
brigády	brigaadid
brigády	brigaad
teológia	teoloogia
varšave	varssavi
ľudský	inimene
ľudský	inimlik
potrieb	vajadused
potrieb	vajab
útek	põgenemine
útek	põgenemine
zaťaženie	koormus
zaťaženie	laadi
zaťaženie	laadimine
zaťaženie	koormused
zaťaženie	laadimine
vlastnil	omanduses
sarah	sarah
venované	pühendatud
venované	pühendunud
československo	tšehhoslovakkia
vyhlásenia	avaldused
vyhlásenia	avaldused
vyhlásenia	deklaratsioonid
vyhlásenia	teadaanded
sebastian	sebastian
klaus	klaus
obsahujúce	sisaldab
obsahujúce	sisaldavad
dôsledky	tagajärjed
váhy	kaalud
váhy	kaalud
váhy	kaalud
zámer	kavatsusest
zámer	kavatsus
zámer	kavatsus
hladina	taseme
hladina	tase
hladina	tasand
čreva	soole
iniciatívy	algatuse
iniciatívy	algatus
symbolov	tähised
symbolov	sümbolid
empire	impeerium
empire	impeeriumi
vietname	vietnam
vietname	vietnami
piatok	reede
piatok	reedel
štúdiá	studios
používateľ	kasutaja
made	tehtud
etapy	etapid
pristál	maandunud
pristál	maandus
rozširuje	laiendab
osád	asulate
žltý	kollase
žltý	kollased
žltý	kollane
novšie	uuem
jamie	jamie
náčelník	ülemus
náčelník	pealik
