faith	ศรัทธา
wanna	อ่าง
wanna	อ่างอาบน้ำ
wanna	อ่างอาบน้ำ
wanna	อาบ
casa	casa
filtr	กรอง
strachu	กลัว
strachu	fear
kin	kin
kin	ญาติ
podpisanie	เซ็น
kruk	อีกา
kruk	raven
ekonomia	เศรษฐศาสตร์
ekonomia	เศรษฐกิจ
oddzielne	แยก
raju	พาราไดซ์
raju	สวรรค์
raju	พาราไดส์
burton	burton
zamki	ปราสาท
zamki	ล็อก
schronienie	ที่พัก
olimpiady	โอลิมปิก
puste	ว่างๆ
puste	ว่าง
puste	ว่าง
emocje	อารมณ์
emocje	อารมณ์
emocje	อารมณ์
turcy	เติร์ก
kuzyn	ญาติ
hood	hood
skuteczne	ประสิทธิ์
skuteczne	ประสิทธิผล
dawać	มอบ
dawać	ให้
skóra	หนัง
skóra	ผิวหนัง
skóra	ผิว
skóra	skin
rosso	rosso
kielich	จอก
kielich	คัพ
kielich	ถ้วย
kupić	ซื้อ
kupić	เลี้ยง
wykazać	สาธิต
komórka	mobile
clay	เคลย์
clay	ดิน
jardów	หลาว
jardów	หลาบ
jardów	หลา
ścieżkę	พาธ
woods	ป่า
turku	turku
eksperymenty	ทดลอง
wydajności	ประสิทธิภาพ
wydajności	ประสิทธิผล
wydajności	ผลผลิต
wydajności	ประสิทธิภาพ
andersson	andersson
subsp	subsp
demonstracji	สาธิต
płytki	กระเบื้อง
płytki	กระเบื้อง
ramiona	บ่า
ramiona	ไหล่
ramiona	แขน
elektroniczny	อิเล็กทรอนิกส์
przekształcone	แปลง
ogłoszenie	ประกาศ
rolnik	เกษตรกร
rolnik	ชาวไร่
rolnik	ชาวนา
chmury	เมฆ
chmury	เมฆ
wirus	ไวรัส
dzienniki	วารสาร
dzienniki	ไดอารี่
pisowni	สะกด
nazistów	นาซี
pierce	เพียซ
filipiny	ฟิลิปปินส์
bayern	bayern
przyczyna	เหตุ
przyczyna	เหตุผล
przyczyna	สาเหตุ
przyczyna	เพราะ
