hugh	休
madison	madison
inisiatif	倡議
inisiatif	倡議
terusan	運河
terusan	canal
terusan	水道
terusan	水路
stuart	司徒
karen	karen
umpan	動態
umpan	飼料
umpan	魚餌
umpan	餌
umpan	誘餌
tengkorak	骷髏
tengkorak	頭顱
tengkorak	頭骨
kemasan	包裝
kemasan	包裝
kemasan	打包
selebriti	名流
selebriti	名人
selebriti	名人
rahim	子宮
rahim	子宮
bidadari	angel
bidadari	天使
kakao	可可
perhiasan	珠寶
perhiasan	首飾
perhiasan	珠寶
perhiasan	首飾
dikurangi	扣除
dikurangi	減少
dikurangi	扣除
dikurangi	減
praha	布拉格
topografi	地形
memancing	釣魚
memancing	漁業
memancing	捕撈
memancing	捕魚
perspektif	透視
perspektif	視角
perspektif	視角
perspektif	觀點
hye	慧
penguin	企鵝
penguin	企鵝
missile	導彈
qin	秦
relasi	關係
relasi	關係
ghost	鬼魂
ghost	鬼
ghost	幽靈
progresif	漸進
progresif	進步
progresif	累進
progresif	逐步
oct	十月
tunas	芽
caroline	caroline
penanaman	種植
penanaman	種植
ngc	ngc
dibayar	付費
dinamika	動態
dinamika	動力學
rico	rico
rico	梱
dimas	dimas
dimas	danny
ronde	圓
ronde	輪
stroke	中風
bak	浴盆
bak	浴缸
bak	霸
kerang	蛤蜊
kerang	蛤
kerang	蚶
kerang	貝殼
kerang	shell
kerang	殼
kerang	貝殼
kerang	殼
kamal	kamal
menyertakan	包括
menyertakan	包括
menyertakan	包括
better	更好
surut	downs
surut	消退
saul	saul
wajar	合理
samsung	三星
baba	巴巴
problem	問題
akademis	學術
peralihan	過渡
peralihan	轉型
peralihan	過渡
merak	孔雀
pengeluaran	花費
pengeluaran	花費
pengeluaran	支出
pengeluaran	花費
ubah	變更
ubah	修改
ubah	更改
ubah	改變
ubah	更改
ubah	變更
ubah	變
charter	包租
samaria	samaritan
dominasi	支配
dominasi	支配
pemanasan	前奏
pemanasan	暖氣
pemanasan	供暖
pemanasan	加熱
kawat	電線
kawat	鋼絲
kawat	鐵絲
smart	聰明
smart	smart
rongga	腔
rongga	蛀牙
akta	地契
akta	契約
persepsi	感知
persepsi	知覺
persepsi	感知
tanaka	田中
rob	rob
disepakati	議定
disepakati	同意
disepakati	商定
ultra	超
randy	randy
biarawan	僧侶
biarawan	和尚
biarawan	僧
biarawan	僧侶
biarawan	和尚
celana	短褲
celana	褲
celana	褲子
celana	長褲
celana	內褲
celana	褲
celana	褲子
pemindahan	轉移
pemindahan	流離失所
pemindahan	位移
morris	morris
bintik	雀斑
bintik	斑點
gandhi	甘地
ling	玲
ling	凌
ralph	ralph
rgb	rgb
nampak	可見
devil	魔鬼
abdi	abdi
bubuk	粉
bubuk	粉末
bubuk	火藥
bubuk	粉末
marcel	marcel
pembacaan	閱讀
pembacaan	讀書
pembacaan	讀取
pembacaan	讀
active	積極
active	活躍
keperawatan	護理
keperawatan	哺乳
kid	小孩
itunes	itunes
kelinci	野兔
kelinci	兔
kelinci	兔子
kelinci	野兔
kelinci	兔
kelinci	兔子
penempatan	安置
bombay	孟買
jln	jalan
teen	青少年
teen	少年
terkuat	最強
peresmian	就職
peresmian	就職典禮
paradise	天堂
paradise	樂園
berwenang	當局
wings	翅膀
wings	翼
terpencil	與世隔絕
mitchell	mitchell
katak	蟾蜍
katak	青蛙
katak	蛙
katak	青蛙
imigrasi	移民
imigrasi	移民局
yatim	孤兒
adventures	冒險
prototipe	原型
prototipe	原型
helsinki	赫爾辛基
subyek	科目
subyek	主題
ppi	ppi
sukarela	自願
sukarela	自願性
kolektif	集體
classic	經典
classic	古典
rpm	rpm
rpm	轉速
meniru	模仿
meniru	冒充
garcía	加西亞
garcía	garcía
brussels	布魯塞爾
pin	別針
pin	pin
ester	酯
ester	esther
oral	口頭
oral	口服
oral	口腔
nyonya	夫人
nyonya	情婦
nyonya	女主人
oksida	氧化
oksida	氧化物
communications	通訊
dawn	dawn
dawn	拂曉
dawn	黎明
dawn	天亮
heroes	英雄
explorer	探險家
explorer	explorer
hobi	嗜好
hobi	愛好
hobi	嗜好
hobi	愛好
rotasi	輪值
rotasi	旋轉
rotasi	自轉
rotasi	輪換
tun	tun
ren	任
amazon	亞馬孫
amazon	亞馬遜
jamaika	牙買加
balasan	回覆
balasan	回覆
balasan	答復
undian	彩票
penguasaan	持有
penguasaan	擁有
penguasaan	佔有
penguasaan	掌握
tempe	tempe
fiji	斐濟
beli	購買
beli	買
persilangan	交集
persilangan	相交
gantung	絞刑
gantung	懸
prioritas	優先權
prioritas	優先
dihilangkan	省略
konstan	常數
konstan	常數
phone	電話
phone	手機
penerjemah	口譯員
penerjemah	口譯
penerjemah	翻譯
dick	dick
railway	鐵路
railway	鐵道
performa	績效
performa	業績
persentase	百分比
persentase	百分比
persentase	百分比
menimpa	覆蓋
menimpa	覆蓋
strip	條
strip	脫衣
strip	脫
strip	脫衣舞
strip	地帶
senayan	senayan
tebu	甘蔗
tebu	拐杖
tebu	甘蔗
tebu	手杖
gov	gov
champion	冠軍
menggali	挖
menggali	挖掘
menggali	挖
elektronika	electronica
elektronika	電子
elektronika	電子
colin	colin
yin	陰
yin	殷
forever	永遠
sengketa	爭端
sengketa	糾紛
sengketa	爭議
sengketa	爭議
sengketa	爭端
sengketa	糾紛
sengketa	爭議
pengasingan	流亡
pengasingan	放逐
pengasingan	流放
liburan	假期
liburan	holiday
liburan	假日
liburan	度假
liburan	節日
liburan	假期
liburan	渡假
liburan	度假
liburan	假期
liburan	假日
liburan	節假日
liburan	節日
complex	複雜
lane	lane
lane	巷
lane	車道
separuh	一半
separuh	半
separuh	半數
gembira	欣喜若狂
ekstra	額外
ekstra	多餘
cure	治癒
teras	露台
teras	陽台
teras	臺
teras	露台
personil	人員
personil	人事
acuan	參考
acuan	基準
rekomendasi	建議
rekomendasi	建議
pengadaan	採購
cold	冷冷
cold	寒冷
cold	冷
gamma	gamma
gamma	伽瑪
kisaran	幅度
kisaran	範圍
kisaran	山脈
kisaran	範圍
kisaran	射程
hapus	清除
hapus	刪除
hapus	移除
hapus	刪除
hapus	刪去
imbang	領結
imbang	平局
imbang	領帶
imbang	繪製
imbang	畫
imbang	抽籤
pembatasan	限制
pembatasan	限制
pembatasan	限制
julie	julie
character	字元
character	人物
character	角色
character	性格
character	品格
oman	阿曼
arabia	阿拉伯
perorangan	個人
perorangan	個別
perorangan	個體
nubuat	預言
nubuat	預言
soto	soto
truth	真理
truth	事實
truth	真相
penanda	標記
penanda	書籤
every	每個
every	每一個
periodik	定期
menyembunyikan	隱藏
menyembunyikan	隱藏
aroma	香味
aroma	芳香
aroma	香氣
aroma	氣味
amino	氨基
amino	氨基酸
penggantian	替代
penggantian	替換
penggantian	更換
penggantian	置換
penggantian	替代
catalina	catalina
menguji	測試
menguji	試驗
menguji	測驗
menguji	測試
menguji	測驗
menguji	檢驗
menguji	試驗
suite	套房
suite	套房
suite	suites
sorong	手推車
penggalian	挖掘
penggalian	發掘
reputasi	名譽
reputasi	聲譽
reputasi	名聲
reputasi	信譽
reputasi	聲望
rela	心甘情願
wawasan	洞察力
wawasan	洞察
keunikan	獨特性
keunikan	獨特
keunikan	獨一無二
taruna	學員
taruna	學員
asumsi	假設
asumsi	假定
asumsi	假設
asumsi	假定
kiper	守門員
kiper	守門員
cameron	cameron
angela	angela
step	台階
step	步驟
step	步
senja	黃昏
senja	夕陽
senja	曙光
senja	黃昏
senegal	塞內加爾
venesia	威尼斯
lancar	光滑
lancar	順利
lancar	平滑
lancar	平穩
bengkel	研討會
penawaran	交易
penawaran	優惠
penawaran	投標
penawaran	出價
penawaran	優惠
penawaran	投標
penawaran	出價
penawaran	競標
penawaran	競價
setiawan	setiawan
pengalihan	轉送
pengalihan	分流
lithuania	立陶宛
kalsium	鈣
teror	恐
teror	恐怖
jpeg	jpeg
obligasi	保證金
obligasi	債券
obligasi	保證金
obligasi	鍵
obligasi	債券
obligasi	龐德
waralaba	專營
waralaba	專營
tingkah	行為
male	男性
male	男
mason	梅森
mason	mason
perfect	完美
birds	鳥類
birds	鳥
birds	鳥兒
letters	信
letters	字母
letters	信件
rotterdam	鹿特丹
monaco	摩納哥
monte	monte
ketahanan	耐力
ketahanan	韌性
ketahanan	復原力
ketahanan	阻力
ketahanan	電阻
ketahanan	抵抗
ketahanan	抵制
bhutan	不丹
angels	天使
beku	冷凍
beku	凍結
beku	冰凍
beku	frost
beku	霜
beku	冰霜
desktop	桌面
desktop	桌面
metabolisme	代謝
metabolisme	新陳代謝
musiman	季節
factor	因子
factor	因數
mediawiki	mediawiki
surel	mail
surel	郵件
surel	郵寄
surel	信件
surel	電子郵件
surel	email
montreal	蒙特婁
suit	西裝
suit	西服
suit	套裝
hunt	獵
hunt	hunt
hunt	狩獵
tren	趨勢
tren	趨向
tren	熱門
perusak	驅逐艦
campus	校區
campus	校園
aluminium	鋁
aluminium	鋁
ranah	網域
ranah	域
ranah	藩
ranah	網域
ranah	域
hey	嘿
natrium	鈉
banteng	牛
banteng	公牛
turbin	渦輪機
turbin	輪機
turbin	渦輪機
rex	rex
kabin	船艙
kabin	客艙
kabin	機艙
tersangka	嫌犯
tersangka	嫌疑犯
tersangka	疑犯
tersangka	嫌犯
tersangka	嫌疑犯
tersangka	疑犯
gencatan	休戰
gencatan	停戰
rainbow	彩虹
daur	週期
daur	迴圈
komputasi	運算
komputasi	計算
piramida	金字塔
piramida	金字塔
quebec	魁北克
struktural	結構
feature	精選
semut	蟻
semut	螞蟻
semut	蟻
semut	螞蟻
mengamankan	安全
percetakan	印刷
percetakan	列印
percetakan	印表機
percetakan	印表機
columbus	哥倫布
motivasi	動機
motivasi	動因
motivasi	動力
kas	現金
vulkanik	火山
dreams	夢
dreams	夢境
dreams	夢想
teknisi	技師
teknisi	技工
teknisi	工程師
indikator	指標
indikator	指標
welcome	歡迎
helium	氦
kemarahan	怒
kemarahan	憤怒
kemarahan	怒火
kemarahan	怒
kemarahan	憤怒
kemarahan	怒火
walk	步行
walk	散步
walk	走路
notaris	公證
pembeli	買主
oslo	奧斯陸
mengobati	對待
mori	毛利
mori	森
warsawa	華沙
kesepuluh	第十
course	課程
hiv	hiv
sunting	編輯
taat	服從
mat	墊子
mat	mat
mandar	鐵路
romania	羅馬尼亞
kehamilan	懷孕
kehamilan	妊娠
kehamilan	孕期
property	地產
property	屬性
property	財產
property	物業
economics	經濟學
economics	經濟
balas	回覆
murphy	murphy
emisi	排放
emisi	排放量
emisi	排放
emisi	排放量
daeng	菊花
daeng	daisy
bodyclass	bodyclass
keberanian	勇氣
keberanian	英勇
aek	aek
sekte	崇拜
sekte	邪教
sekte	教派
sekte	教派
melodi	旋律
tangki	油輪
tangki	坦克
saingan	對手
saingan	對手
mpu	mpu
antologi	詩選
yen	日圓
keemasan	golden
keemasan	黃金
keemasan	金色
viktor	viktor
yoga	瑜伽
yoga	瑜珈
fluida	液體
fluida	液
fluida	流體
romo	romo
holocaust	大屠殺
cargo	貨運
cargo	貨物
cargo	貨
diklaim	認領
diklaim	聲稱
pesanan	訂單
pesanan	命令
pesanan	秩序
pesanan	訂購
pesanan	順序
pesanan	命令
pesanan	訂單
restorasi	修復
restorasi	恢復
restorasi	復原
persediaan	供應
persediaan	用品
cho	趙
laboratory	實驗室
laboratory	化驗室
romance	浪漫
martir	烈士
martir	殉難者
martir	烈士
martir	殉難者
bubar	駁回
bubar	驅散
berdampak	撞擊
berdampak	影響力
berdampak	影響
berdampak	衝擊
menggambar	繪製
menggambar	畫
menggambar	抽籤
menggambar	畫畫
menggambar	繪圖
menggambar	圖畫
menggambar	繪畫
beristirahat	休息
beristirahat	休息
glass	玻璃
benyamin	benjamin
psikologis	心理
kromosom	染色體
kromosom	染色體
merekrut	招聘
merekrut	招募
merekrut	招募
merekrut	新兵
christine	christine
sos	sos
angkut	運輸
angkut	交通
teladan	模範
teladan	典範
mph	mph
pakan	動態
pakan	飼料
pakan	飼料
lituania	立陶宛
gospel	福音
landak	豪豬
landak	海膽
landak	刺蝟
powell	鮑威爾
interaktif	互動
fermentasi	發酵
mendapati	找到
mendapati	發現
meditasi	冥想
meditasi	打坐
meditasi	冥想
meditasi	冥想
meditasi	沈思
kuis	測驗
tennis	網球
officer	官
officer	軍官
mayer	mayer
motors	馬達
kotoran	大便
kotoran	便便
kotoran	泥土
kotoran	污垢
kotoran	土
kotoran	便便
keberatan	反對
keberatan	異議
palm	棕櫚
harap	請
transistor	電晶體
past	過往
past	過去
membenci	憎恨
membenci	恨
membenci	討厭
membenci	仇恨
nine	九
nine	九個
sheila	sheila
penganiayaan	迫害
pedas	辣
pelantikan	誘導
pelantikan	感應
pelantikan	就職
pelantikan	就職典禮
stabilitas	穩定
stabilitas	穩定性
antropologi	人類學
xbox	xbox
fast	快速
hutang	債務
hutang	債務
pendahulu	前身
membujuk	勸說
membujuk	說服
degradasi	退化
degradasi	降解
premium	premium
premium	溢價
premium	保費
premium	保險費
penyelamatan	營救
penyelamatan	救援
penyelamatan	拯救
damaskus	大馬士革
stories	故事
stories	動態
miles	萬里
miles	miles
miles	英里
peliharaan	寵物
peliharaan	寵物
shortsummary	shortsummary
gif	gif
simple	簡單
felipe	felipe
sejuk	酷
ruth	ruth
bibit	小苗
bibit	幼苗
bibit	苗
bibit	種子
bibit	籽
bibit	種子
rentan	脆弱
rentan	弱勢
terlambat	晚
terlambat	遲到
terlambat	遲
strata	階層
strata	地層
jackie	成龍
pemandu	指南
pemandu	指引
pemandu	嚮導
pemandu	指南
pemandu	嚮導
diserap	吸收
teddy	teddy
slot	槽
slot	槽
fields	田間
fields	田地
fields	欄位
fields	田野
upah	工資
upah	雇用
upah	工資
que	que
konsensus	共識
amy	amy
burton	burton
taufan	颱風
merugikan	危害
merugikan	傷害
jonas	jonas
sharon	sharon
sharon	沙龍
avatar	神通
avatar	化身
iris	iris
krishna	krishna
wave	揮手
wave	浪潮
wave	波
wave	浪
wave	波浪
owen	owen
owen	歐文
spiral	螺旋
lia	lia
flower	花
flower	花兒
flower	花朵
rice	大米
rice	米
rice	米飯
rice	飯
together	在一起
together	一起
torres	torres
sembuh	治癒
sembuh	痊癒
potong	切
potong	削減
potong	剪
potong	割
potong	莊稼
potong	農作物
potong	作物
memikirkan	思維
memikirkan	思考
regulasi	條例
detroit	底特律
tambak	池
tambak	池塘
kyung	慶
menyewa	雇用
menyewa	雇傭
menyewa	招聘
menyewa	聘用
menyewa	雇用
sora	天空
cohen	cohen
pengumpulan	聚集
pengumpulan	聚會
pengumpulan	彙總
pengumpulan	合計
pengumpulan	聚合
gear	裝備
gear	gear
gear	齒輪
menyumbang	捐獻
menyumbang	捐贈
menyumbang	捐款
menyumbang	捐
rom	rom
comment	評論
joint	關節
joint	聯合
membandingkan	比較
perumpamaan	寓言
perumpamaan	比喻
sedimen	沈積
buang	刪除
buang	移除
voting	表決
voting	投票
voting	選票
voting	表決
voting	投票
penembakan	射擊
penembakan	槍擊
penembakan	拍攝
pucat	淡
pucat	蒼白
register	註冊
register	登記
knowledge	知識
leonard	leonard
disc	碟片
disc	碟
disc	磁碟
lift	抬
lift	提升
lift	電梯
lift	升降機
lift	升降機
lift	電梯
banks	銀行
edgar	edgar
bee	蜂
bee	蜜蜂
amfibi	兩棲
tennessee	田納西州
tennessee	田納西
ubi	ubi
seal	海豹
seal	封
seal	密封
seal	印章
seal	海豹
monitor	監視器
monitor	監測
monitor	顯示器
monitor	監視器
castro	castro
pelestarian	保全
oksidasi	氧化
zakat	施捨
hell	地獄
mengepung	包圍
mengepung	圍城
mengepung	圍困
mengepung	圍攻
mengepung	包圍
mengepung	環繞
yudaisme	猶太教
hearts	心
hearts	紅心
harvey	harvey
broadcast	廣播
broadcast	直播
broadcast	播放
broadcast	播出
berlian	金剛石
berlian	鑽石
berlian	鑽石
penyu	海龜
penyu	烏龜
penyu	龜
penyu	烏龜
penyu	海龜
dibalik	逆轉
merintis	發起
kemah	露營
kemah	難民營
kemah	營
kemah	營地
als	als
monako	摩納哥
train	火車
train	列車
cafe	咖啡廳
cafe	咖啡館
cafe	cafe
cafe	咖啡廳
cafe	咖啡館
cluster	集群
cluster	集群
bersahabat	友軍
bersahabat	友好
bersahabat	友善
door	門
mekanis	機械
batubara	煤礦
batubara	煤炭
batubara	煤
fleksibel	靈活
fleksibel	彈性
fleksibel	柔性
fleksibel	靈活性
fleksibel	靈活
fleksibel	靈活性
fleksibel	彈性
bermigrasi	遷移
bermigrasi	遷移
bermigrasi	遷徙
nuansa	墨鏡
nuansa	氛圍
limit	限制
limit	上限
limit	極限
limit	限
limit	限額
bahari	航海
jamak	多元
jamak	複數
mouse	滑鼠
mouse	鼠
kenny	kenny
mempekerjakan	雇傭
mempekerjakan	招聘
mempekerjakan	聘用
