apg	apg
liczyć	conte
liczyć	conta
liczyć	contele
liczyć	numara
liczyć	numararea
liczyć	numarare
liczyć	bazez
portrety	portretele
portrety	portrete
ofiarą	victima
ofiarą	victima
warstwa	strat
warstwa	stratul
pomiaru	masurare
pomiaru	masurarea
pomiaru	masurare
pomiaru	masurarea
pomiaru	masuratori
osobowości	personalitati
osobowości	personalitati
osobowości	personalitate
osobowości	personalitatea
kamiński	kamiński
seulu	seul
seulu	seoul
poprzednie	fosta
poprzednie	anterior
poprzednie	precedenta
poprzednie	anterioare
poprzednie	precedent
maryland	maryland
electric	electrice
electric	electric
electric	electrica
schumacher	schumacher
królową	regina
królową	dama
królową	regina
królową	queen
komentarze	comentarii
komentarze	comentariile
komentarze	observatii
keith	keith
naczynia	ustensile
naczynia	nave
naczynia	vase
naczynia	vesela
naczynia	vase
zastąpić	inlocuieste
zastąpić	inlocui
zastąpić	inlocuit
zastąpić	inlocuita
zastąpić	inlocuite
zastąpić	substitut
reakcje	reactiile
reakcje	reactii
reakcje	reactii
reakcje	reactie
reakcje	reactia
reakcje	reactie
reakcje	reactie
oddziela	separa
ekipa	echipa
ekipa	echipa
ekipa	team
ekipa	echipajul
ekipa	echipaj
ekipa	crew
piętrze	etajul
piętrze	etaj
piętrze	podea
hieronim	hieronim
reklamy	reclame
reklamy	anunturi
reklamy	reclamele
reklamy	reclame
reklamy	reclamele
reklamy	publicitatea
reklamy	reclama
reklamy	publicitate
odznaki	insigne
odznaki	insignele
kent	kent
zestawienie	sumar
zestawienie	rezumatul
zestawienie	rezumat
pomocnicze	auxiliare
pomocnicze	auxiliar
mali	mali
pruski	prusac
nieprzerwanie	continuu
colin	colin
początkowa	initiala
początkowa	initiala
początkowa	initiale
początkowa	initiala
początkowa	initial
pacific	pacificului
pacific	pacific
pacific	pacificul
ralph	ralph
todd	todd
joan	joan
joan	ioana
encyklopedyczna	enciclopedice
global	global
global	globala
global	globale
karla	karla
karla	karl
ośrodki	centre
ośrodki	centrele
ośrodki	centrelor
ośrodki	centre
stwierdzenie	declaratie
stwierdzenie	declaratia
zwalczania	eradicare
zwalczania	eradicarea
zwalczania	combat
autonomii	autonomie
autonomii	autonomia
powszechne	universala
powszechne	universal
powszechne	universale
fotografie	poze
fotografie	fotografiile
fotografie	fotografii
fotografie	fotografie
fotografie	fotografia
zależne	dependenta
zależne	dependente
zależne	filialele
zależne	filiale
niebieskie	albastra
niebieskie	albastru
uam	uam
niszczyciele	distrugatoare
owoców	fructul
owoców	fructe
owoców	fructele
owoców	fruct
owoców	fructe
owoców	fructele
pius	pius
męski	barbat
męski	masculin
męski	mascul
męski	barbat
męski	barbatesc
męski	masculin
tarnów	tarnów
weryfikacji	verificarea
weryfikacji	verificare
chińskich	chineza
chińskich	chineza
chińskich	chinezesc
chińskich	chinez
chińskich	chinezi
narzędzie	instrument
narzędzie	unealta
uznawane	recunoscute
uznawane	recunoscut
uznawane	recunoscuta
uznawane	recunoscute
uznawane	recunoscut
uznawane	recunoscuta
organizmów	organisme
organizmów	organismele
organizmów	microorganisme
używanie	folosind
używanie	folosirea
używanie	utilizarea
używanie	utilizand
cząstek	particule
cząstek	particulele
cząstek	particule
cząstek	particula
cząstek	particula
przypuszczalnie	presupus
xxx	xxx
duchu	ghost
duchu	stafie
duchu	fantoma
duchu	fantoma
duchu	spiritul
duchu	spirit
komputerów	calculatoare
komputerów	calculatoarele
komputerów	computere
amt	amt
niebo	ceruri
niebo	rai
niebo	raiul
niebo	cerul
niebo	sky
niebo	cer
niebo	ceruri
kłopoty	probleme
kłopoty	necazuri
kłopoty	belea
kłopoty	necaz
kłopoty	belele
kłopoty	necazurile
kłopoty	necazuri
węgierska	ungara
węgierska	maghiara
węgierska	maghiar
cleveland	cleveland
kampanię	campanie
kampanię	campaniei
kampanię	campania
tłumaczy	explica
tłumaczy	translators
wood	lemn
wood	lemnul
wood	wood
wood	lemne
odkryte	descoperit
odkryte	descoperite
odkryte	descoperita
odkryte	descoperit
