mendoni	dink
dallimet	verskille
bend	band
bend	musiekgroep
koke	hoofpyn
objektiv	oogmerk
objektiv	doelwit
objektiv	geteiken
objektiv	geteikende
monetare	monetêre
liber	bespreek
liber	boek
parat	geld
trembëdhjetë	dertien
giorgio	giorgio
enët	disse
çojë	lei
çojë	lood
çojë	aanvoer
ron	ron
ruajtja	bewaring
oriental	oosterse
konsideratë	oorweging
x}}	x}}
adhurimi	aanbidding
shpie	leidrade
nazist	nazi
superkupa	supercup
slloveni	slowenië
huajt	buitelanders
fajtor	skuldig
matet	gemeet
makine	kar
makine	motor
makine	motorvoertuig
rrymat	currents
oborri	courtyard
oborri	agterplaas
oborri	jaart
oborri	yard
përkufizimi	animasie
përkufizimi	definisie
sistematike	sistemiese
sistematike	stelselmatig
ndriçim	beligting
tepërt	oortollige
realizimi	implementering
fakultet	fakulteit
cola	cola
gji	breast
deklaratë	stelling
deklaratë	verklaring
guxim	moed
kryetarin	speaker
kryetarin	luidspreker
kryetarin	spreker
gironde	gironde
komisar	kommissaris
holandeze	hollandse
holandeze	nederlands
tenerife	tenerife
danimarkë	denemarke
reuss	reuss
romakë	romeine
seksual	seksuele
përqindje	persentasie
megjithate	egter
jong	yong
dytësore	fringe
dytësore	sekondêr
dytësore	sekondêre
kroni	kron
procese	prosesse
priten	verwag
siro	siro
ndikimet	invloede
lëngu	sap
shtrat	bed
personaliteti	persoonlikheid
firenze	firenze
oda	oda
administrim	bestuur
administrim	administrasie
budapest	budapest
derën	door
derën	deur
pasuar	gevolg
refer	ref
vegël	gadget
rrota	wiel
rrota	wiele
klinike	kliniese
mujore	maandelikse
mujore	maandeliks
statistikave	statistiek
statistikave	statistieke
borussia	borussia
lille	lille
dallime	verskille
djalli	duiwel
djalli	satan
kurora	kroon
dokumentuar	documented
refuzuar	afgekeur
refuzuar	verwerp
refuzuar	geweier
refuzuar	verwerp
refuzuar	afgewys
messi	messi
ashanti	ashanti
yusuf	yusuf
kristiane	christian
kristiane	christene
kristiane	christen
kristiane	christiaan
këngëtarë	sangers
këngëtarë	singers
edukative	opvoedkundige
stanley	stanley
mbështetëse	ondersteunende
shkurtit	februarie
përziera	gemeng
përziera	gemengde
përziera	vermeng
thellësia	diepte
lazio	latium
fiksuar	reggemaak
plastike	plastiek
punk	punk
vetmuar	eensaam
skema	skema
horizontal	horisontale
mjekët	dokters
ain	ain
fizikisht	fisies
pbb	bbp
sánchez	sánchez
iowa	iowa
toledo	toledo
shit	verkoop
shit	sold
shit	verkoop
gjenetik	genetiese
karton	karton
joachim	joachim
lajmet	nuus
aires	aires
disku	skyf
disku	skyf
fytyrës	gelaatstrekke
formati	formateer
rrjeta	rooster
rrjeta	netto
rrjeta	nette
jeshile	groen
perpara	vorentoe
perpara	ahead
perpara	voor
perpara	before
borë	sneeu
përfundimi	voltooiïng
përfundimi	uitkoms
përfundimi	aangaan
adm	adm
harris	harris
veshin	wear
fetarë	godsdienstige
fetarë	religieuse
fetarë	gelowige
drejtorisë	direktoraat
ikën	gone
ikën	gegaan
parandalimin	voorkoming
mjediset	perseel
mjediset	omgewings
ecur	geloop
capital	hoofstad
reagim	reaksie
reagim	terugvoer
veshja	rok
veshja	drag
fronti	voorkant
fronti	voor
fronti	front
laurent	laurent
fotograf	fotograaf
deutschland	deutschland
shëndeti	gesondheid
ekuador	ecuador
agjent	agent
josif	josip
château	château
arsyen	rede
pasuese	successor
ruso	russo
ruso	rousseau
patate	potatoes
patate	aartappel
poshte	ondertoe
poshte	neer
poshte	af
seksion	seksie
seksion	afdeling
hermann	hermann
rriti	bevorder
fikse	reggemaak
nikola	nikola
vjetori	herdenking
perime	groente
flash	flits
flash	flash
zulu	zoeloe
zulu	zulu
grada	grade
grada	rang
grada	rank
shfrytëzimit	uitbuiting
fitim	profit
fitim	winsgewende
fabrikë	plant
fabrikë	fabriek
mynih	münchen
mynih	munich
brezat	generations
avull	steam
sllovene	sloweens
modena	modena
kërkohej	vereiste
kërkohej	benodigde
kërkohej	benodig
kërkohej	vereis
vida	vida
thërret	oproepe
vetvetes	genesing
vetvetes	hulself
arif	arif
gjendur	geleë
malo	malo
lexim	lees
mysql	mysql
legjendare	legendariese
legjendare	legendary
kritikët	critics
bruneit	broenei
trajtim	behandeling
femije	kinders
femije	kinders
femije	kind
brezave	generations
fqinjë	bure
fqinjë	bure
côtes	côtes
lavdishme	glorious
proteina	protein
proteina	proteïen
shkatërroi	vernietig
dollar	dollar
ekzekutive	uitvoerende
festohet	gevier
futbollisti	sokkerspeler
somme	somme
kodrën	heuwel
kodrën	hill
kombësia	nasionaliteit
doi	doi
hip	hip
organizmi	organisme
zhveshur	naked
tru	brain
tru	brein
mëshirë	mercy
pazar	inkopies
pazar	shopping
