sultán	szultán
nepriamo	közvetetten
nepriamo	közvetett
nepriamo	közvetve
nepriamo	közvetetten
nepriamo	közvetve
pápeži	pápák
povedomia	tudatosság
modelka	model
modelka	minta
modelka	modell
urata	urata
občianskeho	polgári
blízkom	középre
blízkom	közép
blízkom	középső
vlk	farkas
vlk	wolf
volkswagen	volkswagen
sociológ	szociológus
chemická	kémiai
zur	zur
kongresu	kongresszus
lászló	lászló
robot	bot
robot	robot
námornej	tengeri
námornej	tengerészeti
pevný	tömör
pevný	szilárd
alexandrovič	alekszandrovics
zahraničné	külföldi
zahraničné	kül
zahraničné	külföldiek
stuttgart	stuttgart
kovy	metál
kovy	metal
kovy	fémek
kovy	fém
kovy	fémek
hamburg	hamburg
oslobodenie	mentesítés
oslobodenie	adómentesség
oslobodenie	mentesség
oslobodenie	felszabadítási
bydlisko	rezidens
bydlisko	lakos
bydlisko	tartózkodási
bydlisko	lakóhely
bydlisko	lakóhely
mag	mag
bobby	bobby
náhodou	véletlenül
napísali	megírva
napísali	írásbeli
napísali	írta
napísali	írott
napísali	írt
napísali	irtam
napísali	írta
napísali	írtam
tiger	tigris
tiger	tiger
nadácie	alapítványok
detaily	részletek
detaily	részleteket
kolektív	kollektív
automobilový	autóipari
automobilový	autóipar
automobilový	gépjármű
philippe	philippe
ľad	jég
ľad	ice
lese	erdőben
lese	erdő
lese	erdők
mostov	hidak
mostov	hidakat
jadrovej	nukleáris
rap	rap
výraznejšie	élesebb
odolnosť	ellenálló
odolnosť	rezisztencia
odolnosť	ellenállás
odolnosť	rugalmasság
odolnosť	rugalmasságát
jay	jay
podobnú	hasonló
podobnú	hasonlóak
podobnú	hasonlók
teórií	elméletek
čou	zhou
záhreb	zágráb
leonardo	leonardo
sľuby	ígéret
sľuby	ígéretek
sľuby	jelöltek
sľuby	fogadalom
sľuby	fogadalmat
sľuby	eskü
prepojenie	összeköttetés
súčet	összeg
umiestnenia	elhelyezés
umiestnenia	helyszínek
umiestnenia	helyek
umiestnenia	elhelyezés
umiestnenia	helyszín
umiestnenia	hely
umiestnenia	elhelyezkedés
formátu	formátuma
formátu	formátum
záhrade	kert
záhrade	kertje
záhrade	garden
záhrade	kertben
derby	derby
teréne	terep
robinson	robinson
zubov	fogat
zubov	fogak
bela	béla
sierra	sierra
prusko	poroszország
portugalský	portugália
portugalský	portugál
case	ügy
case	case
case	eset
vlakov	vonatok
soľ	só
soľ	sót
soľ	sós
miestni	helyiek
castle	vár
castle	várban
castle	castle
castle	kastély
zjednotenie	egyesítés
zjednotenie	egyesülés
zjednotenie	egyesítő
väzba	bind
väzba	kötés
väzba	kötelező
väzba	kötődés
väzba	kötés
väzba	kötvény
väzba	kötelék
väzba	bond
tradícia	tradíció
tradícia	hagyomány
povesti	szóbeszéd
povesti	pletykák
nástupcu	utódja
aktuálny	áramlat
aktuálny	jelenlegi
aktuálny	aktuális
aktuálny	aktuális
katalóg	katalógus
katalóg	katalógus
nelson	nelson
sčítanie	népszámlálás
výklad	értelmezés
výklad	értelmezése
výklad	értelmezni
pozemné	földi
pozemné	földfelszíni
pozemné	szárazföldi
pozemné	talaj
pohľady	látnivalók
pohľady	megtekintés
cestná	út
cestná	uton
cestná	közúti
zásah	interferencia
zásah	beavatkozás
zásah	beavatkozás
zásah	intervenciós
zásah	intervenció
warner	warner
zdravotné	orvosi
zdravotné	egészségügy
zdravotné	egészségügyi
zdravotné	egészség
chybu	tévedés
chybu	hiba
založiť	alap
založiť	bázis
jules	jules
prúdov	patakok
komédia	vígjáték
komédia	humor
komédia	komédia
watanabe	watanabe
kresťanov	keresztények
angel	angyal
angel	angel
angel	angyalka
továrne	üzemek
továrne	gyárak
faktor	faktor
faktor	tényező
litva	litvániában
litva	litvánia
zavraždený	meggyilkolták
zavraždený	megölte
zavraždený	meggyilkolt
phil	phil
rob	rob
zastúpené	képviselt
zastúpené	képviselte
spôsobujú	okoz
výkonný	végrehajtó
výkonný	ügyvezető
ponúkol	felajánlott
ponúkol	kínált
ponúkol	felkínált
ponúkol	felajánlotta
presun	átvitel
presun	áthelyezés
presun	transzfer
presun	mozgás
presun	költözés
presun	mozgó
presun	mozog
presun	mozgás
carter	carter
poistenie	biztosíték
poistenie	biztosítási
poistenie	biztosítás
finančne	anyagilag
finančne	pénzügyileg
kroky	lépcső
kroky	lépcsők
kroky	lépések
kroky	lépés
kroky	lépéseket
kroky	lépéseket
kroky	lépések
kroky	léptek
zmazať	törlése
zmazať	töröld
zmazať	törlés
bohatý	gazdag
bohatý	gazdagok
bohatý	rich
erich	erich
suchá	szárazon
suchá	száraz
poddruh	alfaj
slnečná	napenergia
infraštruktúra	infrastruktúra
svetom	világ
svetom	world
svetom	vilag
nahrávanie	feltöltés
nahrávanie	feltöltés
nahrávanie	feltöltése
nahrávanie	felvétel
nahrávanie	rögzítés
nahrávanie	rekord
nahrávanie	lemez
čítať	olvasott
záchranu	megmentési
záchranu	mentő
záchranu	mentés
wood	fa
wood	wood
wood	erdő
wood	fát
klavirista	zongorista
kabíny	kabinok
dutiny	üreg
mer	mer
schopní	képes
organické	organikus
organické	szerves
rybníky	tavak
portálu	portál
portálu	átjáró
vyvinuli	fejlődött
vyvinuli	fejlődtek
