शोधकर्ता	výskumník
नेटस्केप	netscape
रॉबिन	robin
बैंगनी	fialová
बैंगनी	fialové
बैंगनी	fialky
बैंगनी	fialová
बैंगनी	fialové
बैंगनी	violet
व्यू	vrátnik
प्रक्षेपास्त्र	raketa
प्रक्षेपास्त्र	strela
प्रक्षेपास्त्र	raketa
बीजिंग	peking
बीजिंग	pekingu
स्वैच्छिक	dobrovoľné
स्वैच्छिक	dobrovoľná
स्वैच्छिक	dobrovoľný
फोटोग्राफी	fotografie
फोटोग्राफी	fotografia
फोटोग्राफी	fotografovanie
प्रौढ़	dospelý
प्रौढ़	dospelých
प्रौढ़	dospelé
प्रौढ़	dospelí
कैलिफ़ोर्निया	kalifornii
कैलिफ़ोर्निया	california
कैलिफ़ोर्निया	kalifornia
धड़	trup
धड़	trupu
कैलगरी	calgary
प्रतिभूति	securities
साउंडट्रैक	soundtrack
महलों	paláce
वार्तालाप	konverzácia
वार्तालाप	rozhovor
वार्तालाप	konverzácie
वार्तालाप	konverzáciu
वार्तालाप	rozhovory
वार्तालाप	konverzácia
वार्तालाप	konverzácie
टीले	duny
बुद्धिमान	inteligentné
बुद्धिमान	inteligentná
बुद्धिमान	inteligentný
उभरते	vznikajúce
फोकस	sústrediť
फोकस	zameranie
फोकस	sústredenie
वन्यजीव	wildlife
वर्चस्व	dominoval
रुझान	trend
रुझान	tendencia
रुझान	trendy
रुझान	tendencie
रुझान	populárne
वेशभूषा	kostým
वेशभूषा	kostýmy
भागीदार	účastníkov
भागीदार	účastníkmi
भागीदार	účastníci
भागीदार	účastník
भागीदार	účastníka
स्पेंसर	spencer
अस्पतालों	nemocnice
अस्पतालों	nemocníc
विक्रेताओं	predajcov
वान	dodávka
वान	van
वान	dodávku
पुस्तिका	brožúra
तुर्कमेनिस्तान	turkménsko
देखिए	pozri
देखिए	vidíš
देखिए	vidieť
आधुनिकता	modernosti
रॉबर्ट्स	roberts
क्लाइंट	klienta
क्लाइंट	klient
क्लाइंट	klienti
क्लाइंट	klientov
क्लाइंट	klientmi
डायरी	denníku
डायरी	denník
अपडेट	aktualizácia
अपडेट	aktualizovať
अपडेट	update
अपडेट	aktualizuje
अपडेट	aktuality
अपडेट	aktualizácie
चैम्पियन	borec
चैम्पियन	šampión
चैम्पियन	champion
चैम्पियन	šampión
डेनिस	denise
डेनिस	denisa
डेनिस	dennis
डेनिस	denis
डेनिस	denis
जोएल	joel
मैगज़ीन	časopisy
मैगज़ीन	časopisov
सीमाएं	obmedzení
सीमाएं	obmedzenia
शंघाई	šanghaji
वाइस	vice
किट	súpravu
किट	súprava
किट	kit
भ्रमित	zmätené
भ्रमित	zmätení
भ्रमित	zmätený
संस्मरण	pamäte
बाप	otče
बाप	otec
बाप	otca
थाली	doska
थाली	platňa
थाली	tanier
थाली	platne
थाली	plech
नग्न	nahý
नग्न	nahá
नग्न	nahé
नग्न	nahá
नग्न	nahý
नग्न	nahé
कार्यभार	pridelenia
कार्यभार	úlohy
कार्यभार	priradenie
कार्यभार	pridelenie
एनालॉग	analógové
युगों	juga
रुकावट	zablokovaniu
रुकावट	obštrukcia
रुकावट	prekážka
प्रतिबिंब	odraz
प्रतिबिंब	zamyslenie
प्रतिबिंब	úvaha
प्रतिबिंब	zrkadla
प्रतिबिंब	zrkadlo
ब्लेड	blade
ब्लेड	čepeľ
ब्लेड	čepele
सदिश	vektora
सदिश	vektor
सदिश	vektorov
स्थगित	pozastaviť
स्थगित	odložiť
स्थगित	odložené
स्थगित	odložili
स्थगित	čaká
स्थगित	čakajúce
गिरोह	banda
गिरोह	gang
दायित्वों	povinnosťami
दायित्वों	povinností
दायित्वों	záväzky
दायित्वों	povinnosti
पावन	svätá
पावन	svätý
पावन	sväté
मर्यादा	dôstojnosti
मर्यादा	dôstojnosť
मर्यादा	dôstojný
बैले	balet
बसंत	prameň
बसंत	jar
बसंत	jarná
बसंत	jaro
बसंत	jarné
शर्ट	košeľa
शर्ट	trička
शर्ट	tričko
शर्ट	tričká
शर्ट	košele
शर्ट	trička
न्यायाधीशों	sudcov
न्यायाधीशों	sudcovia
सेंसर	snímačov
सेंसर	snímače
सेंसर	senzorov
सेंसर	senzory
सेंसर	snímač
सेंसर	snímača
सेंसर	senzor
स्टैंड	stáť
स्टैंड	stojí
उपनिवेशों	kolónie
उपनिवेशों	kolóniu
