胞子	spóry
開花	kvitnutia
開花	kvitne
ジュール	jules
ジュール	joulov
ジュール	joule
賀茂	kamo
アンカー	ukotvenie
アンカー	kotvenie
アンカー	kotva
アンカー	kotvy
アンカー	ukotvenie
アンカー	kotvy
ネバダ	nevade
溶接	zvárané
溶接	zváranie
近似	aproximácia
近似	aproximácii
ビクトリア	viktória
ビクトリア	viktoria
ビクトリア	victoria
給付	výhoda
給付	úžitok
給付	prínos
環礁	atolu
手動	ručné
手動	manuál
手動	manuálne
手動	manuálna
手動	príručka
手動	príručke
手動	manuálne
手動	ručne
マキシ	maxi
パルス	tep
パルス	impulz
パルス	pulz
レオナルド	leonardo
許諾	oprávnenie
許諾	povolenie
まゆ	obočie
カオス	chaos
マネージメント	hospodárenie
マネージメント	riadenie
マネージメント	vedenie
マネージメント	manažment
マネージメント	spravovanie
ハングル	hangul
抹消	zrušenie
抹消	zrušenia
セクシー	sexi
セクシー	sexy
発光	žiari
ちび	maličké
ちび	drobné
ダウ	dow
リッチモンド	richmonde
海岸線	pobrežná
海岸線	pobrežie
カーネル	jadro
カーネル	jadra
カーネル	jadier
カーネル	jadrá
電線	kábel
電線	káblové
電線	káble
スペンサー	spencer
居酒屋	krčme
ギルバート	gilbert
興奮	vzrušenia
興奮	vzrušenie
興奮	teším
興奮	vzrušený
興奮	nadšená
モータースポーツ	motorsport
台地	rovnovážnej
台地	plošina
パルマ	palma
パルマ	parma
日数	dní
日数	dňoch
日数	dni
日数	days
再戦	odveta
機密	dôverný
機密	dôverný
機密	dôverné
未遂	pokus
未遂	pokusy
未遂	pokusov
未遂	pokus
クライアント	klienta
クライアント	klient
クライアント	klienti
クライアント	klientov
クライアント	klientmi
掃除	čistenie
掃除	upratovanie
微生物	mikroorganizmy
微生物	mikroorganizmov
ウシ	dobytka
ウシ	dobytok
ソマリア	somálsko
ソマリア	somálsku
ソマリア	sýria
ソマリア	somálska
穀物	obilie
穀物	zrná
穀物	zrno
穀物	zrna
パオ	pao
音色	tóny
抜粋	úryvok
スカイライン	panorámu
鉱石	rudy
保育園	škôlka
シンポジウム	sympózium
美香	mika
ブランデンブルク	brandenbursko
エドガー	edgar
ローラー	valec
下線	zdôraznila
下線	zdôraznenie
下線	zdôrazniť
トラスト	veriť
トラスト	dôvera
トラスト	ver
トラスト	dôveru
トラスト	dôverovať
エリカ	erika
フラット	byt
フラット	ploché
フラット	plochá
カバ	hroch
カバ	hroch
受け入れる	akceptovať
受け入れる	prijať
迫撃砲	malty
迫撃砲	malta
補助金	dotácia
補助金	dotácií
補助金	subvencie
補助金	dotácie
補助金	dotované
シェフ	šéfkuchár
シェフ	kuchár
歯車	výstroj
歯車	výstroja
大当たり	jackpot
俊夫	toshio
グレッグ	grega
グレッグ	greg
パスワード	heslo
パスワード	heslá
メカニック	mechanika
メカニック	mechanik
申告	vyhlásiť
申告	vyhlasujem
申告	deklaráciu
申告	deklarácia
申告	vyhlásenie
申告	prehlásenie
赤ちゃん	baby
赤ちゃん	bábätko
赤ちゃん	dieťa
赤ちゃん	deti
赤ちゃん	dojčatá
細分	delenie
細分	rozdelenie
壱岐	iki
スクロール	posúvanie
スクロール	posúvať
スクロール	zvitok
スクロール	posunúť
会う	stretnúť
会う	spoznať
弾頭	hlavica
セクター	sektor
セクター	odvetvie
セクター	sektorov
セクター	odvetvia
セクター	sektory
濃い	silná
濃い	silní
濃い	silné
濃い	silný
減らす	pokles
減らす	zníženie
減らす	znižovať
減らす	znížiť
減らす	zredukovať
減らす	znížiť
ショパン	chopin
トロンボーン	trombón
ネック	krk
ネック	šije
ネック	krku
ストライキ	strike
ストライキ	udrieť
ストライキ	štrajk
最低限	minimálne
最低限	minimum
最低限	minimálny
最低限	minimálna
レター	dopis
レター	písmeno
レター	list
回廊	ambit
回廊	chodba
回廊	koridor
プレゼン	prezentácia
プレゼン	prezentáciu
プレゼン	prezentácie
プレゼン	prezentovať
プレゼン	prezentácie
モスク	mešity
モスク	mešity
ルーカス	lucas
ルーカス	lukas
プライド	pýcha
プライド	hrdosť
プライド	hrdosti
プライド	pride
清算	likvidácia
清算	likvidácie
テロリスト	teroristu
テロリスト	terorista
テロリスト	teroristom
テロリスト	teroristami
テロリスト	teroristi
テロリスト	teroristov
バーンズ	barnes
バーンズ	popáleniny
バーンズ	burns
バーンズ	horí
管理人	admin
管理人	administrátor
管理人	administrátori
管理人	správcovia
管理人	administrátori
管理人	administrátor
管理人	správcu
管理人	správca
持ち込み	odniesť
持ち込み	niesť
持ち込み	nosiť
持ち込み	priniesť
コスチューム	kostým
コスチューム	kostýmy
カージナルス	kardináli
波動	vlna
波動	vlnová
波動	vlnu
エアバス	airbus
スペック	spec
ボリス	boris
サンバ	samba
原告	žalobca
原告	žalobcu
原告	žiadateľ
原告	navrhovateľ
地主	domáci
チキン	kurča
チキン	sliepka
チキン	kura
チキン	kuracie
インデックス	index
インデックス	indexov
インデックス	indexy
中道	mierna
中道	stredne
中道	stredný
中道	stredná
中道	stredné
ピックアップ	vyzdvihnutie
コールド	studená
コールド	studené
コールド	chladná
コールド	zima
コールド	chlad
プライス	price
プライス	cena
プライス	cene
ハロルド	harold
待遇	liečenie
待遇	zaobchádzanie
待遇	spracovanie
待遇	ošetrenie
待遇	liečba
北極	arktídy
北極	arktíde
フレンチ	francúzske
フレンチ	francúzština
フレンチ	francúzsky
フレンチ	francúz
フレンチ	francúzska
すごい	pecka
すごい	super
すごい	úžasné
すごい	paráda
すごい	úžasne
すごい	úžasné
すごい	úžasný
吹雪	blizzard
ライプツィヒ	lipsko
アダムズ	adams
ジュース	šťavy
ジュース	džús
ジュース	šťava
ジュース	šťavy
ゴルファー	golfista
守山	moriyama
従兄弟	sesternica
従兄弟	bratranec
用心棒	vyhadzovač
ギルド	spolok
ギルド	cech
ギルド	cechov
ニュルンベルク	norimbergu
ブラザー	bratovi
ブラザー	braček
ブラザー	brat
チューリッヒ	zürich
チューリッヒ	zurichu
内線	predĺženie
内線	rozšírenie
内線	rozšírenia
ルクス	lux
ステッカー	nálepku
ステッカー	nálepka
ステッカー	nálepky
ステッカー	nálepiek
ステッカー	nálepky
浅い	plytké
カブ	mláďa
パウル	pavol
パウル	paul
パウル	pavla
故人	zosnulý
故人	zos
故人	zosnulého
アッパー	zdvihák
ハンドボール	hádzanej
ハンドボール	hádzanárske
オークス	oaks
エッグ	vajcia
エッグ	vajec
エッグ	vajíčka
エッグ	vajíčko
エッグ	vajca
エッグ	vajce
更生	rehabilitácie
更生	rehabilitáciu
スキン	kožušiny
スキン	kože
スキン	koža
スキン	pleť
スキン	kožu
スキン	kože
スキン	skin
パース	perth
エマ	emmu
エマ	emma
ヌード	nahota
ヌード	nahá
ヌード	nahý
ヌード	nahé
公害	znečisťovanie
公害	znečistenia
公害	znečistenie
コペンハーゲン	kodani
コペンハーゲン	kodaň
りんご	jablká
りんご	jablko
りんご	jablkový
りんご	apple
ヒカル	hikaru
インフルエンザ	chrípka
インフルエンザ	chrípku
インフルエンザ	chrípky
インフルエンザ	chrípka
インフルエンザ	chrípku
インフルエンザ	chrípky
十和田	towada
イラ	ila
関税	tarifa
関税	colných
オーボエ	hoboj
毒性	jedovatý
毒性	toxické
毒性	toxická
毒性	toxický
毒性	toxicitu
毒性	toxicita
毒性	toxicity
メカニズム	mechanizmov
メカニズム	mechanizmy
メカニズム	mechanizmus
ファンタジア	fantasia
やさしい	ľahko
やさしい	ľahké
やさしい	easy
やさしい	jednoduché
ジャンボ	jumbo
ネギ	pór
燃える	pálenie
燃える	horí
燃える	spaľovanie
体質	ústave
体質	ústavu
体質	ústava
体質	ústavy
イヌ	psíka
イヌ	psa
イヌ	psík
イヌ	psie
イヌ	pes
苦しみ	trápenie
苦しみ	utrpenie
苦しみ	utrpenia
キノコ	huby
キノコ	húb
キノコ	huba
キノコ	huby
グラン	gran
厚い	hrubý
厚い	hustá
厚い	husté
厚い	hrubé
厚い	hrubá
ヤンキー	yankee
ボア	boa
麻痺	paralýza
麻痺	obrna
オリンピア	olympia
クラウス	kraus
クラウス	klausovi
クラウス	klaus
クラウス	klausa
証人	svedkovia
証人	svedkov
証人	svedka
証人	svedok
石碑	stéla
賞賛	obdivujem
賞賛	obdivovať
賞賛	obdiv
賞賛	pochváliť
賞賛	pochvalu
賞賛	chváliť
賞賛	chvála
シリアル	poradové
シリアル	sériový
シリアル	sériové
シリアル	obilie
シリアル	obilnín
シリアル	obilniny
シリアル	obilnín
シリアル	obilniny
シリアル	cereálie
子育て	rodičovstvo
ウィンドウ	okna
ウィンドウ	okienko
ウィンドウ	okne
ウィンドウ	okno
水分	vlhkosť
水分	vlhkosti
聴く	počúvať
聴く	počúvaj
バーバラ	barbara
遊ぶ	prehrať
遊ぶ	play
遊ぶ	hraj
遊ぶ	hrať
遊ぶ	zahrať
決済	platby
決済	urovnanie
決済	vysporiadanie
決済	zúčtovanie
決済	vyrovnania
決済	vyrovnanie
決済	vyplatenie
決済	platbu
決済	platobné
決済	platby
決済	platba
サニー	slnečný
サニー	slnečné
嫉妬	žiarlivá
嫉妬	žiarli
嫉妬	žiarlivý
嫉妬	žiarliť
嫉妬	žiarlivosť
ディスコ	disko
ディスコ	disco
ブタ	prasatá
ブタ	ošípané
ブタ	svine
ブタ	prasce
ブタ	ošípaných
ブタ	sviňa
ブタ	prasa
ノーマン	norman
尾翼	chvosty
尾翼	chvost
退却	ústup
退却	ustúpiť
悪意	škodlivý
悪意	zloba
オタク	geek
屋台	stánky
伝導	vodivosť
受け取る	prijímať
受け取る	prijímajú
受け取る	dostávať
受け取る	prijať
アーロン	aaron
アンチ	anti
ベストセラー	bestseller
ピコ	pico
タックル	riešiť
ステンレス	nehrdzavejúcej
壁画	maľbu
エンブレム	emblémov
エンブレム	znak
素敵	krásny
素敵	krásne
素敵	pekny
素敵	pekný
素敵	pekná
素敵	pekne
素敵	pekné
素敵	nice
思想家	mysliteľov
ピクセル	pixel
ピクセル	pixelov
コントローラ	ovládače
コントローラ	prevádzkovatelia
コントローラ	regulátor
コントローラ	ovládač
たまに	príležitostne
たまに	občas
外科医	chirurg
伝送	vysielanie
伝送	prenos
伝送	zasielanie
トロイ	troy
タンカー	tanker
気体	plynu
気体	benzin
気体	plyn
気体	plyny
処罰	potrestať
処罰	trestať
処罰	trest
処罰	potrestanie
処罰	trestom
ロータス	lotos
キャンセル	zrušiť
キャンセル	zrušené
キャンセル	zrušená
キャンセル	zrušený
キャンセル	zrušená
キャンセル	zrušené
キャンセル	zrušený
キャンセル	zrušenie
キャンセル	zrušenia
血統	rodokmeň
不完全	nedokonalé
ウィキ	wiki
リスボン	lisabon
リスボン	lisabonská
リスボン	lisabonskej
リスボン	lisabonu
剥奪	zbavený
掘削	vykopávok
掘削	vŕtanie
ボリビア	bolívijskej
ボリビア	bolívia
棄却	prepustenie
幼虫	larvy
演目	programy
演目	programov
標準化	normalizáciu
チェルシー	chelsea
ナンシー	nancy
カタール	katar
解読	rozlúštiť
解読	dekódovanie
ゲイリー	garyho
ゲイリー	gary
やまと	yamato
出血	krvácanie
出血	krvácania
出血	krvácanie
タンゴ	tango
濡れ	mokrý
濡れ	mokré
濡れ	mokrá
ロンド	rondo
キックボクシング	kickboxu
台北市	taipei
諮問	konzultácie
諮問	porady
諮問	konzultácia
火事	oheň
火事	horí
火事	požiar
ジュリエット	juliet
ジュリエット	júlia
マクラーレン	mclaren
オアシス	oasis
赤道	rovník
クウェート	kuvajte
クウェート	kuvajtský
疲労	vyčerpávajúci
疲労	vyčerpávajúce
疲労	únava
疲労	únavu
疲労	únava
疲労	vyčerpania
平壌	pchjongjangu
国々	krajinách
国々	krajín
国々	štáty
国々	krajiny
ディー	dee
タコ	octopus
内訳	členenie
内訳	rozdelenie
内訳	rozpis
内訳	členenie
内訳	členenia
ジャイアント	obor
ジャイアント	obrovský
ジャイアント	obrie
バディ	kamarát
出願	prihláška
出願	aplikácia
出願	žiadosť
出願	uplatňovanie
出願	aplikácie
ウォーレン	warren
銃弾	strela
銃弾	guľku
銃弾	guľky
銃弾	náboj
銃弾	guľka
妥協	kompromis
妥協	kompromisy
妥協	kompromisné
妥協	kompromisný
ピストン	piestové
ピストン	piest
グラミー	grammy
抗体	protilátky
抗体	protilátok
抗体	imunoglobulín
抗体	protilátka
抗体	protilátok
抗体	protilátky
風船	balón
風船	balóny
風船	balónov
おばさん	teta
リターン	vrátenie
リターン	návratnosť
リターン	návrat
リターン	vrátiť
ユーラシア	sluka
安定性	stabilita
安定性	stabilitu
安定性	stálosť
コメディアン	komik
コメディアン	komici
フェリックス	felix
副官	pobočník
エレクトロニクス	elektronika
エレクトロニクス	elektroniky
パトロール	hliadka
クレーター	krátery
クレーター	kráter
キャピタル	kapitál
チャット	chat
糖尿病	cukrovka
糖尿病	cukrovku
糖尿病	diabetes
ディズニーランド	disneyland
エルフ	elf
エルフ	škriatok
エルフ	elfovia
エルフ	škriatkovia
バーガー	burger
バーガー	hamburger
カリウム	draslík
カリウム	draselný
カリウム	draslíka
サバイバル	prežívanie
サバイバル	prežitie
シックス	šesť
シックス	six
シックス	šiestich
シックス	šiesti
蛍光	metalíza
蛍光	fluorescencie
可愛い	zlaté
可愛い	zlatý
可愛い	zlatí
可愛い	zlatá
可愛い	pekná
スピリット	duchu
スピリット	ducha
スピリット	duša
スピリット	duch
スピリット	spirit
グアム	guam
民兵	milície
ルター	luther
共鳴	ohlas
ジュリアン	julian
ジュリアン	juliana
受領	príjem
受領	prijatí
受領	prijatie
チャーチル	churchill
及川	oikawa
シャム	siamské
帰属	priradenie
帰属	pridelenie
モモ	broskyne
モモ	momo
モモ	broskyne
デンバー	denveri
感度	citlivosť
正午	poludnie
正午	napoludnie
正午	poludnie
正午	napoludnie
ハント	lovia
ハント	loviť
ハント	hunt
ハント	lov
ハント	lovu
ドレスデン	dresden
欠席	absencia
欠席	neexistencia
欠席	absencie
欠席	neprítomnosti
欠席	neprítomnosť
口座	účtom
口座	konto
口座	ucet
口座	účet
口座	účte
批准	ratifikácia
批准	ratifikácie
批准	ratifikáciu
説教	kázne
説教	kázať
説教	kázeň
説教	kázať
連想	asociačné
フルーツ	ovocia
フルーツ	plody
フルーツ	ovocie
フルーツ	plodov
フルーツ	ovocia
フルーツ	plody
フルーツ	ovocie
