anita	anita
ohittaa	rondweg
ohittaa	omzeilen
ohittaa	bypass
ohittaa	omleiding
ohittaa	overschrijven
etäisyydet	afstanden
lego	lego
lindberg	lindberg
ilmaisee	aangeeft
ilmaisee	uitdrukt
aamuna	morgen
aamuna	goeiemorgen
aamuna	goedemorgen
aamuna	ochtend
sovi	passen
sovi	fit
rakenteita	structuren
uhri	slachtoffer
baden	baden
vettel	vettel
pääasiallisesti	voornamelijk
pääasiallisesti	hoofdzakelijk
pääasiallisesti	overwegend
pääasiallisesti	voornamelijk
pääasiallisesti	hoofdzakelijk
pääasiallisesti	primair
pääasiallisesti	hoofdzakelijk
beta	beta
beta	bèta
kristus	christus
pakottaa	forceren
pakottaa	kracht
pakottaa	force
toivoi	gewenst
toivoi	wenste
toivoi	gehoopt
toivoi	hoopten
toivoi	hoopte
sain	got
sain	heb
sain	kreeg
hannah	hannah
kohtalon	noodlot
kohtalon	lotsbestemming
kohtalon	lot
kohtalon	destiny
kohtalon	noodlot
kohtalon	lot
katkesi	brak
katkesi	blut
katkesi	gebroken
taiteellinen	artistieke
taiteellinen	artistiek
taiteellinen	artistiek
erityisiä	specifiek
erityisiä	specifieke
galaxy	sterrenstelsel
galaxy	melkwegstelsel
galaxy	galaxy
galaxy	melkweg
koripallo	basketball
koripallo	basketbal
juttuja	spul
juttuja	spullen
franco	franco
mason	metselaar
mason	mason
omaisuutta	eigenschap
omaisuutta	eigendom
omaisuutta	vastgoed
tyhjä	leeg
tyhjä	leegmaken
tyhjä	lege
tyhjä	ledig
tyhjä	leeg
tyhjä	blanco
kannet	deksels
kannet	oogleden
kannet	dekt
kannet	covers
kannet	omslagen
kannet	omvat
kannet	dekken
naton	nato
naton	navo
orgaaninen	biologisch
orgaaninen	organische
orgaaninen	organisch
hapen	zuurstof
hapen	zuurstofgehalte
kiinasta	china
kiinasta	porselein
kohdat	items
kohdat	punten
nashville	nashville
eduard	eduard
bordeaux	bordeaux
loma	feestdag
loma	vakantie
loma	vakantie
loma	feestdagen
loma	vakanties
loma	vakantie
raportin	verslag
raportin	rapporteren
raportin	rapport
sisilian	sicilië
sisilian	siciliaanse
jackie	jackie
jackie	jacky
airbus	airbus
koirat	honden
vahinkoa	blessure
vahinkoa	letsels
vahinkoa	letsel
vahinkoa	schade
vahinkoa	verwonding
vahinkoa	beschadiging
vahinkoa	beschadigingen
vahinkoa	schade
touko	mogen
touko	may
touko	mei
touko	mag
touko	moge
määrätty	voorgeschreven
määrätty	toegewezen
kristityt	christelijke
