támogatója	сторонник
computer	компьютер
computer	computer
toszkána	тоскане
moto	мото
börtön	тюрьме
börtön	тюрьма
börtön	тюрьме
börtön	тюрьма
una	уна
ismételten	многократно
ismételten	неоднократно
okos	умная
okos	умный
okos	умно
okos	умная
okos	смарт
okos	умный
okos	smart
okos	умные
élesen	резко
mélység	глубины
mélység	глубина
mélység	глубину
lane	переулок
lane	лейн
lane	лэйн
grafika	графика
grafika	графики
divízió	деление
divízió	дивизион
divízió	подразделение
divízió	отдел
személyisége	личности
személyisége	индивидуальность
személyisége	личность
atlas	atlas
atlas	атлас
kalózok	пираты
isère	изер
brad	бред
brad	брэд
kapcsolódott	связаны
kapcsolódott	связанный
kapcsolódott	связанные
problémás	проблематичным
problémás	проблемных
problémás	проблемные
alexandre	александр
szászok	саксы
fehéroroszország	беларусь
fehéroroszország	белорусские
versailles	версаль
sainte	сент
tények	факты
gironde	жиронда
ger	ger
bass	бас
bass	басс
spirituális	духовные
spirituális	духовный
spirituális	духовное
spirituális	духовного
sekély	мелко
kulcs	ключи
kulcs	клавиши
kulcs	ключ
kulcs	ключевых
ajánlatot	предложение
újonc	новичок
újonc	новичок
újonc	новичок
hannover	ганновер
schiller	шиллер
leone	леоне
lmbt	лгбт
jövőbeli	будущее
jövőbeli	будущий
jövőbeli	будущая
jövőbeli	будущие
kezeli	маркеры
kezeli	ручки
asszonyok	женщины
asszonyok	женщин
jogszabályok	закон
jogszabályok	право
jogszabályok	законодательство
jogszabályok	законов
jogszabályok	законы
legendája	легенды
legendája	легенда
chuck	чака
chuck	чак
planet	планете
planet	планета
mer	мер
megközelítőleg	приблизительно
megközelítőleg	приблизительно
megközelítőleg	примерно
torres	торрес
hong	хун
hong	хон
indre	эндр
miles	майлс
miles	мили
miles	миль
miles	майлз
szárnyak	крылья
gees	gees
műveletek	операции
műveletek	действия
műveletek	меры
szenátus	сенат
szenátus	сенате
rendezvények	события
rendezvények	мероприятия
arányos	пропорционально
arányos	пропорционального
humanista	гуманистический
festői	живописный
festői	живописной
nancy	нэнси
filmeket	фильмы
filmeket	кино
filmeket	фильмы
filmeket	фильмов
mesterek	masters
mesterek	мастерс
mesterek	мастера
mesterek	хозяева
anita	анита
lausanne	лозанне
készülék	устройство
készülék	устройства
készülék	приборов
készülék	аппарат
hétvégén	выходные
hétvégén	выходные
hétvégén	уикенд
házas	женился
házas	женаты
házas	замужем
házas	женат
extrém	крайней
extrém	крайние
extrém	крайняя
extrém	крайний
márka	бренд
márka	бренда
terra	терра
sawyer	сойер
birkózó	борьба
birkózó	борец
vladimir	владимир
atom	атомной
atom	атомные
atom	атомная
atom	атом
menő	круто
menő	крутая
menő	классные
menő	крутые
basszusgitáros	басист
janus	янус
szabványos	стандартные
szabványos	стандарт
szabványos	стандартная
szabványos	стандартный
szabványos	standard
októberi	октябрь
októberi	октября
arabul	арабская
arabul	арабский
milliméter	миллиметров
kábel	кабельное
kábel	трос
kábel	кабель
büntetést	наказан
büntetést	наказал
büntetést	наказаны
nyak	шею
nyak	шея
légitársaság	авиакомпании
légitársaság	авиалинии
légitársaság	авиакомпания
légitársaság	авиакомпании
légitársaság	авиалинии
légitársaság	airlines
többségi	большинство
spears	спирс
spears	копья
univerzum	вселенная
univerzum	вселенной
indulás	выезд
indulás	отъезда
indulás	отъезд
indulás	отход
kenny	кенни
jakob	якоб
jakob	яков
műholdas	спутниковых
műholdas	спутниковое
műholdas	спутник
műholdas	спутники
cső	трубы
cső	трубка
cső	труба
cső	трубку
cső	трубка
könyvtárosok	библиотекари
gyümölcs	фрукты
gyümölcs	фрукт
gyümölcs	плод
gyümölcs	плоды
gyümölcs	фрукты
gyümölcs	плоды
model	модели
model	образец
model	model
model	модель
szociológiai	социологических
elisabeth	елизавета
elisabeth	элизабет
specifikus	конкретных
specifikus	конкретное
specifikus	конкретный
specifikus	конкретная
specifikus	конкретные
természettudós	натуралист
diktatúra	диктатуры
rachel	рэйчел
rachel	рейчел
projektek	проекты
projektek	проектов
viselkedése	поведение
