முதலாளி	patron
வடிவமைப்புகள்	formatları
லாபம்	kâr
லாபம்	kar
லாபம்	kazanç
ஆடைகளை	kıyafet
ஆடைகளை	elbise
ஆடைகளை	elbiseler
ஆடைகளை	giysiler
ஆடைகளை	kıyafetler
பட்டாம்பூச்சி	kelebek
பட்டாம்பூச்சி	kelebekler
ஆடுகள்	keçileri
ஆடுகள்	keçi
நாட்களை	günler
நாட்களை	günlerden
நாட்களை	günleri
நாட்களை	günlerce
நியாயம்	adalet
நியாயம்	fuar
நியாயம்	adil
இடவியல்	topoloji
பிறப்பிடம்	yerli
குளுக்கோஸ்	glikoz
முனி	muni
எரிக்சன்	ericsson
காதில்	fısıltı
காதில்	kulak
நகர்த்த	taşınmış
நகர்த்த	taşınan
நகர்த்த	taşındı
ஹாங்	hong
சிறப்பை	mükemmellik
மறுமொழி	cevap
மறுமொழி	yanıt
மறுமொழி	cevapla
பெட்ரோலிய	petrol
தேசாய்	desai
அன்பே	sevgili
அன்பே	canım
அன்பே	birtanem
பிரதிநிதித்துவம்	temsil
சிமெண்ட்	çimento
சிமெண்ட்	beton
ஷங்கர்	shankar
போய்விட்டது	gitti
போய்விட்டது	gitmiş
மின்சுற்று	devre
நாகா	naga
கலப்பை	saban
உடைமை	mülk
உடைமை	mülkiyet
உடைமை	emlak
உடைமை	gayrimenkul
உடைமை	özellik
பில்போர்ட்	billboard
மாடி	zemin
மாடி	kat
கர்னல்	albay
கர்னல்	yarbay
புதுமையான	yenilikçi
ஷான்	shan
கன்னித்	bakire
கன்னித்	bakir
வௌவால்	bat
வௌவால்	yarasa
வௌவால்	sopa
பல்லி	kertenkele
டயர்	lastik
டயர்	tekerlek
மோட்டார்ஸ்	motorlar
மோட்டார்ஸ்	motors
நைக்	nike
ஆங்	ang
ஆங்	ong
ஆங்	aung
கிணறுகள்	wells
கிணறுகள்	kuyu
கதவுகள்	kapılar
கதவுகள்	kapıları
கதவுகள்	kapı
வாசகர்கள்	okuyucular
வாசகர்கள்	okurlar
கலிலியோ	galileo
அப்பாஸ்	abbas
ரசிகர்	taraftar
ரசிகர்	fan
ரசிகர்	hayran
விரல்கள்	parmak
விரல்கள்	parmakları
விரல்கள்	parmaklar
கனவுகள்	hayaller
கனவுகள்	rüyalar
கனவுகள்	düşler
பிரையன்	brian
பிரையன்	brain
பிரையன்	bryan
பாலஸ்தீன	filistin
பாலஸ்தீன	filistinli
கப்பம்	şantaj
கப்பம்	serseri
ஜார்க்கண்ட்	jharkhand
காணவில்லை	eksik
காணவில்லை	kayıp
கல்பனா	kalpana
பிச்சை	yalvarma
ஜோஸ்	jose
ஜோஸ்	josé
ஜோஸ்	jos
ஜோஸ்	jose
ஜோஸ்	josé
ஜோஸ்	joss
நேரான	düz
நேரான	doğrusal
உயிரோடு	hayatta
உயிரோடு	canlı
பிலிப்பைன்	filipin
பிரார்த்தனை	dua
பிரார்த்தனை	dua
பிரார்த்தனை	namaz
பிரார்த்தனை	dua
பிரார்த்தனை	dualar
பொருத்தி	atlı
கார்பனேட்டு	karbonat
தொழிலாளி	işçi
தொழிலாளி	emekçilerin
ஆன்ம	manevi
ஆன்ம	ruhsal
ஆன்ம	ruhani
ருபீடியம்	rubidyum
மஹால்	mahal
யுத்த	savaş
யுத்த	muharebe
யுத்த	savas
விலா	vila
விலா	kaburga
கனமான	ağır
கனமான	agir
வியாழக்கிழமை	perşembe
நெகிரி	negeri
எரிசக்தி	yakıt
எரிசக்தி	benzin
எரிசக்தி	kalori
எரிசக்தி	enerji
எரிசக்தி	enerjisi
பிரித்தல்	ayrılma
பிரித்தல்	ayrılık
பிரித்தல்	ayırma
புத்தி	zeki
புத்தி	akıllı
புத்தி	akıllıca
டாட்	tot
டாட்	nokta
டாட்	dot
ஹன்னா	hannah
ஹன்னா	hanna
அழியாத	yıkılmaz
தட்டில்	plaka
தட்டில்	levha
தட்டில்	tabak
சலுகைகள்	teklifler
சலுகைகள்	teklifleri
சலுகைகள்	teklif
ஹாக்கி	hokey
ஹாக்கி	hokeyi
ஹசன்	hasan
ஹசன்	hassan
ஹசன்	hasan
நைஜீரியா	nijerya
திசைமாற்றி	direksiyon
வரைதல்	çizim
வரைதல்	resim
கொண்டாட்டங்கள்	kutlama
கொண்டாட்டங்கள்	kutlamaları
கொண்டாட்டங்கள்	kutlamalar
உருண்டை	küre
உருண்டை	köfte
உருண்டை	köftesi
உருண்டை	köfte
காமன்வெல்த்	commonwealth
காமன்வெல்த்	cumhuriyet
அணுகும்	erişim
ஃபீஸ்டா	fiesta
மதிப்பெண்கள்	puan
மதிப்பெண்கள்	skor
மதிப்பெண்கள்	sayı
மதிப்பெண்கள்	puanlar
அவதூறு	karalama
அவதூறு	hakaret
அவதூறு	iftira
அவதூறு	küfürlü
அவதூறு	küfür
அவதூறு	iftira
அவதூறு	rahatsız
அதிகாரிகளின்	subay
அதிகாரிகளின்	memurlar
அதிகாரிகளின்	memurların
அதிகாரிகளின்	subaylar
யமுனா	yamuna
மொழிபெயர்ப்புகள்	çeviriler
முதலீடுகள்	yatırımları
முதலீடுகள்	yatırımlar
முதலீடுகள்	yatırım
சுடுதல்	tetikçi
சுடுதல்	atıcı
சுடுதல்	nişancı
யூதா	yahuda
யூதா	judah
முன்னோர்கள்	atalarımız
முன்னோர்கள்	ataları
மனிதனுக்கு	insan
மனிதனுக்கு	man
மனிதனுக்கு	erkek
மனிதனுக்கு	adam
மனிதனுக்கு	adamım
பதில்கள்	ifadeler
பதில்கள்	tepkiler
பதில்கள்	tepkiler
பதில்கள்	yanıtları
பதில்கள்	yanıt
பதில்கள்	yanıtlar
பதில்கள்	cevaplar
பதில்கள்	cevap
பதில்கள்	cevaplar
பதில்கள்	yanıtlar
பதில்கள்	yanıtları
பதில்கள்	cevaplar
பதில்கள்	yanıtlar
பதில்கள்	yanıt
வெனிஸ்	venedik
தொல்லை	sıkıntı
தொல்லை	bela
தொல்லை	dert
தொல்லை	sorun
தலைகள்	tura
தலைகள்	kafalar
கண்காணிப்பாளர்	izleyici
கண்காணிப்பாளர்	gözcü
அஹ்மத்	ahmed
அஹ்மத்	ahmet
அஹ்மத்	ahmet
அஹ்மத்	ahmed
அரிசோனா	arizona
ஜூல்	joule
கூட்டத்தை	kalabalık
கறி	köri
கறி	curry
சேலை	sarım
ஈராக்கிய	irak
ஈராக்கிய	iraklı
ஜெஃப்	jeff
வர்ஜீனியா	virginia
மந்திரங்கள்	mantralar
படேல்	patel
சுழி	sıfır
உணர்ச்சிகள்	ifadeler
உணர்ச்சிகள்	tepkiler
போர்டு	kurulu
போர்டு	kurul
போர்டு	tahta
இருப்பை	varlığı
இருப்பை	varlığını
இருப்பை	varlık
மாடலிங்	modellik
சல்மான்	salman
பிரதமர்கள்	primeminister
பித்தளை	pirinç
பித்தளை	brass
ஹைதர்	haider
பிடிப்பு	yakala
பிடிப்பு	yakalama
நீரிலி	anhidrit
நகைகள்	mücevherleri
நகைகள்	mücevher
நகைகள்	mücevherler
நகைகள்	takı
நகைகள்	mücevher
நகைகள்	kuyumcu
நகைகள்	mücevherler
நகைகள்	takı
நகைகள்	mücevher
நகைகள்	kuyumcu
நகைகள்	mücevherler
பெப்	pep
டச்	touch
டச்	dokunuş
டச்	dokun
டச்	dokunma
டச்	hollandalı
பெரும	galaktik
பெரும	galaksi
நெல்லி	nelly
வளைத்து	bend
கோரிக்கைகள்	istekler
கோரிக்கைகள்	istekleri
கோரிக்கைகள்	istek
கோரிக்கைகள்	talepler
