லாவோஸ்	laos
மால்	mall
மால்	lta
மால்	mal
மால்கம்	malcolm
நார்	fibres
நார்	fibre
நார்	fibre
நார்	fibres
சுன்னி	sunnites
சுன்னி	sunnite
புதிர்	mystérieux
புதிர்	mystère
புதிர்	mystérieuse
புதிர்	mystères
புதிர்	puzzle
புதிர்	énigme
பிராந்தியம்	région
சந்திரா	chandra
ரகசியம்	secrets
ரகசியம்	secret
ரகசியம்	secrète
ரகசியம்	secret
ஜோஷி	joshi
பசுமையான	evergreen
பெர்னார்ட்	bernard
மேகம்	nuage
மேகம்	cloud
மேகம்	nuages
கெல்வின்	kelvin
பேக்கர்	boulanger
பேக்கர்	baker
ஓமோ	omo
அபராதம்	croisement
அபராதம்	franchissement
அபராதம்	traverser
அபராதம்	traversée
அளவியல்	mesures
இல்ல	maison
இல்ல	domicile
இல்ல	accueil
சம்பா	samba
கோவிந்த	govinda
மன்ஹாட்டன்	manhattan
றோயல்	royale
றோயல்	royal
றோயல்	royales
றோயல்	royaux
நைட்ரேட்டு	nitrate
நைட்ரேட்டு	nitrates
நபியின்	prophète
லிசா	lisa
கோன்	gon
கோன்	kone
கோன்	kon
சைகை	signaux
சைகை	clignotant
சைகை	signal
சைகை	geste
தாழ்வு	basses
தாழ்வு	basse
தாழ்வு	faible
தாழ்வு	faibles
தாழ்வு	bas
தாழ்வு	infériorité
பிரபஞ்ச	cosmique
பிரபஞ்ச	cosmiques
கம்போங்	kampung
மொரிசியசு	maurice
மொழிபெயர்ப்பாளர்	traducteurs
மொழிபெயர்ப்பாளர்	traducteur
மொழிபெயர்ப்பாளர்	traductrice
விற்கப்பட்டது	vendues
விற்கப்பட்டது	vendus
விற்கப்பட்டது	vendue
விற்கப்பட்டது	vendu
ஹில்டன்	hilton
சீசியம்	césium
உடலுறவு	sexe
நேர்மையான	sincère
நேர்மையான	sincères
நேர்மையான	honnête
நேர்மையான	honnêtes
தோற்றார்	prédateurs
சீன்	sean
பன்னிரெண்டு	twelve
பன்னிரெண்டு	douze
செனான்	xénon
மோடி	modi
முறையீடு	pourvoi
முறையீடு	appel
அதிகாரமும்	autorité
பெட்ரோலியம்	pétrole
நெஞ்சு	poitrine
நெஞ்சு	thoracique
நெஞ்சு	torse
நெஞ்சு	coffre
அமர்	ammar
அமர்	amar
திவான்	dewan
அயோத்தி	ayodhya
பிணையம்	reseau
பிணையம்	réseaux
பிணையம்	réseau
மாமன்	tonton
மாமன்	oncle
போட	mis
போட	mettre
சிதைந்த	corrompu
சிதைந்த	corrompue
சிதைந்த	corrompues
சிதைந்த	corrompus
அன்வர்	anwar
ஏப்	apr
ஏப்	avril
ஏப்	avr
நுண்கணிதம்	calcul
வரையறுக்க	définit
வரையறுக்க	définir
வரையறுக்க	définis
மாநாட்டு	conférences
மாநாட்டு	conférence
சேவல்	queue
சேவல்	coq
சேவல்	bite
சேவல்	coq
யூன்	yoon
யூன்	yun
லின்	lynn
லின்	lyn
லின்	lin
லின்	lynne
தன்னிச்சையான	spontané
தன்னிச்சையான	spontanément
தன்னிச்சையான	spontanés
தன்னிச்சையான	spontanée
தன்னிச்சையான	spontanées
எறும்பு	ant
எறும்பு	fourmi
அல்லாஹ்	god
அல்லாஹ்	dieu
அல்லாஹ்	allah
ஒப்லாஸ்து	oblast
ஜேசன்	jason
செபம்	liturgie
பாட்னா	patna
திருப்தி	satisfont
திருப்தி	satisfaire
திருப்தி	satisfait
திருப்தி	satisfaits
திருப்தி	satisfaites
திருப்தி	satisfaite
கன்	gan
இமாம்	imam
பாம்	bam
பாம்	palme
பாம்	palm
பாம்	paume
பாம்	palmier
பட்டறைகள்	ateliers
இறங்கும்	atterrissage
இறங்கும்	débarquement
இறங்கும்	landing
இறங்கும்	atterrir
இணக்கம்	respect
இணக்கம்	conformité
ஹதீஸ்	hadith
நிரந்தரமான	eternel
நிரந்தரமான	éternels
நிரந்தரமான	éternelle
நிரந்தரமான	éternel
வருகிறேன்	bye
மரணத்தை	décès
மரணத்தை	death
மரணத்தை	mort
காசா	casa
காசா	gaza
பயிற்சியை	formation
பயிற்சியை	entraînement
அருணா	aruna
மாயை	illusion
மாயை	illusoire
மாயை	illusion
மாயை	illusions
விற்பனையாளர்கள்	sellers
விற்பனையாளர்கள்	vendeurs
அமைப்பாளர்	organisateur
அமைப்பாளர்	organisatrice
அமைப்பாளர்	compositeur
அமைப்பாளர்	compositrice
கண்களை	yeux
செர்பியா	serbie
வேண்டுதல்	demander
வேண்டுதல்	demande
வேண்டுதல்	requête
வேண்டுதல்	demandez
ஓய்வுபெற்ற	retraités
ஓய்வுபெற்ற	retraite
ஓய்வுபெற்ற	retraité
நம்ப	croyez
நம்ப	croire
நம்ப	croient
நம்ப	crois
பியானோ	piano
தட்டை	plats
தட்டை	plat
மறுசுழற்சி	recycle
மறுசுழற்சி	recyclage
மறுசுழற்சி	recycler
மறுசுழற்சி	recyclée
மறுசுழற்சி	recyclés
மறுசுழற்சி	recyclé
கலந்துரையாடல்	discussions
கலந்துரையாடல்	discussion
கலந்துரையாடல்	débat
விரிவுரை	conférence
வென்	wen
பாதுகாப்பில்	garde
சங்கீதம்	psaume
சங்கீதம்	psaumes
ஹிந்து	hindou
ஹிந்து	hindous
ஹிந்து	hindoue
உறவுமுறை	relation
சூரத்	surat
சேர்க்கப்பட்டார்	ajoutés
சேர்க்கப்பட்டார்	ajouté
சேர்க்கப்பட்டார்	ajout
சேர்க்கப்பட்டார்	ajoutée
அரக்கன்	monstrueuse
அரக்கன்	monstrueux
அரக்கன்	monster
அரக்கன்	monstre
சமுத்திரம்	océan
முக்கோணங்கள்	triangles
சொந்தமானது	possédée
சொந்தமானது	appartenant
சொந்தமானது	possédé
சொந்தமானது	possédés
பாராட்டு	appréciation
பாராட்டு	applaudis
பாராட்டு	applaudissements
பாராட்டு	applaudir
அச்சிட்டு	empreintes
அச்சிட்டு	estampes
அச்சிட்டு	tirages
துத்தநாகம்	galvanisé
பின்பும்	apres
பின்பும்	after
பின்பும்	après
பின்பும்	aprés
தோழர்	camarade
தோழர்	compagnon
தோழர்	compagne
போராடும்	combats
போராடும்	combat
போராடும்	bagarre
