年	jaar
月	maan
月	moon
月	maandenlang
月	maanden
月	maandje
月	maand
日	dag
日	dagje
和	en
村	dorpje
村	dorp
人	man
人	mensen
人	personen
小行星	asteroïden
小行星	asteroïde
大	big
大	groot
大	grote
德	tak
重	heavy
重	zwaar
重	zware
重	heftig
重	zwaarder
重	zwaardere
一	one
一	één
一	een
一	eén
定向	oriëntatie
定向	oriëntering
定向	gerichte
但	maar
也	ook
拉	pull
拉	trek
拉	trekken
後	na
後	after
留言	bericht
留言	boodschap
留言	berichtje
市	stad
克	gram
新	nieuw
新	nieuwe
站	station
站	stand
州	staat
州	state
研究	studeer
研究	studeren
研究	studie
研究	bestuderen
研究	studies
研究	onderzoek
研究	research
日本	japan
三	drie
三	three
前	voordat
前	vóór
家	thuis
家	home
家	huis
家	startpagina
米	rijst
米	meters
米	meter
多	more
多	meer
使用	gebruik
使用	gebruiken
使用	gebruiken
使用	gebruik
使用	gebruikt
使用	gebruikte
基	kei
王	konings
王	king
王	koning
王	wang
林	lam
林	lin
公司	corporate
公司	gezelschap
公司	bedrijf
公司	onderneming
公司	bedrijven
李	lee
一個	one
一個	één
一個	een
一個	eén
西	west
西	westen
西	westelijk
省	provincie
省	gouvernement
省	woiwodschap
度	graden
度	graad
二	twee
二	two
小	kleine
小	klein
小	smal
小	kleine
小	weinig
小	little
小	klein
小	piepklein
小	tiny
相似	vergelijkbaar
相似	vergelijkbare
相似	soortgelijk
相似	soortgelijke
相似	gelijkaardig
相似	gelijkenis
相似	gelijkenissen
相似	gelijkenis
區	gebied
區	zone
區	district
區	gebied
區	oppervlakte
人口	demografie
人口	demografisch
人口	demografische
人口	demografie
人口	bevolking
人口	populatie
四	four
四	vier
政府	overheden
政府	regeringen
政府	regering
政府	overheid
道	dao
將	will
將	zal
將	zullen
高	high
高	hoog
高	hoge
高	tall
高	gao
美國	amerika
集	instellen
集	set
集	ingesteld
集	episode
集	aflevering
台灣	taiwan
台灣	taiwanese
布	doek
世界	wereld
南	nan
南	zuid
南	zuiden
南	nam
路	weg
五	vijf
五	five
本	ben
金	jin
金	goud
金	kim
曾	zeng
文	wen
林肯	lincoln
人民	mensen
人民	personen
包括	inclusief
包括	inbegrepen
包括	inclusief
包括	omvat
包括	inclusief
峰	peak
峰	piek
峰	hoogtepunt
峰	pieken
位於	gelokaliseerd
其他	overige
其他	andere
其他	ander
其他	overig
其他	overige
其他	andere
其他	overigen
其他	anderen
塔	pagode
塔	tower
塔	toren
縣	county
縣	graafschap
縣	kanton
第一	eerste
第一	eerst
任	ren
時間	tijd
比	ratio
比	verhouding
元	meta
元	yuan
元	dollar
元	gewonnen
元	won
中國	china
中國	porselein
六	zes
六	six
主要	majoor
主要	major
主要	hoofdvak
主要	belangrijkste
主要	voornaamste
主要	main
城	stad
城	kasteel
法	methode
中心	centra
中心	centrum
中心	centreren
中心	centrum
中心	centreren
線	line
線	lijn
線	lijnen
線	draad
第二	tweede
山	berg
山	mount
山	aankoppelen
山	heuvel
山	hill
山	bergen
加	toevoegen
加	voeg
加	plus
太空	ruimte
太空	spatie
自己	mijzelf
自己	zelf
自己	mezelf
自己	ikzelf
張	chang
張	zhang
內	binnenste
內	innerlijke
內	innerlijk
主	heer
主	lord
主	heere
雷	ray
管理	beheer
管理	management
管理	managen
管理	beheren
管理	managen
管理	beheren
成為	wordt
成為	word
成為	worden
建	bouwen
建	opbouwen
建	gebouwde
建	gebouwd
性	seksualiteit
性	seksuele
性	seksueel
性	seks
性	geslacht
性	sex
成	gezongen
成	sung
代表	vertegenwoordigers
代表	representatief
代表	representatieve
代表	vertegenwoordiger
代表	gedelegeerde
代表	afgevaardigde
代表	delegeren
代表	gemachtigde
那	dan
那	daarna
公里	kilometer
公里	kilometers
公里	kilometer
公里	kilometer
公里	kilometers
海	zee
海	oceaan
這	dit
這	deze
大學	universiteiten
大學	universiteit
大學	college
大學	hogeschool
大學	universiteit
版	editie
版	uitgave
版	versie
從	van
從	uit
從	vanaf
羅	luo
原	oorspronkelijke
原	origineel
原	originele
原	hara
工作	job
工作	baan
工作	werk
工作	arbeid
工作	werken
工作	klussen
工作	jobs
工作	vacatures
工作	banen
工作	werkend
工作	werken
工作	werkende
北	kita
北	noorden
北	noord
政治	politiek
政治	politiek
政治	politieke
星	ster
星	star
星	sterren
她	ze
她	zij
陳	chen
陳	chan
陳	trần
他的	zijn
面	noedels
作品	werkt
作品	werken
河	rivier
河	river
文化	cultuur
文化	cultures
文化	culturen
條目	vermeldingen
條目	inzendingen
條目	ingangen
馬	paarden
馬	paard
氏	clan
更	more
更	meer
曼	mann
電影	filmpje
電影	film
電影	bioscoop
電影	bioscopen
電影	cinema
電影	film
電影	films
電影	bioscoop
季	seizoen
季	seizoenen
龍	draken
龍	dragons
龍	longen
龍	lung
龍	long
龍	draken
龍	draak
龍	dragon
女	vrouw
女	woman
女	vrouwelijke
女	vrouw
女	vrouwtje
女	vrouwelijk
正式	officieel
正式	formeel
正式	officieel
正式	formele
正式	formeel
外	buiten
外	buitenkant
明	ming
美	mooi
美	prachtig
美	mooie
美	beauty
美	schoonheid
字	woord
字	woorden
因為	want
因為	omdat
北京	beijing
北京	peking
北京	peking
不同	verschillend
不同	verschillende
不同	anders
足球	voetballen
足球	voetbal
足球	voetballen
足球	voetbal
目前	huidig
目前	huidige
目前	actueel
目前	momenteel
所有	allen
所有	alle
所有	allemaal
所有	alles
部分	gedeeltelijk
部分	gedeeltelijke
部分	partiële
部分	gedeeltelijk
部分	deels
森	mori
郡	county
郡	graafschap
國家	staten
國家	land
國家	staat
國家	state
國家	nationaal
國家	nationale
國家	landen
球	bal
球	ball
生	raw
生	rauw
生	ruw
生	ruwe
生	rauwe
但是	maar
街	straat
提供	verstrekt
提供	verstrekte
城市	stad
城市	steden
一些	enkele
一些	sommigen
一些	sommige
長	lang
長	lange
長	long
水	water
人物	personage
人物	karakter
軍	leger
軍	landmacht
加入	join
加入	meedoen
加入	toetreding
英	ying
上海	shanghai
上海	sjanghai
史	shi
第三	derde
第三	third
魚	vissen
波	zwaaien
波	wave
波	golf
回	terug
回	rug
回	back
無	geen
吉	kat
你	jij
你	jou
方	fang
話	dialect
東	oosten
東	oost
東	dong
英國	engeland
英國	england
