inspector	инспектор
warnings	предупреждения
relatives	родственники
relatives	родственников
plains	равнины
defended	защищали
defended	защищал
wheels	колеса
wheels	колёса
criterion	критерий
ace	эйс
ace	туз
ace	ас
arrangements	договоренности
penn	пенн
joke	шутка
sailed	уплыл
religions	религии
religions	религий
grants	субсидий
grants	дотации
grants	субсидии
grants	гранты
andrews	эндрюс
moderate	умеренных
moderate	умеренные
stolen	украли
stolen	украденные
stolen	украдены
stolen	угнали
stolen	украдено
tributary	приток
pin	пин
pin	pin
pin	прикрепить
carol	кэрол
owns	владеет
prototype	прототип
copied	скопировал
canterbury	кентербери
midnight	полночь
duchy	герцогства
bailey	бэйли
bailey	бейли
arbitrators	арбитров
exploration	разведку
exploration	разведка
exploration	разведки
diversity	разнообразие
diversity	разнообразия
diversity	многообразие
sixteen	шестнадцать
sixteen	sixteen
findings	выводы
repeat	повторить
repeat	повторите
repeat	повторять
repeat	повторяю
brussels	брюсселе
brussels	брюссель
imdb	imdb
planets	планет
planets	планеты
theatrical	театральный
reconnaissance	разведка
reconnaissance	разведывательный
shots	выстрелы
complaint	жалоба
batman	бэтмен
exhibited	выставлены
espn	espn
investigate	расследовать
verify	подтвердить
verify	проверить
discontinued	прекращено
absent	отсутствует
girlfriend	девушка
girlfriend	подружка
girlfriend	подруга
girlfriend	подружки
resignation	отставку
fossil	ископаемых
fossil	ископаемые
fossil	ископаемого
explaining	объясняю
tang	тан
inches	дюймов
inches	дюйма
proven	доказана
proven	доказано
proven	доказал
franco	франко
dying	умирают
dying	умирает
dying	умираю
tribal	племен
tyler	тайлер
surrender	сдаться
surrender	сдаваться
glenn	глен
glenn	гленн
substance	вещество
luxembourg	люксембург
luxembourg	люксембурга
colored	цветные
colored	цветной
administered	управляемые
administered	управляемый
administered	управляемых
explosion	взрыв
pushed	толкнул
generations	поколений
generations	поколения
duck	дак
duck	утка
duck	утку
duck	утки
porter	портер
permanently	постоянно
permanently	навсегда
memphis	мемфис
salvador	сальвадор
emma	эмма
mit	mit
zoo	зоопарк
gibson	гибсон
emerging	возникающие
notre	notre
notre	нотр
portions	порции
macedonia	македонии
macedonia	македония
ethics	этика
ethics	этики
curtis	кёртис
curtis	кертис
rescued	спас
rescued	спасли
rescued	спасла
gaelic	гэльский
slovakia	словакии
slovakia	словакия
elevated	повышенная
elevated	повышенные
elevated	повышен
jeremy	джереми
listen	слушайте
listen	послушай
impressive	впечатляет
impressive	впечатляющий
bradley	брэдли
egg	яйцо
conquest	завоевания
rod	стержень
rod	род
algorithm	алгоритм
burn	ожог
burn	сжечь
burn	гореть
thesis	диссертации
thesis	тезис
lover	возлюбленный
lover	любовник
capitol	капитолий
remembered	вспомнил
remembered	вспомнила
ferdinand	фердинанд
marshal	маршал
judaism	иудаизм
balls	шарики
balls	яйца
balls	мячи
balls	шары
wrestlers	борцы
ahmed	ахмед
sin	грех
sin	син
holocaust	холокоста
holocaust	холокост
edgar	эдгар
saxophone	саксофон
wishes	пожелания
wishes	желания
prepare	приготовиться
prepare	подготовиться
prepare	подготовить
ruins	руины
ibm	ibm
rochester	рочестер
nigerian	нигерии
jesse	джесси
malaysian	малайзии
atlas	atlas
atlas	атлас
telegraph	телеграф
performer	исполнитель
cannon	пушки
cannon	пушка
emily	эмили
catalogue	каталог
discrimination	дискриминация
discrimination	дискриминации
myspace	myspace
wizard	мастер
wizard	волшебник
teen	teen
teen	подросток
spots	пятна
spots	ролики
bomber	бомбардировщик
quest	квест
connor	коннор
screenplay	сценарий
screenplay	сценарист
motors	двигатели
motors	motors
minimal	минимальные
minimal	минимальный
minimal	минимальная
minimal	минимальным
minimal	минимальное
minimal	минимум
muscle	мускулы
muscle	мышцы
muscle	мышца
prestigious	престижных
sustainable	устойчивый
sustainable	устойчивые
sustainable	устойчивое
sustainable	устойчивая
chelsea	челси
strict	строгого
strict	строгое
strict	строгий
strict	строго
strict	строгие
strict	строгая
kingston	кингстон
sheep	овец
sheep	овца
sheep	овцы
andrea	андреа
complaints	жалобы
connects	соединяет
defenders	защитники
defenders	правозащитники
defenders	правозащитников
richardson	ричардсон
triangle	треугольник
nato	нато
teeth	зубов
teeth	зубы
strictly	строго
harper	харпер
fluid	жидкость
fed	фрс
newfoundland	ньюфаундленд
disbanded	расформирована
comparable	сопоставимых
comparable	сопоставимые
documentation	документация
compounds	соединения
compounds	соединений
pointing	указывая
pointing	указывает
edmund	эдмунд
naturally	естественно
ussr	ссср
laser	лазер
lat	лат
sculptor	скульптор
guild	гильдии
observer	наблюдателя
observer	наблюдатель
worlds	миров
worlds	миры
wrestler	борец
praise	хвала
parishes	приходы
bones	костей
bones	кости
css	css
cox	кокс
contracts	контракты
contracts	договоры
consequences	последствия
provisions	положения
circulation	тираж
butterfly	бабочка
butterfly	бабочки
hugo	хьюго
hugo	уго
algeria	алжир
algeria	алжира
algeria	алжире
edu	edu
armies	армий
armies	армии
separation	разделение
separation	разделительной
spy	шпион
cliff	клифф
technically	технически
technically	формально
reactions	реакция
reactions	реакции
reactions	реакций
lithuanian	литвы
trick	фокус
trick	трюк
trick	уловка
curve	кривой
curve	кривая
accidents	происшествия
accidents	аварии
accidents	аварий
accidents	дтп
horizontal	горизонтальные
horizontal	горизонтальной
horizontal	горизонтали
legends	легенды
enzyme	фермент
freight	грузовых
hydrogen	водорода
hydrogen	водород
broadcasts	трансляции
viii	viii
caroline	каролин
caroline	кэролайн
caroline	каролина
plymouth	плимут
twentieth	двадцатой
twentieth	двадцатого
mediation	посредничества
mediation	посредничество
airfield	аэродром
catalog	каталог
dale	дейл
dale	дэйл
synthesis	синтез
synthesis	обобщение
rape	изнасилования
rape	изнасилование
seoul	сеуле
seoul	сеул
engagement	вовлечение
coin	монету
coin	монета
coin	монеты
lucy	люси
consequently	следовательно
platinum	platinum
twins	близнецы
memories	воспоминания
robertson	робертсон
verified	проверено
verified	подтвержденные
anthology	anthology
milton	милтон
geological	геологической
defining	определяющие
defining	определяя
defining	определение
dinner	обед
dinner	ужин
hosting	хостинг
thriller	триллер
retreat	отступить
retreat	отступать
retreat	отступление
albany	олбани
abdul	абдул
ignore	проигнорировать
ignore	игнорировать
migration	миграции
migration	миграция
carefully	тщательно
carefully	бережно
carefully	внимательно
magnitude	величина
magnitude	масштабов
sudan	судане
sudan	судан
manages	управляет
duration	длительность
duration	продолжительность
henderson	хендерсон
explorer	исследователь
explorer	explorer
marco	марко
fusion	fusion
fusion	синтез
aids	спидом
aids	спид
aids	спида
gathered	собраны
gathered	собрались
privately	конфиденциально
privately	наедине
reflected	отражены
afraid	боится
afraid	боюсь
presbyterian	пресвитерианской
automobile	автомобиль
estates	поместья
pound	фунт
allegedly	якобы
allegedly	предположительно
delay	задержки
delay	задержка
developers	разработчиков
developers	разработчикам
developers	разработчики
semifinals	полуфинале
belfast	белфасте
arctic	арктике
kurt	курт
mayors	мэров
mayors	мэры
windsor	виндзор
assumption	предположения
assumption	предположение
assumption	допущение
plates	тарелки
plates	пластины
fourteen	четырнадцать
monroe	монро
hearts	сердца
belgrade	белграде
belgrade	белград
victories	победы
victories	побед
pale	бледный
pursuit	погоня
pursuit	преследование
glory	славу
glory	слава
deeply	глубоко
lectures	лекции
affiliate	филиал
preston	престон
deceased	покойный
deceased	скончалась
deceased	умершего
deceased	скончался
deceased	умершие
speaks	говорит
gathering	собрание
gathering	сбор
gathering	сбора
angry	злой
angry	злость
angry	злая
angry	зол
incomplete	неполный
incomplete	неполной
configuration	настройка
configuration	конфигурации
configuration	конфигурация
brad	бред
brad	брэд
skill	умение
skill	мастерство
skill	навыки
intense	интенсивных
intense	интенсивный
intense	напряженно
intense	интенсивно
tasmania	тасмании
commitment	обязательства
commitment	обязательство
commitment	приверженность
loved	любил
loved	любила
loved	любили
reforms	реформы
rulers	правители
uruguay	уругвая
uruguay	уругвай
uruguay	уругвае
napoleon	наполеона
