comentou	gereageerd
julio	julio
acre	hectare
melhoria	verbetering
melhoria	verbeteren
melhoria	verbetering
oral	mondelinge
oral	mondeling
oral	oraal
carmen	carmen
estimado	geraamd
estimado	geschat
estimado	schatting
estimado	geschatte
modernas	modern
modernas	moderne
hab	hab
resolve	oplossen
resolve	oplost
resolve	lost
vilas	dorpen
vilas	dorpjes
censura	afkeuring
censura	berisping
censura	censureren
censura	ongecensureerde
censura	censuur
velhos	ouwe
velhos	oude
velhos	oud
assembléia	montage
assembléia	assemblee
assembléia	assemblage
movido	bewoog
movido	verplaatst
movido	bewogen
movido	verhuisd
agir	handelen
agir	act
jersey	trui
jersey	jersey
hell	hel
hell	hell
chineses	chinezen
chineses	chinees
chineses	chinese
supervisor	toezichthouder
supervisor	supervisor
supervisor	opzichter
supervisor	leidinggevende
renascimento	renaissance
renascimento	heropleving
renascimento	opleving
renascimento	wedergeboorte
colonos	kolonisten
colonos	kolonisten
campbell	campbell
cultivo	verbouw
cultivo	teelt
galo	lul
galo	pik
galo	haan
galo	haan
namorado	vriendje
determinados	bepaald
determinados	vastberaden
determinados	vastbesloten
reuniões	meetings
reuniões	ontmoetingen
reuniões	vergaderingen
reuniões	bijeenkomsten
gerações	generaties
sabendo	wetende
capitais	hoofdsteden
capitais	hoofdletters
capitais	kapitaal
capitais	hoofdstad
capitais	hoofdletter
piso	vloer
piso	verdieping
piso	floor
minnesota	minnesota
pagina	bladzijde
pagina	pagina
leme	helm
leme	roer
leme	roer
liberais	liberalen
liberais	liberale
liberais	liberaal
selvagem	wild
selvagem	wilde
selvagem	savage
selvagem	barbaars
selvagem	woeste
formatos	formaten
aceitação	acceptatie
aceitação	aanvaarding
recebem	ontvang
recebem	ontvangen
sítios	sites
sítios	plaatsen
evans	evans
bandeiras	vlaggen
bandeiras	banners
túmulo	tombe
túmulo	graftombe
túmulo	graf
túmulo	grave
túmulo	graf
leonor	eleanor
leonor	eleonora
leonor	eleonora
causada	veroorzaakte
causada	veroorzaakt
acampamento	kamp
acampamento	kamperen
graham	graham
fabaceae	fabaceae
publicar	publicatie
publicar	uitgeverijen
publicar	publiceren
publicar	uitgeverij
publicar	publiceer
publicar	publiceren
publicar	bericht
publicar	post
publicar	detachering
vencido	mislukkeling
vencido	loser
vencido	verliezer
vencido	geslagen
vencido	verslagen
vencido	verslagen
gera	genereert
gera	genereert
gera	genereren
atribuída	toegewezen
atribuída	toegeschreven
atribuída	toegerekend
imigração	immigratie
imigração	immigratiedienst
celso	celso
maurice	maurice
controvérsia	polemiek
controvérsia	controverse
roman	roman
roman	romeinse
roman	romeins
aumentando	toenemend
aumentando	toenemende
semelhança	gelijkenis
semelhança	gelijkenis
semelhança	gelijkenis
semelhança	gelijkenissen
expressa	uitdrukt
expressa	express
expressa	uitgedrukt
mars	mars
proprietários	baasjes
proprietários	eigenaren
proprietários	eigenaars
proprietários	huiseigenaren
proprietários	landeigenaren
ava	ava
actividades	activiteiten
actividades	activiteit
polaco	pools
polaco	poolse
rapaz	boy
rapaz	jongen
irlandês	ierse
irlandês	ieren
irlandês	iers
irlandês	ler
irlandês	ier
combates	gevechten
enviados	verzonden
enviados	gezanten
enviados	verstuurd
enviados	verzonden
enviados	gestuurd
saiba	weten
saiba	weet
divisa	munt
divisa	munteenheid
divisa	valuta
reunir	verzamelen
reunir	herenigen
sonda	sonde
fiscal	fiscaal
guatemala	guatemala
kent	kent
terrestres	terrestrische
contínua	doorlopend
contínua	continue
contínua	continu
contínua	doorlopende
contínua	ononderbroken
pleno	vol
pleno	volledig
pleno	full
pleno	volledige
pleno	volle
ofensiva	aanstootgevend
ofensiva	beledigend
ofensiva	offensief
mancha	vlek
mancha	vlekken
mancha	vlek
tokyo	tokyo
tokyo	tokio
quartel	barak
quartel	barakken
quartel	kazerne
mamíferos	zoogdieren
mamíferos	zoogdieren
mamíferos	zoogdier
fracasso	falen
fracasso	mislukken
fracasso	falen
fracasso	mislukkingen
fracasso	mislukking
fracasso	mislukken
fracasso	mislukkeling
solos	bodems
solos	solos
solos	bodem
