terrible	ひどい
rebecca	レベッカ
toledo	トレド
divide	分ける
divide	割る
divide	除算
recommendations	おすすめ
gymnastics	体操
alter	alter
ideology	イデオロギー
constantinople	コンスタンティノープル
modeling	モデリング
monsters	モンスターズ
bulls	ブルズ
harassment	嫌がらせ
harassment	ハラスメント
censorship	検閲
paramount	パラマウント
luxury	贅沢
yahoo	ヤフー
yahoo	yahoo
ecology	エコロジー
ecology	生態学
emirates	エミレーツ
deployment	配置
deployment	配備
lepidoptera	lepidoptera
jenkins	ジェンキンス
omaha	オマハ
detected	検知
attribution	帰属
harsh	厳しい
bundesliga	ブンデスリーガ
overcome	克服
sake	日本酒
roma	ロマ
roma	ローマ
echo	反響
echo	エコー
bangkok	バンコク
bergen	ベルゲン
availability	可用性
andreas	アンドレアス
cedar	スギ
bankruptcy	破産
bankruptcy	倒産
basement	地下
basement	地下室
spirits	スピリッツ
torture	拷問
toyota	豊田
toyota	トヨタ
wheat	小麦
wheat	コムギ
knockout	ノックアウト
homeland	家路
maiden	処女
dhaka	ダッカ
dental	歯科
christine	クリスティン
curious	好奇心
curious	興味津々
tucker	タッカー
viscount	子爵
pavilion	パビリオン
augustus	オーガスタス
augustus	アウグストゥス
loans	ローン
loans	融資
joey	ジョーイ
moss	コケ
parody	パロディ
yield	出来上がり
yield	利回り
sizes	サイズ
cheap	安い
stuttgart	シュトゥットガルト
dialects	方言
backup	バックアップ
sanskrit	サンスクリット
councillor	参事官
knife	ナイフ
premiership	プレミアシップ
gonzález	ゴンサレス
yesterday	きのう
yesterday	昨日
transform	変換
transform	変形
vegetation	植生
tickets	切符
tickets	チケット
braves	ブレーブス
plural	複数
pomeranian	ポメラニアン
sicily	シチリア
speeds	スピード
zip	zip
updates	アップデート
updates	更新
restriction	制限
measurements	測定
dynamo	ダイナモ
predicted	予言
feast	ごちそう
poker	ポーカー
kane	ケーン
trevor	トレヴァー
trevor	トレバー
sidney	シドニー
holidays	祝日
holidays	休日
comfortable	快適
fletcher	フレッチャー
floyd	フロイド
snail	カタツムリ
genocide	ジェノサイド
saga	サガ
saga	佐賀
fossils	化石
buying	購入
smoking	喫煙
subdivision	細分
subdivision	区画
leather	レザー
leather	皮革
def	デフ
def	def
patch	パッチ
porto	ポルト
valencia	バレンシア
tracy	トレイシー
downloaded	ダウンロード
breakfast	朝食
mercy	慈悲
mercy	マーシー
ore	鉱石
bottle	ボトル
angola	アンゴラ
humanitarian	人道的
humanitarian	人道
decorations	装飾
decorations	デコレーション
slide	滑り台
slide	スライド
invalid	無効
guru	グル
telescope	望遠鏡
dense	濃密
satisfied	満足
coral	サンゴ
xavier	ザビエル
helena	ヘレナ
rowing	ボート
binary	バイナリ
merchants	商人
wound	傷口
dixon	ディクソン
kuwait	クウェート
suffer	苦しむ
nord	ノール
caves	洞窟
regent	摂政
riverside	リヴァーサイド
shane	シェーン
balanced	バランス
fitzgerald	フィッツジェラルド
highlight	ハイライト
payments	決済
payments	支払い
tendency	傾向
lópez	ロペス
joyce	ジョイス
belle	ベル
rouge	ルージュ
clue	手がかり
cure	治癒
slope	スロープ
slope	斜面
slope	傾き
manning	マニング
boyd	ボイド
paraguay	パラグアイ
preview	プレビュー
dodgers	ドジャース
qatar	カタール
import	輸入
buddy	バディ
dock	ドッキング
dock	ドック
penguin	ペンギン
cologne	ケルン
providers	プロバイダ
supervision	監督
lease	賃貸
lease	貸す
lease	賃貸借
toys	おもちゃ
toys	オモチャ
toys	玩具
buck	バック
hang	ハング
bulldogs	ブルドッグ
portable	ポータブル
dell	デル
dell	dell
irving	アーヴィング
tibet	チベット
composite	コンポジット
composite	複合
councillors	参事官
salary	給料
salary	俸給
salary	給与
dropping	ドロップ
fragments	断片
fragments	フラグメント
objectives	目的
caesar	シーザー
tragedy	悲劇
unesco	ユネスコ
cameroon	カメルーン
slot	slot
slot	スロット
sophie	ソフィー
granite	花崗岩
jenny	ジェニー
venezuelan	ベネズエラ
pirate	海賊
seasonal	季節
delegation	委任
delegation	委嘱
portfolio	ポートフォリオ
machinery	機械
miners	鉱夫
embedded	組み込み
keen	キーン
gandhi	ガンジー
testimony	証言
duchess	公爵夫人
reflection	反射
reflection	リフレクション
booth	ブース
rudolf	ルドルフ
león	レオン
courage	勇気
riots	暴動
pier	桟橋
formatting	フォーマット
formatting	整形
auction	競売
auction	オークション
cbc	cbc
specifications	仕様
secrets	秘密
sutton	サットン
ups	ups
repairs	修理
bypass	バイパス
slopes	スロープ
slopes	傾き
alps	アルプス山脈
alps	アルプス
liner	ライナー
ease	やす
cet	cet
investments	投資
exeter	エクセター
din	din
kay	ケイ
rent	レンタル
rent	家賃
rent	借りる
rent	レント
highlands	高地
induced	誘発
crane	クレーン
crane	ツル
simulation	シミュレーション
schemes	スキーム
latitude	緯度
lance	ランス
keeper	キーパー
asset	アセット
asset	資産
prospect	見通し
merits	長所
prejudice	害する
prejudice	偏見
prejudice	先入観
highlighted	ハイライト
stance	スタンス
gymnasium	体育館
gloria	グロリア
trent	トレント
horizon	地平線
horizon	ホライズン
horizon	水平線
yemen	イエメン
riot	暴動
renovation	リフォーム
quinn	クイン
excluded	除外
elena	エレナ
successive	歴代
anger	怒り
hierarchy	ヒエラルキー
decoration	装飾
decoration	デコレーション
nerve	神経
disability	障害
giuseppe	ジュゼッペ
boot	ブート
boot	ブーツ
exceed	上回る
scan	スキャン
rca	rca
flowing	流れる
sensors	センサ
sensors	センサー
shells	シェル
shells	貝殻
cottage	コテージ
honduras	ホンジュラス
shepherd	シェパード
reservation	留保
reservation	予約
mapping	写像
mapping	マッピング
mongolia	モンゴル
nash	ナッシュ
sharks	サメ
ricky	リッキー
shirley	シャーリー
exercises	演習
ribbon	リボン
infant	幼児
infant	乳児
mild	軽度
peers	ピア
correspondent	特派員
renovated	リフォーム
proceeds	代価
reproduction	模写
reproduction	生殖
mercedes	メルセデス
compliance	コンプライアンス
bombay	ボンベイ
premises	構内
premises	敷地
hawaiian	ハワイアン
poly	ポリ
handbook	ハンドブック
rené	ルネ
transactions	取引
transactions	トランザクション
jerome	ヒエロニムス
jerome	ジェローム
shark	サメ
doom	ドゥーム
diagnosis	診断
referencing	参照
firearms	銃器
firearms	火器
stoke	ストーク
bride	花嫁
lindsay	リンジー
worry	心配
vacuum	バキューム
vacuum	真空
heating	暖房
celebrities	有名人
meta	メタ
rehabilitation	リハビリテーション
rehabilitation	更生
rehabilitation	再生
rehabilitation	リハビリ
synonym	同義語
synonym	類義語
ambiguous	曖昧
sailor	船員
inspection	検査
inspection	検問
ancestors	先祖
honda	本多
honda	ホンダ
honda	本田
barn	バーン
barn	納屋
controller	コントローラ
controller	コントローラー
assert	assert
burden	重荷
burden	負担
fruits	フルーツ
fruits	果実
fruits	果物
ruby	ルビ
ruby	ルビー
lunch	昼食
lunch	ランチ
nationalism	ナショナリズム
photographers	カメラマン
mick	ミック
classroom	教室
forums	フォーラム
cups	cups
cups	カップ
challenger	チャレンジャー
recommendation	おすすめ
recommendation	推薦
instant	インスタント
instant	瞬間
falcon	ファルコン
planted	播種
nordic	ノルディック
coordination	連携
coordination	調整
coordination	コーディネート
hammond	ハモンド
dances	踊り
barracks	バラック
precipitation	降水
precipitation	沈殿
bucharest	ブカレスト
ranger	レインジャー
lily	ユリ
lily	リリー
