pia	เพียร์
bønner	ถั่ว
kollektiv	คอมมูน
sosialisme	สังคมนิยม
pasient	คนไข้
pasient	อดทน
kanalene	ช่อง
kanalene	คลอง
intelligens	ปัญญา
leting	ค้นหา
memory	memory
maja	maja
vandring	เดิน
phantom	phantom
adferd	พฤติกรรม
redigerer	แก้ไข
utvider	ขยาย
bone	กระดูก
tilfeldigvis	บังเอิญ
tilfeldigvis	เผลอ
departementer	แผนก
berre	เท่านั้น
berre	เฉพาะ
berre	แค่
overlegne	อธิการ
overlegne	superior
thunder	ฟ้าร้อง
thunder	ฟ้าผ่า
forstyrret	รบกวน
maj	maj
palermo	palermo
oppdatere	อัพเดต
oppdatere	อัปเดต
yards	หลาว
yards	หลาบ
yards	หลา
klatret	ปีน
ørene	หู
edderkopp	แมงมุม
talen	สุนทรพจน์
lim	อิม
stephan	stephan
notater	หมายเหตุ
notater	บันทึก
notater	โน้ต
røyking	บุหรี่
svt	svt
åre	เส้นเลือด
tomorrow	พรุ่ง
utfall	ผลลัพธ์
wii	วี
wii	wii
natta	natta
core	หลัก
core	แกน
komet	ดาวหาง
arvinger	ทายาท
folke	folke
nåtid	ปัจจุบัน
hval	วาฬ
hval	ปลาวาฬ
bestilte	สั่ง
sophia	โซเฟีย
gjenspeiler	ไตร่ตรอง
gjenspeiler	ใคร่ครวญ
cliff	หน้าผา
helikoptre	เฮลิคอปเตอร์
etnisitet	ชาติพันธุ์
battista	battista
watt	watt
watt	วัตต์
stress	ความเครียด
stress	เครียด
nowiki	nowiki
kyle	ไค
kyle	ไคล
kyle	ไคล์
klaget	บ่น
blick	blick
henvise	พาดพิง
flytt	เลื่อน
flytt	ขยับ
flytt	ย้าย
knuste	ทุบ
naturvitenskap	วิทยาศาสตร์
gmbh	gmbh
blogger	blogger
arabere	อาหรับ
blomst	ดอกไม้
blomst	flower
merking	แท็ก
mongolsk	มองโกเลีย
khmer	เขมร
bruer	สะพาน
patroner	ตลับ
tartu	tartu
kashmir	แคชเมียร์
encyklopedi	สารานุกรม
peterson	peterson
lærebok	ตำรา
smykker	อัญมณี
godkjennelse	อนุมัติ
forræderi	กบฏ
asturias	asturias
personligheter	บุคลิก
løven	สิงโต
løven	ราชสีห์
katastrofen	หายนะ
python	ไพธอน
poeter	กวี
takke	ขอบคุณ
mentale	จิต
lion	สิงโต
lion	ราชสีห์
kurdisk	เคิร์ด
cubansk	คิวบา
relasjon	สัมพันธ์
triumf	triumph
krabber	ปู
tara	ธาร
pseudonym	นามแฝง
bafta	bafta
armene	แขน
bibliotekar	บรรณารักษ์
coop	เล้า
agenda	กำหนดการ
agenda	วาระ
snake	งู
spa	ปาส
spa	ปา
spa	สปา
mestre	อาจารย์
trekant	สามเหลี่ยม
hendrik	hendrik
soner	โซน
skandalen	ฉาว
mild	mild
mild	อ่อน
engler	เทวดา
bidraget	บริจาค
brutale	โหด
goa	กัว
reparert	ตายตัว
reparert	ซ่อมแซม
cave	ถ้ำ
solide	ทึบ
solide	ของแข็ง
solide	มั่นคง
solide	solid
solide	แข็ง
issn	issn
bekken	ลำธาร
uskyldig	บริสุทธิ์
legendarisk	ตำนาน
vinge	ปีก
vinge	วิง
lopez	lopez
lopez	โลเปซ
pierce	เพียซ
hamburger	แฮมเบอร์เกอร์
caspar	caspar
bistå	ลูกมือ
bengal	เบงกอล
demonstrasjon	สาธิต
gaulle	โกล
regnskap	บัญชี
done	จบ
méxico	méxico
ruby	ทับทิม
laster	โหลด
kniv	มีด
beauty	งาม
ran	ปล้น
slange	งู
taper	แพ้
taper	แพ้
taper	เสีย
dødt	ตาย
likevekt	สมดุล
gjeng	แก๊ง
gjeng	พวง
spiste	กิน
innkjøp	ชอปปิ้ง
låst	ล็อก
låst	ล็อค
marker	เครื่องหมาย
marker	มาร์ค
chu	chu
wiener	ไส้กรอก
nyland	uusimaa
skar	เฉือน
deng	เติ้ง
deng	เตง
hermes	hermes
nine	เก้า
lucky	ลัคกี้
lucky	โชค
vilkårlig	มั่ว
vilkårlig	สุ่ม
arc	อาร์ค
arc	arc
sikter	เล็ง
buer	โบว์
wake	ปลุก
hour	ชั่วโมง
forsikring	ประกัน
produktiv	ประสิทธิ์
hawk	เหยี่ยว
seriøs	จริงจัง
kvadratisk	ตาราง
morsomt	ขัน
morsomt	ตลก
morsomt	ขำ
hjerter	หัวใจ
hjerne	สมอง
hjerne	สมอง
him	เขา
zhu	จู
che	che
respektert	นับถือ
plukke	เลือก
stoler	เก้าอี้
nitrogen	ไนโตรเจน
guild	สมาคม
flettet	ผสาน
kärnten	carinthia
wish	หวัง
rossi	รอสซี่
buddhistisk	พระพุทธ
buddhistisk	พุทธ
etterspørsel	อุปสงค์
etterspørsel	อุปทาน
epoke	ศักราช
epoke	ยุค
wikibase	wikibase
tenk	จินตนาการ
eddy	eddy
extra	พิเศษ
rating	คะแนน
doubleday	doubleday
alm	alm
eduardo	eduardo
spion	สปาย
sove	นอน
sove	หลับ
underskrevet	เซ็น
strike	strike
large	ใหญ่
vasilij	vasily
bring	นำ
hai	hai
hai	ไห
fløyen	ปีก
fløyen	วิง
amazon	amazon
muslim	มุสลิม
batman	batman
