gala	ガーラ
kalis	カリウム
mylios	マイル
džonatanas	ジョナサン
santrumpos	略語
scalemajor	scalemajor
geria	飲む
geria	飲み物
geria	ドリンク
toto	トト
fal	fal
metras	メートル
saugus	体育館
saugus	ジム
parazitų	寄生
parazitų	寄生虫
dio	ディオ
dostojevskis	ドストエフスキー
išsaugojimas	保存
išsaugojimas	保全
willis	ウィリス
malibu	マリブ
montpellier	モンペリエ
wikitable	wikitable
soto	ソト
bilietus	切符
bilietus	チケット
liam	リアム
granatas	ガーネット
prizų	懸賞
prizų	賞品
fredrikstad	フレドリクスタ
biochemija	生化学
dažyti	染め
sullivan	サリバン
sullivan	サリヴァン
pamiršti	forget
sprache	sprache
silpną	気絶
sabbath	安息日
antgalis	ノズル
slėpti	ヒデ
slėpti	隠す
motyvacija	モチベーション
serge	セルジュ
kedrų	スギ
posėdžiai	ミーティング
posėdžiai	会議
posėdžiai	セッションズ
posėdžiai	セッション
vergas	奴隷
deimantai	ダイヤモンド
aliuminis	アルミニウム
aliuminis	アルミ
aliuminis	アルミニウム
dlc	dlc
darbdavys	事業主
testai	テスト
blizgesys	光沢
aviečių	ラズベリー
paskola	ローン
paskola	融資
paskola	ローン
paskola	融資
historica	historica
demi	デミ
įnašas	寄与
įnašas	貢献
įnašas	出資
drakula	ドラキュラ
džinas	ジニー
lolita	ロリータ
hasanas	ハサン
hasanas	ハッサン
elias	エリアス
elias	イライアス
verpimo	紡績
šalmą	ヘルメット
loginis	論理
įžymybių	セレブリティ
įžymybių	有名人
įžymybių	有名人
blogiausia	最悪
pelkę	沼地
nepasitikėjimą	不信
trajektorijos	弾道
gyvensenos	ライフスタイル
abs	腹筋
abs	abs
sambo	サンボ
sulaužė	壊れた
apklausa	アンケート
nelaimė	災害
autobuso	バス
haliucinacijos	幻覚
rūkymo	喫煙
grynasis	net
grynasis	ネット
absolventų	卒業生
ipni	ipni
skalės	スケール
skalės	ウロコ
alignbars	alignbars
soundtrack	サウンドトラック
musica	ムジカ
gerinimo	改善
sedano	サルーン
dialogai	ダイアログ
teodosijus	テオドシウス
caf	caf
drėgmė	水分
drėgmė	湿度
sudėtingumas	困難
sidi	sidi
rupija	ルピー
konsultavimas	諮問
konsultavimas	相談
konsultavimas	協議
grįžimas	return
grįžimas	リターン
dokumentacija	ドキュメント
dokumentacija	ドキュメンテーション
trauka	グラビティ
trauka	重力
shuttle	シャトル
chara	キャラ
marcos	マルコス
lėktuve	飛行機
noel	ノエル
kodavimo	コーディング
žmogžudystė	殺人
nata	ナタ
leopardus	ヒョウ
svyravimų	変動
svyravimų	コントラスト
bam	バム
krevetės	海老
šeštadieniais	土曜
šeštadieniais	土曜日
priešinasi	レジスト
nagus	ネイル
damos	レディ
asbesto	石綿
coventry	コヴェントリー
sandėlio	倉庫
diabetu	糖尿病
nuostabus	すごい
nuostabus	素晴らしい
nuostabus	凄い
nuostabus	すごい
nuostabus	素晴らしい
nuostabus	ワンダフル
nuostabus	可愛らしい
nuostabus	愛らしい
subaru	スバル
vitaminai	ビタミン
vitaminai	ビタミン
iliuzija	幻想
iliuzija	イリュージョン
iliuzija	錯覚
barjerą	バリア
barjerą	障壁
poilsis	レクリエーション
poilsis	安静
poilsis	休む
poilsis	くつろぎ
poilsis	緩和
poilsis	リラクゼーション
makaronų	ヌードル
makaronų	麺類
cilindras	円柱
cilindras	シリンダー
kabulo	カブール
sąžinės	良心
vasco	バスコ
vasco	ヴァスコ
silpnesnis	弱い
jackie	ジャッキー
vagis	泥棒
krūtinkaulio	胸骨
abba	アバ
manu	マヌ
sėklidės	睾丸
sėklidės	精巣
pingvinai	ペンギン
įterpti	挿入
omx	omx
grobis	捕食
origami	折り紙
dima	薄暗い
dima	デミ
hoffmann	ホフマン
lippi	リッピ
fidi	シャトー
apelsinų	orange
apelsinų	オレンジ
revolveris	リボルバー
medūzos	クラゲ
dvynys	ツイン
