сдпг	spd
связать	เชื่อม
связать	ลิงก์
связать	ลิงค์
будущие	ต่อๆ
будущие	future
будущие	อนาคต
меру	วัด
меру	สัดส่วน
механические	เชิงกล
гилберт	กิลเบิร์ต
тактика	กลยุทธ์
тактика	ยุทธวิธี
привлечение	ดึงดูด
привлечение	ดึงดูด
тайваня	ไต้หวัน
аналогичное	คล้าย
подборка	เลือก
биологические	ชีวภาพ
ливерпуль	ลิเวอร์พูล
ливерпуль	liverpool
настроение	อารมณ์
хоккайдо	ฮอกไกโด
температуру	อุณหภูมิ
зис	vms
подземные	ใต้ดิน
хакасия	khakassia
заяц	กระต่าย
компромисс	ประนีประนอม
ценный	คุณค่า
финансы	ไฟแนนซ์
справки	สอบถาม
справки	คำถาม
тормоза	เบรก
тормоза	เบรค
тормоза	เบรก
тормоза	เบรค
камбоджи	กัมพูชา
камбоджи	กัมพูชา
сессия	เซสชั่น
сессия	เซสชัน
спад	ตกต่ำ
босс	boss
религиозное	ศาสนา
свинца	นำ
свинца	ตะกั่ว
депортации	เนรเทศ
понравилась	ถูกใจ
морали	จริยธรรม
тайм	เวลา
ограниченный	จำกัด
колена	เข่า
национализм	ชาตินิยม
президентов	ประธานาธิบดี
коров	วัว
внука	หลาน
внука	หลาน
беспорядков	จลาจล
субъект	หัวข้อ
сингапуре	สิงคโปร์
моллюсков	หอย
моллюсков	หอย
уотсон	วัต
бэтмен	batman
преступник	อาชญากร
преступник	อาชญากรรม
торрес	ทอร์เรส
бумага	หนังสือพิมพ์
бумага	กระดาษ
точками	จุด
кредит	credit
кредит	เครดิต
пламя	ไฟ
ярмарка	แฟร์
ярмарка	ยุติธรรม
благодарности	กตัญญู
фундамент	รากฐาน
фундамент	foundation
фундамент	มูลนิธิ
конкретное	เจาะจง
конкретное	คอนกรีต
доверять	ใจ
доверять	ไว้ใจ
доверять	ไว้ใจ
трубки	หลอด
регламент	ระเบียบ
социализм	สังคมนิยม
абдулла	abdulla
разместил	โพสต์
пятнадцать	fifteen
сгорел	ไหม้
сгорел	เผา
юридическая	กฎหมาย
мусор	ขยะ
мусор	ขยะ
аппаратура	อุปกรณ์
лин	หลิง
лин	หล่ง
лин	หลิน
лин	lyn
розовый	pink
розовый	ชมพู
розовый	สีชมพู
цивилизация	อารยธรรม
пересмотреть	วิจารณ์
пересмотреть	รีวิว
пересмотреть	ทบทวน
наследования	มรดก
эфира	ether
брук	บรู๊ค
брук	ลำธาร
микки	micky
позвоночных	vertebrates
мандат	อาณัติ
лингвистика	ภาษาศาสตร์
африканский	แอฟริกา
успешные	สำเร็จ
пешком	เดิน
расширена	ขยาย
выжить	รอด
ленинская	leninist
цитирую	อ้างอิง
цитирую	คำคม
мудрости	ปัญญา
