misionet	misións
ekstrem	extremas
frengjisht	franceses
frengjisht	francés
frengjisht	francesa
frengjisht	francesas
ofertë	poxa
ofertë	oferta
ofertë	ofrecer
ofertë	lle
ofertë	unha
dritat	luces
dritat	as
dritat	luz
dritat	apaguen
kapacitetin	capacidade
kapacitetin	de
këmba	pé
këmba	outro
këmba	infantaría
këmba	o
këmba	perna
këmba	pernas
këmba	unha
këmba	pata
stanford	stanford
xhejms	james
morali	moral
morali	morais
morali	moral
morali	a
morali	vontade
karburantit	combustible
angazhimi	compromiso
angazhimi	compromiso
angazhimi	mecanismo
angazhimi	de
angazhimi	mecanismos
angazhimi	cos
skemë	de
metode	método
cezari	césar
bus	autobús
bus	parada
bus	autocarro
kujtimi	memoria
shkencëtari	científico
shkencëtari	científicos
shkencëtari	científica
çelsat	chaves
çelsat	as
tigri	tigre
tigri	tiger
tigri	do
kryej	suicidarse
veshi	oído
veshi	ouvido
veshi	orella
gropat	buratos
gropat	buracos
bijë	filla
besnike	leal
luksoze	luxo
luksoze	bonitas
kafka	cranio
tmerrshëm	horrible
tmerrshëm	horríbel
tmerrshëm	terrible
tmerrshëm	horrible
tmerrshëm	horríbel
tmerrshëm	terríbel
vertikal	verticais
vertikal	vertical
vetjak	egoísta
punonjësit	empregados
punonjësit	os
shpenzime	pasar
engjëll	anxo
ecin	camiñando
ecin	pola
ecin	andar
ecin	andando
ecin	subindo
ecin	camiñaba
ecin	camiñar
ecin	polas
legal	xudicial
legal	legal
legal	legais
dokumenta	documentos
krijesë	criatura
regan	reagan
mishin	carne
mishin	a
mishin	carne
tekstile	téxtil
porte	porto
semundje	doenza
semundje	enfermidades
semundje	enfermidade
semundje	cardíacas
edhepse	aínda
edhepse	que
edhepse	non
edhepse	pero
edhepse	malia
lejua	permitiu
lejua	se
lejua	permita
lejua	lles
lejua	permite
lejua	non
lejua	permiten
lejua	vir
varfërisë	pobreza
varfërisë	a
panairi	xusto
panairi	feira
rolling	rolling
anonime	anónimos
konvencionale	convencional
komunistë	comunista
komunistë	partido
komunistë	comunistas
komunistë	comunistas
komunistë	roxos
memorial	día
memorial	dos
memorial	caídos
krenaria	orgullo
krenaria	orgulloso
premtimin	promesa
premtimin	prometer
premtimin	prométolle
premtimin	prometo
premtimin	prométocho
patrioti	patriota
arsimimi	educación
arsimimi	a
çelësat	chaves
çelësat	as
frikësuar	medo
frikësuar	asustada
frikësuar	asustados
përvojat	as
përvojat	experiencias
liberty	liberdade
liberty	a
liberty	libertade
shëmtuar	fea
shëmtuar	feo
alaska	alaska
regjim	réxime
sfida	retos
sfida	desafíos
sfida	reto
sfida	desafío
sfida	desafiar
agjenti	axente
dyqanet	almacéns
dyqanet	depósitos
dyqanet	provisións
megjithese	aínda
megjithese	que
megjithese	non
megjithese	pero
megjithese	malia
koncerti	concert
koncerti	concerto
koncerti	balde
koncerti	espectáculo
koncerti	show
sofistikuar	sofisticado
potenciali	potencial
komunikojnë	forma
komunikojnë	comunicarse
komunikojnë	comunicarnos
komunikojnë	comunicación
komunikojnë	comunicar
inteligjent	intelixente
inteligjent	intelixentes
marta	marta
seksi	sexy
seksi	quente
seksi	calor
trafiku	tráfico
delegatë	delegados
zogj	aves
zogj	paxaros
zogj	as
nafta	petróleo
nafta	aceite
nafta	de
pronën	propiedade
rrezatim	radiación
fatkeqësi	desgraza
fatkeqësi	desastre
galileo	galileo
tufa	manada
tufa	rabaño
presim	agardando
presim	espera
presim	a
presim	esperar
presim	esperando
presim	agardar
presim	que
presim	esperar
autentike	auténtica
autentike	é
sfondi	de
sfondi	fondo
ritëm	ritmo
flokë	pelo
flokë	cabelo
shpërblyer	recompensado
breshka	de
breshka	tartaruga
breshka	tartarugas
bull	touro
vetëdije	conciencia
vetëdije	cognición
vetëdije	consciencia
vetëdije	consciente
përrallë	conto
përrallë	fadas
faj	culpa
faj	a
faj	non
faj	culpa
çdokush	ninguén
çdokush	calquera
çdokush	alguén
çdokush	a
hijet	sombras
prezenca	presenza
prezenca	diante
prezenca	a
kuranin	corán
jay	jay
nderkohe	mentres
nderkohe	tempo
balenat	baleas
balenat	as
votat	votos
ceremoninë	cerimonia
subjekte	temas
subjekte	suxeitos
bujare	xenerosa
mbulohet	cuberto
studente	estudante
studente	estudantes
studente	alumno
lenini	lenin
pëlqyer	gustaba
pëlqyer	lle
pëlqyer	gustara
pëlqyer	gustou
pëlqyer	me
pëlqyer	gustáballe
sfidat	retos
sfidat	desafíos
turp	mágoa
turp	vergoña
turp	que
kabinetin	minister
zemëruar	enfadado
zemëruar	anoxados
zemëruar	anoxado
zemëruar	enfadada
presë	anfitrión
menaxhim	de
menaxhim	xestión
menaxhim	dirección
menaxhim	a
fole	falando
fole	de
fole	falar
fole	a
fole	falo
fole	con
alkool	alcol
alkool	alcohol
shpiku	inventou
rebelët	rebeldes
kapital	capital
kapital	capitais
kapital	capitol
kapital	o
shkatërruese	devastadora
fashizmit	fascismo
fashizmit	o
brigadën	brigade
brigadën	a
brigadën	brigada
bart	bart
balena	baleas
balena	as
balena	balea
gishtat	os
gishtat	dedos
balta	lama
balta	clay
pula	galiña
pula	polo
pula	pito
pula	galiñas
pula	polos
zakone	costumes
zakone	hábitos
pulitzer	premio
pulitzer	pulitzer
fluturuese	flotante
fluturuese	aboiando
kurth	trampa
kurth	boca
luftrat	guerras
luftrat	guerra
shteg	rastro
shteg	pista
shkatërron	destrución
shkatërron	destruíndo
ekrani	pantalla
ekrani	da
ekrani	ecrán
gjyshja	avoa
gjyshja	avoa
gjyshja	a
mëlçisë	fígado
përballur	fronte
pranoj	confesar
pranoj	aceptar
pranoj	aceptalo
pranoj	acepto
fuqishem	poderosa
fuqishem	poderosos
fuqishem	poderoso
pagesa	pago
hapje	abrir
hapje	apertura
sad	triste
sad	tristes
dëshmitarë	testemuñas
kimia	química
qira	renda
qira	aluguer
qira	alugar
prekë	afectan
macja	gato
macja	ao
alkooli	alcol
alkooli	alcohol
atributet	atributos
qymyri	carbón
gja	sangue
gja	o
kuzhinë	cociña
kuzhinë	sloan
hoteli	hotel
entuziazëm	entusiasmo
aeroplan	avión
mjekë	os
mjekë	médicos
mjekë	os
mjekë	médicos
mjekë	doutores
mjekë	médico
ngusht	estreito
diktatura	ditadura
komisari	comisario
komisari	comisionado
syte	os
syte	ollos
peshqit	peixes
peshqit	peixe
peshqit	pescar
arkitektët	arquitectos
banesë	plano
banesë	apartamento
banesë	piso
autostrada	estrada
perry	perry
eja	ven
eja	vamos
eja	veña
çudi	raro
çudi	estraño
çudi	estraña
çudi	extraño
çudi	moi
çudi	rara
çudi	raro
çudi	pregúntaste
çudi	pregúntome
çudi	me
çudi	que
katedrale	catedral
perveç	excepto
perveç	só
perveç	pero
perveç	agás
perveç	menos
uroj	gustaríame
uroj	desexo
uroj	desexaría
uroj	oxalá
maryland	maryland
udhëzues	guía
xhamajka	xamaica
xhamajka	jamaica
pretendojnë	a
pretendojnë	que
mjekësia	medicinas
mjekësia	medicina
mjekësia	baseada
mjekësia	na
mjekësia	médicos
mjekësia	menciña
ftohte	frío
ftohte	fría
ftohte	arrefriado
urave	bridges
urave	pontes
pasionin	paixón
ndjekje	da
ndjekje	busca
ndjekje	persecución
ndjekje	persecución
lesh	la
hane	comer
hane	come
hane	comen
eventualisht	finalmente
eventualisht	co
eventualisht	tempo
eventualisht	final
eventualisht	eventualmente
eventualisht	a
shpjegoi	explicou
pink	rosas
pink	rosa
pata	oca
pata	branca
godit	éxito
hanit	inn
hanit	hotel
kësisoj	así
kësisoj	a
akute	aguda
nip	sobriño
detroit	detroit
perfundoi	ao
perfundoi	rematamos
perfundoi	rematou
perfundoi	acabou
kopsht	xardín
kopsht	horta
reagimet	reaccións
reagimet	reacción
reagimet	de
reagimet	resposta
engjejt	os
engjejt	anxos
engjejt	inferno
muzikantë	músicos
mëndafshi	seda
mëndafshi	de
urrejtja	odio
shitja	vender
shitja	á
shitja	venda
