kalaj	шапочка
kanadski	канадська
kanadski	канадський
kanadski	canadian
ontario	онтаріо
alice	аліса
alice	еліс
paket	пакунок
andora	андорра
grp	grp
elvis	елвіс
odlično	відмінний
odlično	чудова
odlično	відмінно
postojeći	існуюче
postojeći	існуючий
postojeći	існуючі
postojeći	існуючу
izgubljeni	втрачений
izgubljeni	програв
izgubljeni	lost
pažnja	увага
ponavlja	повторення
ponavlja	повторюється
uzimanje	веду
uzimanje	взяти
uzimanje	беру
pretvaranje	хід
pretvaranje	черга
pretvaranje	повернути
pretvaranje	перетворення
pretvaranje	конверсія
optužbe	звинувачення
optužbe	видатки
optužbe	звинувачення
pokazale	показана
pokazale	показані
pokazale	показано
transformacija	перетворити
transformacija	перетворення
transformacija	трансформація
transformacija	перетворення
zatvara	закриває
zatvara	закриття
papir	папір
vještački	штучно
složeni	композитний
složeni	складене
urednika	редакторів
javor	закінчуючи
orbiti	орбіта
valentin	валентин
valentin	валентина
stabilna	стабільна
stabilna	стійкий
cxd	cxd
pasa	псів
pasa	собак
pasa	собаки
pasa	пси
bazirana	засновані
bazirana	засновано
bazirana	заснований
namjera	намір
mohammed	мухаммед
mohammed	мохаммед
poslati	надіслати
poslati	відправити
poslati	надсилати
poslati	відіслати
poslati	надсилання
patuljak	карлик
patuljak	гном
proza	проза
obilježen	помічено
sol	соль
sol	sol
turistička	туристичний
turistička	туристичні
turistička	турист
turistička	туристичне
brodovima	кораблів
brodovima	кораблі
napisano	писав
napisano	записано
napisano	написано
napisano	записані
platforme	платформи
platforme	платформу
platforme	платформа
manjine	меншин
crteža	графіки
vještica	відьму
vještica	відьма
vještica	відьми
neuspjeh	невдача
neuspjeh	відмова
neuspjeh	провал
neuspjeh	помилка
podne	полудень
bacio	кинули
bacio	закинув
bacio	кинув
bacio	кинула
leipzig	лейпциг
izraelski	ізраїльська
gerhard	герхард
kairo	каїр
sean	шон
slogan	слоган
slogan	гасло
digitalni	цифрове
digitalni	digital
digitalni	цифрова
digitalni	цифровий
lara	лара
protivnici	опонентами
protivnici	суперників
protivnici	суперники
lisa	ліза
pumpe	помпи
uspješne	успішно
uspješne	успішне
uspješne	вдало
uspješne	успішний
uspješne	вдалась
jusuf	юсуф
postavši	стає
postavši	становлення
postavši	ставши
oporavak	відновлення
oporavak	відновити
oporavak	відновленню
oporavak	відновлення
odabir	вибір
odabir	виберіть
odabir	вибрати
odabir	позначити
golf	гольф
časti	честь
časti	шанувати
časti	вшанування
felipe	феліпе
izložba	виставку
izložba	експонат
izložba	виставка
izložba	виставки
ubice	убивці
ubice	вбивці
ulicama	вулицям
ulicama	вулиць
ulicama	вуличками
ulicama	вулицями
ulicama	вулиці
digimon	digimon
trim	стрижка
trim	обрізання
trim	скоротити
trim	обрізати
rupa	ями
rupa	лунка
rupa	дірка
rupa	діра
rupa	дірки
rupa	отвори
rupa	дір
toro	торо
vels	уельсу
vels	уельс
vels	веллс
pozitivni	позитивне
pozitivni	позитивні
pozitivni	позитивний
pozitivni	позитивно
pozitivni	позитив
zenit	зеніт
uni	uni
tumor	пухлина
abba	abba
razmnožavanje	розмноження
niger	нігер
beli	вайті
janko	янко
aga	ага
kvadrata	клітинки
kvadrata	клітинок
kvadrata	квадрати
akt	nude
akt	ню
akt	діяти
akt	акт
rezolucija	resolution
pokrenut	ініціювали
pokrenut	запустили
pokrenut	розпочали
privlači	притягує
privlači	приваблює
privlači	привернути
tvrdeći	сперечатися
duhana	тютюн
fenotip	фенотип
vraćen	повернувся
vraćen	повернуто
vraćen	повернулася
prilikama	випадках
počev	починаючи
počev	починається
počev	початок
počev	починаються
počev	запуск
slabi	слабка
slabi	слабкий
pat	пат
pat	пет
pat	пат
malmö	мальме
sekundarna	вторинної
podvrsta	підвид
bloka	блок
setu	комплект
setu	встановити
setu	набір
setu	встановлено
setu	множина
najniži	найнижчі
anderlecht	андерлехт
bremen	бремен
zidine	стіни
zidine	мури
jedu	їж
jedu	їсти
uživa	насолоджується
uživa	зручні
uživa	комфортом
uživa	дивимося
navijači	фани
navijači	шанувальники
navijači	вболівальники
navijači	фанати
navijači	прихильники
potencijalno	потенційно
proširena	збільшено
proširena	широкий
proširena	доповнена
graditi	зібрати
graditi	збирання
graditi	побудувати
graditi	будувати
ogledala	дзеркал
ogledala	дзеркала
drveće	дерев
drveće	дерева
odmor	відпустка
povezati	підключитися
čuvar	охоронцем
najduža	найдовший
najduža	найдовша
antun	антун
genetičko	генетичний
sobe	кімната
sobe	кімнату
sobe	кімнат
sobe	кімнати
spolni	сексуальний
spolni	сексуальної
spolni	статевий
spolni	сексуальне
kobilica	каріна
slabost	слабкість
slabost	слабкості
brza	швидко
brza	швидкі
brza	швидке
brza	швидка
brza	фаст
brza	швидкий
čeka	очікування
čeka	чекаю
čeka	чекає
čeka	написане
scenariju	сценарій
boys	хлопчики
kimi	kimi
dvorište	дворі
najjači	найсильніша
najjači	найсильніший
najjači	найсильніші
pretpostavka	успіння
pretpostavka	трансформацій
zaključka	висновки
sastojak	складова
uši	вуха
strujanja	течії
spartak	спартак
spartak	спартак
universal	універсальна
universal	universal
universal	універсальний
sestara	медсестри
slavenska	slav
donald	дональд
apsolutni	абсолютна
apsolutni	абсолютний
apsolutni	абсолютне
ronnie	ронні
dešavanja	події
dešavanja	розробок
mačka	кіт
mačka	кішка
skokova	переходи
neophodna	необхідно
neophodna	необхідні
neophodna	необхідним
ravne	рівна
luca	лука
colin	колін
izvođač	виконавець
vijećnica	холл
vijećnica	зал
vijećnica	зали
vijećnica	ратуша
vijećnica	голл
vijećnica	зала
zadrži	тримай
monroe	монро
bara	бара
rama	рама
gudački	рядок
mirno	мирно
građevinski	будівництво
građevinski	будівництва
diskovi	диски
aspekt	співвідношення
addclass	addclass
čulo	глузд
čulo	почуття
čulo	чуття
zvijeri	звір
zvijeri	звірі
odražava	відображаються
odražava	відображає
prođe	минає
prođe	мине
prođe	завершилися
moral	бойового
moral	мораль
moral	мораль
boban	бобан
dovoljan	достатньо
dovoljan	досить
dovoljan	достатню
dovoljan	достатньо
antonije	ентоні
antonije	антоній
prefiks	префікс
česti	часті
zvan	називають
namjeru	намір
ers	ерс
prikupljanje	зібрати
prikupljanje	збирати
maya	мая
maya	майя
bis	bis
zločini	злочини
stalna	постійний
dlaka	шерсть
dlaka	волосся
prijateljstvo	дружби
prijateljstvo	дружба
prijateljstvo	дружбу
raja	раджа
hansen	гансен
antropologija	антропологія
svečano	церемонія
svečano	поважна
svečano	урочистої
napoli	наполі
koalicija	коаліція
koalicija	коаліції
ricardo	рікардо
dobrovoljno	добровільно
dobrovoljno	волонтер
dobrovoljno	волонтера
markt	markt
povjerenje	довіра
povjerenje	впевненість
povjerenje	довіра
oblak	хмара
auf	auf
škoda	skoda
škoda	škoda
žica	дріт
žica	дроту
folk	народний
folk	народного
folk	фольклор
folk	народні
folk	фолк
folk	народна
korisno	корисне
korisno	корисні
korisno	корисна
korisno	корисно
korisno	корисний
mentalno	психічний
mentalno	психічно
mentalno	душевно
mentalno	розумово
skala	масштаб
skala	шкала
