sandra	सैंड्रा
pārtraukums	ब्रेक
pārtraukums	प्रविष्ट
pārtraukums	इंटरप्ट
pārtraukums	व्यवधान
pārtraukums	इन्टरनेट
slēpjas	छुपाना
ķirurgs	सर्जन
dzeltenais	पीला
silver	चाँदी
silver	चांदी
augumu	ऊंचाई
augumu	ऊँचाई
oriģinālā	मूल
oriģinālā	मौलिक
oriģinālā	असली
peldēšanas	स्विमिंग
peldēšanas	तैरना
peldēšanas	तैराकी
pētnieku	शोधकर्ता
sacenšas	होड़
sacenšas	स्पर्धा
kristāliska	crystalline
rasu	जातिगत
kritēriji	बेंचमार्क
kritēriji	मापदंड
kritēriji	मापदण्ड
svītras	पट्टियां
svītras	धारियाँ
zēns	छोरा
zēns	लड़का
zēns	लडका
zēns	बॉय
zēns	लड़के
palestīniešu	problem
palestīniešu	फिलीस्तीनी
paskaidrojumi	स्पष्टीकरण
brīvs	निशुल्क
brīvs	मुफ्त
brīvs	मुक्त
brīvs	फ्री
brīvs	आजाद
brīvs	फ़्री
iegādāts	खरीदी
iegādāts	ख़रीदा
iegādāts	खरीदा
peldēšana	स्विमिंग
peldēšana	तैरना
peldēšana	तैराकी
golden	सुनहरा
golden	गोल्डन
golden	सुनहरी
alejas	गैलरी
līdakas	पाइक
izstrādāti	विकसित
katastrofas	आपदाओं
pavēlnieks	भगवान
pavēlnieks	प्रभु
pavēlnieks	रब
vienādojumu	समीकरण
organisms	जीव
organisms	सजीव
sudānas	सूडानी
plānota	अनुसूचित
plānota	नियोजित
slēgt	लॉक
slēgt	ताला
hēlija	हीलियम
bayer	बायर
sadalīšanas	विच्छेदन
piesaistīt	आकर्षित
kopija	कॉपी
kopija	नक़ल
balasta	बैलास्ट
pievienotas	संलग्न
vīrusu	viral
vīrusu	वायरल
vīrusu	वाइरल
vīrusu	वाइरस
vīrusu	विषाणु
vīrusu	वायरस
būtiskas	अनिवार्य
laikapstākļi	मौसम
izpratni	समझ
izpratni	समझना
laima	लाइम
sulu	जूस
sulu	रस
asamblejas	असेम्बली
asamblejas	विधानसभा
asamblejas	सभा
sēdes	बैठा
sēdes	बैठे
sēdes	मुलाकातें
sēdes	बैठकों
sēdes	बैठक
sēdes	बैठकों
bot	बॉट
vienādojums	समीकरण
pateikt	कहें
pateikt	बोलो
pateikt	कह
mākslīgā	कृत्रिम
akli	ब्लाइंड
akli	अंधा
akli	अंधे
akli	अँधा
pierre	पियरे
regulāra	रेगुलर
regulāra	नियमित
uzlabo	improve
plāksnes	प्लेटों
plāksnes	प्लेट
plāksnes	तख़्ता
plāksnes	थाली
sistemātika	systematics
garīgais	आध्यात्मिक
džonijs	जॉनी
džonijs	जॉनी
