srbijo	סרביה
čustveno	רגשי
čustveno	רגשית
čustveno	רגש
čustveno	רגשית
saturn	שבתאי
encima	אנזים
tokio	טוקיו
dream	חלום
dream	החלום
dream	לחלום
matt	מט
matt	מאט
slovenia	סלובניה
opatija	אופטיה
centralne	סנטרל
centralne	מרכזית
centralne	מרכז
centralne	מרכזי
oscar	אוסקר
ronnie	רוני
monarhija	המלוכה
vlaken	סיבים
mansell	מנסל
propad	דום
propad	אבדון
propad	קריסה
propad	התמוטטות
propad	הקריסה
turistične	תייר
turistične	תיירת
turistične	תיירים
turistične	תיירות
ngc	ngc
clarke	קלארק
krona	הכתר
krona	כתר
krona	קראון
uran	אורניום
uran	אורנוס
celično	סלולרי
celično	תאית
resnica	נכונות
resnica	אמת
resnica	נכון
resnica	האמת
resnica	אמת
bruhanje	הקאה
bruhanje	קיא
bruhanje	הקאה
bruhanje	הקאות
arheologi	ארכיאולוגים
arheologi	ארכיאולוגים
pripadal	שייך
pripadal	שייכת
dodana	הוסיף
dodana	נוספו
dodana	נוספה
dodana	הוסיפה
dodana	נוסף
menihi	נזירים
funtov	קילו
funtov	קילוגרם
funtov	פאונד
odziva	מגיב
odziva	מגיבה
odziva	תשובה
odziva	תגובה
tesla	טסלה
sloj	שכבה
padli	שנפלו
padli	נפל
padli	הנופלים
padli	נפלו
padli	שנפל
viktorija	ויקטוריה
izbruhnila	התפרצה
izbruhnila	התפרץ
akcija	פעולה
akcija	עשייה
akcija	אקשן
tiska	עיתונות
ščiti	מגינים
ščiti	המגנים
ščiti	מגנים
ščiti	מגיני
vickers	ויקרס
luknje	חורים
luknje	גומות
game	גאמא
game	גמא
game	גאמה
vladanje	שלטונו
andre	אנדרה
andre	אנדרי
andre	אנדרה
andre	אנדרי
ban	האיסור
ban	איסור
ban	באן
izračuna	מחשבת
opredeljuje	מגדיר
ema	אמה
ema	ema
doktorat	דוקטורט
doktorat	הדוקטורט
doktorat	דוקטורט
doktorat	הדוקטורט
pljuč	ריאה
pljuč	ריאות
pljuč	הריאה
pljuč	הריאות
pljuč	ריאות
nasprotnikov	היריבים
nasprotnikov	יריבים
okoliščine	נסיבות
okoliščine	הנסיבות
okoliščine	נסיבות
krizo	המשבר
krizo	משבר
silver	כסף
silver	סילבר
silver	כסופה
silver	כסוף
silver	מכסף
léon	לאון
planine	ההרים
planine	הרים
agent	סוכן
agent	הסוכן
agent	סוכנת
vstaja	מרד
vstaja	התקוממות
vzpostavitev	הקמת
vzpostavitev	מוסד
priznana	מזוהה
priznana	זוהה
priznana	מזוהה
priznana	מוכר
priznana	מוכרת
upokojen	פרשת
upokojen	פרש
upokojen	פרשה
pre	קדם
pre	טרום
guillaume	גיום
danny	דני
skrajno	קיצוניות
skrajno	קיצוני
skrajno	אקסטרים
skrajno	קיצונית
ravna	דירה
ravna	שטוחה
ravna	במול
ravna	שטוח
delec	רסיס
delec	חלקיק
negativna	שליליות
negativna	שלילי
negativna	שלילית
konzulat	הקונסוליה
učitelji	מורים
izkoristek	יעילות
zatočišče	מחסה
zatočišče	מקלט
zatočišče	מקלט
zatočišče	מקלט
zatočišče	מפלט
zaposlitve	עבודות
zaposlitve	משרות
zaposlitve	תעסוקה
sivo	אפורה
sivo	גריי
sivo	אפור
sivo	אפורה
sivo	גריי
sivo	אפור
sod	חבית
prizor	זירת
prizor	סצנה
prizor	סצינה
vlakna	סיבים
vlakna	סיבים
vlakna	סיבים
vlakna	סיב
vlakna	סיבים
izdelani	מפוברק
keramike	קרמיקה
tarča	מטרה
tarča	יעד
tarča	פילוח
tarča	המטרה
arizona	אריזונה
razpadla	התפורר
zmogljivosti	קיבולת
zmogljivosti	יכולות
spektra	הספקטרום
spektra	ספקטרום
santo	סנטו
objavlja	פרסומים
liverpool	ליברפול
meč	חרב
upanje	מקווה
upanje	הופ
upanje	תקוה
upanje	התקווה
upanje	תקווה
grumman	גראמן
indeks	מדד
indeks	אינדקס
spoštovanje	כבוד
spoštovanje	מכבד
chapelle	שאפל
arheološki	ארכיאולוגי
arheološki	הארכיאולוגי
kraški	הקארסט
definira	מגדיר
eksplozije	פיצוץ
eksplozije	התפוצצות
eksplozije	הפיצוץ
eksplozije	פיצוצים
demokratična	דמוקרטי
demokratična	דמוקרטית
marin	מארין
marin	מרין
preostale	נותר
preostale	נותרה
preostale	נותרו
preostale	שנותרו
razvite	פיתח
razvite	התפתח
razvite	מפותחת
razvite	התפתחה
moralno	מוסרית
moralno	מוסר
moralno	מוסרי
negativni	שליליות
negativni	שלילי
negativni	שלילית
razni	שונות
zadovoljstvo	סיפוק
zadovoljstvo	העונג
zadovoljstvo	הנאה
zadovoljstvo	תענוג
zadovoljstvo	עונג
predpisi	תקנות
predpisi	התקנות
predpisi	כללים
predpisi	חוקים
usmerjeno	ביים
delovalo	עבדה
delovalo	עבד
hribi	ההרים
hribi	הרים
hribi	הגבעות
hribi	הילס
hribi	גבעות
oblačil	בגדים
oblačil	ביגוד
oblačil	הלבשה
administrator	מנהל
klasifikacija	סיווג
klasifikacija	מיון
nosila	אלונקה
nosila	לבשה
nosila	לבש
nosila	ענד
licenca	רישיון
licenca	רישיון
licenca	הרישיון
ska	סקא
tisoče	אלפים
ločitev	גט
ločitev	גירושין
ločitev	גירושים
ločitev	הפרדה
meritev	מדידות
meritev	מידות
meritev	מדידה
mine	מכרות
mine	מוקשים
spopadov	עימותים
patent	פטנט
opiše	מתאר
župnijo	פאריש
glive	פטריות
tommy	טומי
obiskala	ביקרת
obiskala	ביקר
obiskala	ביקור
obiskala	ביקרה
obiskala	ביקרו
bra	חזייה
videm	אודינה
težavah	קשיים
težavah	הקושי
težavah	קושי
doris	דוריס
primerni	מתאים
primerni	מתאימה
auf	אאוף
tower	מגדל
tower	המגדל
odvisni	תלויים
odvisni	תלויה
odvisni	תלותי
odvisni	תלות
dodajanje	תוספת
dodajanje	מוסיף
dodajanje	מוסיפה
dodajanje	הוסף
dodajanje	להוסיף
dodajanje	הוספה
serena	סרינה
potrebovali	דרושים
običajna	הרגיל
običajna	כרגיל
običajna	נורמלי
običajna	נורמליות
običajna	נורמאלי
običajna	רגיל
običajna	נורמלית
vroče	הוט
vroče	חם
vroče	חמה
vroče	שווה
por	כרישה
por	ליק
por	כרישה
komercialni	מסחרית
komercialni	מסחרי
komercialni	פרסומת
trio	שלישייה
trio	שלישיית
izbire	ברירות
izbire	בחירות
manjšine	מיעוט
manjšine	מיעוט
manjšine	מיעוטים
premiera	הבכורה
premiera	בכורה
zime	וינטרס
duhovni	רוחנית
duhovni	רוחני
duhovni	רוחניות
erwin	ארווין
tretjič	שלישית
mišica	שרירים
mišica	שריר
algoritem	אלגוריתם
preberite	קראי
preberite	לקרוא
preberite	קרא
preberite	קריאה
posamezno	בנפרד
posamezno	הפרט
ulrik	אולריק
kmetije	חוות
možni	אפשרית
možni	אפשרי
hudson	הדסון
hudson	האדסון
doherty	דוהרטי
blake	בלייק
zlom	שבירה
zlom	שוברים
zlom	שבר
razglasi	מכריז
razglasi	מצהיר
jezo	כעס
suhoj	סוחוי
geometrija	גאומטריה
geometrija	גיאומטריה
iraku	עירק
iraku	עיראק
strategije	אסטרטגיות
ogljik	פחמן
elektro	אלקטרו
sekundarni	משנית
sekundarni	משני
preboj	פריצת
človeška	אנוש
človeška	אנושי
človeška	אדם
novosti	חידוש
novosti	חידושים
novosti	עדכונים
novosti	עדכוני
novosti	העדכונים
oklep	שריון
oklep	שיריון
oklep	שריון
oklep	שיריון
obsežna	נרחב
obsežna	נרחבת
zaščitna	מגונן
ugotovitve	תצפיות
ugotovitve	ממצאים
ugotovitve	הממצאים
leseni	מעץ
geografski	גיאוגרפי
barvni	צבע
barvni	הצבע
barvni	צבע
otroštva	ילדות
pastir	שפרד
pastir	רועה
odkrivanje	גילוי
samostojnost	אוטונומיה
samostojnost	עצמאות
razcvet	לפרוח
enrico	אנריקו
sinove	בנים
receptorjev	קולטני
industrijska	תעשייתית
industrijska	תעשייתי
standardna	סטנדרטים
standardna	סטנדרט
standardna	סטנדרטי
standardna	תקן
encimi	אנזימים
dassault	דאסו
loke	קשתות
loke	קשתות
tokovi	זרמים
tokovi	זורמת
tokovi	זורם
platon	אפלטון
lisica	שועל
lisica	פוקס
kalcijev	סידן
pogovori	שיחות
pogovori	ראיונות
pogovori	לדבר
pogovori	דבר
pogovori	דברי
nazionale	nazionale
vmesnik	ממשק
jajčeca	ביצים
jajčeca	אגס
languedoc	לנגדוק
dramatikov	מחזאים
pištola	אקדח
pištola	אקדח
pištola	רובה
regionalni	אזורי
regionalni	איזורי
razširjeni	מוגדלת
razširjeni	המורחבת
razširjeni	מורחב
razširjeni	מורחבת
razširjeni	מורחב
razširjeni	התרחב
prihodnje	עתיד
prihodnje	עתידי
prihodnje	העתיד
prijateljstvo	חברויות
prijateljstvo	ידידות
prijateljstvo	חברות
kancler	קנצלר
kancler	הקנצלר
alternative	אלטרנטיבית
alternative	אלטרנטיבי
alternative	חלופה
alternative	האלטרנטיבי
alternative	אלטרנטיבה
alternative	חלופות
alternative	חלופה
industries	תעשיות
pozni	מאחרת
pozni	איחור
pozni	באיחור
pozni	מאוחר
pogledi	תצוגות
pogledi	צפיות
magnus	מגנוס
magnus	מאגנוס
sorodniki	קרובים
podjetnik	יזם
podjetnik	יזמות
policist	קצינה
policist	שוטר
policist	קצין
policist	שוטרת
policist	שוטר
bradley	ברדלי
bradley	בראדלי
mostovi	גשרים
mostovi	הגשרים
marseille	מרסיי
marseille	מרסיי
lastna	משל
posredovanje	שדר
posredovanje	שידור
posredovanje	תשדורת
posredovanje	תיווך
posredovanje	גישור
posredovanje	התערבות
zaključek	סיום
zaključek	השלמת
zaključek	השלמה
zaključek	סגירה
zaključek	מסקנה
razstavi	תערוכה
razstavi	התערוכה
lucas	לוקאס
lucas	לוקס
gibson	גיבסון
terme	ספא
moon	מון
moon	ירח
moon	הירח
organizirano	מאורגן
organizirano	מאורגנת
organizirano	מאורגן
organizirano	מסודרת
organizirano	מאורגנת
organizirano	מאורגנים
dama	גברת
dama	ליידי
dama	דיים
dama	דאם
jezikovno	שפה
nadal	נדאל
ščit	מגן
ščit	המגן
achille	אשיל
dodekaeder	דודקהדרון
programiranje	תכנות
izpostavljenost	חשיפה
biološki	הביולוגי
biološki	ביולוגי
biološki	ביולוגית
perzijci	פרסים
perzijci	הפרסים
powell	פאוול
utrdbo	מבצר
utrdbo	פורט
ted	טד
imenovanja	פגישות
imenovanja	תורים
emilio	אמיליו
slab	רע
slab	רעה
slab	רעים
slab	רעות
izbris	מחיקה
izbris	מחיקת
izbris	מוחקת
izbris	מוחק
izbris	מחיקה
izbris	ביטול
izbris	למחוק
izbris	מחק
izbris	מחיקה
biologijo	ביולוגיה
dedek	סבא
dedek	סב
dedek	סבא
ustavil	הפסיק
ustavil	נעצרה
ustavil	עצר
opremljen	מצויד
opremljen	מצוידת
epizode	פרקים
epizode	פרק
epizode	הפרק
izidi	תוצאות
izidi	התוצאות
fisher	פישר
puščave	מדבריות
porto	פורטו
označen	מתויגים
označen	מתויג
realno	ריאל
realno	אמיתי
realno	אמיתית
realno	אמיתיים
realno	אמיתיות
realno	מציאותי
realno	מציאותיים
