nine	เก้า
stalingrad	stalingrad
romagna	romagna
oder	oder
intermediar	กลาง
intermediar	ตัวกลาง
uni	uni
psihologică	จิตวิทยา
polonezii	ขั้ว
lublin	lublin
chi	ชิ
chi	chi
chi	จิ
numar	จำนวน
numar	หมายเลข
bwv	bwv
frunză	ใบไม้
definiții	นิยาม
uscată	แห้ง
uscată	แล้ง
uscată	แห้งๆ
uscată	แห้ง
vicenza	vicenza
pau	pau
benzină	น้ำมัน
benzină	เบนซิน
benzină	น้ำมัน
retur	กลับ
evidențiază	ไฮไลท์
evidențiază	เน้น
evidențiază	ไฮไลต์
ang	อัง
ang	อ่าง
verbal	วาจา
misterios	ลึกลับ
poza	รูป
poza	ภาพ
elementară	ประถม
elementară	มูลฐาน
civică	พลเมือง
civică	civic
interactive	โต้ตอบ
uita	ลืม
masca	หน้ากาก
rulează	วิ่ง
rulează	รัน
rulează	หนี
cash	แคช
cash	เงิน
cash	เงินสด
cash	cash
ouăle	ไข่
întreabă	ถาม
întreabă	สอบถาม
bio	ประวัติ
organul	อวัยวะ
organul	ออร์แกน
magice	เวทมนตร์
magice	มนตร์
magice	ขลัง
magice	วิเศษ
fotografiile	ภาพถ่าย
fotografiile	รูปภาพ
variații	แปรผัน
toti	ทั้งหมด
toti	ทุก
întreruptă	ขัดจังหวะ
ideologia	อุดมการณ์
bumbac	สายไหม
bumbac	ฝ้าย
bumbac	cotton
momentele	moments
devastat	บั่นทอน
actualizată	อัพเดท
detaliată	ละเอียด
volei	วอลเล่ย์
volei	วอลเลย์บอล
febră	ไข้
paradise	พาราไดซ์
paradise	สวรรค์
paradise	พาราไดส์
adăugată	เพิ่ม
luke	ลุค
luke	ลูค
omenirea	มนุษยชาติ
omenirea	มนุษยธรรม
tragic	สลด
spartak	spartak
curbură	โค้ง
protejează	ป้องกัน
protejează	ปกป้อง
interfața	อินเตอร์เฟส
interfața	อินเทอร์เฟส
afișează	แสดง
afișează	โชว์
afișează	แสดง
bey	bey
lance	ทวน
construiesc	สร้าง
mouse	เมาส์
schmitt	schmitt
comentariile	หมายเหตุ
comentariile	คอมเมนท์
îmbunătățire	ปรับปรุง
frica	กลัว
frica	fear
gmbh	gmbh
utilaje	เครื่องจักร
iubesc	ชอบ
iubesc	รัก
hugues	hugues
fluturi	ผีเสื้อ
fluturi	ผีเสื้อ
expres	express
abandonate	ร้าง
încălcat	ฝ่าฝืน
democrația	ประชาธิปไตย
conducând	ขับ
conducând	ขับขี่
mcdonald	mcdonald
selim	selim
concertele	คอนเสิร์ต
turcesc	ตุรกี
liniște	เงียบ
hood	hood
stânca	rock
stânca	ร็อค
stânca	โยก
stânca	หิน
impotriva	ต่อ
producere	ผลิต
canadiene	แคนาดา
stabilitatea	เสถียรภาพ
ras	ras
ras	โกน
filozofice	ปรัชญา
pseudonim	นามแฝง
gogh	โก๊ะ
lopez	lopez
lopez	โลเปซ
acută	เฉียบพลัน
diagnostic	วินิจฉัย
diagnostic	วินิจฉัย
sergio	sergio
stabilitate	เสถียรภาพ
filială	สาขา
altlink	altlink
amical	มิตร
cercurile	วงกลม
vulturul	อินทรี
vulturul	อินทรีย์
delaware	เดลาแวร์
cifrele	ตัวเลข
plantagenet	plantagenet
servesc	เสิร์ฟ
servesc	เสริฟ
coral	ปะการัง
ferm	มั่นคง
ferm	มั่น
leigh	ลีห์
minime	minimal
minime	น้อย
struguri	grape
struguri	องุ่น
struguri	องุ่น
planificare	วางแผน
magie	เวทมนตร์
magie	มนตร์
ultra	ultra
finanțarea	เงินผ่อน
finanțarea	ไฟแนนซ์
finanțarea	ทุน
holland	ฮอลแลนด์
gate	เกต
gate	เกท
creare	สร้าง
îngrijire	แคร์
îngrijire	สน
îngrijire	สนใจ
premiere	ปฐมทัศน์
grădinile	สวน
iordania	จอร์แดน
iordania	jordan
bacterii	แบคทีเรีย
cumpărată	ซื้อ
cumpărată	ซื้อ
tactică	กลยุทธ์
tactică	ยุทธวิธี
tactică	ยุทธวิธี
clopot	ระฆัง
clopot	กระดิ่ง
clopot	เบลล์
consumului	บริโภค
corner	มุม
atacată	ทำร้าย
învierea	คืนชีพ
ignorat	ละเว้น
dușmani	ศัตรู
comunică	สื่อสาร
arabii	อาหรับ
acorduri	คอร์ด
yuan	อ้วน
yuan	หยวน
fantezie	จินตนาการ
fantezie	หรู
fantezie	แฟนซี
văduvă	หม้าย
văduvă	แม่หม้าย
văduvă	หม้าย
cena	cena
milă	สงสาร
milă	เมตตา
milă	ปราณี
milă	ไมล์
reprezentativă	ตัวแทน
varese	varese
surpriză	เซอร์ไพรส์
core	หลัก
core	แกน
ankara	ankara
sâmbăta	เสาร์
cumpăra	ซื้อ
cumpăra	เลี้ยง
declinul	ปฏิเสธ
noduri	ปม
noduri	เงื่อน
gasit	พบ
gasit	เจอ
descărcare	ดาวน์โหลด
asigurare	ประกัน
păi	เอ้อ
păi	ก็
păi	เออ
păi	ดี
păi	ก้อ
păi	อืม
evidențiat	ไฮไลท์
evidențiat	ไฮไลต์
datorie	duty
datorie	หน้าที่
datorie	หนี้
confesiune	สารภาพ
lichide	ของเหลว
lichide	ของเหลว
lichide	เหลว
sand	ทราย
rotund	กลม
rotund	กลมๆ
rotund	รอบ
itunes	itunes
pictează	ทาสี
cavaleri	อัศวิน
valeria	valeria
aura	aura
scurta	สั้น
scurta	สั้นๆ
scurta	เตี้ย
zeitung	zeitung
intel	อินเทล
intel	intel
statisticile	สถิติ
tăierea	รู้สึก
batista	ผ้าเช็ดหน้า
mig	มิก
tottenham	tottenham
chase	เชด
chase	เชส
proprietarii	เจ้าของ
dalla	dalla
particulele	อนุภาค
controversate	แย้ง
indicii	บอกใบ้
indicii	เงื่อนงำ
indicii	เบาะแส
transporturi	ขนส่ง
transporturi	ขนส่ง
ingineria	วิศวกรรมศาสตร์
ingineria	วิศวกรรม
fraze	วลี
aeronave	อากาศยาน
classis	classis
sârbilor	serbs
dură	โหด
honduras	ฮอนดูรัส
formule	formulae
als	fta
als	als
fecioara	virgo
fecioara	เวอร์จิน
fecioara	จิ้น
cometa	ดาวหาง
checkuser	checkuser
pistol	ปืน
pescuitul	ประมง
pescuitul	ประมง
precise	แม่นยำ
precise	แม่นยำ
mese	ตาราง
mese	โต๊ะ
paradis	พาราไดซ์
paradis	สวรรค์
paradis	พาราไดส์
dirijat	กำกับ
mineral	แร่
bmw	bmw
stânci	หน้าผา
stânci	หิน
gore	กอร์
uită	ลืม
izolată	ฉนวน
izolată	แยก
calculatorul	คอม
calculatorul	คอมพิวเตอร์
bancar	ธนาคาร
organizator	จัด
experimentul	ทดลอง
accesibil	ย่อมเยา
mănâncă	ทาน
mănâncă	กิน
baseball	เบสบอล
pavilionul	ศาลา
valoros	คุณค่า
gaură	หลุม
gaură	รู
gaură	โพรง
miere	ที่รัก
avertisment	เตือน
oman	โอมาน
manualul	คู่มือ
bru	บรู
bru	บรูก
faima	เกียรติยศ
profesia	อาชีพ
groapa	หลุม
groapa	บ่อ
stadio	stadio
piper	พริก
olandezi	ดัตช์
misiunile	ทูต
misiunile	ภารกิจ
ura	เร่
ura	เกลียด
ura	เย
ura	เย่
partenerul	คู่หู
psihologic	จิตวิทยา
jam	แยม
jam	แจม
urmărire	เชด
urmărire	เชส
tabele	ตาราง
tabele	โต๊ะ
deportarea	เนรเทศ
camerele	ห้อง
sesiune	เซสชั่น
sesiune	เซสชัน
cehi	เช็ก
copia	สำเนา
luise	luise
găină	เจี๊ยบ
găină	ไก่
fly	ฟลาย
fly	บิน
twitter	twitter
disciplina	วินัย
suferind	ทรมาน
frost	ฟรอสท์
huang	หวง
creierul	สมอง
fraza	วลี
subliniază	ไฮไลท์
subliniază	ไฮไลต์
relevant	เกี่ยวข้อง
spectrul	สเปกตรัม
coloanele	คอลัมน์
scări	บันได
ogg	ogg
câmpurile	ฟิลด์
câmpurile	ช่อง
roată	ล้อ
pen	ปากกา
pensie	บำนาญ
angels	เทวดา
txt	txt
dispozitivul	อุปกรณ์
limited	จำกัด
contractului	สัญญา
mcnaught	mcnaught
traversarea	ข้าม
adaptări	adaptations
costuri	ต้นทุน
costuri	ต้นทุน
marginile	ขอบ
dale	dale
