orto	orto
traditsioonilised	tradicionalna
traditsioonilised	tradicionalni
traditsioonilised	tradicionalno
sõnumid	poruke
timothy	timothy
cat	mačak
cat	macka
cat	mačka
cat	cat
kajastab	odražava
gnu	gnu
faktid	činjenice
täpsed	precizan
täpsed	točan
pete	pete
pete	pit
diameeter	promjer
diameeter	promjeru
gloria	gloria
gloria	glorija
kursused	tečajeve
suomen	suomen
constantin	constantin
horisontaalselt	vodoravno
suurenemine	povećanje
triinu	ella
léon	léon
strauss	strauss
institutsioonid	institucije
institutsioonid	institucija
institutsioonid	ustanove
romantiline	romantično
uhke	ponosna
uhke	ponosan
uhke	ponosni
uhke	fancy
kirjutades	kucanje
haruldased	rijetka
haruldased	rijetki
haruldased	rijetko
haruldased	retko
haruldased	rijetke
vista	vista
kohvi	kave
kohvi	kavu
kohvi	kafa
kohvi	kafu
kohvi	kava
marianne	marijana
marianne	marianne
tegija	tvorac
tegija	stvoritelja
jeemeni	jemenu
jeemeni	jemenski
omar	omar
omar	omara
pinnas	tlo
kodakondsus	nacionalnosti
kodakondsus	državljanstvo
ajavahemik	razdoblje
ajavahemik	period
giulio	giulio
standardid	standarde
standardid	standardi
standardid	standarda
standardid	standardima
allveelaev	podmornice
allveelaev	podmornica
albumid	albuma
albumid	albume
pühendunud	posvećen
pühendunud	posvetio
pühendunud	posvećena
pühendunud	posvećeno
pühendunud	posvećen
pühendunud	posvećeni
pühendunud	posvetio
pühendunud	počinjen
pühendunud	počinio
pühendunud	predan
tselluloosi	celuloza
liigitada	klasificirati
tasapisi	lagano
tasapisi	polako
romano	romano
resolutsioon	rezolucija
resolutsioon	rezolucije
andrzej	andrzej
philadelphia	philadelphiji
philadelphia	philadelphia
oulu	oulu
mürgine	otrovno
mürgine	otrovna
mürgine	otrovni
mürgine	otrovno
mürgine	otrovna
väärt	vrijedno
väärt	vrijedi
tapmine	klanja
tapmine	klanje
tapmine	pokolj
tapmine	ubijanje
esa	esa
read	redaka
read	redovi
read	crte
read	linije
michele	michele
korsika	corsica
kaksteist	dvanaest
kaksteist	twelve
histoloogia	histologiju
ekspert	stručnjak
ekspert	ekspert
ökoloogiline	ekološki
ökoloogiline	ekološke
sool	salt
sool	sol
sool	soli
jung	jung
müük	prodaje
müük	prodaja
müük	prodaju
müük	prodaja
vähendamine	smanjenje
smithi	smith
smithi	smit
smart	pametna
smart	pametni
smart	pametan
smart	smart
smart	pametno
loobunud	odrekao
viljakas	plodno
viljakas	plodna
viljakas	plodan
viljakas	plodan
viljakas	plodno
hell	nježan
hell	nježno
kokkupõrge	utjecaj
kokkupõrge	udar
kokkupõrge	sudar
paber	papira
paber	papir
alasti	goli
alasti	gol
alasti	gola
alasti	golu
alasti	gola
alasti	goli
alasti	golo
alasti	gole
sammas	kolona
sammas	stupac
sammas	stub
sammas	stup
maatriks	matricu
maatriks	matrica
neljandaks	četvrti
neljandaks	četvrta
neljandaks	četvrto
parameeter	parametar
žanr	žanr
stella	stella
stella	stela
oskuste	vještine
oskuste	vještina
oskuste	umijeće
edutult	neuspješno
otsustanud	odlučio
otsustanud	odlučila
otsustanud	odlučili
otsustanud	odlučeno
sinised	plavo
sinised	plavi
sinised	plava
schultz	schultz
lapselaps	unuku
lapselaps	unuka
lapselaps	unuk
lapselaps	unuka
wales	wales
wales	walesa
elbe	elbe
kogemata	slučajno
uuem	noviji
uuem	novije
hani	guska
hani	hani
hani	hana
hani	han
rex	rex
territoriaalne	teritorijalni
jeffersoni	jefferson
bengali	bengalskog
harrison	harrisona
harrison	harrison
maia	majo
maia	maia
mehaanilise	mehanički
ümbritsev	okružuje
ümbritsev	okružuju
chicagos	chicagu
chicagos	chicago
turba	treseta
hävitatud	uništen
hävitatud	uništena
hävitatud	istrijebljeni
karistuse	kaznu
karistuse	kazna
liigitus	klasifikacija
hävitamine	uništi
hävitamine	uništavanje
hävitamine	uništenje
hävitamine	razaranje
korrus	sprat
korrus	kat
beach	plaže
beach	beach
