dhe	oraz
një	jeden
një	jedna
nga	from
nga	od
për	na
për	dla
për	za
edhe	nawet
tij	jego
nuk	nie
ishte	była
ishte	był
ishte	było
janë	są
duke	mając
shumë	bardzo
por	ale
pas	after
pas	po
këtë	tym
parë	widziałem
parë	widziane
parë	widziany
tyre	ich
tyre	je
tyre	ich
tyre	im
mund	mógłby
mund	można
mund	can
gjatë	długi
gjatë	długa
gjatë	długo
gjatë	długie
gjatë	long
disa	niektóre
disa	niektórzy
disa	trochę
lidhje	linków
lidhje	łącza
lidhje	linki
lidhje	odnośniki
lidhje	relacje
lidhje	związku
lidhje	relacja
lidhje	stosunki
lidhje	związek
lidhje	związku
lidhje	podłączenie
lidhje	powiązanie
lidhje	połączenie
lidhje	połączenia
lidhje	łącze
lidhje	link
lidhje	ogniwo
lidhje	odnośnik
kjo	tym
kjo	że
kur	gdy
kur	kiedy
mbi	ponad
mbi	over
mbi	odbiór
mbi	wyżej
mbi	ponad
mbi	powyżej
jashtme	zewnętrzne
saj	jego
saj	jej
saj	ją
kishte	mial
kishte	miałem
kishte	miała
kishte	miał
ajo	ona
vetëm	samotnie
vetëm	sama
vetëm	sam
vetëm	tylko
vetëm	tylko
ata	je
ata	ich
ata	im
ata	tych
ata	te
ata	oni
tjera	innych
tjera	inne
tjera	pozostałe
tjera	inny
pjesë	części
pjesë	część
pjesë	częściowo
atë	go
shqiptare	albanii
madhe	duża
madhe	duże
madhe	big
madhe	wielka
madhe	duży
madhe	wielki
rreth	okolice
rreth	dookoła
para	pieniądze
para	pieniądz
para	kasy
para	kasa
para	money
para	kasy
para	gotówką
para	gotówkę
para	cash
para	gotówka
para	zanim
para	przed
para	wcześniej
ishin	były
ishin	byli
per	na
per	dla
per	za
këto	tych
këto	te
banorë	mieszkańców
banorë	mieszkańcy
banorë	rezydentów
banorë	mieszkańców
banorë	mieszkańcy
komuna	gmin
komuna	gminy
komuna	gmina
cila	które
cila	która
cila	który
nje	jeden
nje	jedna
kundër	licznik
kundër	przeciwko
kundër	przeciw
lista	listy
lista	wykaz
lista	lista
lista	spis
lista	listę
lista	listy
lista	wykazy
kantoni	canton
gjithashtu	także
gjithashtu	też
gjithashtu	również
ndërsa	podczas
cilat	które
cilat	która
cilat	który
ndryshme	inna
ndryshme	różne
ndryshme	inny
ndryshme	różnych
ndryshme	rozbieżne
etj	etc
etj	itd
etj	itp
duhet	potrzebuje
duhet	potrzeba
duhet	potrzebna
duhet	potrzebuję
duhet	potrzebny
duhet	musi
duhet	muszą
sipërfaqe	powierzchnie
sipërfaqe	powierzchnię
sipërfaqe	powierzchni
sipërfaqe	powierzchnia
ato	je
ato	ich
ato	im
ato	oni
ato	tych
ato	te
përgjithshëm	generał
përgjithshëm	ogólny
përgjithshëm	ogólnie
përgjithshëm	ogólna
përgjithshëm	ogólne
tjetër	innych
tjetër	inne
tjetër	pozostałe
tjetër	inny
tjetër	następnym
tjetër	następny
tjetër	następna
tjetër	następne
njohur	znajome
njohur	znajomy
njohur	rozpoznał
njohur	uznany
njohur	uznawane
njohur	uznane
njohur	uznana
njohur	uznane
njohur	uznawane
njohur	uznany
njohur	uznana
njohur	znani
njohur	znany
njohur	znana
njohur	znane
shqiptar	albanii
style	styl
style	style
dytë	druga
dytë	drugi
dytë	drugie
mirë	dobre
mirë	dobrze
fundit	ostatnio
fundit	ostatnie
fundit	last
fundit	ostatni
fundit	ostatnia
fundit	najnowsze
fundit	ostatnie
fundit	najnowszy
pasi	after
pasi	po
shiko	patrz
shiko	zobacz
nën	niżej
nën	poniżej
nën	sub
nën	pod
jpg	jpg
herë	krotnie
herë	złóż
herë	razy
herë	times
herë	czasy
viti	roku
viti	rok
sot	dzisiaj
sot	today
sot	dziś
çdo	każda
çdo	każdy
çdo	jakikolwiek
çdo	dowolny
çdo	jakiekolwiek
lartë	wysoka
lartë	wysokie
lartë	high
lartë	wysoki
lartë	wysoko
popullsi	populacja
popullsi	populacji
popullsi	ludność
kosovës	kosowo
kosovës	kosowa
komunë	gmina
jetë	zycie
jetë	life
jetë	życia
jetë	dożywocie
jetë	życie
president	przewodniczący
president	prezes
president	prezydent
president	przewodnicząca
president	prezydenci
bërë	zrobione
mes	środek
mes	środkowy
mes	środkowa
mes	między
mes	pomiędzy
vonë	późna
vonë	późny
vonë	późno
vend	ojczyzna
vend	kraje
vend	kraju
vend	kraj
vend	państwo
vend	miejsce
vend	miejsce
shqipëri	albania
shqipëri	albanii
pak	małe
pak	little
pak	mało
pak	mały
pak	mała
pak	nieznacznie
pak	lekko
pak	nieco
francë	francji
francë	francja
francë	france
fshat	wieś
fshat	wiosce
fshat	wioska
fshat	village
fshat	wioski
fshat	wieś
zyrtare	oficjalne
zyrtare	oficjalna
zyrtare	urzędnik
zyrtare	urzędowym
zyrtare	oficjalnie
zyrtare	oficjalny
kryetari	głośnik
kryetari	mówca
