инцидент	incident
посредничества	mediació
серый	gray
серый	gris
серый	grey
филармонии	filharmònica
точность	precisió
точность	precisió
точность	exactitud
политбюро	politburó
альянс	aliança
заявляет	declara
проза	prosa
белки	proteïna
белки	proteïnes
белки	proteïnes
белки	esquirols
мяса	carn
управляет	gestiona
скандал	escàndol
петровский	petrovsky
разницы	marge
свадьбы	casaments
свадьбы	bodes
свадьбы	boda
свадьбы	casament
ранение	perjudici
ранение	lesió
ранение	ferida
орловская	oryol
подразумевает	implica
пенсильвания	pennsylvania
пенсильвания	pennsilvània
цепь	circuit
цепь	cadena
видна	visible
видна	visibles
пруд	estany
пруд	pond
пятой	cinquè
пятой	cinquena
волгоград	volgograd
делегации	delegacions
умершего	causant
умершего	difunts
заменены	substituït
процессор	processador
процессор	cpu
изредка	ocasionalment
эксперименты	experimentació
эксперименты	experiments
эксперименты	experimentació
монах	frare
монах	monjo
гражданина	ciutadà
флоренции	florence
флоренции	florència
занят	ocupat
баз	bases
баз	baz
добровольцев	voluntaris
добровольцев	voluntària
добровольцев	voluntari
рождение	naixements
рождение	naixement
отменить	desfer
отменить	desfés
винтовки	rifles
самостоятельный	autònoma
доски	juntes
доски	taulers
отступить	retirada
очевидна	obvi
очевидна	evident
вступление	introducció
существо	criatura
открытая	oberta
открытая	oberts
открытая	open
открытая	obre
открытая	obert
знати	nobles
принесли	portat
восьмой	vuit
восьмой	vuitè
восьмой	vuitena
столкновение	clash
батарея	bateria
оценил	apreciada
оценил	apreciats
оценил	apreciat
топливо	combustible
топливо	combustibles
зенит	zenit
рико	rico
снятие	aixecament
снятие	aixecant
снятие	retirada
прекращения	rescissió
прекращения	terminació
купил	comprats
купил	comprat
срочно	urgent
срочно	urgentment
петрозаводск	petrozavodsk
похожие	similars
похожие	semblants
похожие	similar
врачи	doctors
врачи	metges
глубину	profunditat
галактики	galàxies
собирать	recollir
уникальный	úniques
уникальный	únic
массачусетс	massachusetts
мюллер	müller
мюллер	mueller
мюллер	muller
мостов	ponts
миллион	milions
миллион	milió
экспериментов	experimentació
комнаты	habitacions
комнаты	sales
ралли	reagrupament
сократить	escurçar
сократить	tallat
сократить	retalla
сократить	talla
сократить	retallat
стрельба	rodatge
стрельба	tiroteig
раскопки	excavació
раскопки	excavacions
корпорация	corporació
австрийская	austríac
вершина	vèrtex
перестал	aturat
стрелок	tirador
региональный	regional
региональный	regionals
резиденция	residència
катание	patinatge
католицизм	catolicisme
эпитет	epítet
изготовление	fabricació
изготовление	fabricació
изготовление	fent
изготовление	making
победителей	premiats
победителей	guanyadores
победителей	guanyadors
пользователи	usuaris
полу	semi
землетрясения	terratrèmols
землетрясения	terratrèmol
колоний	colònies
христиане	christian
христиане	cristià
христиане	cristians
рнк	rna
рнк	arn
тыл	posterior
кипр	xipre
мифы	mites
судьбу	destinació
судьбу	destí
глубины	profunditats
глубины	profunditat
огпу	ogpu
ногу	peu
ногу	cama
ногу	pota
страх	temor
страх	fear
страх	por
интересная	interesant
интересная	interessant
заседания	reunions
побеждает	victòries
побеждает	guanya
разработчик	desenvolupador
статуи	estàtues
активная	actiu
медико	medico
оперативной	operatiu
оперативной	operatius
оперативной	operativa
начальное	primària
начальное	primari
растворяется	dissol
заметили	notat
заметили	adonat
вмешательства	interferència
вмешательства	intervenció
корона	corona
политиков	polítics
посла	ambaixador
регулярного	regulars
регулярного	regular
нова	nova
разногласия	diferències
разногласия	desacord
операторы	operaris
операторы	operadors
операторы	operadores
производственного	productives
производственного	productius
производственного	productiu
производственного	productiva
риа	ria
традиционный	tradicional
традиционный	tradicionals
генералов	generals
авторство	autoria
ресторан	restaurant
углы	cantonades
углы	racons
углы	angles
партизаны	partisans
отчет	informe
экспорт	exportacions
экспорт	exportació
экспорт	exportació
экспорт	exportant
антония	antonia
антония	antònia
целое	integer
целое	enter
целое	sencer
целое	sencera
вещь	cosa
подтверждено	confirmat
лёгкий	lleuger
шведская	suec
враг	enemic
изменилось	canviades
изменилось	canviat
изменилось	canviada
наследник	hereu
коммунистическая	comunista
мюзикл	musical
резерв	reserva
репрессий	repressió
прозвища	sobrenoms
поняли	entès
интересный	interesant
интересный	interessant
реальные	real
теннис	tennis
ключи	claus
ключи	tecles
сделанные	fetes
сделанные	feta
восприятия	percepcions
банды	bandas
татарский	tàtar
духовное	espiritual
славу	fama
славу	fame
славу	glòria
славу	glory
поляна	poliana
таиланд	tailàndia
финансирование	finançament
финансирование	finançament
финансирование	finances
глазго	glasgow
пакистан	pakistan
робин	robin
робин	robyn
библиотек	biblioteques
угроза	amenaça
мтс	mts
председатели	presideix
председатели	cadires
председатели	presidents
председатели	presidentes
фёдоров	fiódorov
мозель	moselle
подростков	teens
подростков	adolescents
подростков	adolescents
демо	demostració
демо	demo
демо	demos
демо	maquetes
трагедия	tràgic
трагедия	tragèdia
заседание	session
заседание	sessió
заседание	sessió
заседание	reunió
заседание	trobada
ушла	marxat
ушла	anat
луки	arcs
луки	luca
луки	luka
таиланда	tailàndia
таиланда	thai
советники	assessors
советники	regidors
троллейбус	troleibús
отправили	enviats
отправили	enviat
аэропорты	aeroports
гитлер	hitler
связанный	enllaçat
оплаты	pagament
организмов	organismes
присоединиться	uneix
хьюстон	houston
счастье	felicitat
загрузки	descàrregues
загрузки	baixades
холл	hall
культ	culte
культ	secta
домашнее	casolans
лесных	bosc
никитин	nikitin
поколений	generacions
македония	macedònia
утверждено	aprovades
утверждено	aprovat
утверждено	aprovada
утверждено	aprovats
волос	pèl
волос	cabells
создатели	creadors
покрытия	portada
покрытия	caràtula
покрытия	revestiments
ферма	granja
произносится	pronunciat
произносится	pronunciada
грозный	grozni
условие	condició
объединять	combinar
португальский	portuguès
низкий	baix
низкий	baixes
никуда	enlloc
древесины	fusta
уменьшить	disminució
уменьшить	encongeix
типичный	típica
типичный	típic
геолог	geòleg
мобильных	mòbil
получены	rebut
получены	rebé
получены	rebuda
азота	nitrogen
усовершенствования	millores
дань	homenatge
мозг	cervell
мозг	cervells
поднял	plantejat
бред	brad
бред	deliri
бред	delirant
дэнни	danny
дэнни	denny
секция	secció
десятка	deu
нацистской	nazi
господин	mister
господин	dominus
богатых	ric
богатых	rich
богатых	rics
сау	sau
биология	biologia
акулы	taurons
акулы	tauró
диалектов	là
сложность	dificultat
сложность	complexitat
прибытия	arribada
осло	oslo
расписание	horari
введено	introduïdes
введено	introduït
введено	introduïda
введено	introduïts
квантовой	quàntica
джонатан	jonathan
снималась	protagonitzar
оперативного	indicatiu
разрыв	ruptura
разрыв	gap
греки	grecs
греки	grec
богослов	teòleg
эволюция	evolució
подписания	firma
подписания	signatura
леонардо	leonardo
дипольный	dipol
водитель	xofer
водитель	conductor
постоянная	permanent
постоянная	permanents
постоянная	constant
постоянная	constants
паоло	paolo
завоевать	conquerir
вино	vi
бокс	boxa
откровенно	francament
прожил	vivia
прожил	viscut
рабов	esclaus
формируется	formant
боливии	bolivià
боливии	bolívia
популярная	popular
популярная	populars
желающие	desitjant
шейх	sheikh
шейх	xeic
шейх	sheik
охлаждения	refrigeració
охлаждения	refredament
охлаждения	refrigeració
путешественник	viatger
путешественник	viatger
гаити	haití
арсенал	arsenal
отбор	selecció
заменена	substituït
автономии	autonomia
мадам	senyora
мадам	madame
молока	llet
специалиста	especialista
словари	diccionaris
длительность	durada
длительность	duració
мера	mesura
департаменты	departaments
новичков	nouvinguts
фазы	fases
рекорды	rècords
рекорды	registres
меню	menú
меню	menús
меню	menus
белград	belgrad
вилли	willy
вилли	willi
вилли	willie
хлеба	pa
куча	amuntegament
владельцев	propietaris
кислот	àcids
дословно	literal
археологических	arqueològic
сорока	quaranta
соблюдать	observar
наталия	natàlia
инициатором	iniciador
дерби	derby
глеб	gleb
голода	inanició
голода	fam
испанию	espanya
ассамблеи	assemblees
ассамблеи	muntatges
ассамблеи	assemblea
фернандес	fernandez
фернандес	fernández
фернандес	fernández
фернандес	fernandes
