gerais	gerais
holocaust	холокоста
cello	виолончело
cello	чело
mangfold	разнообразие
mangfold	многообразие
cover	прикритие
cover	корица
cover	покритие
cover	покриване
rolig	спокойна
rolig	леко
rolig	лесно
santo	санто
ryttere	конници
ryttere	конници
ryttere	ездачи
deltaker	участник
deltaker	състезател
deltaker	участник
filosofen	философ
gjenopprettet	възстановено
gjenopprettet	възстановен
gjenopprettet	възстановени
gjenopprettet	възстановена
gjenopprettet	възстановено
gjenopprettet	възстановен
gjenopprettet	възстановени
gjenopprettet	възстановена
forent	обединена
forent	единна
forent	обединен
forent	обединени
forent	обединена
forent	обединен
forent	юнайтед
forent	обединено
utenlandsk	чужди
utenlandsk	чуждестранни
utenlandsk	чужд
utenlandsk	чужда
utenlandsk	чужденец
nedgang	упадък
nedgang	спад
nedgang	намаление
nedgang	намаляване
nedgang	спадане
federation	федерация
federation	федерацията
agnes	агнес
isaac	исаак
isaac	айзък
isaac	исак
skeptisk	скептичен
skeptisk	скептичен
symfoni	симфония
phillips	филипс
gata	улица
gata	стрийт
gata	street
gata	улицата
powell	пауъл
samsvar	съответствие
samsvar	спазване
scotland	шотландия
albumene	албуми
albumene	албумите
klatre	изкачване
personlighet	характер
personlighet	личността
personlighet	индивидуалност
personlighet	личност
tidsskrifter	списанията
tidsskrifter	списания
oberstløytnant	полковник
sjanse	шанс
sjanse	ченс
stanset	спрян
stanset	спряна
stanset	спря
sakte	бавно
halve	наполовина
halve	половината
skritt	стъпало
skritt	стъпка
skritt	крачка
skritt	стъпала
skritt	стъпки
skritt	стълби
skritt	крачки
castilla	кастилия
organisk	органични
organisk	органична
organisk	органичен
organisk	органично
hundrevis	стотици
amanda	аманда
søsteren	сестра
bratt	стръмен
rot	бъркотия
rot	каша
rot	корени
rot	корен
palmer	палмър
jennifer	дженифър
kjerne	ядро
kjerne	сърцевина
kjerne	ядрото
kjerne	ядрото
dømte	осъждан
dømte	осъден
dømte	осъдени
dømte	съден
dømte	съдена
opplevd	опитен
opplevd	опитна
opplevd	опитни
made	направена
made	направено
made	направен
made	направени
skuespillerinnen	актриса
skuespillerinnen	актриси
skuespillerinnen	актрисата
olivier	оливие
tjue	двадесет
eksport	изнасяне
eksport	износ
sonja	соня
mozart	моцарт
opprettholdt	поддържан
opprettholdt	поддържани
opprettholdt	поддържана
names	наименования
names	имената
names	имена
leon	лион
leon	леон
mater	хранене
