kleinste	کوچکترین
kontinuierlich	مداوم
kontinuierlich	پیوسته
kontinuierlich	مستمر
kontinuierlich	مداوم
kontinuierlich	پیوسته
kontinuierlich	پاینده
kontinuierlich	دائما
wayne	وین
gleise	سکوهای
dessau	دسائو
erobert	تسخیر
erobert	فتح
erobert	غلبه
verwundet	مجروح
verwundet	زخمی
klöster	صومعه
kaiserin	شهبانو
morris	موریس
gertrud	گرترود
malte	مالته
hitlers	هیتلر
pkw	ماشینها
pkw	خودرو
pkw	خودروی
pkw	ماشین
größen	سایز
größen	اندازه
geographischen	جغرافیایی
öffnung	روزنه
öffnung	افتتاحیه
öffnung	افتتاح
petra	پترا
lateinisch	لاتین
geschlossene	ضمیمه
geschlossene	بسته
betreuung	پشتیبان
betreuung	پشتیبانی
betreuung	حمایت
betreuung	نظارت
betreuung	سرپرستی
betreuung	مراقبت
lebensmittel	غذایی
lebensmittel	خوراک
lebensmittel	غذا
lebensmittel	غذاها
lebensmittel	غذاهای
lebensmittel	خواربار
lebensmittel	خواربار
objektiv	عدسی
objektiv	لنز
objektiv	عینی
objektiv	بیطرفانه
personenverkehr	سرنشین
personenverkehr	مسافر
geometrie	هندسه
geometrie	geometric
geometrie	هندسی
bosnien	بوسنی
now	اکنون
now	الان
now	حالا
zerstörer	ویرانگر
zerstörer	ناوشکن
wright	رایت
sergei	سرگئی
sergei	سرگی
bonner	بانر
wohnsitz	مقیم
wohnsitz	ساکن
wohnsitz	رزیدنت
wohnsitz	اقامت
wohnsitz	اقامتگاه
wohnsitz	جایگاه
wohnsitz	اقامت
alpha	آلفا
berkeley	برکلی
richtungen	جهت
richtungen	مسیرها
schnee	اسنو
schnee	برف
schnee	برفی
gerald	جرالد
angel	آنجل
angel	فرشته
angel	انجل
vorgeschichte	زمینه
hartmut	دورین
hartmut	هارتموت
funk	فانک
troll	ترول
troll	غولها
mythos	افسانه
mythos	اسطوره
schumacher	شوماخر
schmalen	باریکه
schmalen	باریک
schmalen	اسلیم
stausee	دم
stausee	سد
tenor	تنور
befehlshaber	فرماندهان
hochladen	بارگذاری
hochladen	بارگذاری
sin	گناه
sin	sin
sin	گناهی
begangen	متعهد
designer	طراح
