και	та
το	на
από	від
που	какой
που	який
που	які
που	яке
που	яка
για	для
κατηγορία	категорія
τους	їх
τους	їм
τους	комплектів
ήταν	був
ήταν	була
ήταν	було
ένα	одна
ένα	one
ένα	одне
ένα	один
ότι	той
μια	одна
μια	one
μια	одне
μια	один
έχει	має
θα	воля
θα	буде
θα	будуть
αλλά	але
μετά	потім
μετά	тоді
μετά	після
επίσης	також
όπως	подобається
όπως	зразок
όπως	like
είχε	мали
είχε	мав
ενώ	поки
δύο	два
δύο	дві
δύο	двоє
δύο	двох
δύο	двійка
αυτό	цей
αυτό	ця
αυτό	той
αυτή	вона
αυτή	she
όπου	звідки
όπου	де
όπου	where
όπου	куди
όταν	коли
μέχρι	доки
μέχρι	до
μέχρι	поки
μία	одна
μία	one
μία	одне
μία	один
μπορεί	можна
ομάδα	відділення
ομάδα	загін
ομάδα	група
ομάδα	групова
ομάδα	груповий
ομάδα	групу
ομάδα	спільнота
ομάδα	команда
θέση	розташування
θέση	позиція
θέση	положення
θέση	позиції
μεταξύ	поміж
μεταξύ	між
χρόνια	хронічне
χρόνια	роки
πρώτη	перше
πρώτη	перша
πρώτη	перший
πιο	більше
ένας	одна
ένας	one
ένας	одне
ένας	один
πόλη	містечко
πόλη	місто
πόλη	місто
σύνδεσμοι	лінки
σύνδεσμοι	посилання
σύνδεσμοι	посиланнями
σύνδεσμοι	посилань
μόνο	лише
μόνο	тільки
έγινε	зроблено
έγινε	закінчили
έγινε	виконано
έγινε	готово
έγινε	done
πολύ	дуже
κάθε	кожен
κάθε	кожні
κάθε	кожну
κάθε	кожного
κάθε	кожному
κάθε	кожен
κάθε	кожна
περιοχή	ділянку
περιοχή	регіон
περιοχή	область
περιοχή	ділянка
περιοχή	площа
περιοχή	місцевість
αιώνα	ст
αιώνα	століття
αιώνα	century
αθήνα	афіни
περίοδο	строк
περίοδο	період
τότε	потім
τότε	тоді
όνομα	назва
ελλάδα	греції
ελλάδα	греція
μέρος	частина
μέρος	місце
σήμερα	сьогодні
μέσα	inside
μέσα	всередині
πως	як
μαζί	разом
διάρκεια	тривалість
ιστορία	публікації
ιστορία	історія
ιστορία	сюжет
ιστορία	розповідь
ιστορία	публікація
ιστορία	журнал
ιστορία	історія
ιστορία	історії
πρωτάθλημα	ліга
πρωτάθλημα	чемпіонський
πρωτάθλημα	чемпіонат
αργότερα	згодом
αργότερα	пізніше
αργότερα	потому
νέα	нові
νέα	нове
νέα	нова
νέα	новий
νέα	створити
νέα	новини
νέα	новина
περίπου	приблизно
περίπου	інфо
περίπου	про
περίπου	щодо
περίπου	приблизно
αυτά	ці
πριν	перед
πριν	before
χωρίς	без
εθνική	національна
εθνική	націонал
εθνική	національне
εθνική	національний
εθνική	національні
συζήτηση	спілкування
συζήτηση	розмови
συζήτηση	розмова
συζήτηση	бесіда
συζήτηση	дискусії
συζήτηση	дискусія
συζήτηση	обговорення
συζήτηση	дискусії
συζήτηση	дебати
αρχείο	архівувати
αρχείο	архів
αρχείο	файл
πρέπει	мусить
πρέπει	має
πρέπει	повинен
φορά	тайм
φορά	час
πάνω	нагорі
έλληνες	греки
ομάδες	групи
ομάδες	груп
ομάδες	спільноти
ομάδες	команди
πρώτο	перше
πρώτο	перша
πρώτο	перший
έργο	project
έργο	проект
έργο	роботи
έργο	робота
έργο	працюю
έργο	працюють
έργο	роботу
έργο	робочий
κυρίως	переважно
κυρίως	головним
κυρίως	основному
κυρίως	здебільшого
κυρίως	переважно
όχι	не
όχι	not
ελληνική	грецька
ελληνική	грецький
ελληνική	грецьке
ελληνική	грек
ελληνική	грецькі
μεγάλη	великі
μεγάλη	велике
μεγάλη	велика
μεγάλη	великий
μεγάλη	біг
υπό	під
υπό	under
έως	доки
έως	до
έως	поки
ταινία	фільм
ταινία	кіно
ταινία	стрічку
ταινία	стрічка
ταινία	плівка
ταινία	стрічки
ταινία	фільм
ταινία	плівка
άλλα	інший
άλλα	інша
άλλα	інші
άλλα	інше
άλλα	інших
άλλα	інших
άλλα	інші
άλλα	іншими
τμήμα	департамент
τμήμα	відділ
τμήμα	розділ
τμήμα	секція
τμήμα	секції
σαν	подобається
σαν	зразок
σαν	like
εκεί	туди
εκεί	там
ωστόσο	однак
άλλες	інший
άλλες	інша
άλλες	інші
άλλες	інше
άλλες	інших
τέλος	нарешті
τέλος	завершити
τέλος	кінець
τέλος	закінчити
τέλος	закінчиться
τέλος	закінчення
σειρά	серія
σειρά	серії
σειρά	ряд
σειρά	ряди
σειρά	замовити
σειρά	ордер
σειρά	наказ
σειρά	порядок
σειρά	рядок
στοιχεία	елементи
στοιχεία	дані
στοιχεία	data
εκτός	окрім
εκτός	крім
συνέχεια	неперервність
συνέχεια	продовжувати
συνέχεια	продовжити
συνέχεια	продовжуємо
συνέχεια	тривале
συνέχεια	продовжив
συνέχεια	продовжували
συνέχεια	продовжується
συνέχεια	продовжила
κάτω	вниз
κάτω	down
κάτω	униз
κάτω	даун
κάτω	нижній
κάτω	опустити
κάτω	нижня
κάτω	нижча
κάτω	внизу
κάτω	додолу
κάτω	нижче
κάτω	знизу
πολλές	багато
πολλές	багатьох
όλα	everything
όλα	все
όλα	усе
όλα	усі
όλα	всі
όλα	все
όλα	всіх
σύστημα	система
σύστημα	системи
σύστημα	системний
σύστημα	системне
σύστημα	системна
ακόμα	still
ακόμα	ще
ακόμα	надалі
ακόμα	досі
φορές	таймс
φορές	час
φορές	часи
φορές	times
ίδια	однакові
ίδια	збігається
ίδια	однаковий
ίδια	однакові
ίδια	same
ίδια	самий
ιουλίου	липень
ιουλίου	липні
