категория	категория
что	какво
для	за
как	как
как	като
как	like
был	бе
его	неговият
его	неговата
его	му
его	неговия
его	него
также	също
это	това
это	че
после	след
области	райони
области	зони
области	площи
области	области
год	година
год	годината
было	бе
время	времето
время	време
состав	състав
состав	композиция
была	бе
место	спот
место	петно
место	място
место	местоположение
место	място
место	местонахождение
место	локация
были	бяха
район	махала
район	квартал
район	квартала
район	окръг
район	област
район	район
район	зона
район	площ
район	област
район	район
вид	видове
вид	вид
вид	изглед
вид	гледка
вид	оглед
вид	преглед
под	под
только	само
только	единствено
только	просто
только	само
язык	език
язык	езикът
язык	езика
язык	език
ссср	ссср
районе	махала
районе	квартал
районе	квартала
код	код
более	повече
более	още
мая	май
дата	среща
дата	дата
ноября	ноември
деревня	село
где	къде
января	януари
марта	марта
марта	марта
марта	март
все	всичко
все	всички
все	всичко
все	всички
все	всеки
августа	август
августа	аугуст
августа	аугуста
том	том
октября	октомври
октября	ост
октября	октомври
сентября	септември
статьи	изделия
статьи	статии
статьи	артикули
уже	вече
июня	джун
июня	юни
апреля	ейприл
апреля	април
сша	сащ
сша	usa
который	което
который	която
название	името
название	наименование
название	име
название	заглавие
название	дял
название	титла
поселение	сетълмент
поселение	уреждане
поселение	селище
человек	човек
человек	личност
человек	човешка
человек	човешко
человек	човек
человек	човешки
человек	човече
человек	човек
человек	мъж
лет	години
лет	годините
февраля	февруари
февраля	февруари
они	те
того	того
города	град
города	градът
города	сити
города	city
города	градове
города	градовете
города	градчета
города	градове
города	градовете
может	могат
может	can
она	тя
войны	войните
войны	войни
войны	войната
войны	война
можно	могат
можно	can
когда	когато
когда	кога
которые	което
которые	която
высота	височина
высота	ръст
высота	височина
переписи	преброяването
переписи	преброяване
переписи	преброявания
село	село
статья	статия
статья	член
род	род
род	прът
род	род
один	сама
один	сам
один	один
один	една
один	един
один	едно
без	без
реки	ривър
реки	река
реки	реката
реки	реки
реки	реките
реки	ривърс
между	между
статус	статус
статус	състояние
статус	положение
статус	статут
населения	популация
населения	население
годы	години
годы	годините
через	виа
через	via
через	чрез
через	чрез
через	през
национальный	национална
национальный	национални
национальный	национален
национальный	национално
область	провинцията
область	провинция
область	район
область	регион
область	област
область	област
область	зона
область	площ
область	област
область	район
список	списък
сельское	селски
сельское	селско
сельское	селска
сайт	уебсайт
сайт	сайт
сайт	сайт
века	възрасти
века	вековете
века	столетия
века	векове
официальный	официален
официальный	официално
официальный	официална
часть	част
против	срещу
против	против
этот	това
будет	уил
несколько	няколко
несколько	множествена
несколько	многобройни
несколько	множество
несколько	донякъде
город	град
город	градът
город	градче
город	град
город	градът
город	сити
город	city
мира	мир
мира	мира
первое	първи
первое	първо
части	части
описание	описание
всего	общо
всего	общ
всего	обща
первый	първи
первый	първо
среди	сред
файл	файл
файл	файлът
файл	досие
карты	картите
карты	карти
карты	картички
карты	картите
карты	карти
два	двама
два	две
всех	всички
всех	всичко
всех	всички
всех	всеки
раз	веднъж
там	там
территории	териториите
территории	територии
второй	второ
второй	втора
второй	втори
очень	много
главы	глави
карта	карта
карта	картата
карта	карта
карта	картичка
площадь	plaza
площадь	плаза
площадь	квадратна
площадь	квадратни
площадь	квадратен
площадь	квадрат
площадь	площад
площадь	зона
площадь	площ
площадь	област
площадь	район
всё	всичко
даже	дори
даже	даже
затем	тогава
группы	група
группы	групово
группы	групиране
группы	групова
группы	групи
основания	основание
основания	основания
размер	размери
размер	големина
размер	размер
поселения	селища
почтовый	пощенски
над	над
страны	държава
страны	страна
страны	държави
страны	страни
ему	него
входит	влиза
индекс	индекс
индекс	индекси
индекс	показател
улица	улица
улица	стрийт
улица	street
улица	улицата
население	демографски
население	население
население	популация
население	население
работы	работа
работы	труд
работы	работи
имена	наименования
имена	имената
имена	имена
вместе	заедно
упоминание	споменете
упоминание	споменаване
здесь	тук
истории	истории
истории	разкази
истории	историята
истории	история
которая	което
которая	която
александр	александър
армии	армии
армии	армията
армии	армеец
армии	армия
армии	армейски
деление	участък
деление	разделение
деление	дивизия
деление	деление
деление	подразделение
деление	делене
хотя	макар
хотя	макар
кроме	освен
игроки	играчи
другие	друго
другие	друг
другие	други
другие	другите
другие	други
история	приказка
история	история
история	историята
история	история
совета	съветът
совета	съвет
совета	съвета
фильм	филмова
фильм	филм
фильм	филм
фильм	лента
рождения	раждането
рождения	раждане
рождения	рождение
пункты	позиции
пункты	артикули
пункты	предмети
пункты	елементи
пункты	параграфи
времени	времето
времени	време
участник	член
участник	участник
страница	страница
страница	страницата
страница	page
участие	участие
участие	участието
участие	участие
википедии	уикипедия
три	три
три	трима
человека	човешка
человека	човешко
человека	човек
человека	човешки
автор	автор
республики	република
внутреннее	вътрешна
внутреннее	вътрешно
внутреннее	вътрешни
внутреннее	вътрешен
внутреннее	вътрешна
внутреннее	вътрешно
внутреннее	вътрешни
внутреннее	вътрешен
эти	тези
статей	изделия
статей	статии
статей	артикули
случае	случай
случае	дело
случае	кейс
случае	случаят
случае	каса
центр	център
центр	център
округ	окръг
округ	графство
округ	окръг
округ	област
округ	район
жизни	живот
жизни	живота
жизни	life
жизни	лайф
жизни	животът
жизни	животи
жизни	живее
генерал	обща
генерал	общи
генерал	генерал
родился	родени
родился	роден
родился	родена
союза	профсъюз
союза	съюз
союза	съюза
союза	юниън
кто	кой
связи	връзки
связи	комуникации
день	денят
день	ден
именно	точно
период	период
община	общност
община	общността
индексы	индекси
индексы	индекси
округа	райони
округа	области
округа	квартали
