本體	온톨로지
女巫	마녀
擁抱	포옹
擁抱	안아
擁抱	포옹
擁抱	포옹
擁抱	포옹
西邊	서쪽
西邊	서부
西邊	웨스트
滑行	글라이드
出國	해외로
出國	해외
陣列	배열
陣列	어레이
陣列	배열
耐心	인내심
耐心	인내
紡織	직물
紡織	섬유
紡織	직물
潛水	다이빙
潛水	잠수
潛水	dive
潛水	다이빙
潛水	잠수
合法性	합법
合法性	합법
竇	개그
同源	상동
甘蔗	사탕수수
甘蔗	지팡이
甘蔗	사탕수수
哭泣	울음
哭泣	울음
賭博	도박
賭博	갬블
賭博	도박
成型	형성
腫瘤	종양
腫瘤	종양
紀律	규율
酷刑	고문
酷刑	고문의
口服	구강
廣東話	광둥
廣東話	광둥어
嚴謹	엄격한
三叉戟	트라이던트
展品	전시
展品	전시회
展品	전시회
仰光	양곤
豁免	면책
豁免	면역
史詩	에픽
史詩	서사시
推斷	추정
推斷	추론
花絮	퀴즈
鑄造	캐스팅
刪去	삭제
刪去	지우기
刪去	삭제하기
礦物	미네랄
礦物	미네랄
礦物	광물
麻醉	마취
麻醉	마취제
麻醉	마취
麻醉	마취제
芳香	향수
芳香	향기
民謠	발라드
民謠	포크
民謠	민속
明文	명시
明文	명시적
服務業	서비스
氣球	풍선
氣球	풍선
籃板	리바운드
倫理	윤리
倫理	윤리적
倫理	윤리학
倫理	윤리
一幕	장면
一幕	현장
摸	touch
摸	터치
推論	추정
推論	추론
投放	게재
投放	배송
投放	배달
神學院	신학교
艾瑪	엠마
類比	아날로그
雅加達	자카르타
通宵	하룻밤
對照	콘트라스트
對照	대비
膨脹	팽창
膨脹	급팽창
膨脹	전개
膨脹	확장
營利	이익
營利	수익성
良心	양심
良心	양심적
位移	변위
招標	부드러운
傳道	설교
波羅的海	발트
雨傘	우산
雨傘	우산
花生	땅콩
花生	땅콩
閃光	플래시
子爵	자작
削減	잘라
削減	삭감
視察	점검
視察	검사
髮型	머리카락
髮型	머리
髮型	머리카락이
髮型	헤어스타일
叛變	반란
