மற்றும்	и
ஒரு	одна
ஒரு	one
ஒரு	одно
ஒரு	один
இந்த	this
இந்த	это
இந்த	эта
இந்த	этот
இந்த	эти
ஆம்	да
இது	this
இது	это
இது	эта
இது	этот
மக்கள்	народы
மக்கள்	народов
மக்கள்	народ
மக்கள்	людей
மக்கள்	люди
என்ற	озаглавленный
ஆண்டு	год
என்று	это
என்று	that
தமிழ்	тамил
இந்திய	индийская
இந்திய	индеец
இந்திய	индии
இந்திய	индийский
இருந்து	от
இருந்து	from
இருந்து	из
பல	многих
பல	много
பல	многим
பல	многие
பல	несколько
பல	множественные
முதல்	от
முதல்	from
முதல்	из
முதல்	первый
முதல்	сначала
முதல்	первое
முதல்	первая
முதல்	first
மேலும்	более
மேலும்	больше
மேலும்	еще
தொகை	сумма
சில	немногим
சில	немногие
சில	немногих
சில	некоторых
சில	некоторые
உள்ளது	доступно
உள்ளது	доступные
உள்ளது	доступны
உள்ளது	доступен
உள்ளது	имеющихся
உள்ளது	существует
அவர்	его
அவர்	ему
அவர்	ее
அவர்	ей
அவர்	её
இருக்கும்	существующие
இருக்கும்	существующая
இருக்கும்	существующее
இருக்கும்	существующий
வெளி	аутсорсинга
வெளி	внешнее
வெளி	внешние
வெளி	внешняя
வெளி	внешних
வெளி	внешний
வெளி	пространство
வெளி	космической
வெளி	космос
வெளி	space
அமைந்துள்ளது	расположенных
அமைந்துள்ளது	расположенный
மூலம்	источник
மூலம்	оригинальная
மூலம்	оригинально
மூலம்	оригинальные
மூலம்	первоначального
மூலம்	оригинальный
மூலம்	оригинал
கொண்ட	содержащиеся
வரை	рисовать
வரை	привлечь
வரை	нарисовать
வரை	ничья
வரை	до
பின்னர்	тогда
பின்னர்	потом
பின்னர்	затем
பின்னர்	позднее
பின்னர்	позже
ஆனால்	но
வேண்டும்	нужно
வேண்டும்	нужна
வேண்டும்	потребность
வேண்டும்	хотеть
வேண்டும்	хочу
வேண்டும்	хочешь
வேண்டும்	должен
வேண்டும்	должны
கொண்டு	принес
கொண்டு	привезли
கொண்டு	принесли
கொண்டு	принесла
கொண்டு	принести
கொண்டு	привести
கொண்டு	с
கொண்டு	with
பட்டியல்	перечень
பட்டியல்	список
அமைந்துள்ள	расположенных
அமைந்துள்ள	расположенный
பெண்கள்	самки
பெண்கள்	женщины
பெண்கள்	девчонки
பெண்கள்	girls
பெண்கள்	девушки
பெண்கள்	девочки
பெண்கள்	девочек
பெண்கள்	женщины
பெண்கள்	женщин
கொண்டுள்ளது	имеет
கொண்டுள்ளது	содержит
போது	когда
போது	when
இணைப்புகள்	соединения
இணைப்புகள்	вложений
இணைப்புகள்	вложения
இணைப்புகள்	связи
இணைப்புகள்	ссылки
இரண்டு	два
இரண்டு	две
இரண்டு	двое
தகவல்	информация
தகவல்	info
தகவல்	инфо
தகவல்	информация
தகவல்	сообщение
தகவல்	послание
மாவட்ட	округ
மாவட்ட	район
மொத்த	всего
மொத்த	итого
