άστρο	astro
διάσωση	menyelamat
πινακίδες	pelat
πινακίδες	plat
γκλεν	glen
γκλεν	glenn
μονάρχης	monarch
μελωδία	melodi
μελωδία	melody
μελωδία	tune
μυστήριο	misteri
μάνα	ibu
μάνα	bonda
τοιχογραφία	fresco
τοιχογραφία	mural
γλωσσική	linguistik
διαδοχικές	berturut
τιμά	honours
ουρανός	sky
ουρανός	langit
ουρανός	langit
μειώσει	mengurangkan
μειώσει	kurangkan
μόλυνση	pencemaran
μόλυνση	jangkitan
μόλυνση	pencemaran
δημοσιότητα	publisiti
ιατρικό	medik
ιατρικό	perubatan
προθέσεις	niat
μπουρούντι	burundi
ταυτόχρονη	serentak
λιθίου	litium
τυχαίο	kerawakan
τυχαίο	rawak
λεωνίδα	leonidas
μαλάουι	malawi
επιθετική	agresif
σιδηροδρόμων	railways
αφρικανική	afrika
αφρικανική	african
σπουδαιότητα	pentingnya
παρατηρητές	observers
παρατηρητές	pengintip
κέλυφος	cengkerang
κέλυφος	shell
κέλυφος	cangkerang
μπάρτον	burton
μπάρτον	barton
έντι	eddie
έντι	eddy
τραπεζούντας	trebizond
μπουρκίνα	burkina
φάσο	faso
πορτρέτα	potret
κάρτες	kad
πληρώσει	bayar
ελίτ	elit
ελίτ	elite
μύτη	hidung
μύτη	nose
έπαθλο	prize
ναυτικός	seaman
ναυτικός	kelasi
ναυτικός	sailor
ναυτικός	pelaut
ναυτικός	kelasi
ναυτικός	nautika
ναυτικός	mariner
τζέρσεϊ	jersey
ιερή	keramat
απολιθώματα	fosil
βασιλεύς	raja
βασιλεύς	king
μις	cikgu
μις	rindu
μις	cik
μορφοποίησης	pemformatan
μορφοποίησης	memformat
ουράς	buntut
ουράς	ekor
ιός	virus
ενώνει	menyertai
μαχητικό	fighter
επίπεδη	flat
γιατρό	doctor
γιατρό	doktor
πάμπλο	pablo
ανδρόνικος	andronikos
σαντ	pasir
σαντ	sant
σαντ	shad
τοπικός	tempatan
προτιμούν	utamakan
προτιμούν	prefer
βίαια	keganasan
επηρεάζεται	dipengaruhi
επηρεάζεται	terpengaruh
επηρεάζεται	terjejas
επηρεάζεται	dipengaruhi
ξενοδοχεία	hotel
ξενοδοχεία	hotels
συγκριτικά	perbandingan
συγκριτικά	comparatively
πρώιμο	pramatang
αποθήκη	gudang
αποθήκη	storan
εντέρου	usus
νιγηρίας	nigeria
νιγηρίας	nigeria
λάζαρος	lazarus
ζωές	nyawa
ζωές	lives
σημάδι	tanda
σημάδι	petanda
σημάδι	sign
σημάδι	tandatangan
μοριακό	molekul
ψήφισμα	resolusi
ψήφισμα	peleraian
υπουργών	menteri
αποφευχθεί	elakkan
αποφευχθεί	dielakkan
βρύση	tap
βρύση	ketik
ενδιαφέρεται	berminat
ώθηση	tujahan
ώθηση	galakkan
εξασφαλίζοντας	memastikan
λας	las
βικτώρια	victoria
λευκορωσία	belarus
πλέγμα	jejaring
πλέγμα	grid
λένινγκραντ	leningrad
ντιέγκο	diego
κομοτηνή	komotini
απεικονίζονται	depicted
απεικονίζονται	digambarkan
μάνη	mani
πρώτον	pertama
πρώτον	first
πρώτον	dulu
πρώτον	dahulu
δημοσιογραφία	kewartawanan
ρυθμίσεις	penyelarasan
ρυθμίσεις	tetapan
δένδρα	pokok
δένδρα	pohon
δένδρα	trees
δεκτός	diterima
δεκτός	accepted
κολύμβηση	bathing
κολύμβηση	mandi
κολύμβηση	swimming
