மற்றும்	et
ஒரு	un
ஒரு	une
ஒரு	one
இந்த	ceci
இந்த	cet
இந்த	cette
இந்த	cela
இந்த	ce
இந்த	ces
ஆம்	oui
ஆம்	yes
இது	ceci
இது	cet
இது	cette
இது	cela
இது	ce
மக்கள்	peuples
மக்கள்	gens
மக்கள்	personnes
என்ற	intitulée
என்ற	intitulé
என்ற	titré
என்ற	le
என்ற	les
என்ற	la
என்ற	dérivé
என்ற	dérivée
என்ற	dérivées
ஆண்டு	annee
ஆண்டு	an
ஆண்டு	année
என்று	que
என்று	cela
தமிழ்	tamoul
தமிழ்	tamil
தமிழ்	tamouls
இந்திய	indienne
இந்திய	indiens
இந்திய	indiennes
இந்திய	indien
இருந்து	du
இருந்து	de
இருந்து	depuis
பல	nombreux
பல	beaucoup
பல	nombreuses
பல	plusieurs
பல	multiple
பல	multiples
பல	plusieurs
முதல்	du
முதல்	de
முதல்	depuis
முதல்	première
முதல்	premières
முதல்	premier
முதல்	premiers
மேலும்	davantage
மேலும்	plus
தொகை	montant
சில	peu
சில	certains
சில	certaines
சில	quelques
உள்ளது	dispo
உள்ளது	disponible
உள்ளது	disponibles
உள்ளது	existe
அவர்	lui
அவர்	her
இருக்கும்	existantes
இருக்கும்	existant
இருக்கும்	existants
வெளி	délocalisation
வெளி	externaliser
வெளி	externalisation
வெளி	externe
வெளி	extérieurs
வெளி	extérieur
வெளி	extérieure
வெளி	externes
வெளி	espace
அமைந்துள்ளது	situés
அமைந்துள்ளது	située
அமைந்துள்ளது	localisé
அமைந்துள்ளது	situé
மூலம்	source
மூலம்	sources
மூலம்	originale
மூலம்	original
மூலம்	originaux
கொண்ட	contenues
கொண்ட	contenaient
வரை	tirage
வரை	dessine
வரை	dessiner
பின்னர்	ensuite
பின்னர்	alors
பின்னர்	puis
பின்னர்	ultérieur
ஆனால்	mais
வேண்டும்	nécessité
வேண்டும்	besoins
வேண்டும்	besoin
வேண்டும்	veulent
வேண்டும்	envie
வேண்டும்	vouloir
வேண்டும்	veux
வேண்டும்	voulez
வேண்டும்	devrait
வேண்டும்	devraient
வேண்டும்	devrais
கொண்டு	apporté
கொண்டு	amené
கொண்டு	amenés
கொண்டு	amener
கொண்டு	apporte
கொண்டு	amenez
கொண்டு	apportez
கொண்டு	apporter
கொண்டு	avec
பட்டியல்	playlist
பட்டியல்	liste
பட்டியல்	listes
அமைந்துள்ள	situés
அமைந்துள்ள	située
அமைந்துள்ள	localisé
அமைந்துள்ள	situé
அதன்	sa
அதன்	ses
அதன்	son
பெண்கள்	femmes
பெண்கள்	femelles
பெண்கள்	filles
பெண்கள்	femmes
பெண்கள்	féminin
பெண்கள்	femme
கொண்டுள்ளது	contient
போது	durant
போது	pendant
போது	lors
போது	lorsque
போது	quand
இணைப்புகள்	raccordements
இணைப்புகள்	connexions
இணைப்புகள்	liens
இரண்டு	two
இரண்டு	deux
தகவல்	info
தகவல்	infos
தகவல்	informations
தகவல்	infos
தகவல்	renseignements
தகவல்	information
தகவல்	message
மாவட்ட	district
மொத்த	totale
மொத்த	total
மொத்த	totaux
வளர்ச்சி	developpement
வளர்ச்சி	développement
வளர்ச்சி	croissance
மாவட்டம்	district
அந்த	que
அந்த	cela
மிகவும்	très
மிகவும்	tres
மிகவும்	trés
திட்டம்	projet
திட்டம்	planifier
திட்டம்	plan
தேசிய	nationaux
தேசிய	national
தேசிய	nationale
தேசிய	nationales
இலங்கை	ceylan
இங்கு	ici
இங்கு	voilà
இங்கு	voici
கி	kyi
அமெரிக்க	américaine
அமெரிக்க	américain
அமெரிக்க	américaines
அமெரிக்க	américains
அடிப்படை	base
அடிப்படை	fondement
அடிப்படை	base
அடிப்படை	basiques
அடிப்படை	élémentaire
அடிப்படை	basique
அடிப்படை	basic
பெயர்	nommer
பெயர்	nom
பெயர்	dénomination
பெயர்	noms
பெயர்	libellé
பெயர்	label
பெயர்	étiquette
பெயர்	étiquettes
மூன்று	trois
மூன்று	three
ஆண்கள்	masculins
ஆண்கள்	mâles
ஆண்கள்	hommes
ஆண்கள்	masculins
ஆண்கள்	hommes
ஆண்கள்	homme
ஆண்கள்	mens
ஒன்று	rassembler
ஒன்று	soit
ஒன்று	un
ஒன்று	une
ஒன்று	one
ஐக்கிய	unie
ஐக்கிய	unis
ஐக்கிய	unies
புதிய	nouveau
புதிய	nouvelle
புதிய	nouvelles
புதிய	nouveaux
புதிய	nouveautés
புதிய	frais
புதிய	fraiche
புதிய	fraîche
புதிய	fraîcheur
அவரது	sa
அவரது	his
அவரது	ses
அவரது	son
அவரது	her
மொத்தம்	totale
மொத்தம்	total
மொத்தம்	totaux
மொத்தம்	totaux
இவை	ces
சிறந்த	super
சிறந்த	grande
சிறந்த	génial
சிறந்த	grand
சிறந்த	meilleure
சிறந்த	meilleures
சிறந்த	meilleur
சிறந்த	best
சிறந்த	meilleurs
சிறந்த	excellents
சிறந்த	excellente
சிறந்த	excellent
அரசு	gouvernement
அரசு	gouvernements
வசதிகள்	équipements
வசதிகள்	installations
இந்தியா	inde
இந்தியா	indes
பெரிய	super
பெரிய	grande
பெரிய	génial
பெரிய	grand
பெரிய	gros
பெரிய	grosse
பெரிய	grande
பெரிய	big
பெரிய	grand
பெரிய	grands
பெரிய	grande
பெரிய	grandes
பெரிய	grand
ஊரக	rurales
ஊரக	ruraux
ஊரக	rurale
ஊரக	rural
நாள்	journée
நாள்	jour
நாள்	journee
பிறப்பு	génériques
பிறப்பு	générique
பிறப்பு	naître
பிறப்பு	né
பிறப்பு	naissance
பிறப்பு	née
பிறப்பு	born
பிறப்பு	naissance
பிறப்பு	trappe
பிறப்பு	écoutille
பிறப்பு	hatch
இருந்தது	fut
இருந்தது	etait
இருந்தது	était
முக்கிய	principal
முக்கிய	principales
முக்கிய	main
முக்கிய	principale
முக்கிய	principaux
முக்கிய	importante
முக்கிய	important
முக்கிய	importantes
முக்கிய	importants
பல்வேறு	variété
பல்வேறு	divers
பல்வேறு	diverses
இருந்த	étaient
திரைப்படங்கள்	films
திரைப்படங்கள்	cinéma
திரைப்படங்கள்	ciné
பிற	autre
பிற	autres
அவர்கள்	eux
அவர்கள்	elles
அவர்கள்	ils
அவர்கள்	eux
மொழி	langue
மொழி	langage
மொழி	langues
முறை	méthode
முறை	procédure
முறை	mode
கோயில்	temple
கோயில்	tempe
விருது	récompense
பொதுவாக	généraux
பொதுவாக	généralités
பொதுவாக	générale
பொதுவாக	général
அக்டோபர்	octobre
அக்டோபர்	octobre
அக்டோபர்	oct
செய்து	engagée
செய்து	engagés
செய்து	commis
செய்து	engagé
தன்	sa
தன்	his
தன்	ses
தன்	son
தன்	jette
தொடர்ந்து	maintenir
தொடர்ந்து	garder
தொடர்ந்து	conserver
இரண்டாம்	second
இரண்டாம்	deuxième
இரண்டாம்	deuxieme
இரண்டாம்	seconde
இரண்டாம்	secondaires
இரண்டாம்	secondaire
சென்னை	chennai
வரும்	vient
வரும்	venir
மே	mai
மே	may
மே	peut
ஒவ்வொரு	chaque
ஒவ்வொரு	chacune
ஒவ்வொரு	chaque
ஒவ்வொரு	chacun
மட்டுமே	seul
மட்டுமே	uniquement
மட்டுமே	seulement
மட்டுமே	seule
வரலாறு	histoire
வரலாறு	historique
பகுதியில்	région
பகுதியில்	zone
பகுதியில்	domaine
நூல்கள்	ouvrages
நூல்கள்	livres
சேர்ந்த	appartenance
சேர்ந்த	appartenant
பின்	broche
பின்	épingle
பின்	pin
பின்	épingler
பின்	apres
பின்	after
பின்	après
பின்	aprés
பின்	dos
பின்	arrière
பின்	retour
பின்	revenir
இல்லை	not
இல்லை	non
இல்லை	pas
நவம்பர்	novembre
அதிக	élevée
அதிக	hautes
அதிக	haut
அதிக	haute
அதிக	élevé
காலத்தில்	période
மிக	très
மிக	tres
மிக	trés
நான்கு	quatre
பிறகு	ensuite
பிறகு	alors
பிறகு	puis
பிறகு	ultérieur
பிறகு	apres
பிறகு	after
பிறகு	après
பிறகு	aprés
அரசியல்	politiques
அரசியல்	politique
பகுதி	partiel
பகுதி	partielles
பகுதி	partiellement
பகுதி	partiels
பகுதி	partielle
பகுதி	région
பகுதி	zone
பகுதி	domaine
பகுதி	région
பகுதி	partie
பகுதி	segment
ஆறு	six
ஆறு	fleuve
ஆறு	rivière
மீண்டும்	again
மீண்டும்	encore
இங்கிலாந்து	angleterre
காலம்	saison
காலம்	saisons
காலம்	période
காலம்	temps
காலம்	heure
நிலை	position
நிலை	etat
நிலை	état
நிலை	niveau
ஒரே	pareil
ஒரே	meme
ஒரே	identique
ஒரே	mêmes
ஒரே	même
போர்	guerre
போர்	war
காரணமாக	dus
காரணமாக	due
காரணமாக	dû
பொருள்	matériel
பொருள்	matériaux
பொருள்	matériau
பொருள்	produit
பொருள்	produits
பொருள்	objet
பொருள்	synonymes
பொருள்	objet
பொருள்	sujet
அறிவியல்	science
அறிவியல்	scientifique
அறிவியல்	sciences
பேச்சு	discours
பேச்சு	allocution
பேச்சு	parler
பேச்சு	parle
பேச்சு	talk
பேச்சு	parlez
இதனால்	avec
அனைத்து	toute
அனைத்து	toutes
அனைத்து	tous
அனைத்து	tout
அனைத்து	all
கல்வி	enseignement
கல்வி	éducation
ஏப்ரல்	apr
ஏப்ரல்	avril
ஏப்ரல்	avr
ஏப்ரல்	avril
உலக	monde
உலக	mondial
உலக	mondiale
உலக	global
உலக	mondiale
உலக	mondial
உலக	mondiaux
கே	homosexualité
கே	gay
கே	homosexuel
முடியும்	peuvent
முடியும்	pouvez
முடியும்	peux
முடியும்	peut
கீழ்	down
கீழ்	descendre
கீழ்	abaisser
கீழ்	inférieur
கீழ்	inférieure
கீழ்	sous
கீழ்	under
கீழ்	fond
இடம்	place
இடம்	endroit
இடம்	lieu
இடம்	localisation
இடம்	emplacement
இடம்	localité
இடம்	lieu
இடம்	espace
செப்டம்பர்	septembre
பேர்	autres
பெரும்	super
பெரும்	grande
பெரும்	génial
பெரும்	grand
பெரும்	insolente
பெரும்	insolent
சி	chi
நாடுகள்	pays
தொகுதி	albums
தொகுதி	système
தொகுதி	module
கிழக்கு	orientale
கிழக்கு	est
கிழக்கு	orient
கிழக்கு	orient
கிழக்கு	orienter
கிழக்கு	orientale
கிழக்கு	oriental
அமைப்பு	configuration
அமைப்பு	configurer
அமைப்பு	système
அமைப்பு	paramètre
அமைப்பு	réglage
அமைப்பு	organisation
அமைப்பு	structure
அளவு	montant
அளவு	quantités
அளவு	quantité
அளவு	echelle
அளவு	échelle
அளவு	taille
அளவு	pointure
அளவு	tailles
நகர்	nagar
மற்ற	autre
மற்ற	autres
இந்து	hindou
இந்து	hindous
இந்து	hindoue
இவற்றையும்	ces
தற்போது	désormais
தற்போது	now
தற்போது	maintenant
தற்போது	actuellement
தற்போது	présentement
பாடல்	chant
பாடல்	chanson
உண்டு	dispo
உண்டு	disponible
உண்டு	disponibles
உண்டு	avoir
உண்டு	ont
வாழும்	vivante
வாழும்	vivants
வாழும்	vivant
வாழும்	vivre
இருக்கிறது	dispo
இருக்கிறது	disponible
இருக்கிறது	disponibles
நிறுவனம்	compagnie
நிறுவனம்	entreprise
நிறுவனம்	société
நிறுவனம்	employeur
நிறுவனம்	employeurs
நிறுவனம்	organisation
நிறுவனம்	organisation
நபர்கள்	gens
நபர்கள்	personnes
காலனி	colonie
மேற்கு	occidentale
மேற்கு	occident
மேற்கு	ouest
மேற்கு	west
மேற்கு	occidentale
மேற்கு	occidental
மேற்கு	ouest
மேற்கு	western
தலைவர்	présidente
தலைவர்	président
தலைவர்	meneur
தலைவர்	leader
முதலில்	première
முதலில்	premières
