tramvaj	bagon
kraljevsko	royal
sim	sim
leone	leone
leone	leon
ukratko	dagli
ukratko	maiksi
ukratko	maikli
ukratko	short
ukratko	pandak
ukratko	maikling
pjevala	sang
japansko	hapon
japansko	japanese
japansko	hapones
pečat	stamp
pečat	seal
ebert	ebert
prehrane	nutrisyon
natječaj	malambot
natječaj	paligsahan
natječaj	contest
violina	violin
maxim	maxim
počinio	nakatuon
proteina	protina
lyon	lyon
osvajača	invaders
danilo	danilo
barcelone	barcelona
augustin	augustin
miles	milya
zrcala	salamin
zaštitnika	patron
esej	sanaysay
izbijanja	pagkalat
postizanje	pagkamit
postizanje	naaabot
konvencije	conventions
konvencije	convention
odražava	reflecting
iznutra	inside
iznutra	loob
grijeha	kasalanan
bratstvo	fraternity
bratstvo	kapatiran
dinara	dinar
krzno	fur
krzno	balahibo
satima	oras
vuka	lobo
vuka	wolf
pokrenuta	inilunsad
deutsche	deutsche
radionica	workshop
camp	kampo
britaniju	britanya
britaniju	britain
revoluciju	himagsikang
revoluciju	rebolusyon
hampshire	hampshire
leptir	butterfly
prikazano	ipinapakita
prikazano	ipinakita
prikazano	ipinapakita
prikazano	ipapakita
prikazano	itinatampok
prikazano	itinampok
ubojice	killers
tvrdeći	argue
glasom	boses
suha	tuyo
suha	tuyong
bora	bora
nakai	nakai
hunt	hunt
hunt	mangkukulam
uši	lice
uši	tenga
uši	tainga
bitaka	battles
graf	grapo
graf	graf
potpora	suportahan
potpora	support
potpora	sumusuporta
potpora	suporta
potpora	sumuporta
potpora	sinusuportahan
baterija	baterya
fritz	fritz
acer	acer
poznavanje	kaalaman
poznavanje	knowledge
atlanta	atlanta
historia	historia
petru	petra
vjenčanje	kasal
vjenčanje	kasalan
vjenčanje	wedding
kuge	salot
kurt	kurt
pomogli	natulungan
pomogli	tinulungan
sul	sul
zahvalnosti	pasasalamat
gene	gene
ekološki	ekolohiya
vice	bisyo
vice	vice
parovi	couples
uništavanje	naninira
uništavanje	destruction
horor	horror
linux	linux
faraon	paraon
zenit	taluktok
liječnici	doctors
zamjene	replacement
susjeda	kapwa
susjeda	kapitbahay
susjeda	neighbor
ahmed	ahmed
tekuće	nagpapatuloy
tekuće	patuloy
tekuće	nagaganap
tekuće	kasalukuyang
tekuće	likido
molio	nagdasal
preuzimanja	download
