şikago	시카고
curtis	커티스
alba	알바
ayrılık	해체
ayrılık	분리
aletleri	악기
aletleri	인스트루먼트
louisiana	루이지애나
istekleri	요청
cümleler	어구
cümleler	문구
cümleler	문장
thomson	톰슨
döngü	슬라이드
döngü	루프
döngü	반복
döngü	주기
döngü	순환
döngü	사이클
uçaklar	항공기
uçaklar	비행기
uçaklar	비행기
vurgu	강조
lynch	린치
odaları	객실
tekne	보트
tekne	보트
klein	클라인
sıralı	순서
sıralı	시퀀스
ita	ita
komşuları	이웃들
komşuları	이웃
komşuları	이웃
gezgin	트래블러
adayları	후보
adayları	후보자
mesele	이슈
mesele	문제
oğul	아들
bilgisayarlar	컴퓨터
faktörler	요인
nine	nana
nine	할머니
elmalı	사과
elmalı	애플
sınırlar	한계
sınırlar	제한
sınırlar	경계
sınırlar	국경
sınırlar	경계선
kolonisi	식민지
zeka	지능
yıldönümü	기념일
yıldönümü	기념일
sınıflar	교실
sınıflar	클래스
sınıflar	수업
gibson	깁슨
porter	포터
girişimleri	이니셔티브
buldum	찾았다
buldum	찾았습니다
buldum	발견됨
dalgalar	물결
dalgalar	파도
musevi	유대인
musevi	유대교
nat	nat
antonius	안토니우스
spider	거미
spider	스파이더
flüt	플룻
flüt	플루트
salı	화보
salı	화이팅
atmak	던지기
bölük	회사
bölük	컴퍼니
bölük	기업
bölük	분대
bölük	스쿼드
bismarck	비스마르크
tohum	시드
tohum	seed
tohum	씨앗
tohum	씨앗
mutluluk	행복
mutluluk	happiness
tayfun	태풍
tayfun	타이푼
molekül	분자
molekül	분자
molekül	분자
madencilik	광산
madencilik	마이닝
madencilik	광업
madencilik	마이너
papaz	신부
papaz	성직자
papaz	목사
edwin	에드윈
queens	퀸즈
queens	퀸스
terminal	터미널
terminal	터미널
bilişsel	인지
yanma	불타는
diger	기타
diger	다른
diger	기타
voldemort	볼드모트
sakatlık	부상
sakatlık	장애
sakatlık	장애인
ima	묵시적
owen	오웬
magazin	잡지
magazin	매거진
magazin	잡지
tüketim	소비
