olivers	oliver
atnesa	donijeli
atnesa	doveden
atnesa	donijela
atnesa	donio
lieldienu	pesah
forums	forum
organismi	organizmi
organismi	organizme
vienpadsmit	jedanaest
ceļotājs	putnik
ceļotājs	putopisac
simti	stotinu
simti	stotine
simti	hundred
simti	stotina
simti	stotine
skaidro	objašnjava
sociālais	društvena
sociālais	društvene
sociālais	društvenu
sociālais	socijalna
darīts	uradio
darīts	urađen
darīts	završeno
darīts	urađeno
faila	dosije
faila	datoteka
faila	arhiva
faila	file
abū	yas
minoritātes	manjine
likteni	destiny
likteni	sudbina
likteni	sudbinu
likteni	sudbinu
likteni	sudbina
dieviete	božica
barošanas	dodavajući
pārveidot	realizuju
pārveidot	transformacija
pārveidot	transformiše
briesmas	opasnosti
briesmas	opasnost
patiesi	istinski
aizstāvēt	brani
aizstāvēt	brane
aizstāvēt	odbraniti
aizstāvēt	braniti
aizstāvēt	odbrani
aizstāvēt	braneći
aizstāvēt	branili
atvaļināts	penzionisan
atvaļināts	penzionisani
džeina	jane
džeina	jayne
mēreni	umjereno
novērotas	posmatrala
novērotas	posmatrao
sociālistu	socijalistička
piecdesmit	pedeset
piekļūt	pristup
piekļūt	pristupa
piekļūt	access
atcelta	otkazan
barbara	barbara
politiķi	političari
stratēģijas	strategije
stratēģijas	strategija
tuvākā	najbliži
masačūsetsas	massachusetts
failus	datoteka
prezidentūras	predsjedništvo
neapoles	napulj
kaļķu	lime
čaka	chuck
uzstādīt	setu
uzstādīt	set
uzstādīt	postavio
uzstādīt	postavljeni
uzstādīt	instalacija
uzstādīt	instalirane
ceļojums	putovanje
ceļojums	trip
ceļojums	putovanje
pastāvīga	trajni
pastāvīga	trajnim
pastāvīga	stalna
pastāvīga	stalne
tendence	trend
tendence	tendencija
nogāzes	padine
nogāzes	obroncima
noslēdz	zatvara
noslēdz	zaključuje
ienaidnieks	neprijatelj
ērgļi	orlovi
pagātnes	prošlost
piedzīvojumi	avanture
piedzīvojumi	avanturu
piedzīvojumi	avantura
slāņi	slojeva
slāņi	slojevi
atvērt	otvorene
atvērt	otvorena
atvērt	otvoren
atvērt	otvoreno
atvērt	open
izdzīvot	preživjeti
hiēnas	hijene
uzsver	osvjetljava
donavas	dunav
auss	uho
kviešu	pšenice
šaura	uski
šaura	uske
ribentropa	ribbentrop
ledu	led
neolīta	neolitska
izgatavota	proizvedena
egejas	egeja
egejas	egejska
egejas	egej
ienākumus	prihod
jaunākie	najnovije
lode	metak
kvarca	kvarc
akts	ponašaju
akts	čin
akts	akt
galīgi	definitivan
kaujinieku	vojnica
pakešu	packet
mainījies	promijenio
mainījies	promijenila
mainījies	promijenjen
iepriekšējie	prethodna
iepriekšējie	prethodnim
iepriekšējie	prethodni
iepriekšējie	prethodno
iepriekšējie	prethodnom
iepriekšējie	prethodne
ipv	ipv
ipv	ipu
plazmas	plazma
plazmas	plazme
horvātija	hrvatska
disciplīnās	disciplinama
zara	ogranak
zara	grana
pētījums	suđenje
pētījums	proučiti
pētījums	studija
pētījums	proučavanja
derīgas	stati
derīgas	fit
nelsons	nelson
rasels	russell
halles	halle
irbe	partridge
pretiniekiem	protivnici
nesaskaņas	neslaganje
nesaskaņas	neslaganjima
nesaskaņas	neslaganja
magnētisko	magnetno
magnētisko	magnetni
magnētisko	magnetne
magnētisko	magnetsko
tuvāko	najbliži
iziešanas	izlaz
iziešanas	exit
krusa	hail
fords	ford
deivs	dave
deivs	dava
ķēde	lanac
ķēde	kolo
pcall	pcall
silīcija	silicij
vatikāna	vatikana
vatikāna	vatikan
apmaiņa	razmjenu
apmaiņa	razmjena
demonstrācijas	demonstracija
demonstrācijas	demonstracije
demonstrācijas	demonstracijama
mustela	mustela
usb	usb
deviņu	devet
veiksmīgu	uspješan
veiksmīgu	uspješnu
veiksmīgu	uspješne
veiksmīgu	uspješna
veiksmīgu	uspješni
england	engleska
poznaņas	poznań
dievi	bogove
dievi	bogovi
dievi	božanstava
dievi	bogova
dievi	bogovima
turnīri	turnire
turnīri	turnirima
vera	vera
vera	veri
semjuels	samuel
petrovs	petrov
petrovs	petrova
pretinieks	neprijatelj
pretinieks	suparnik
pretinieks	protivnik
dziļāk	dublje
